,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,Accenture,Business & Technology Delivery Manager," Utilizing Agile methodology to deploy SAP for a complex set of business processes and client technical architecture; Working on SAP configuration for Sales & Distribution (SD) and Cross Team Integration areas, including Production Planning (PP), Materials Management (MM), Logistics Execution (LE), and Finance / Controlling (FI-CO); Managing customizations in SAP, including Reports, Interfaces, Conversions, Enhancements, Forms, and Workflows; Driving key design decisions on SAP process and technology; Working with Electronic Data Interchange (EDI) for automation of business processes in SAP; and Working with SAP FSCM and SAP Document Compliance solutions. Utilizing DevOps for Program Increment planning, test prep, and execution; and Utilizing ABAP programming language and identifying enhancement points for solutions to complex business processes. ",https://www.accenture.com/us-en/careers/jobdetails?id=R00138532_en&title=Business+%26+Technology+Delivery+Manager," Business & Technology Delivery Manager (Accenture LLP; Cincinnati, OH): Accenture LLP has multiple openings for the position of Business & Technology Delivery Manager in Cincinnati, OH, and the job duties are as follows:Deliver E2E processes for Prospect to Cash and provide a solution that meet business requirements approved during design and refined during program increments.Lead the SAP configuration and customization during the build phase for the Prospect to Cash scope area, including driving the Acceptance of Features/User Stories during program increments.Work with Product Managers, Solution Architects, Solution Leaders, and client management teams to confirm delivery of required cross-process integration.Coordinate with ADM Legacy IT resources on the development and testing of required ADM Legacy system remediation and integration with the solution.Plan and execute Product Integration Testing/Business Simulation for Prospect to Cash and integrate the test plan with other E2E teams.Plan and execute integrated deployment activities for their respective scope areas, including Data Loads/Conversions, Transactional Loads, and Blackout Planning.Coordinate with other E2E workstreams and technical teams to plan and finalize deliverables.Estimate, plan, and manage deliverable quality and timelines for Prospect to Cash and determine the scope of each Product Increment based on team capacity.Drive key design decisions on SAP process and technology and understand the impact of those decisions to cross process areas/teams.Manage team staffing based on project level budget and work estimation. "
1,Accenture,Business & Technology Delivery Manager," Developing and executing end-to-end project management activities, including project plans and estimates, scoping, and requirements through implementation and deployment; Monitoring, managing, and reporting on execution of deliverables; Collaborating with key stakeholders including Project Managers, Business Owners, and IT Partners to generate and contribute to scope and delivery approach definition; and Working on SAP Sales and Distribution Module and Order to Cash process. Working on end-to-end SAP S/4 HANA implementation, including hands-on design and configuration; Leveraging Agile or Hybrid delivery model; and Working on complex SAP programs. ",https://www.accenture.com/us-en/careers/jobdetails?id=R00140588_en&title=Business+%26+Technology+Delivery+Manager," Business & Technology Delivery Manager (Accenture LLP; Florham Park, NJ): Accenture LLP has multiple openings for the position of Business & Technology Delivery Manager in Florham Park, NJ, and the job duties are as follows:Identify and assess complex problems for area of responsibility.Recommend solutions when an analysis requires in-depth evaluation of variable factors.Adhere to strategic direction set by senior management when establishing near-term goals.Interact with senior management to propose and redefine technology plans when risks or issues are identified.Act independently to determine methods and procedures on new assignments.Manage large to medium sized teams and/or work efforts at a client or within Accenture.Provide feedback on work in progress, clarify requirements, and contribute to removing roadblocks and impediments. "
2,Accenture,Business & Technology Delivery Manager," Working in Agile product management; Liaising with client leadership in executing program and project management responsibilities; Conducting Agile project planning events with client senior leadership to map out the work plan for front-end and form teams, based on SAFe methodology; Collaborating with key stakeholders including Project Managers, Business Owners, and IT Partners to generate and contribute to scope definition and delivery approach definition; Leading an onshore and offshore Agile team to complete balancing, prioritizing, restructuring, and reallocating tasks; and Performing analysis of transactions using APIs, and validating applications meet business requirements. ",https://www.accenture.com/us-en/careers/jobdetails?id=R00146496_en&title=Business+%26+Technology+Delivery+Manager," Business & Technology Delivery Manager (Accenture LLP; New York, NY): Accenture LLP has multiple openings for the position of Business & Technology Delivery Manager in New York, NY, and the job duties are as follows:Work with Business owners and Project Management team to help define business needs and priorities at a program level.Ensure a ready backlog of work, conduct backlog prioritization, accept final product, measure performance and adjust overall roadmap of deliverables as needed.Develop a comprehensive data dictionary identifying data elements and defining data attributes.Implement team goals and strategy by collaborating with key Stakeholders, Solution Architects, Application Architects and User experience.Inform and participate in business readiness, understand the impact of change, implement the approach to manage adoption and mitigate resistance.Provide feedback on work in progress, clarify requirements, and remove roadblocks and impediments.Analyze user requirements, procedures, and problems to automate and improve existing systems and review system capabilities.Analyze, design, and facilitate the implementation of configuration and code changes.Provide supervision to agile tech lead, delegate, coach team members, and coordinate with cross functional teams.Responsible for planning and directing the work of reportees, providing performance feedback, and taking corrective action when necessary either directly or through a layer of supervisors. "
3,Accenture,"AFS - Technology Analyst (Aberdeen, MD)"," Working in Agile product management; Liaising with client leadership in executing program and project management responsibilities; Conducting project planning for ERP Support Pack Upgrades, SAP Integration with Identity Management, GRC Product Implementation, SAP and HANA Assessments, and Automations and Simplifications; Leading an onshore and offshore Agile team to complete balancing, prioritizing, restructuring, and reallocating tasks; Performing analysis of transactions using APIs, and validating applications meet business requirements; Customization and configuration in the following: SAP, GRC, Solution Manager, Sailpoint and Winshuttle; and Backlog and delivery management tools including Jira, Service-Now, Azure DevOps, HP Microfocus, and MS Office applications. ",https://www.accenture.com/us-en/careers/jobdetails?id=R00144283_en&title=Business+%26+Technology+Delivery+Manager," Business & Technology Delivery Manager (Accenture LLP; Irving, TX): Accenture LLP has multiple openings for the position of Business & Technology Delivery Manager in Irving, TX, and the job duties are as follows:Work with Business owners and Project Management team to help define business needs and priorities at a program level.Ensure a ready backlog of work, conduct backlog prioritization, accept final product, measure performance and adjust overall roadmap of deliverables as needed.Develop a comprehensive data dictionary identifying data elements and defining data attributes.Implement team goals and strategy by collaborating with key Stakeholders, Solution Architects, Application Architects and User experience.Inform and participate in business readiness, understand the impact of change, implement the approach to manage adoption and mitigate resistance.Provide feedback on work in progress, clarify requirements, and remove roadblocks and impediments.Analyze user requirements, procedures, and problems to automate and improve existing systems and review system capabilities.Analyze, design, and facilitate the implementation of configuration and code changes.Provide supervision to agile tech lead, delegate, coach team members, and coordinate with cross functional teams.Responsible for planning and directing the work of reportees, providing performance feedback, and taking corrective action when necessary either directly or through a layer of supervisors. "
4,Accenture,Federal - Technology Analyst - AFSELFY23," Working in Agile product management; Liaising with client leadership in executing program and project management responsibilities; Conducting Agile project planning events with client senior leadership to map out the work plan for front-end and forms teams, based on SAFe methodology; Collaborating with key stakeholders including Project Managers, Business Owners, and IT Partners to generate and contribute to scope definition and delivery approach definition; Leading an onshore and offshore Agile team to complete balancing, prioritizing, restructuring and reallocating tasks; Performing analysis of policy transactions using APIs, and validating applications meet business requirements; and Working with clients in the Personal Lines Property and Casualty insurance industry. ",https://www.accenture.com/us-en/careers/jobdetails?id=R00138553_en&title=Business+%26+Technology+Delivery+Manager," Business & Technology Delivery Manager (Accenture LLP; Hartford, CT): Accenture LLP has multiple openings for the position of Business & Technology Delivery Manager in Hartford, CT, and the job duties are as follows:Work with Insurance Business owners and Project Management team to help define Business need and priorities at Program level.Ensure a ready backlog of work, Backlog prioritization, accept final Product, measuring performance and adjusting overall roadmap of deliverables as needed.Developing a comprehensive data dictionary identifying data elements and defining data attributes.Implementing team goals and strategy by collaborating with key Stakeholders, Solution Architects, Application Architects and User experience.Inform and participate in business readiness, understand the impact of change, implement the approach to manage adoption and mitigate resistance.Provide feedback on work in progress, clarify requirements and contribute to removing roadblocks and impediments.Analyze user requirements, procedures, and problems to automate and improve existing systems and review system capabilities.Analyze, design, and facilitate the implementation of configuration and code changes.Provide supervision to agile tech lead, delegate, and coach the team members and coordinate with cross functional teams.Responsible for planning and directing the work of reportees, providing performance feedback, and taking corrective action when necessary either directly or through a layer of supervisors. "
5,Accenture,ECM Technology Architect - 4632156," Bachelor’s degree or Master’s Bachelor’s degree or Master’s degree in a STEM (science, technology, engineering or math) Experience in application design using prototyping tools such as Adobe XD, Axure, Balsamiq, Sketch, etc Exposure to programming, any language of choice Experience with software configuration (Microsoft PowerApps, SharePoint, etc.) or eCommerce platform configuration (Shopify, Squarespace, Wix, etc.) Exposure to systems with Appian, Salesforce, SAP, ServiceNow, Oracle, Pega, or PeopleSoft components Exposure to Agile methods and tools, such as Jira ",https://www.accenture.com/us-en/careers/jobdetails?id=R00063020_en&title=AFS+-+Technology+Analyst+(Aberdeen%2c+MD)," Accenture Federal Services - Technology Analyst We Are: Accenture Federal Services, helping our federal clients tackle their toughest challenges while unleashing their fullest potential…and then some. What makes our approach so unique? Operating from the nation’s capital, we bring together commercial innovation and leading-edge technologies to deliver an integrated and interactive experience that far exceeds expectations. How? Our passion meets purpose! Through our diverse culture and inclusive thinking, we embrace our employees' ideas taking them from concept to practical solutions. Not to mention, we sleep well at night knowing our work directly impacts and improves the way the world works. We keep our tech smarts sharp by providing abundant training and certification opportunities. Are you ready to learn and grow in a career, while making a difference? Learn more about software agility at Accenture Federal Services here. You Are: A team player with an entrepreneurial mind. You step up and volunteer to take on challenges to solve technical problems. You look closely at the way things work and often see a better approach to how it could be done. Emerging technologies and next-generation IT excite you –– and you’re ready to put that passion to work across many different types of client projects. The Work: Kick-start your career in our Technology Development Program to learn the latest technical skills Learn first-hand how we help the federal government develop and implement their tech strategy, as well as how we manage our business to help maximize business outcomes for both our clients and Accenture Work with a diverse group of people across many different technologies Connect with your teammates to design and develop new technology product features Bridge the gap between technology and business by using your analytical expertise Develop front end solutions to design, develop, test and implement software Identifying and implementing process improvements to help deliver value Manage deadlines diligently, working with your team to achieve project milestones Support project management by reporting issues, risks, and status, and by assisting with financial activities as needed "
6,Accenture,SW/App/Cloud Technology Support Manager," Bachelor’s degree or Master’s Bachelor’s degree or Master’s degree in a STEM (science, technology, engineering or math) Experience in application design using prototyping tools such as Adobe XD, Axure, Balsamiq, Sketch, etc Exposure to programming, any language of choice Experience with software configuration (Microsoft PowerApps, SharePoint, etc.) or eCommerce platform configuration (Shopify, Squarespace, Wix, etc.) Exposure to systems with Appian, Salesforce, SAP, ServiceNow, Oracle, Pega, or PeopleSoft components Exposure to Agile methods and tools, such as Jira ",https://www.accenture.com/us-en/careers/jobdetails?id=R00120687_en&title=Federal+-+Technology+Analyst+-+AFSELFY23," Accenture Federal Services - Technology Analyst We Are: Accenture Federal Services, helping our federal clients tackle their toughest challenges while unleashing their fullest potential…and then some. What makes our approach so unique? Operating from the nation’s capital, we bring together commercial innovation and leading-edge technologies to deliver an integrated and interactive experience that far exceeds expectations. How? Our passion meets purpose! Through our diverse culture and inclusive thinking, we embrace our employees' ideas taking them from concept to practical solutions. Not to mention, we sleep well at night knowing our work directly impacts and improves the way the world works. We keep our tech smarts sharp by providing abundant training and certification opportunities. Are you ready to learn and grow in a career, while making a difference? Learn more about software agility at Accenture Federal Services here. You Are: A team player with an entrepreneurial mind. You step up and volunteer to take on challenges to solve technical problems. You look closely at the way things work and often see a better approach to how it could be done. Emerging technologies and next-generation IT excite you –– and you’re ready to put that passion to work across many different types of client projects. The Work: Kick-start your career in our Technology Development Program to learn the latest technical skills Learn first-hand how we help the federal government develop and implement their tech strategy, as well as how we manage our business to help maximize business outcomes for both our clients and Accenture Work with a diverse group of people across many different technologies Connect with your teammates to design and develop new technology product features Bridge the gap between technology and business by using your analytical expertise Develop front end solutions to design, develop, test and implement software Identifying and implementing process improvements to help deliver value Manage deadlines diligently, working with your team to achieve project milestones Support project management by reporting issues, risks, and status, and by assisting with financial activities as needed "
7,Accenture,, Minimum 4 years of Oracle Enterprise Content Management ECM Minim 4 years of ECM Integrations with other applications and data sources Minimum 4 years' experience migrating content from legacy CM applications to Oracle ECM High School Diploma or GED Experience with BI Publisher Reporting and Bursting Experience with Database Queries Basic understanding on Oracle HCM Candidate should have some basic understanding of Oracle Cloud Strong communication and client facing skills Ability to coordinate with offshore delivery centers ,https://www.accenture.com/us-en/careers/jobdetails?id=10932391_en&title=ECM+Technology+Architect+-+4632156," Accenture Flex offers you the flexibility of local fixed-duration project-based work powered by Accenture, a leading global professional services company. Accenture is consistently recognized on FORTUNE's 100 Best Companies to Work For and Diversity Inc's Top 50 Companies For Diversity lists.As an Accenture Flex employee, you will apply your skills and experience to help drive business transformation for leading organizations and communities. In addition to delivering innovative solutions for Accenture's clients, you will work with a highly skilled, diverse network of people across Accenture businesses who are using the latest emerging technologies to address today's biggest business challenges.You will receive competitive rewards and access to benefits programs and world-class learning resources. Accenture Flex employees work in their local metro area onsite at the project, significantly reducing and/or eliminating the demands to travel.Responsibilities1. Understanding business requirements and translating them into specifications on Oracle ECM2. Configure ECM product to meet client s business needs3. Collaborate with BI Publishers and integration developers to deliver the technical solution for ECM4. Oversee and execute migration of documents and content from legacy content management applications to Oracle ECM5. Perform onshore offshore coordination activities6. Hybrid role. Expected to be onsite 2-3 days per week.#OT-IDX "
8,Accenture,"
		
        Join Our Team
    "," Managing cloud infrastructure and cloud security; Working in IaaS, PaaS, and SaaS models to advocate to clients with modern and secure cloud solutions; Implementing and maintaining autonomous cloud databases; Configuring, deploying, and maintaining NoSQL Databases; Deploying AWS native database service; and Maintaining, patching, and upgrading database appliances. Managing Oracle cloud infrastructure, including provisioning, patching, and security remediation; and Administrating and supporting Azure Cloud and Alibaba Cloud. ",https://www.accenture.com/us-en/careers/jobdetails?id=R00140693_en&title=SW%2fApp%2fCloud+Technology+Support+Manager," SW/App/Cloud Technology Support Manager (Accenture LLP; Arlington, VA): Accenture LLP has multiple openings for the position of SW/App/Cloud Technology Support Manager in Arlington, VA, and the job duties are as follows:Act as the ongoing interface between the client and the system or application to accurately define the issue, and to interpret and design a resolution.Drive incident, issue and outage management, investigation, and restoration.Monitor systems and trends to prevent occurrence of incidents, problems, errors, and improve overall performance.Schedule, track, and facilitate acceptance of changes to the production environments by using applicable processes.Operate IT production services according to Service Level Agreements (SLAs).Provide operational support, ensuring production systems and devices are online and available.Identify and assess complex problems and create solutions that require in-depth evaluation of variable factors to be implemented by the team.Act independently to determine methods and procedures on new assignments.Make decisions that impact the team through regular consultation with senior management.Adhere to strategic direction set by senior management. "
9,Accenture,Technology Consulting Manager," Pursuing a Bachelor’s degree in a STEM major (with a graduation date of August 2023 or later) from The University of the Pacific. Experience with programming languages (ex. Java, Python, Ruby, etc.), modern frameworks (ex. Angular.js, Node.js, etc.) and/or lifecycle data management, supply chain, finance, etc. Exposure to programming-related projects in Web Design, Game design and/or Mobile Application Design. Interest in new emerging technologies and leading business application packages. Ability to demonstrate a strong work ethic, solid technical aptitude, excellent communication skills, leadership, attention to detail and experience working on a team. ",https://www.accenture.com/us-en/careers/jobdetails?id=R00120730_en&title=Entry+Level+Co-Op+-++Technology+Co-Op+-+West+-+Sacramento+-+Univ.+of+the+Pacific+-+NAELFY23," Kickstart your technology consulting career by joining Accenture’s University of the Pacific Technology Co-Op. Leverage your skills and strengths to help our clients solve their most pressing business challenges, embracing the latest technology to become the next best version of themselves.Not only will you have amazing opportunities to learn, develop and grow your skills, you will join a collaborative environment that unleashes innovation, allows our people to perform at their very best and supports a culture in which everyone feels they have an equal opportunity to belong and build a career.If you have not previously considered Accenture; now is the time. Wherever your professional passions lie, there is a home for you within Accenture Technology.*Co-Op program starts in May 2023 and runs approximately 6-8 months.Looking to expand your technical skills and work with emerging technologies? Check out Accenture’s University of the Pacific Technology Co-Op:Create and deliver platform and custom-designed solutions for world class clients.Build new business models via application management and implementation services.Co-create proof of concept for new or emerging technologies with our clients.Utilize programming skills to design and build client applications to drive and accelerate business impact. "
