,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,Amazon,"Sr. PM, Event Technology - AMZ5838755"," BASIC QUALIFICATIONSPosition Requirements:Master's degree or foreign equivalent in Business Administration, Marketing, Engineering, or a related field and one year of experience in the job offered or a related occupation. Employer will accept a Bachelor's degree or foreign equivalent in Business, Marketing, Engineering, or a related field and five years of experience in the job offered or a related occupation as equivalent to the Master's degree and one year of experience. Must have one year of experience in the following skill(s): (1) managing event technology; (2) delivering cross functional/org technical projects; (3) developing or utilizing Strategic Meetings Management Platforms (SMMP), including registration/request management systems, mobile event applications, and other onsite tools (e.g. mobile check-in, RFID, etc.); and (4) managing virtual event/webinar/collaboration tools. PREFERRED QUALIFICATIONSPlease see the job description and position requirements above.Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",https://www.amazon.jobs/en/jobs/2238666/sr-pm-event-technology-amz5838755,"DESCRIPTIONMULTIPLE POSITIONS AVAILABLECompany: AMAZON.COM SERVICES LLCPosition Title: Sr. PM, Event TechnologyLocation: Seattle, WashingtonPosition Responsibilities:Support the development of planning processes, integration and implementation of event technology for the global Amazon Business marketing team. Build virtual events that enable our worldwide marketing strategies. Deliver high-quality customer-facing events. Continually test, measure, and evolve event technology. Lead onboarding, integration, and execution of a broad event technology portfolio. Work cross-functionally with event teams to identify, scale, produce, and execute event technology solutions, including managing full-time and vendor/contractor resources. Manage technical implementation of virtual event hosting platforms and solutions used by event teams. Manage event live streams. Partner with event marketers to define metrics and develop registration and onsite management/reporting that gathers metrics from conception to reconciliation (including viewership data for virtual events and data flow integrations). Design and develop event microsite and registration platform templates, including but not limited to onsite check-in and mobile solutions. Work with program managers, business leaders, sales, internal/external tech teams, and key vendors to drive critical event technology initiatives related to virtual programs and content hosting. Research, evaluate, and recommend new technologies and technology vendors to support event needs.Amazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation. #0000"
1,Amazon,"Principal Program Manager, AWS Finance Technology"," 7+ years of program or project management experience 7+ years of cross functional project delivery experience 7+ years of managing, analyzing and communicating results to senior leadership experience 7+ years of working cross functionally with tech and non-tech teams experience Bachelor's degree Experience defining program requirements and using data and metrics to determine improvements Experience implementing repeatable processes and driving automation or standardization MBA Experience owning program strategy and end to end delivery Experience managing, analyzing and communicating results to senior leadership",https://www.amazon.jobs/en/jobs/2335256/principal-program-manager-aws-finance-technology,"DESCRIPTIONJoin the team that is evolving how all of Amazon manages headcount! Work across VP organizations to drive adoption of the in-house built headcount management platform while collaborating with HR, Finance, and Business partners to develop and implement best practices.The AWS FinTech team is seeking a bright, self-driven, and collaborative Principal Program Manager to work with business leaders and teams to strategically shape headcount (HC) management, organizational design, and operations at Amazon.Headcount management at a global scale is complex, with multiple systems, mechanisms, and processes that, often do not provide the flexibility that individual teams or organizations require running their businesses. We are building the next gen headcount management system for the future and seeking a highly driven and collaborative program management professional to help us evolve the accompanying processes and mechanisms for effectively managing organization headcount. This will require working across teams that span multiple geographies to design, gain alignment, and execute on scalable HC management and tracking programs, as well as implementing new standards across different organizations within the company. This requires working effectively with global business owners at all levels in Commercial, Digital, and Other Amazon Businesses, Recruiting, Finance, HR, and other Amazon central teams to ensure the efficacy of our programs. This Principal Program Manager is detail-oriented, must have solid analytical skills, demonstrate strong project management skills, and the ability to gather business and technical requirements across teams to drive systems and change management processes. In addition, (s)he will partner with the different stakeholder groups to plan, deliver, test, deploy, and improve business solutions. This PM will need to roll up their sleeves, work independently, and have a high level of ownership, accountability, and interest in working collaboratively. Cross-team coordination, project management, and excellent communication skills are essential!Key job responsibilities•Partner with Amazon business teams to understand use cases, gather requirements, workforce planning and productivity mechanisms that satisfy each org’s custom needs and scale their needs with the business’ growth in volume, complexity, and global geographic dispersion.•Collaborate with program management peers, product/tech teams, and cross-functional customers to drive org adoption of Headcount Management system.•Represent the voice of the customer in developing new features or functionality within the system; prioritize between competing requests, understand and provide input on trade-off decisions, and develop change management strategies for evolving system functionality.•Develop a customer feedback intake and documentation process to monitor the voice of our customers. •Communicate program updates, SOP changes, and overall progress to leaders and cross-functional stakeholders.•Support large scale leadership re-organizations in the system based on business inputs.•Be a trusted advisor to internal customers; consult on HC management best practices and provide guidance on how to maximize usage of the system to provide value for the business.•Identify gaps and lead HC management projects where no single threaded owner is clear; unite various stakeholders to collectively address common pain points.A day in the lifeYou'll work with multiple personalities across Finance, HR, Consumer, Digital and Other Businesses, and Product team to bridge the gap between Tech solutions and the end users of the Headcount management platform. You'll work with leaders around the world to refine how their organizations utilize the platform, which will include leading training, data migration, and consulting on best practices to drive effective platform adoption. Whenever and wherever possible, you'll seek to align to a single source of truth for headcount data and eliminate manual processes and excel trackers, while taking every opportunity to make life easier for your customers."
2,Amazon,"Senior Technical Program Manager, Storage & Memory Technologies"," Bachelor’s degree in Electrical Engineering, Computer Engineering, or related field 6+ years of experience in hardware development 6+ years of experience in storage systems or related field 4+ years of experience with development or qualifications of HDD, SSD or DRAM 4+ years of experience in technical project/program management Experienced in compute and storage server architecture and design for large scale applications. Experienced in delivering products against plan in a fast-paced, multi-disciplined, distributed-responsibility and often ambiguous environment Strong interpersonal and communication skills Strong writing skills",https://www.amazon.jobs/en/jobs/2331199/senior-technical-program-manager-storage-memory-technologies,"DESCRIPTIONAs a Senior Technical Program Manager, you will be leading the technical strategy and program management of AWS Infrastructure projects that will revolutionize industries across the globe. In this role, you will wear many hats. You must possess a unique combination of the hardware and design experience of a software development manager, together with customer and business acumen, and a do-what-it-takes approach to providing whatever is needed to make your program successful. You will need to be a strong leader, able to communicate clearly with conviction at all levels of the company. You don’t just want to be part of an industry movement; you want to be out front leading it. If this sounds like you, we’d like to speak with you. We are pioneering; come join us! We look for people who are capable and passionate in the following areas: Identifying and understanding opportunity, developing requirements, building roadmaps, and executing on business plans.Anticipating bottlenecks, providing escalation management and making trade offs; encouraging risk-taking behavior to maximize business benefit while identifying inter dependencies between concurrent projects to prevent downstream problems.Evangelizing within and outside Amazon to encourage a fast and smooth adoption of products and programs.Program leadership of computer systems, storage systems, storage devices, or related fieldExperience coordinating cross functional teams in both hardware and software engineeringExperience building processes, project management, and release schedules"
3,Amazon,Amazon Robotics - Applied Scientist Co-op (Navigation Technologies) - 2023," Currently enrolled in a PhD in Robotics, Engineering, or another similar field with a graduation date of August 2023 or later Must be eligible and available to work full-time (40 hours per week) in the United States for a 6-month internship 2+ years of relevant academic research or industry experience in developing algorithms and building models Depth and breadth in state-of-the-art approaches for at least one of robotics, Path Planning, computer vision or deep learning Ability to code algorithm prototypes independently and refine in simulation Working knowledge of analysis of algorithms and computational complexity Experience with programming languages such as Java, C++, and Python Experience solving business problems through machine learning, data mining and statistical algorithms Strong written and verbal communication skills Scientific mindset and the ability to invent Drive to see projects through from research concept to working production software Excellent creative problem solving skills Technical fluency; comfort understanding and discussing architectural concepts and algorithms, schedule tradeoffs and new opportunities with technical team members Publications at top-tier peer-reviewed conferences or journals Excellent critical thinking skills, combined with the ability to present your beliefs clearly and compellingly in both verbal and written form. Track record of thought leadership and contributions that have advanced their field A working knowledge of analysis of algorithms and computational complexity in transportation or traffic management systems",https://www.amazon.jobs/en/jobs/2293540/amazon-robotics-applied-scientist-co-op-navigation-technologies-2023,"DESCRIPTIONAre you inspired by invention? Is problem solving through teamwork in your DNA? Do you like the idea of seeing how your work impacts the bigger picture? Answer yes to any of these and you’ll fit right in here at Amazon Robotics. We are a smart team of doers who work passionately to apply cutting edge advances in robotics and software to solve real-world challenges that will transform our customers’ experiences. We invent new improvements every day. We are Amazon Robotics and we will give you the tools and support you need to invent with us in ways that are rewarding, fulfilling, and fun. Amazon Robotics empowers a smarter, faster, more consistent customer experience through automation. Amazon Robotics automates fulfillment center operations using various methods of robotic technology including autonomous mobile robots, sophisticated control software, language perception, power management, computer vision, depth sensing, machine learning, object recognition, and semantic understanding of commands. Amazon Robotics has a dedicated focus on research and development to continuously explore new opportunities to extend its product lines into new areas. Amazon Robotics internship/co-op/full-time opportunities will be based out of the Greater Boston Area in our two state-of-the-art facilities in Westborough, MA and North Reading, MA. Both campuses provide a unique opportunity to have direct access to robotics testing labs and manufacturing facilities.Key job responsibilitiesAs an Applied Scientist Co-op, you will work on projects related to autonomous coordinated path planning and problems in robotic field mapping. You will research the latest Academic literature in coordinated planning, brain storm different approaches with Applied and Research Scientists to solve real-world problems, and translate business and functional requirements into quick prototypes or proofs of concept.As an Applied Scientist Co-op, you will work from concept through to execution. This role will give you the opportunity to build tools and support services needed to analyze data, dive deep to resolve root cause of systems errors and changes, and present findings to business partners to drive improvements.About the teamThe Navigation Technologies team at Amazon Robotics is seeking interns with a passion for robotic research to work on cutting edge algorithms for robotics. Our team works on challenging and high-impact projects, including robotic field mapping, Multi-Agent coordinated planning of large fleets of robots, and complex navigation data services like obstacle detection, congestion detection and route estimations for large and complex Amazon Robotic sites. We are seeking internship candidates with backgrounds in computer vision, machine learning, path planning, simulation, discrete optimization, and robotics. You will be joining Research Scientists, Applied Scientists and software engineers working on challenging problems."
4,Amazon,2023 Applied Science Internship - Natural Language Processing and Speech Technologies - United States," BASIC QUALIFICATIONS• Enrolled in a Master's degree or equivalent in speech or language technologies, computer science, statistics, physics, engineering, or related topics.• Experience in designing experiments and statistical analysis of results.• Experience in understanding and ability to implement algorithms using both toolkits and self-developed code.• Experience with Java, C++, or other programming language, as well as with R, MATLAB, Python, or similar scripting language. PREFERRED QUALIFICATIONS• Enrolled in a Ph.D. degree or equivalent in speech or language technologies, computer science, statistics, physics, engineering, or related topics.• Technical fluency; comfort understanding and discussing architectural concepts and algorithms, schedule tradeoffs and new opportunities with technical team members.• Publication(s) at peer-reviewed conferences or journals.• Excellent critical thinking skills, combined with the ability to present your beliefs clearly and compellingly in both verbal and written form.Amazon has positions available for Natural Language Processing & Speech Intern positions in multiple locations across the United States. Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, visit US Disability AccommodationsThe base pay for this position in Colorado is $119,232. Pay is based on market location and may vary depending on job-related knowledge, skills, and experience. Our range of benefits may include health care, employee discounts, 401(k) savings plans, paid time off, and more. Applicants should apply via Amazon's internal or external careers site.The base pay for this position in New York City is $137,862. Our range of benefits may include health care, employee discounts, 401(k) savings plans, paid time off, and more. This information is provided per the New York City Human Rights Law. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site.The base pay for this position in Jersey City is $137,862. Our range of benefits may include health care, employee discounts, 401(k) savings plans, paid time off, and more. This information is provided per the Pay Transparency Regulation of Jersey City Municipal Code. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site.Pursuant to the Los Angeles and San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",https://www.amazon.jobs/en/jobs/2171934/2023-applied-science-internship-natural-language-processing-and-speech-technologies-united-states,"DESCRIPTIONJob summaryDo you have a strong machine learning background and want to help build new speech and language technology? Amazon is looking for Master's students who are ready to tackle some of the most interesting research problems on the leading edge of natural language processing. We are hiring in all areas of spoken language understanding: NLP, NLU, ASR, text-to-speech (TTS), and more!A successful candidate will be a self-starter comfortable with ambiguity, strong attention to detail, and the ability to work in a fast-paced, ever-changing environment. As an Applied Science Intern, you will develop and implement novel scalable algorithms and modeling techniques to advance the state-of-the-art in technology areas at the intersection of ML, NLP, search, and deep learning. You will work side-by-side with global experts in speech and language to solve challenging groundbreaking research problems on production scale data. The ideal candidate must have the ability to work with diverse groups of people and cross-functional teams to solve complex business problems. Amazon fundamentally believes that scientific innovation is essential to being the most customer-centric company in the world. Please visit our website to stay updated with the research our teams are working on: https://www.amazon.science/research-areas/conversational-ai-natural-language-processing"
5,Amazon,2023 Applied Science Internship - Natural Language Processing and Speech Technologies - United States," BASIC QUALIFICATIONS• Enrolled in a Ph.D. degree or equivalent in speech or language technologies, computer science, statistics, physics, engineering, or related topics.• Experience in designing experiments and statistical analysis of results.• Experience in understanding and ability to implement algorithms using both toolkits and self-developed code.• Experience with Java, C++, or other programming language, as well as with R, MATLAB, Python, or similar scripting language. PREFERRED QUALIFICATIONS• Technical fluency; comfort understanding and discussing architectural concepts and algorithms, schedule tradeoffs and new opportunities with technical team members.• Publication(s) at peer-reviewed conferences or journals.• Excellent critical thinking skills, combined with the ability to present your beliefs clearly and compellingly in both verbal and written form.Amazon has positions available for Natural Language Processing and Speech Technology Internships in multiple locations across the United States. Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, visit US Disability AccommodationsThe base pay for this position in Colorado is $126,684. Pay is based on market location and may vary depending on job-related knowledge, skills, and experience. Our range of benefits may include health care, employee discounts, 401(k) savings plans, paid time off, and more. Applicants should apply via Amazon's internal or external careers site.The base pay for this position in New York City is $146,478. Our range of benefits may include health care, employee discounts, 401(k) savings plans, paid time off, and more. This information is provided per the New York City Human Rights Law. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site.The base pay for this position in Jersey City is $146,478. Our range of benefits may include health care, employee discounts, 401(k) savings plans, paid time off, and more. This information is provided per the Pay Transparency Regulation of Jersey City Municipal Code. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site.Pursuant to the Los Angeles and San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",https://www.amazon.jobs/en/jobs/2156175/2023-applied-science-internship-natural-language-processing-and-speech-technologies-united-states,"DESCRIPTIONJob summaryDo you have a strong machine learning background and want to help build new speech and language technology? Amazon is looking for PhD students who are ready to tackle some of the most interesting research problems on the leading edge of natural language processing. We are hiring in all areas of spoken language understanding: NLP, NLU, ASR, text-to-speech (TTS), and more!A successful candidate will be a self-starter comfortable with ambiguity, strong attention to detail, and the ability to work in a fast-paced, ever-changing environment. As an Applied Science Intern, you will develop and implement novel scalable algorithms and modeling techniques to advance the state-of-the-art in technology areas at the intersection of ML, NLP, search, and deep learning. You will work side-by-side with global experts in speech and language to solve challenging groundbreaking research problems on production scale data. The ideal candidate must have the ability to work with diverse groups of people and cross-functional teams to solve complex business problems. Amazon has positions available for Natural Language Processing & Speech Intern positions in multiple locations across the United States. Amazon fundamentally believes that scientific innovation is essential to being the most customer-centric company in the world. Please visit our website to stay updated with the research our teams are working on: https://www.amazon.science/research-areas/conversational-ai-natural-language-processing "
6,Amazon,"Amazon Robotics - Technical Program Manager Co-op - Spring 2023, Robotics Storage Technology (RST)"," Currently enrolled in a Bachelor’s degree (or above) in Engineering, Computer Science, or a related field Must graduate after September 2023 Must be eligible and available for a full-time (40 hours per week) co-op between January and June 2023 Experience with developing Gantt Charts and identify project critical paths Experience developing and executing against project schedules Experience communicating with technical and non-technical individuals Previous relevant internship or co-op experience Working towards Master’s (or above) degree in Engineering, Finance, or Business Direct Program or Project Management, or Technical Project Lead experience Ability to estimate project cost and return on investment Proficiency with MS Project, Asana, Jira, or similar project management tools Experience identifying, managing, and mitigating project risks Understanding of warehouse fulfillment operations, sortation and transportation logistics Experience in Robotics",https://www.amazon.jobs/en/jobs/2282541/amazon-robotics-technical-program-manager-co-op-spring-2023-robotics-storage-technology-rst,"DESCRIPTIONJob summaryAre you inspired by invention? Is problem solving through teamwork in your DNA? Do you like the idea of seeing how your work impacts the bigger picture? Answer yes to any of these and you’ll fit right in here at Amazon Robotics. We are a smart team of doers who work passionately to apply cutting edge advances in robotics and software to solve real-world challenges that will transform our customers’ experiences. We invent new improvements every day. We are Amazon Robotics and we will give you the tools and support you need to invent with us in ways that are rewarding, fulfilling, and fun. Amazon Robotics empowers a smarter, faster, more consistent customer experience through automation. Amazon Robotics automates fulfillment center operations using various methods of robotic technology including autonomous mobile robots, sophisticated control software, language perception, power management, computer vision, depth sensing, machine learning, object recognition, and semantic understanding of commands. Amazon Robotics has a dedicated focus on research and development to continuously explore new opportunities to extend its product lines into new areas. Amazon Robotics internship/co-op/full-time opportunities will be based out of the Greater Boston Area in our two state-of-the-art facilities in Westborough, MA and North Reading, MA. Both campuses provide a unique opportunity to have direct access to robotics testing labs and manufacturing facilities.Amazon Robotics is seeking a talented and motivated Technical Program Manager (TPM) Co-op who will be part of the Robotics Storage Product team focused on next generation robotic system design, as well as supporting the existing fleet of robotic and automation technology. The TPM Co-op will manage the full project lifecycle of innovative programs aimed at improving the efficiency and lowering the cost of Amazon’s next-generation Fulfillment Centers, Sortation Centers, Air Hubs, and Air Gateways. This position is responsible for the planning and execution of NPI and Sustaining programs while serving as liaison between Hardware Engineering, Systems Engineering, Software Engineering, Deployment Engineering, Solutions, Manufacturing and Supply Chain, Customer Support, and the Program Office. If you are a Technical Project Manager, Technical Program Manager, or Engineer looking to grow your skills in project and program management, with strong problem-solving skills, excellent communication skills, an ability to influence business and technical leaders in a dynamic environment with the desire to contribute to Amazon's next generation fulfillment technology, we want to talk with you. Joining our team provides the unique challenge and opportunity to build systems that benefit millions of customers and support sellers spanning the globe. The ideal candidate will draw upon exemplary program and project management, critical thinking, and problem solving skills, and a passion for creating reliable and maintainable systems. The candidate should be open to new challenges, strong at multi-tasking, innovative, creative, self-directed and a great team player. Candidate should drive continuous process improvement, and collaborate effectively with cross-functional operational and development teams to solve problems and implement new solutions.Key job responsibilitiesLead the effective and efficient delivery of Hardware projects, working closely with mechanical, electrical and embedded systems teamsInteract with Deployment Engineering, Manufacturing, Global Support Services, and other key stakeholders to define and deliver to project goals to improve performance, reduce cost, and reduce installation cycle timeDrive consensus on technical decisions and ensure the appropriate resources are employed to deliver high quality resultsIdentify, assess, track and mitigate issues and risks at the project levelCreate, maintain and disseminate project information to stakeholdersDrive effective teamwork, communication, collaboration and commitment across multiple disparate groups with competing prioritiesDevelop and drive hardware project schedulesDrive programs across all HW disciplines including Mechanical, Electrical, Firmware, Safety, Regulatory, HW Test EngineeringPartner with groups external to Hardware Engineering to successfully deliver on project goalsAbout the teamRobotics Storage Technology (RST) is a cross-functional organization chartered to design and deliver Amazon Robotics products for inventory storage and retrieval. We are composed of Analytics, Hardware, Software, Solutions, Product Management, and Program Management teams focused on existing and future technologies used by Amazon’s Global Customer and Global Specialty Fulfillment. The Product and Program team within RST works across technical teams in Industrial Design, Hardware Engineering, and Program/Product Management, as well as downstream execution teams such as Supply Chain, Operations, Finance, and Deployment Engineering to implement efficient collaboration and scaling mechanisms and support Amazon Robotics growth."
7,Amazon,"Amazon Robotics - Process Engineer Co-op - Fall 2023, Manufacturing Innovation and New Technology"," BASIC QUALIFICATIONS* Currently pursuing a Bachelor's or advanced degree in Industrial Engineering, Mechanical Engineering or related education* May 2024 graduation date or later* Currently enrolled in College/University and must have at least one semester/term/quarter of school left to complete after the end of the co-op* Must be eligible and available for a full-time (40h / week) 6-month co-op from July to December 2023* Knowledge of different process innovation methodologies and their practical application* Experience with MS Office, Visio, Excel PREFERRED QUALIFICATIONS* Enthusiasm, idealism, creativity and dedication to getting results* Ability to work collaboratively and without direct reporting authority; must be a team player* Ability to interact and communicate effectively with both technical and business staff* Excellent written, speaking and interpersonal skills* Experience with creating process modelsAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",https://www.amazon.jobs/en/jobs/2332139/amazon-robotics-process-engineer-co-op-fall-2023-manufacturing-innovation-and-new-technology,"DESCRIPTIONAre you inspired by invention? Is problem solving through teamwork in your DNA? Do you like the idea of seeing how your work impacts the bigger picture? Answer yes to any of these and you’ll fit right in here at Amazon Robotics. We are a smart team of doers who work passionately to apply cutting edge advances in robotics and software to solve real-world challenges that will transform our customers’ experiences. We invent new improvements every day. We are Amazon Robotics and we will give you the tools and support you need to invent with us in ways that are rewarding, fulfilling, and fun. Amazon Robotics empowers a smarter, faster, more consistent customer experience through automation. Amazon Robotics automates fulfillment center operations using various methods of robotic technology including autonomous mobile robots, sophisticated control software, language perception, power management, computer vision, depth sensing, machine learning, object recognition, and semantic understanding of commands. Amazon Robotics has a dedicated focus on research and development to continuously explore new opportunities to extend its product lines into new areas. This role is a 6 month co op to join AR full time (40 hours/week) from July to December 2023. Amazon Robotics Co-op opportunities will be based out of the Greater Boston Area in our two state-of-the-art facilities in Westborough, MA and North Reading, MA. Both campuses provide a unique opportunity to have direct access to robotics testing labs and manufacturing facilities.Key job responsibilitiesThe Process Engineer Co-op will be responsible for:* Manufacturing process optimization projects involving data collection, cycle time studies, root-cause / problem-solving initiatives, and creation of training modules* Create business process models using best practice techniques, including current and future state solution design documents using requirements gathered* Gather, analyze and document functional / technical requirements for new projects, enhancements to existing solutions and production issues reported by end users* Research production system issues, resolve user problems and escalate when necessary (Manufacturing Engineering Support)* Conduct periodic project updates and review sessions with cross-functional team members* Support supplier improvement initiatives* Document Manufacturing / Tech OPs-specific process and project activities that support our content and knowledge management initiatives* Participate in Lean Initiatives including but not limited to 5S performance auditing, Kaizen Event sessionsAbout the teamThe Process Engineering Team is responsible for continuous improvement in the manufacturing areas focusing on safety, delivery, quality and cost. The team also works with other internal and external Amazon engineering departments helping develop manufacturing solutions for new products."
8,Amazon,"Amazon Robotics - Process Engineer Co-op - Fall 2023, Manufacturing Innovation and New Technology"," BASIC QUALIFICATIONS* Currently pursuing a Bachelor's or advanced degree in Industrial Engineering, Mechanical Engineering or related education * May 2024 graduation date or later * Currently enrolled in College/University and must have at least one semester/term/quarter of school left to complete after the end of the co-op * Must be eligible and available for a full-time (40h / week) 6-month co-op from July to December 2023 * Knowledge of different process innovation methodologies and their practical application * Experience with MS Office, Visio, Excel PREFERRED QUALIFICATIONS* Enthusiasm, idealism, creativity and dedication to getting results* Ability to work collaboratively and without direct reporting authority; must be a team player* Ability to interact and communicate effectively with both technical and business staff* Excellent written, speaking and interpersonal skills* Experience with creating process modelsAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",https://www.amazon.jobs/en/jobs/2332156/amazon-robotics-process-engineer-co-op-fall-2023-manufacturing-innovation-and-new-technology,"DESCRIPTIONAre you inspired by invention? Is problem solving through teamwork in your DNA? Do you like the idea of seeing how your work impacts the bigger picture? Answer yes to any of these and you’ll fit right in here at Amazon Robotics. We are a smart team of doers who work passionately to apply cutting edge advances in robotics and software to solve real-world challenges that will transform our customers’ experiences. We invent new improvements every day. We are Amazon Robotics and we will give you the tools and support you need to invent with us in ways that are rewarding, fulfilling, and fun. Amazon Robotics empowers a smarter, faster, more consistent customer experience through automation. Amazon Robotics automates fulfillment center operations using various methods of robotic technology including autonomous mobile robots, sophisticated control software, language perception, power management, computer vision, depth sensing, machine learning, object recognition, and semantic understanding of commands. Amazon Robotics has a dedicated focus on research and development to continuously explore new opportunities to extend its product lines into new areas. This role is a 6 month co op to join AR full time (40 hours/week) from July to December 2023. Amazon Robotics Co-op opportunities will be based out of the Greater Boston Area in our two state-of-the-art facilities in Westborough, MA and North Reading, MA. Both campuses provide a unique opportunity to have direct access to robotics testing labs and manufacturing facilities.Key job responsibilitiesThe Process Engineer Co-op will be responsible for:* Manufacturing process optimization projects involving data collection, cycle time studies, root-cause / problem-solving initiatives, and creation of training modules* Create business process models using best practice techniques, including current and future state solution design documents using requirements gathered* Gather, analyze and document functional / technical requirements for new projects, enhancements to existing solutions and production issues reported by end users* Research production system issues, resolve user problems and escalate when necessary (Manufacturing Engineering Support)* Conduct periodic project updates and review sessions with cross-functional team members* Support supplier improvement initiatives* Document Manufacturing / Tech OPs-specific process and project activities that support our content and knowledge management initiatives* Participate in Lean Initiatives including but not limited to 5S performance auditing, Kaizen Event sessionsAbout the teamThe Process Engineering Team is responsible for continuous improvement in the manufacturing areas focusing on safety, delivery, quality and cost. The team also works with other internal and external Amazon engineering departments helping develop manufacturing solutions for new products."
9,Amazon,"Director, Applied Science - PXTCS, PXT Central Science "," BASIC QUALIFICATIONS• Advanced degree (e.g., M.S. or PhD) in computer science, statistics, engineering, mathematics or relevant discipline.• Experienced leader of leaders, with 10+ years of experience managing multiple science and/or engineering teams.• 10+ years of experience building and applying ML models to solve complex problems for large-scale applications.• Experience with leadership of experienced scientists as well as a record of developing junior members from academia/industry to a career track in a business environment.• Familiar with programming languages such as C/C++, Java, Perl or Python.• Combination of deep technical skills and business savvy enough to interface with all levels and disciplines within our customer’s organization.• Excellent verbal and written communication skills with the ability to effectively advocate technical solutions to research scientists, engineering teams and business audiences.• 8+ years of people management experience. PREFERRED QUALIFICATIONS• Ability to work in a fast-paced business environment.• Experience implementing algorithms, tailored to particular business needs and tested on large data sets.• Strong research track record.• Practical experience developing large-scale decision support tools based on optimization technology for planning and execution support.• Experience working on recommender systems or personalization within e-commerce, advertising, or other related fields. Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",https://www.amazon.jobs/en/jobs/2302700/director-applied-science-pxtcs-pxt-central-science,"DESCRIPTIONThe Central Science Team within Amazon’s People Experience and Technology org (PXTCS) uses economics, behavioral science, statistics, and machine learning to proactively identify mechanisms and process improvements which simultaneously improve Amazon and the lives, well-being, and the value of work to Amazonians. We are an interdisciplinary team, which combines the talents of science and engineering to develop and deliver solutions that measurably achieve this goal. As Director for PXT Central Science Technology, you will be responsible for leading multiple teams through rapidly evolving complex demands and define, develop, deliver and execute on our science roadmap and vision. You will provide thought leadership to scientists and engineers to invent and implement scalable machine learning recommendations and data driven algorithms supporting flexible UI frameworks. You will manage and be responsible for delivering some of our most strategic technical initiatives. You will design, develop and operate new, highly scalable software systems that support Amazon’s efforts to be Earth’s Best Employer and have a significant impact on Amazon’s commitment to our employees and communities where we both serve and employ 1.3 million Amazonians. As Director of Applied Science, you will be part of the larger technical leadership community at Amazon. This community forms the backbone of the company, plays a critical role in the broad business planning, works closely with senior executives to develop business targets and resource requirements, influences our long-term technical and business strategy, helps hire and develop engineering leaders and developers, and ultimately enables us to deliver engineering innovations.This role is posted for Arlington, VA, but we are flexible on location at many of our offices in the US and Canada."
