,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,Deloitte, Ariba Implementation Manager ,"Minimum 5 years’ relevant SAP consulting or industry experienceAbility to obtain and maintain the required security clearanceHands-on functional configuration, design & implementation experienceSAP modules across sourcing, contracts, risk management, buying and invoicingAbility to travel up to 25% on average, based on the work you do and the clients and industries/sectors you serve Greenfield implementation experienceTechnical or functional lead through a full-lifecycle SAP implementationDemonstrated ability to lead discussions with Clients, SAP, SAP Partners, Developers, and Architects",https://apply.deloitte.com/careers/JobDetail/Ariba-Implementation-Manager/117927,"Deliver complex projects in a fast-paced, team environmentLead and assist Customer and Sales Operations pursuits and practice development initiativesPromote and participate in forums for sharing expertise, strengthening Deloitte’s collective knowledge, and helping resolve our clients’ challengesCollaborate on innovative solutions to bolster the future of the practiceDevelop your knowledge of and gain project experience in SAP’s newest and future solutions"
1,Deloitte, Auditing/ Accounting Expert with TS/SCI Polygraph ," At Deloitte, ethics and integrity are fundamental and not negotiable. We are against corruption and neither offer bribes nor accept them, nor induce or permit any other party to make or receive bribes on our behalf. We have not authorized any party or person to collect any money from jobseekers in any form whatsoever for promises of getting jobs in Deloitte. We consider candidates on merit and that we provide an equal opportunity to eligible applicants. No one other than designated Deloitte personnel (e.g., a Deloitte recruiter or Deloitte hiring partner) is permitted to extend any job offer from Deloitte. About Deloitte Terms of use Privacy Privacy shield Do not sell my personal information Cookies Legal information for job seekers Labor condition applications ",https://apply.deloitte.com/careers/JobDetail/Auditing-Accounting-Expert-with-TS-SCI-Polygraph/138937," At Deloitte, ethics and integrity are fundamental and not negotiable. We are against corruption and neither offer bribes nor accept them, nor induce or permit any other party to make or receive bribes on our behalf. We have not authorized any party or person to collect any money from jobseekers in any form whatsoever for promises of getting jobs in Deloitte. We consider candidates on merit and that we provide an equal opportunity to eligible applicants. No one other than designated Deloitte personnel (e.g., a Deloitte recruiter or Deloitte hiring partner) is permitted to extend any job offer from Deloitte. "
2,Deloitte, SAP ERP Business Office Support ," Bachelor’s degree required Ability to travel 1 week out of every month to Albany, GA Experience with SAP MM Inventory Management (IM) Experience with SAP MM Purchasing (PUR) Experience with SAP Inventory Valuation Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future Must be able to obtain and maintain the required Secret level clearance for this role Strong verbal and written communication skills ",https://apply.deloitte.com/careers/JobDetail/SAP-ERP-Business-Office-Support/116446," The clients business office is responsible for providing business and technical support to users of the Enterprise Resource Planning (ERP) system The analyst fulfilling this position will support the client's depot maintenance activity group as a part of their efforts to migrate to and stabilize use of the ERP System. The analyst will provide SAP technical support for the client's acquisition/procurement processes; specifically outgoing funding documents and contracting The analyst works directly with client's government personnel, ERP end-users, and business process owners to analyze and troubleshoot ERP system issues The analyst provides sustainment and end-user support as well as technical guidance for the creation and maintenance of ERP purchase requisitions, purchase orders, goods receipts, service entry sheets, and invoices as they relate to acquisition/procurement business processesAnalyze, resolve, and track end-user issues and problems as they relate to the clients ERP outgoing funding documents Analyze, resolve, and track end-user issues and problems as they relate to the clients ERP contracting procurement Gather and analyze ERP data to answer data requests Create local vendors to support procurements Develop recommendations and alternatives to potential solutions to limit impacts Assess business process recurring errors and locate root causes Analyze and resolve the clients ERP problems and issues and work with the business office and the clients ERP Sustainment teams to resolve HEAT tickets Perform analysis of changes and solutions being made to the clients ERP to develop testing methodologies and plans for the outgoing funding document, contracting and workflow processes Execute outgoing funding document, contracting and workflow testing to ensure changes and solutions perform as documented and do not inversely impact the client’s business processes Assist in gathering and compiling inputs for proposed system and business process changes "
3,Deloitte, Cloud Native Engineer ," Bachelor’s degree Must be able to obtain and maintain required clearance for this role 2+ years of experience using CI/CD tools for automation Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future 2+ years of software development or testing experience within an Agile environment 2+ years of knowledge and experience with container management tools (Docker, Openshift), Container orchestration (Kubernetes), Infrastructure-as-code IaaS (Ansible, CloudFormation). 2+ years with modern build experience tools (Maven) and cloud integration systems (Jenkins) 3+ years of experience with object-oriented programming (Java) and familiarity with source control system (Git) 2+ years of experience with static code analysis, unit testing and test-driven development, security testing and automated test frameworks. Certifications one or more: Google - Professional Data Engineer; AWS - Developer - Associate; Azure - MCSA: Cloud Platform (Development Focus)",https://apply.deloitte.com/careers/JobDetail/Cloud-Native-Engineer/72932," Working closely with developer teams to create an automated CI/CD pipeline Implementing build, deployment and monitoring standards for the client Delivering end-to-end automation of deployment, monitoring and infrastructure management in a cloud environment Creating scripts and/or templates to automate and/or bootstrap infrastructure provisioning and management tasks Building and configuring delivery environments supporting CI/CD tools using an Agile delivery methodology Providing knowledge of container management tools (e.g. Docker, OpenShift), container orchestration (e.g. Kubernetes), infrastructure-as-code (e.g. Ansible, CloudFormation), and have familiarity with modern build experience tools (e.g. Maven) and cloud integration systems (e.g. Jenkins) Understand static code analysis, unit testing and test-driven development, security testing and automated test frameworks Understand object-oriented programming (i.e. emphasis in Java) and have familiarity with source control systems (emphasis on Git) "
4,Deloitte, Cloud Native Engineer ," Bachelor’s degree Must be able to obtain and maintain required clearance for this role 2+ years of experience using CI/CD tools for automation Must be legally authorized to work in the United States without the need for future sponsorship 2+ years of software development or testing experience within an Agile environment2+ years of knowledge and experience with container management tools (Docker, Openshift), Container orchestration (Kubernetes), Infrastructure-as-code IaaS (Ansible, CloudFormation). 2+ years with modern build experience tools (Maven) and cloud integration systems (Jenkins) 3+ years of experience with object-oriented programming (Java) and familiarity with source control system (Git) 2+ years of experience with static code analysis, unit testing and test-driven development, security testing and automated test frameworks. Certifications one or more: Google - Professional Data Engineer; AWS - Developer - Associate; Azure - MCSA: Cloud Platform (Development Focus) ",https://apply.deloitte.com/careers/JobDetail/Cloud-Native-Engineer/72370,
5,Deloitte, eServices/Web Services Design Manager ,Bachelor’s Degree or higher Eight or more years’ experience in consulting and/or start- ups and/or digital agency environment,https://apply.deloitte.com/careers/JobDetail/eServices-Web-Services-Design-Manager/103495,
6,Deloitte, Splunk Engineer - Secret Cleared ," Bachelor’s degree and 4+ years of relevant experience Active Secret Security clearance required Must have 8570 requirements required for the position category or specialty and level (IAT Level II and CSSP Infrastructure Support (e.g. CEH, CySA+, SSCP)Proficient in Linux systems and hardening of Linux systemsExperience with Splunk performing systems administration, including performing installation, configuration, monitoring system performance and availability, upgrades, and troubleshootingProficient at data on-boarding activities including routing, parsing, and normalizing events to the Splunk Common Information Model (CIM) from multiple datapoints including everything from IT services, OT/ICS services, and external sources for analytic capabilitiesExperience working closely with other teams and business stakeholders to gather requirements, perform troubleshooting, and aid with the creation of Splunk search queries and dashboardsProficient in advanced searching, dashboard, and visualizationsExcellent verbal and written communication skills, detail oriented, and ability to work as an individual contributor and with a team; ability to work closely with leadership Prior professional services or federal consulting experienceExperience in writing complex Splunk searches correlating multiple data sources by using techniques such as looping and regex Splunk certification preferred ",https://apply.deloitte.com/careers/JobDetail/Splunk-Engineer-Secret-Cleared/131754,"Stand up and operate a Splunk instance to provide analytics for analysts within a SOC as a Service for the clientWork closely with other workstreams to include OT SMEs, Infrastructure Team, Analytics Team, etc. to determine best way to provide efficient and logical workflow for analysts and leadership within Splunk to include queries, dashboards, quick looks for reporting etc.Initial engineering and architecture in onboarding new data sources into Splunk, analyze data for any anomalies and trends, and build dashboards highlighting key trends by working with analysts and managementOnboard data using Splunk add-ons for Windows, Linux, OT/ICS, and common third-party devices and applications and working knowledge of Splunk for Security Operations Center (SOC)Develop log ingestion and aggregation strategies per Splunk best practicesDevelop solutions for profiling, monitoring, reporting, and testing on the platform"
7,Deloitte, SOC Procedure Support Analyst - Secret cleared ,"Bachelors degree and 2+ years of experience with workflow management, analytic capabilities, Security Information Event Management (SIEM), SOC disciplines, and vulnerability tools (Splunk, ServiceNow, VirusTotal, RiskIQ)Active Secret security clearanceMust have 8570 requirements required for the position category or specialty and level (i.e. CEH, CFR, CCNA Cyber Ops, CCNA-Security, CySA+, GCIA, GCIH, GICSP, Cloud+, SCYBER, PenTest+).Familiarity with malware and attack techniquesUnderstanding of Information Technology vs Operational Technology security challengesInterest or working knowledge of Operational Technology/Industrial Control System (OT/ICS)Ability to handle multiple competing priorities in a fast-paced and high-pressure environmentAbility to recognize potential, successful, and unsuccessful attempts to exfiltrate data/intrusion attempts and compromises through reviews of available logging and relevant event detail and summary informationExcellent communication and writing skills, detail oriented, and ability to work as an individual contributor and with a team Advanced knowledge in incident response, vulnerability management, analytics, reconnaissance, security intelligence, automation/scripting experience or know how to troubleshoot existing scripts with little guidance Experience assisting in standing up a SOC and help building out procedures for SOC day to day workAdvanced knowledge of network traffic monitoring for security events to perform triage analysis and identify security incidents while knowing when to escalate based on escalation criteriaPrior professional services or federal consulting experience ",https://apply.deloitte.com/careers/JobDetail/SOC-Procedure-Support-Analyst-Secret-cleared/131869,"Analyze technical solutions to help clients identify and evaluate security gaps in industrial control systems (ICS) and Operational Technology (OT)Assist in the implementation and projects from initiation to completion alongside the SOC Requirements Lead and SOC ManagerAssist in building the SOC and later provide analyst support once stood upWork closely with other workstreams to include OT SMEs, Infrastructure Team, Analytics Team, etc. to determine monitoring solutions, performance thresholds, visualization capabilitiesWork with our Infrastructure Team and SIEM, SOAR, Workflow SMEs to analyze these solutionsRespond to OT/ICS security incidents and escalations by collecting and analyzing data, while gathering digital evidence to ensure incidents are handled within the scope of the playbooks and standard operating proceduresActively monitor multiple data points and SIEM to identify potential security issues for remediation, triage activities, and escalation to team lead and continued work with relevant case managersAssist in creating and providing updates to the standard operating procedures, playbooks, and other similar documentation for continuous improvement of security operations and efficienciesActively review closed cases, open cases, and threat intelligence to make recommendations for preventative controls to reduce threats to an environment "
8,Deloitte, ITSM Engineer - Secret cleared ," Bachelor’s degree and 4+ years of relevant experience Active Secret Security clearance required Must have 8570 requirements required for the position category or specialty and level (i.e Security+ and Operating Environment certification)Technically savvy with ServiceNow’s operation solutions and building out workflowsProficient in underlying operating systems and hardening of them through DoD requirementsIn-depth understanding of ITSM platformsHands on experience of building a ServiceNow instance and building out ServiceNow workflows for granular capabilities preferably within a SOC environmentAbility to handle multiple competing priorities in a fast-paced and high-pressure environmentExcellent verbal and written communication skills, detail oriented, and ability to work as an individual contributor and with a team Experience and familiarity with workflow management, analytic capabilities, Security Information Event Management (SIEM), and vulnerability tools (Splunk, ServiceNow, VirusTotal, RiskIQ) and integrating within ServiceNow Prior professional services or federal consulting experience ServiceNow Certification ",https://apply.deloitte.com/careers/JobDetail/ITSM-Engineer-Secret-cleared/131851,
9,Deloitte, Lead Security Specialist AFSO ,"Active Top-Secret clearance. Be able to obtain/maintain Top Secret/SCI clearance, as required.Completion of FSO Program Management for Possessing (Preferred) Facilities or completion within twelve months from start date.Knowledge and experience of utilizing the Defense Information System for Security (DISS), National Industrial Security System (NISS) and Army Centralized Contract and Security (ACCS) databases.Experience in the Industrial Security field to include physical security, personnel security, operations security, Insider Threat, Incident management, NATO, COMSEC, Courier, classified document control and onsite classified meeting support.Experienced in working in a classified environment while managing all aspects of the classified areas (i.e.: access, alarms, emergencies, incidents, auditing, reports, and many other security related items).Experience establishing facility clearances and getting classified areas certified by DCSA.Familiarity with the drafting, coordinating, and processing of prime/sub DD254s.Bachelor's degree from an accredited institution is preferred. Associate degree coupled with work experience may be accepted in lieu of a degree.Proficiency in the use of M.S. Office products, SharePoint, Personnel Security Management databases. Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future",https://apply.deloitte.com/careers/JobDetail/Lead-Security-Specialist-AFSO/139599,
