,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,Fox News,"
            Broadcast Production Engineer (R50016017)
        ","Bachelor’s Degree in electrical engineering, computer science or equivalent major, and/or equivalent work experience5+ years of broadcast production and live television experienceExperience with file-based workflows and knowledge of enterprise Media Asset Management systems (e.g. Dalet)Experience with Linux variants including Red Hat, CentOS, and UbuntuExperience in the use of manual and electric mechanical toolsVersed in SMPTE standards for broadcast television and video production environments. Examples include ST 292M, ST 424M, ST 2110, ST 2059, IEE1588, ST 2022-7, SCTE-104, etc.Strong technical ability to troubleshoot and repair broadcast equipment including routers, switchers, audio boards, signal processors, video scalers, playback systems, etc.Ability to troubleshoot audio/video signals in traditional SDI and IP ST 2110 essence flow routing environmentsUnderstanding of studio and set technologies including video walls, cameras, VR set technologies, image processing systems, touch screens, and lightingKnowledge of multi-viewer systems and their interfaces to tally and UMD dataFundamental understanding of production control automation (e.g. Ross Overdrive) and Newsroom Computer System (NRCS) workflowsWorking knowledge of MS Windows workstation and server platformsBasic knowledge of AWS Infrastructures including S3/Glacier storage and cloud compute (EC2) servicesDemonstrated working knowledge of IT / networking theory, topology, and best practicesAbility to troubleshoot and replace computer hardware components and proprietary broadcast equipmentAbility to interpret technical documentation standards including AutoCAD, Visio, and Lucid ChartsAbility to handle multiple tasks and projects simultaneously, work independently and as part of a team in a collaborative mannerAbility to work a flexible schedule based on the needs of a live production environment, including overtime as requiredAbility to remove, lift and replace equipment in racks as warrantedStrong skills in the areas of root cause analysis, organization, and escalation to subject matter expertsExcellent verbal and written communication skills and the ability to frame issues clearlyStrong desire to learn, cross-train, and a passion to maintain current knowledge of relevant and emerging technologiesStrong team environment with a diversity of knowledge and technologies",https://www.foxcareers.com/Search/JobDetail/R50016017/broadcast-production-engineer-fox-news-media,"Fox News is looking for a Broadcast Production Engineer to be responsible in providing support and maintenance to our large infrastructure of media and broadcast systems, in a 24/7 live news environment. As part of the Production Engineering team within the Broadcast and Media Technology group, you will work with multiple engineering teams, in addition to the IT group and helpdesk, broadcast production and technical operations personnel, and network operations group. You have a passion for broadcast engineering/IT and are comfortable with current media technologies, concepts, and emerging trends (i.e. Media over IP, Cloud Computing, etc.)."
1,Fox News,"
            Analyst, Digital Yield Management (R50021133)
        ",0-2 years of experienceStrong Excel and PowerPoint skillsStrong analytical and problem-solving skillsExcellent communication skillsAbility to multi-task and prioritizeMust be available for immediate employment,https://www.foxcareers.com/Search/JobDetail/R50021133/analyst-digital-yield-management-fox-corporation,"The Analyst, Digital Yield Management plays an integral role in the maximization of FOX Corp. digital advertising revenue and inventory utilization across all distribution endpoints. In this role, the Analyst, Digital Yield Management will function as a key execution point within the Yield Management team and the Sales org. for all issues around inventory management, forecasting and campaign approvals."
2,Fox News,"
            Assistant, Distribution Sales (R50021494)
        ","Prior internship/experience in the media industryProficiency in Microsoft Word, Excel, Outlook, and PowerPointExcellent written and verbal communication skills required.Attention to detail with solid organizational and follow-up skills are imperative.Must be a self-starter with the ability to take initiative and handle multiple tasks simultaneously.Must be able to independently prioritize work and meet deadlines.Must be able to interact professionally with senior level executives.Minimal travel as required.",https://www.foxcareers.com/Search/JobDetail/R50021494/assistant-distribution-sales-fox-corporation,"We have a great opportunity for an Assistant, Distribution Sales!!! In this exciting position, the Assistant, Distribution Sales will manage administrative functions, and provide support services for the Senior Regional Vice President Distribution and the Director of Distribution. The Assistant, Distribution Sales will handle general administration, calendar management, travel arrangements, processing of expense reports, fulfillment of ticket requests, submission of contract request forms, completion of network launch/billing paperwork, tracking of compliance initiatives, and assisting with special projects as needed."
3,Fox News,"
            Assistant, Broadcast Distribution and Marketing (R50021534)
        ","Strong Internship or entry level business experience, preferably in media or network televisionStrong computer skills: Excel, Word, Outlook, PowerPointExcellent written and verbal communication skillsSuperior skills in grammar, editing, and proofingMust be a self-starterAbility to thrive in a team environmentAbility to manage time and prioritiesStrong organizational skillsMinimal travel necessary",https://www.foxcareers.com/Search/JobDetail/R50021534/assistant-broadcast-distribution-and-marketing-fox-corporation,"We have great opportunity for an Assistant, Broadcast Distribution and Marketing!!! In this role, the Assistant, Broadcast Distribution and Marketing will support a Vice President and a Director in the Broadcast Distribution & Marketing Department for the Fox Network and MyNetworkTV. The Assistant, Broadcast Distribution and Marketing supports both executives with administrative support for 50 - 75 local broadcast television stations as well as a multitude of services to the department including interacting with program directors at FOX Affiliate Stations, assisting with the Expedite Communication System (E-Alert) management and distribution of alerts, Internal Database Tracking System updates, managing Local Station Preemptions (including FOX Entertainment, FOX Sports, FOX News, and Weekend Marketplace programming), Affiliate Portal updates, some operational support relating to FOX TV Everywhere and FOX OTT platforms, and other day-to-day support as needed."
4,Fox News,"
            Manager, Revenue Management & Strategy (R50021550)
        ","3-5 Years Experience in Media or AnalyticsExperience working with data sets to answer business questionsAbility to self-start work and comfortability with ambiguityExperience with database queries (e.g., Dremel and SQL-like language)Effective spreadsheets skillsA highly organized “doer” with an exceptional ability to multitask, who will take initiative and execute",https://www.foxcareers.com/Search/JobDetail/R50021550/manager-revenue-management-strategy-fox-corporation,"Fox Ad Sales is looking for a Manager, Ad Sales Revenue Management & Strategy to join their team in New York, NY. As the Manager, Ad Sales Revenue Management & Strategy, you will support Ad Sales through in-depth analysis, reporting and forecasting to optimize price. You will provide strategies focused on increasing revenue by maximizing both short and long-term sales opportunities. You will continually re-evaluate prices, capacity, and processes to adjust strategies and tactics dynamically with the market. Additionally, you will combine insights, data mining and research to provide marketplace overview that highlights risks and opportunities. "
5,Fox News,"
            CRM Manager (R50021630)
                Remote
","5+ years working in digital marketing CRM or customer segmentationExperience with Braze enterprise ESP a major plusStrong creative writing skills; ideally tailored to social mediaStrong project management skillsAbility to create ideas and content on your ownExcellent knowledge of and high-level of interest in news, current events, and digital media trendsComfortable with data and analytics; solid understanding of data and information systems",https://www.foxcareers.com/Search/JobDetail/R50021630/crm-manager-fox-news-media,"Fox Nation is looking for a digital CRM Manager to oversee customer communications for the streaming subscription service, Fox Nation. The CRM Manager will oversee all email and push notification alerts to subscribers. The CRM Manager will also administer efforts to prospective users and win-back customers to generate subscriptions."
6,Fox News,"
            Assistant Manager, CRM Operations (R50021631)
                Remote
",3+ years working in digital marketing CRM or information technologyExperience with Braze enterprise ESP a major plusTechnically competent with a high degree of understanding of information systemsDirect Response experience is a major plusAbility to stay on schedule and hit deadlinesNaturally curious person who loves data,https://www.foxcareers.com/Search/JobDetail/R50021631/assistant-manager-crm-operations-fox-news-media,"Fox Nation is looking for a digital CRM Operations Assistant Manager to oversee the implementation of customer communications. The CRM Operations Assistant Manager will be working hands-on within the enterprise email service provider (ESP) to schedule, test and deploy email and push alert efforts for Fox Nation, the streaming subscription service from Fox News."
7,Fox News,"
            MMJ/Reporter (R50021010)
        ","FOX 13 and FOX 13+, the FOX Owned & Operated duopoly in Seattle, is seeking an enterprising multi-media journalist to join our news team. We’re looking for an experienced on-air reporter, who also loves shooting and editing video. You should be a dynamic storyteller who can cover a range of topics, including weather, crime, politics, sports, social issues and of course – any kind of breaking news. Just as important: you should have a “digital first” mindset, with the understanding that much of your reporting and storytelling will appear online before it appears in a traditional newscast. At the end of the day, you should be a sharp writer, with the idea that a well-written sentence is worth a million dollars. Plus, your on-air presentation should jump off the screen and grab our attention, whether through an active standup, the best shot, or a creative editing effect. Other duties as assigned. If that sounds like you, we want to see your reel!",https://www.foxcareers.com/Search/JobDetail/R50021010/mmj-reporter-fox-tv-stations,"FOX 13 and FOX 13+, the FOX Owned & Operated duopoly in Seattle, is seeking an enterprising multi-media journalist to join our news team. We’re looking for an experienced on-air reporter, who also loves shooting and editing video. You should be a dynamic storyteller who can cover a range of topics, including weather, crime, politics, sports, social issues and of course – any kind of breaking news. Just as important: you should have a “digital first” mindset, with the understanding that much of your reporting and storytelling will appear online before it appears in a traditional newscast. At the end of the day, you should be a sharp writer, with the idea that a well-written sentence is worth a million dollars. Plus, your on-air presentation should jump off the screen and grab our attention, whether through an active standup, the best shot, or a creative editing effect. Other duties as assigned. If that sounds like you, we want to see your reel!"
8,Fox News,"
            Editorial Producer, Lawrence Jones Cross Country (R50021191)
        ","Bachelor’s degree in journalism or related field of study is preferred, or equivalent experience 5+ years of experience in a local or national newsroom Experience with producing long form packages Strong logistical and editorial skills A self-starter attitude with the ability to work independently Ability to work in a fast-paced environment, multitask, and prioritize on a daily basis, especially in breaking news situations ",https://www.foxcareers.com/Search/JobDetail/R50021191/editorial-producer-lawrence-jones-cross-country-fox-news-media,"Lawrence Jones Cross Country is looking for a creative, organized, and motivated individual with strong editorial skills to fill an Editorial Producer position. As the Editorial Producer, you will work Monday through to Friday to establish a plan for the week’s coverage. The Editorial Producer will oversee the coordination and development of compelling packages and guest segments each week. "
9,Fox News,"
            Assignment Editor, Weather News (R50021520)
        ","Bachelor’s degree in journalism or related field of study is preferred, or equivalent experience 2+ years of network or local media market newsgathering experienceStrong editorial judgment and a passion for breaking newsFamiliarity with iNews or comparable systemsUnderstanding of tapeless workflow in a newsroomKnowledge of and experience covering national and regional interest breaking news stories, and coordination of field teamsMust be available and willing to work all shifts including weekends, overnights, and/or early mornings.",https://www.foxcareers.com/Search/JobDetail/R50021520/assignment-editor-weather-news-fox-weather,"FOX Weather is looking for a highly motivated, proactive, Assignment Editor to join our Assignment Desk at our headquarters in New York. We are looking for individuals with strong news judgment and weather experience who can handle multiple breaking stories in our fast-paced network newsroom environment. You will work closely with digital, social, and show teams along with field crews, Fox network teams and Fox Stations to integrate our coverage throughout all platforms."
