,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,Google," Information Technology Intern, Summer 2023 "," Currently pursuing a Bachelor’s degree in Information Technology or related technical field. Currently in your penultimate year of study. Experience in troubleshooting applications in one or more of the following networked environments: Linux, macOS, or Windows. Understanding of LAN/WAN environments. Ability to configure, upgrade, and relocate PC hardware, software, and print devices. ",https://careers.google.com/jobs/results/103738539339850438-information-technology-intern-summer-2023/?page=1&q=technology," Complete technical projects with a team of Googlers and other peers. Attend training sessions to build your professional skills. Provide support for desktops/laptops, and user access to corporate networks and applications, both on the network and through remote VPN access. Support services such as office phones, mobile devices, video conferencing, and remote access. Provide basic corporate network infrastructure and server support. "
1,Google," Network Test Engineer, Platforms "," Bachelor’s degree in Computer Science, Electrical Engineering, or a related field, or equivalent practical experience. 8 years of industry experience with network test automation using Python or Go. Knowledge in Kubernates, CI/CD principles and understanding of Google cloud platform. Understanding of Telecom Orchestration, Assurance principles. ",https://careers.google.com/jobs/results/136163827021423302-network-test-engineer-platforms/?page=1&q=technology," Test Telecom based products (Telecom network automation, Network Service Platform and Maroni etc) from a functional as well as a scale perspective. Own and develop Automation framework for current and future telecom products. Automate the test cases that can be executed in a Continuous Integration/Continuous Deployment environment from build to the canary based deployment. Triage and debug issues. Work with Engineering Product teams to make sure the required libraries and framework is ready for automating the test cases that are lined up for daily and weekly builds. "
2,Google, Metro Network Deployment Engineer ," Bachelor's degree in Computer Science, Electrical Engineering, a related field, or equivalent practical experience. 3 years of experience in networking technologies. Experience with state and local regulatory, construction, and Environmental Health and Safety (EHS) standards, procedures, and permitting requirements. Experience working with local exchange carrier (LEC), telecom service providers, landlords, electricians, and construction operators. Experience in scripting or coding. Ability to speak and write in English fluently as well as the local language of the assigned metro. Ability to travel up to 50% of the time as needed. ",https://careers.google.com/jobs/results/105338340300989126-metro-network-deployment-engineer/?page=1&q=technology," Oversee installation technicians for rack, stack, and networking equipment. Commission and test routers, optical transport equipment, and other network devices in new and existing network nodes across Google's global network. Generate implementation plans and provide technical leadership and guidance during deployment activities. Work closely with project management, network engineering, and the rest of the engineering team to identify potential problems in network installations, including in the areas of facility power (AC/DC), cooling, security and access, rack layout, and cable management. Own network documentation, and update and maintain network drawings and plans. "
3,Google," Network Test Engineer, Fabric Network Testing and Infrastructure "," Bachelor’s degree in Computer Science, Electrical Engineering, a related field, or equivalent practical experience. 3 years of experience with object-oriented programming languages (e.g., C++ or Python). 3 years of experience with testing/releasing networking products. 3 years of experience working with and testing multiple L2 and L3 networking protocols as well as troubleshooting automation. Master's degree in Computer Science, Electrical Engineering, or a related field. 4 years of experience with object-oriented programming languages (e.g., C++ or Python). 4 years of experience with testing/releasing networking products. 4 years of experience working with and testing multiple L2 and L3 networking protocols as well as troubleshooting automation. Experience in architecture and developing test infrastructure to support large scaled network solutions. ",https://careers.google.com/jobs/results/88866259614999238-network-test-engineer-fabric-network-testing-and-infrastructure/?page=1&q=technology," Design, develop, and execute test plans for networking features, equipment, and systems. Design and deploy suitable test-beds for testing networking software infrastructure. Develop test automation and tools. Manage feature and resource priorities for a release (e.g., deciding priority of test cases, evaluating release-stoppers). Generate ideas to solve open-ended problems with multiple approaches to reach an optimal solution. "
4,Google," Software Engineering Intern, Summer 2023 "," Currently pursuing a Bachelor's, Master's, or PhD degree in Computer Science or a related technical field. Currently in your penultimate year of study. Experience with one or more general purpose programming languages (e.g., Java, C/C++, Python, JavaScript, Go, etc.). Experience in computer science. Proficiency with data structures, algorithms, and software design. Knowledge of Unix/Linux and APIs. Familiarity with TCP/IP and network programming. ",https://careers.google.com/jobs/results/138546650818716358-software-engineering-intern-summer-2023/?page=1&q=technology," Research, create, and develop software applications to extend and improve on Google's product offering. Contribute to a wide variety of projects utilizing natural language processing, artificial intelligence, data compression, machine learning, and search technologies. Collaborate on scalability issues involving access to massive amounts of data and information. Work-in and support a productive and innovative team with peers, managers, and cross-functional teams. "
5,Google," Security Engineering Intern, Summer 2023 "," Currently pursuing a Bachelor's or Master's degree in Computer Science, Information Security or a related technical field (e.g. engineering, mathematics, information systems, security etc.). Currently in your penultimate year of study. Experience coding with one or more of the following languages: Python, Go, C++, or JavaScript. Experience with cyber attacks and mitigation methods in two or more of the following: Network protocols and secure network design, OS internals and hardening, web application security, security assessments and pen testing, authentication and access control, applied cryptography and security protocols, security monitoring and intrusion detection, incident response and forensics, development of security tools, automation, or frameworks. Experience with the software development lifecycle and an understanding of technical privacy issues. Patience and negotiation skills with experience achieving good user outcomes. ",https://careers.google.com/jobs/results/75629009179681478-security-engineering-intern-summer-2023/?page=1&q=technology," Apply knowledge gained in computer science courses to real-world challenges. Analyze information and evaluate results to choose the best solution to effectively solve challenges. Develop scripts to automate routine tasks. Create and support a productive and innovative team, this includes working with peers, managers, and teams. "
6,Google," 2023 Software Engineering Intern, People with Disabilities (장애인 채용) "," Currently enrolled in a Bachelor's degree program. Completed one or more Computer Science courses. Availability to participate in a 10-12 weeks program between June and September 2023. Experience in systems software or algorithms. Experience with one or more general purpose programming languages (e.g., Java, C/C++, C#, Objective-C, Python, JavaScript, Go, etc.). ",https://careers.google.com/jobs/results/139171881019155142-2023-software-engineering-intern-people-with-disabilities/?page=1&q=technology, Specific responsibilities vary by project area. 
7,Google," Software Development Apprenticeship, Engineering, 2023 September Start "," A-Level or equivalent qualification in one or more subjects in Science, Technology, Engineering, or Mathematics (STEM). Experience with coding in any programming language(s). Ability to speak and write in English fluently. Ability to work both independently and within a team framework. Ability to navigate ambiguous tasks, find suitable solutions, and seek help or advice where appropriate. Excellent communication, organization, and problem-solving skills. Passion for new technologies through personal projects and interest in learning new skills. ",https://careers.google.com/jobs/results/143215573132550854-software-development-apprenticeship-engineering-2023-september-start/?page=1&q=technology, Support your team in the development of software based on agreed projects and platforms. Follow application and component level design work to standards and patterns agreed by the team leads. Consider coding standards and ensure compliance with quality measures. Ensure code is tested in accordance with the guidelines provided by the team or your host. Complete training and follow mentoring as specified. 
8,Google," Metro Network Deployment Engineer, Product Edge Field Deployment "," Bachelor's degree in Network Deployment, a related technical field, or equivalent practical experience. Experience working with Local Exchange Carrier (LEC), telecommunication service providers, landlords, electricians, and construction operators. Experience with telecommunications, OSP, ISP, AC/DC power systems, and relay rack/cabinet/cage construction. Experience in collaborating across multiple levels and functions. Experience in directing field operation technicians, engineers, contractors, and/or vendors in a telecommunications working environment. Ability to engage/influence tactical and strategic decision-making. ",https://careers.google.com/jobs/results/97380350184825542-metro-network-deployment-engineer-product-edge-field-deployment/?page=1&q=technology," Manage oversight and Quality Assurance (QA) of installation technicians for rack, stack and installation of networking equipment. Test and commission routers, optical transport equipment, and other network devices in new and existing network nodes across Google's global network. Generate implementation plans and provide technical leadership and guidance during deployment activities. Work closely with project management, network engineering, and rest of the Engineering team to identify in advance potential problems in network installations, including in the areas of facility power (AC/DC), cooling, security/access, rack layout, and cable management. Own network documentation, updating, and maintaining network drawings and plans. "
9,Google, Metro Network Deployment Engineer ," Bachelor's degree in a relevant field such as Computer Engineering or Networking or equivalent practical experience. Experience in telecommunications, OSP, ISP, AC/DC power systems, and relay rack/cabinet/cage construction. Experience in optical network infrastructure, DWDM, transmission systems, layer2/3 routers and data services. Experience working with non-technical end users. Experience in scripting or coding. Ability to travel up to 50% of the time as needed. Ability to speak and write English and Japanese fluently. ",https://careers.google.com/jobs/results/100361399038812870-metro-network-deployment-engineer/?page=1&q=technology," Oversight and quality assurance of installation technicians for rack, stack and installation of networking equipment Commission and test routers, optical transport equipment, and other network devices in new and existing network nodes across Google global network Generate implementation plans and provide technical leadership and guidance during deployment activities Work with project management, network engineering and rest of the engineering team to identify in advance potential problems in network installations, including in the areas of facility power (AC/DC), cooling, security/access, rack layout and cable management Own network documentation, updating and maintaining network drawings and plans "
