,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,IBM,Design Technology Co-Optimization (DTCO) Engineer," Advanced CMOS device, logic std cell and SRAM architecture design – At least three (3+) years of experience Familiar with semiconductor technology process, ground–rule, lithography/patterning engineering and optical proximity correction – At least three (3+) years of experience Understanding of technology Power–Performance–Area (PPA) benchmarking – At least three (3+) years of experience Knowledge in Process Design Kit (PDK), circuit design/simulation, layout, and Electronic Design Automation (EDA) tools – At least three (3+) years of experience Ability to debug errors and solve problems Ability to work in a team environment Strong communication and collaboration skills (English) . Advanced CMOS device, logic std cell and SRAM architecture design – At least three (3+) years of experience Familiar with semiconductor technology process, ground–rule, lithography/patterning engineering and optical proximity correction – At least three (3+) years of experience Understanding of technology Power–Performance–Area (PPA) benchmarking – At least three (3+) years of experience Knowledge in Process Design Kit (PDK), circuit design/simulation, layout, and Electronic Design Automation (EDA) tools – At least three (3+) years of experience Ability to debug errors and solve problems Ability to work in a team environment Strong communication and collaboration skills (English) ",https://careers.ibm.com/job/16764262/design-technology-co-optimization-dtco-engineer-albany-ny/?codes=WEB_SEARCH_NA," Advanced CMOS device, logic std cell and SRAM architecture design – At least three (3+) years of experience Familiar with semiconductor technology process, ground–rule, lithography/patterning engineering and optical proximity correction – At least three (3+) years of experience Understanding of technology Power–Performance–Area (PPA) benchmarking – At least three (3+) years of experience Knowledge in Process Design Kit (PDK), circuit design/simulation, layout, and Electronic Design Automation (EDA) tools – At least three (3+) years of experience Ability to debug errors and solve problems Ability to work in a team environment Strong communication and collaboration skills (English) "
1,IBM,Technology Sales Representative," Minimum of two years of previous work experience in a Solution Consultant/Sales Engineer role or experience working with technology in a business environment. Leadership to ask open-ended questions that assess clients’ technology needs to address business challenges. Professional verbal, written, and interpersonal skills. Demonstrated team collaboration and navigating different communication styles. . Minimum of two years of previous work experience in a Solution Consultant/Sales Engineer role or experience working with technology in a business environment. Leadership to ask open-ended questions that assess clients’ technology needs to address business challenges. Professional verbal, written, and interpersonal skills. Demonstrated team collaboration and navigating different communication styles. ",https://careers.ibm.com/job/17789574/technology-sales-representative-remote/?codes=WEB_SEARCH_NA," Managing a dedicate client set and defining, confirming, and communicating the differentiated value of IBM’s technology at both the technical and business level. Using solution-selling techniques to identify and engage decision makers and influencers, qualify business opportunities, and respond to clients’ needs to create strategic, long-term partnerships. Managing the entire sales process, from prospecting, and ensuring delivery against KPIs, with a strong emphasis on new business sales, while expanding existing accounts. Collaborating with the broader IBM sales team, from Marketing to Sales and technical colleagues, to IBM Business Partners, to build sales campaigns and incremental pipeline. Continuously growing skills in consultative sales, understanding technical solutions, and applying expertise to demonstrate IBM’s thought leadership during client engagements. "
2,IBM,Technology Sales Representative," Minimum of two years of previous work experience in a Solution Consultant/Sales Engineer role or experience working with technology in a business environment. Leadership to ask open-ended questions that assess clients’ technology needs to address business challenges. Professional verbal, written, and interpersonal skills. Demonstrated team collaboration and navigating different communication styles. . Minimum of two years of previous work experience in a Solution Consultant/Sales Engineer role or experience working with technology in a business environment. Leadership to ask open-ended questions that assess clients’ technology needs to address business challenges. Professional verbal, written, and interpersonal skills. Demonstrated team collaboration and navigating different communication styles. ",https://careers.ibm.com/job/17799582/technology-sales-representative-montreal-ca/?codes=WEB_SEARCH_NA," Managing a dedicate client set and defining, confirming, and communicating the differentiated value of IBM’s technology at both the technical and business level. Using solution-selling techniques to identify and engage decision makers and influencers, qualify business opportunities, and respond to clients’ needs to create strategic, long-term partnerships. Managing the entire sales process, from prospecting, and ensuring delivery against KPIs, with a strong emphasis on new business sales, while expanding existing accounts. Collaborating with the broader IBM sales team, from Marketing to Sales and technical colleagues, to IBM Business Partners, to build sales campaigns and incremental pipeline. Continuously growing skills in consultative sales, understanding technical solutions, and applying expertise to demonstrate IBM’s thought leadership during client engagements. "
3,IBM,Technology Partner Specialist," Skilled in consultative selling, with an understanding of the client’s needs and IBM capabilities Demonstrated level of business acumen as it applies to the client’s business Commercially minded and capable of supporting end-to-end sales engagements with the ability to think, plan and act strategically Entrepreneurial, Innovative, Growth Mindset Extensive networking and interpersonal skills in complex environments Ecosystem Sales expertise Excellent communication skills Must be able to multitask and handle multiple projects at any given time CRM skills are required Excellent presentation skills Strong negotiation skills . Skilled in consultative selling, with an understanding of the client’s needs and IBM capabilities Demonstrated level of business acumen as it applies to the client’s business Commercially minded and capable of supporting end-to-end sales engagements with the ability to think, plan and act strategically Entrepreneurial, Innovative, Growth Mindset Extensive networking and interpersonal skills in complex environments Ecosystem Sales expertise Excellent communication skills Must be able to multitask and handle multiple projects at any given time CRM skills are required Excellent presentation skills Strong negotiation skills ",https://careers.ibm.com/job/17596296/technology-partner-specialist-calgary-ca/?codes=WEB_SEARCH_NA," Account planning and stakeholder management Develop partner strategy (plan on a page) to identify strategic growth areas, revenue objectives, milestones, and requirements to establish objectives and measures of success with partners including required skills development and partner go-to-market enablement Co-create business development plans with partners gaining C-Level support (IBM / Partner), aligned to growth initiatives Activate partners business development plans by engaging local IBM country/market sales teams and aligning with local sellers within the Partner firm Assess progress against partner strategy and joint business development plans quarterly with country Ecosystem leader Sales Execution and cross IBM engagement Establishes a joint quarterly opportunity roadmap and progression management system to address Client challenges, connect partner and IBM sellers, and progress passed leads from IBM Sellers Connects partner and IBM sellers in territory and markets serviced by the partner to facilitate local execution of prospecting and lead passing Engages directly with partners and clients in support of high value engagements and opportunities Proactively augments Partner and Client engagements with IBM’s breadth of technical capabilities to co-create solutions (e.g., Hybrid Cloud Build Team, Customer Success Managers, Technical Sellers, Marketing support) Leverage IBM programs to sponsor demand generation, prospecting, or solution co-creation (e.g., Co-Marketing, Cloud Engagement Funds, etc.) Supports the Partner has a Trusted Advisor "
4,IBM,Technology Sales Representative - Data & AI," Proven track record of success in technology sales, with emphasis on new client acquisition. Demonstrable application of business and commercial acumen, communicated at all levels, to show the operational impact and financial value of technological solutions. Excellent communication and presentation skills that are equally engaging, compelling and influential. . Proven track record of success in technology sales, with emphasis on new client acquisition. Demonstrable application of business and commercial acumen, communicated at all levels, to show the operational impact and financial value of technological solutions. Excellent communication and presentation skills that are equally engaging, compelling and influential. ",https://careers.ibm.com/job/17716024/technology-sales-representative-data-ai-remote/?codes=WEB_SEARCH_NA," Managing a dedicated client set and defining, confirming, and communicating the differentiated value of IBM’s technology at both the technical and business level. Using your solution-selling expertise you’ll be identifying and engaging decision makers and influencers, qualifying business opportunities, and responding to clients’ needs to create strategic, long-term partnerships. Managing the entire sales process, from RFI / RFP response preparation, and ensuring delivery against KPIs, with a strong emphasis on new business sales, while expanding existing accounts. Collaborating with the broader IBM sales ecosystem, from Marketing to Sales and technical colleagues, to IBM Business Partners, to build sales campaigns and incremental pipeline. "
5,IBM,Technology Sales Engineer – Sustainability Asset Management - Montreal, Country/Region:CA State:QUEBEC City:Montreal Category:Sales Required Education:Bachelor's Degree Position Type:Professional Employment Type:Full-Time Contract Type:Regular Company:(0026) IBM Canada Limited – IBM Canada Limitee Req ID:627069BR Travel Required:Up to 40% or 2 days a week (home on weekends- based on project requirements) . Country/Region:CA State:QUEBEC City:Montreal Category:Sales Required Education:Bachelor's Degree Position Type:Professional Employment Type:Full-Time Contract Type:Regular Company:(0026) IBM Canada Limited – IBM Canada Limitee Req ID:627069BR Travel Required:Up to 40% or 2 days a week (home on weekends- based on project requirements) ,https://careers.ibm.com/job/17804681/technology-sales-engineer-sustainability-asset-management-montreal-montreal-ca/?codes=WEB_SEARCH_NA, Country/Region:CA State:QUEBEC City:Montreal Category:Sales Required Education:Bachelor's Degree Position Type:Professional Employment Type:Full-Time Contract Type:Regular Company:(0026) IBM Canada Limited – IBM Canada Limitee Req ID:627069BR Travel Required:Up to 40% or 2 days a week (home on weekends- based on project requirements) 
6,IBM,Technology Sales Specialist (Automation: Turbonomic & Instana) –Quebec," Proven track record of success in technology sales, with emphasis on new client acquisition. Demonstrable application of business and commercial acumen, communicated at all levels, to show the operational impact and financial value of technological solutions. Excellent communication and presentation skills that are equally engaging, compelling and influential. . Proven track record of success in technology sales, with emphasis on new client acquisition. Demonstrable application of business and commercial acumen, communicated at all levels, to show the operational impact and financial value of technological solutions. Excellent communication and presentation skills that are equally engaging, compelling and influential. ",https://careers.ibm.com/job/17812897/technology-sales-specialist-automation-turbonomic-instana-quebec-montreal-ca/?codes=WEB_SEARCH_NA," Managing a dedicated client set, in Quebec, and defining, confirming, and communicating the differentiated value of IBM’s Turbonomic and Instana technology at both the technical and business level. Using your solution-selling expertise you’ll be identifying and engaging decision makers and influencers, qualifying business opportunities, and responding to clients’ needs to create strategic, long-term partnerships. Managing the entire sales process, from RFI / RFP response preparation, and ensuring delivery against KPIs, with a strong emphasis on new business sales, while expanding existing accounts. Collaborating with the broader IBM sales teams, from Marketing to Sales and technical colleagues, to build sales campaigns and incremental pipeline, support credible, trusted engagements with the c-suite, IT leaders and Architects of your clients. Developing account and opportunity plans that lead to the generation of new and renewal business /annual recurring revenue (ARR). Helping maintain customer relationships, the successes of which will be measured by net promoter score (NPS), customer satisfaction (C-SAT) and ARR results. "
7,IBM,Technology Sales Specialist (Automation Portfolio Seller)," Proven track record of success in technology sales, with emphasis on new client acquisition. Demonstrable application of business and commercial acumen, communicated at all levels, to show the operational impact and financial value of technological solutions. Excellent communication and presentation skills that are equally engaging, compelling and influential. . Proven track record of success in technology sales, with emphasis on new client acquisition. Demonstrable application of business and commercial acumen, communicated at all levels, to show the operational impact and financial value of technological solutions. Excellent communication and presentation skills that are equally engaging, compelling and influential. ",https://careers.ibm.com/job/17880766/technology-sales-specialist-automation-portfolio-seller-ottawa-ca/?codes=WEB_SEARCH_NA," Managing a dedicated client set and defining, confirming, and communicating the differentiated value of IBM’s technology at both the technical and business level. Using your solution-selling expertise you’ll be identifying and engaging decision makers and influencers, qualifying business opportunities, and responding to clients’ needs to create strategic, long-term partnerships. Managing the entire sales process, from RFI / RFP response preparation, and ensuring delivery against KPIs, with a strong emphasis on new business sales, while expanding existing accounts. Collaborating with the broader IBM sales ecosystem, from Marketing to Sales and technical colleagues, to IBM Business Partners, to build sales campaigns and incremental pipeline. "
8,IBM,Technology Sales - Brand Partner Specialist (Partner) Data & AI SW," Demonstrates knowledge in IBM Data & AI Software solutions with depth of skills in one or more of the specific Data & AI solution pillars Skilled in Hybrid Cloud technologies (Containerization, OCP, ROKS, etc.) to integrate an IBM Technology POV with Partners overall technical architectures Proficient in Design Thinking, Architecture, and Development principals to convince Partners to adopt IBM Technology into solutions, practices, and offerings Identify the right Ecosystem Partner with the right skills to help drive IBM Data & AI Software opportunities to closure Solution co-creation with our Ecosystem Partners (and internal IBM resources if needed) Earn trust and influence partner’s tech agenda with a reputation of deep industry knowledge within the IBM Data & AI brand and associated portfolio Facilitate pre-sales technical activities (i.e. RFPs, discovery, joint proof of technology, demonstrations, etc. between partners and IBM) . Demonstrates knowledge in IBM Data & AI Software solutions with depth of skills in one or more of the specific Data & AI solution pillars Skilled in Hybrid Cloud technologies (Containerization, OCP, ROKS, etc.) to integrate an IBM Technology POV with Partners overall technical architectures Proficient in Design Thinking, Architecture, and Development principals to convince Partners to adopt IBM Technology into solutions, practices, and offerings Identify the right Ecosystem Partner with the right skills to help drive IBM Data & AI Software opportunities to closure Solution co-creation with our Ecosystem Partners (and internal IBM resources if needed) Earn trust and influence partner’s tech agenda with a reputation of deep industry knowledge within the IBM Data & AI brand and associated portfolio Facilitate pre-sales technical activities (i.e. RFPs, discovery, joint proof of technology, demonstrations, etc. between partners and IBM) ",https://careers.ibm.com/job/17732545/technology-sales-brand-partner-specialist-partner-data-ai-sw-montreal-ca/?codes=WEB_SEARCH_NA," Engaging local country /market sales teams, Digital Sales teams, Marketing, and technical teams to activate joint go-to-market plans of high value engagements and opportunities. Activating partner capabilities and capacity by executing skills enablement plans, co-marketing strategies, and leveraging promotions and incentives at the partner firm and seller level. Collaborating with others to deliver results, meaningfully contributing to immediate and 3rd party teams whilst prioritizing group needs over individual ones. Negotiating to successfully obtain commitment to solutions, while maintaining integrity and relationships with internal team, external partners, and clients. "
9,IBM,Technology Sales Engineer," Previous work experience in a Solution Consultant/ Pre-Sales Engineer role or experience working with technology in a business environment Background to include Enterprise Sale experience Leadership to ask open-ended questions that assess clients’ technology needs to address business challenges. Professional verbal, written, and interpersonal skills. Demonstrated team collaboration and navigating different communication styles. . Previous work experience in a Solution Consultant/ Pre-Sales Engineer role or experience working with technology in a business environment Background to include Enterprise Sale experience Leadership to ask open-ended questions that assess clients’ technology needs to address business challenges. Professional verbal, written, and interpersonal skills. Demonstrated team collaboration and navigating different communication styles. ",https://careers.ibm.com/job/17734211/technology-sales-engineer-remote/?codes=WEB_SEARCH_NA," Previous work experience in a Solution Consultant/ Pre-Sales Engineer role or experience working with technology in a business environment Background to include Enterprise Sale experience Leadership to ask open-ended questions that assess clients’ technology needs to address business challenges. Professional verbal, written, and interpersonal skills. Demonstrated team collaboration and navigating different communication styles. "
