,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,Intel,IT Systems Analyst," You must possess the below minimum qualifications to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. Minimum Qualifications:Bachelor's degree in Business/Systems/Data Analytics, Computer Science, Software Development, or equivalent experience, 4+ years of experience in: IT solutions in Supply Chain Management areasSAP S/4HANARelational databases and proficient in SQL queriesAgile/Dev Ops principles and Agile practicesPlanning, Defect, and Incident Management tools Preferred Qualifications: Master's degree in Business/Systems/Data Analytics, Computer Science, Software Development, 2+ Experience with: Integrated business planning with ERP software (Blue Yonder)MS Azure technologies, Cloud computing and Machine Learning",https://jobs.intel.com/en/job/phoenix/it-systems-analyst/41147/45053831072," The Supply Chain IT Team, we transform traditional thinking and expectations about how IT supports business innovation, partnership, velocity, and productivity. We are looking for an experienced IT Systems Analyst to join our technical team in driving technical strategy to deliver innovative supply chain solutions. IT Systems Analysis work focuses on designing information systems that are appropriate for users' needs and consistent with the overall design and architecture of the organization's information systems. This role will be primarily responsible for the following:Analyze and investigate business problems and provide technology-based solutions within the realm of ERP systemsLead business process mapping, including process flows, data flow diagrams, entity relationship diagrams and conducting feasibility studies to design possible system solutions.Consult with business process owners to identify, define, and document business needs and objectivesWork closely with the business with development of business case for enhancements and identify, assess, and mitigate process risk, develop required training, change management, and operations processesPreparing and maintaining technical documentation to guide system users and to assist with the ongoing operation, maintenance, and development of the system.Leverage Agile methodology to design and configure solutions.Develop use cases, customer scenarios, and/or demos, plan, conduct and coordinate testing of the newly developed or enhanced applications and provide support.Looks for opportunities to automate business processes with technology and may provide consultation to users in automated systems.In addition, the ideal candidate should also exhibit the following behavioral skills:Strong stakeholder and end-user collaboration skills, either during projects or for sustaining purposes.Strong skills to communicate complex issues to various audiences.Self-starter who takes ownership and responsibility for projects and initiatives combined with the skills to work independently and collaboratively in team settings. "
1,Intel,IT Systems Analyst," Qualifications Minimum qualifications are required to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. Minimum Qualifications: The candidate must have a Bachelors DegreeThe candidate must be actively pursuing a Master's degree in Computer Science, Computer Engineering, or related technical discipline “This position is not eligible for Intel immigration sponsorship” ",https://jobs.intel.com/en/job/hillsboro/it-systems-analyst/41147/45009872960, Responsibilities may be quite diverse of a technical nature. U.S. experience and education requirements will vary significantly depending on the unique needs of the job. Job assignments are usually for the summer or for short periods during breaks from school. 
2,Intel,IT Product Owner - Demand Forecasting/Planning," Minimum Qualifications: - Bachelor's degree in Computer Engineering, Computer Science, or a related field - At least 8-10 years of experience in system/business analysis in Demand Forecasting and Planning area - At least one process transformation experience integrated with a larger program - 5+ years of experience in requirements gathering, systems/business analysis, process mapping, solution acceptance testing and deployment Preferred Qualifications: - 3+ years' experience working as product owner or similar responsibilities as defined in Agile development methodology - 3+ years of Process transformation experience in Demand/Supply planning in semiconductor industry or high-tech industry. Process improvement/sustenance experience could be considered in lieu of process transformation experience - Experience in designing and deploying solutions using enterprise planning software solutions such as SAP IBP, Blue Yonder, Kinaxis, SAP BPC, Anaplan - Experience with Supply Chain analytics enabled using software solutions such as Tableau or Power BI - Experience w/ statistical or AI/Ml algorithms will be a plus",https://jobs.intel.com/en/job/folsom/it-product-owner-demand-forecasting-planning/41147/43304077312, 
3,Intel,IT infrastructure and DevOps Engineer," Candidate must have a bachelor's degree in computer science/equivalent with a minimum of 10 years of IT experience.Candidate must have technical/hands-on experience on ANY ONE of the Workload Automation tool, a.k.a Job Scheduling tool, like RunMyJobs or Autosys.Candidate must be good in analytical and troubleshooting skills, be a good team player, self-driven and self-motivatedKnowledgeable and passionate about customer satisfaction and user experienceMust have good interpersonal skills and good written and verbal communication skills. ",https://jobs.intel.com/en/job/penang/it-infrastructure-and-devops-engineer/41147/43159628240," Job Description for IT Infrastructure and DevOps Engineer: IT Infrastructure and DevOps Engineer must have knowledge and good experience in most of the below skillsets, if not all.Ensures the efficient planning, provisioning, installation/configuration, maintenance, and/or operations of the hardware and software infrastructure required to build, validate, and release a wide variety of hardware and software products and projects.Works closely with development and quality teams to derive infrastructure design requirements, build, test, and automate tools appropriate to the project, and/or implements and maintains of those systems within the constraints imposed by Intel enterprise infrastructure (IT) and other governing bodies.Owns the end-to-end delivery pipeline, including source code management, versioning/tagging strategy, component build and packaging, test automation tooling, release staging, acceptance and/or indicators, required security and IP scans, any third-party conformance tools, artifact storage and distribution, and disaster-recovery planning.Identifies opportunities and implements solutions for increased automation, reliability, and/or velocity within the pipeline through implementation of robust infrastructure telemetry, KPIs, and indicators, and by monitoring and applying industry best-practices. We are looking for an Infrastructure and DevOps Engineer to join Enterprise Operations Group, under IT, developing, maintaining, and supporting the Workload Automation tool, a.k.a Job Scheduling tool.Candidate must Have prior experience working on a Workload Automation tool, a.k.a Job Scheduling toolHave knowledge and work experience of one of the prominent industry standard job scheduling tools is a mustHave the knowledge and understanding of infrastructure setup, network, Windows, Linux OS, latest security conceptsHave working experience with one of the Database technologies - MS SQL, MYSQL or PostgreSQLPossess the knowledge of one of the scripting languages - Perl, PowerShell, C++ / C#, Java, Bash Shell Script and/or PythonPossess ITIL knowledge - Incident, Problem and Service Management.Demonstrate ability to be take care of support activities and adhere to the IT/Org defined processes and meet the efficiency goals in operationsHave excellent written and verbal communication skillsPossess ability to multi-task and solve complex software problems "
4,Intel,IT Systems Analyst - BlueYonder," You must possess the minimum qualifications to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. Minimum Qualifications: 10+ years of experience as a lead systems analyst focusing on delivering supply planning capabilities on the BlueYonder platform in a global environment 5+ years of experience with BlueYonder ESP experience with multiple global implementations 5+ years of experience in BlueYonder product management experience by working closely with business users on aligning the portfolio priority, and managing the budgets5+ years of experience with Heuristic and LP-Optimizer solvers5+ years in IT solution delivery; experience with Waterfall and Agile development methodology working with global teams Preferred Qualifications: Knowledge and experience with SPARK solver are a plus Experience with BY OP or BY IO modules is a huge plus Experience in implementing BlueYonder or similar commercial packaged software in the high-tech and semiconductor industry is a plus Strong subject matter expertise in the Supply planning process for semiconductor/high-tech industry and outsourced manufacturing, along with a good grasp of the master data (bill-of-materials, capacity resources, and planning parameters)Knowledge of integration with SAP for sales order promising and allocation is a plus Experience with defining KPIs and developing supply chain analytics is highly desired Understanding and experience with SAFe methodology is a plus This position is eligible for Intel immigration sponsorship",https://jobs.intel.com/en/job/phoenix/it-systems-analyst-blueyonder/41147/40665795552, 
5,Intel,IT DevOPs Infrastructure Engineer / System Automation Programmer," Minimum qualifications are required to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. Minimum Qualifications: Bachelor's degree or Master's degreeProven track record for automation scripting3+ years of practical experience installing/configuring Cisco and/or related/similar network equipment. Preferred Qualifications: Degree in Computer Science or any other related fieldGood understanding of IT infrastructure topologies - legacy networking, software defined networking, load balancing, Infrastructure as Code (IaC)Strong knowledge of scripting and programming in any scripting language (e.g. Ansible, Python, etc..) and communication interfaces (e.g. REST, SOAP, etc.) to drive automation.Experience in Cisco ACI architecture and productsExperience working in Agile teamsCisco related certification",https://jobs.intel.com/en/job/kulim/it-devops-infrastructure-engineer-system-automation-programmer/41147/40310653248," Responsible for application packaging deployment that meets IT standards. Responsible for understanding various client, server, and network architectures. Candidate needs to understand operating system build technologies, system patching, system management, auditing/automation, as well as server and network build processes. The person should have experience in delivering end to end automation and orchestration solutions in an enterprise environment. The candidate will be an integral part of this team with a specialization on Infrastructure Automation to develop software solutions that will increase execution velocity, reduce operational overhead and improve network/security reliability. Designs, builds, and integrates applications and platforms to support Intel's business needs. Builds systems automation capabilities, coordinates factory infrastructure requirements, and recommends technical solutions. Ensures the efficient planning, provisioning, installation/configuration, maintenance, and/or operations of the hardware and automation infrastructure required to build, validate, and release a wide variety of IT hardware/infrastructure solutions and products. Applies strong foundational troubleshooting to automation and network system problems. "
6,Intel,IT Product Owner - Demand Planning ( Blue Yonder)," The ideal candidate must possess the below minimum qualifications to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. Minimum Qualifications Bachelors or Masters in Computer Science Engineering or equivalent 10+ years of IT working experience implementing software solutions out of which at least 2 years leading the product delivery as a Product Owner. Proven experience in Enterprise software configurations and delivery with at least 2+ years of years experience in BlueYonder(r) Demand Planning domain Experience in delivering Blue Yonder Demand planning solutions for High Tech Industry , predominantly monthly Sales Forecasting, Statistical forecasting , system-driven disaggregation, collaborative and consensus demand planning . Good understanding of various backend driven processes such as algorithmic ASP calculations, Billing forecast generation, forecast expiration, hard allocation for customers using predefined custom rules and forecast netting engine outputs that are implemented using SQL procedures and Forecast Netting Engine module of BY Order Promiser (OP) for supply planning. Strong feature, User Story, User Acceptance criteria and product backlog development and prioritization skills Knowledge of the best practices and design trends for responsive design, experience building sustainable solutions. Analytical approach to solving system issues including understanding system interdependencies Help technology team to identify and consider all alternate solutions and help them in implementing the best strategy to ensure design meets performance, usability, reliability and scalability requirements. Excellent stakeholder management skills ; verbal and written communication skills. Preferred Qualifications Scrum Certified Agile Product Owner ( CSPO) Proven ability to successfully juggle multiple projects and/or priorities and able to shift direction quickly when priorities change Understanding of Test First Software Engineering Approach like test-driven development. Experience supporting the scope related to various upstream interfaces built to source master data, transactional data to the Enterprise planning tool and downstream consumption of demand signals, consensus forecast and netting engine outputs. Be aware of technical debts and ensure compliance on infrastructure upgrades, patch maintenances and security vulnerability fixes, data refresh schedules and frequency and effectively include the same in the product backlogs.. Experience using industry standard test and defect management systems like Rally, Jira. Good understanding of the latest trends and best practices in the Supply chain domain",https://jobs.intel.com/en/job/bengaluru/it-product-owner-demand-planning-blue-yonder/41147/43309215008, 
7,Intel,Technology development staff engineer," Technical Qualifications --BS, MS, or PhD in a science or engineering field and minimum 3 years of experience in semiconductor research, development or manufacturing environment are required; --Demonstrated technical leadership and a track record of problem solving with creativity and out-of-box thinking --Hands-on experiences in technology development, technology transfer or startup are required --Strong expertise of process characterization, qualification and troubleshooting is required; --Direct experience in Silicon Process Technology Development is highly desired. Other Qualifications --Motivated self-starter, with strong ability to work independently as well as in a team environment; --Strong verbal and written communication skills in English; --Think and operate independently, while simultaneously focusing on many diverse priorities. --Flexibility and maturity in facing uncertainties and changing priorities/responsibilities --Commit to aggressive goals and win with a can-do attitude --Act with velocity and a strong sense of urgency --Respect cultural diversity and sensitivity --Agility in learning, improving, and innovating ",https://jobs.intel.com/en/job/dalian/technology-development-staff-engineer/41147/34636940816," Intel Dalian is rapidly expanding its 3D NAND high volume manufacturing facility, while starting-up a new Dalian Technology Development (TD) organization to develop future generations of 3D NAND process technologies. And now we are seeking for many strong candidates to work on ramping up 3D NAND TD business in coming year.The selected candidates will be responsible for activities covering process, equipment, materials, and operations in their respective areas of expertise, such as CVD/PVD/CMP/Diffusion/Implant/Metro/Lithography/Wet Etch/Dry Etch. Examples of scope of work include silicon process improvement and product enhancement, equipment capability evaluation and expansion, and wafer cost reduction.Candidates must have demonstrated a track record of excellence in creative problem solving, equipment capability enabling, or manufacturing process optimization in a relevant engineering organization.Responsibilities include:• Perform feasibility study and provide module level process solutions to meet desired device specification and process improvement requirements• Lead new process experimentation, implementation and high volume manufacturing readiness in the area of expertise• Define, select and qualify the equipment platforms to meet quality and output needs of new processes for high volume manufacturing ramp.This position is associated with the sale of Intel’s NAND memory and storagebusiness to SK Hynix (You can read more about the transaction in the press release - https://newsroom.intel.com/wp-content/uploads/sites/11/2020/10/nand-memory-news-q-a.pdf). The transaction will enhance the resources and potential of the business’ storage solutions, including client and enterprise SSDs, in the rapidly growing NAND Flash space amid the era of big data. This is an exciting time to be at Intel – come join our NAND-DTM and work on the most advanced 3DNAND and SSD technology in the world. As the global leader in the semiconductor industry, Intel possesses industry-leading SSD technology and the most capable Quadruple Level Cell (QLC) NAND Flash products, and you will be part of a world-class team that will transition to lead the SSD business at SK Hynix.This position aligns to Phase 2 of the transaction, which includes NAND technology and component development along with fab operations. Employees aligned to Phase 2 will continue to be employed by Intel and will continue to develop NAND technology and components and manufacture NAND wafers at the fab. Phase 2 of the transaction is expected to close in March 2025, at which time employees aligned to this phase of the transaction will transition employment to SK Hynix. "
8,Intel,Design Technology Enablement Engineer," You must possess the below minimum qualifications to be initially considered for this position. Preferred qualifications are in addition to the requirements and are considered a plus factor in identifying top candidates. Minimum Qualification: Candidate must possess an MS degree with 3+ years of experience or a PhD degree with 1+ years of experience in Electrical Engineering or Computer Engineering. Experience in the following areas: -Parasitic extraction, device modelling and Simulation tools/flows. - Custom design flow and related EDA tools. - Semiconductor device physics, process technology and design rules. - Scripting skills using a programming language such Python, PERL, TCL.Preferred Qualifications: 1+ years of experience in the following: -Reliability verification, ESD concepts, standard cell library and memory architectures. - Understanding of tools flows, and methodology, for optimal Product Performance/Power/Area/Cost. ",https://jobs.intel.com/en/job/hillsboro/design-technology-enablement-engineer/41147/44382286320," This position is within the Design Enablement (DE) organization of Technology Development(TD). At Intel, Design Enablement is one of the key pillars enabling Intel to deliver winning products in the marketplace. Your work will directly enable design teams to get to market faster with leadership products on cutting-edge technologies. As part of the Design Enablement/Process Design Kit (PDK) group, you will join a highly motivated team of top-notch engineers solving challenging technical problems enabling PDKs for Intel's most advanced process technologies anddrive PDKs towards industry-standard methods and ease of use for the end customers. The job requires partnering and leveraging domain experts across various areas of Technology Development, EDA vendors and product design teams to develop and deliver high-quality technology collaterals, models and enablement of EDA tools. Responsibilities are but not limited to : - Define technical specification for Intel advance technology features to enable Intel specific and industry standard EDA design tools.- Coordinate development of these technology features, develop QA plans and drive test-cases development working with relevant stakeholders.- Engage with internal partners and external EDA vendors to coordinate tool feature requirements and specifications. - Joint effort with partners in DE organization to evaluate and isolate performance contributors for technology features as part of enablement.- Build and qualify Process Pathfinding Kits and tools with quick turnaround time.- Drive innovation and initiatives to enhance existing automation, tools and methodology.Identify and analyze problems, plans, tasks and solutions.- Cultivate and reinforce appropriate group values, norms and behaviors.-Perform in a dynamic, challenging and sometimes ambiguous environment with drive and creativity. The candidate should also exhibit the following behavioral traits and/or skills: - Creative, independent and out-of-the-box thinker with problem-solving skills and analytical ability.- Attention to details and organization skills.- Depth and breadth of being able to connect the dots and identify cross-discipline optimal solutions.- Self-motivated, leadership skills being able to influence across the internal and external ecosystems.- Written and verbal communication skills to present complex issues with clarity to drive decisions.- Soft skills to work with cross-functional and cross-site teams and influence multiple internal and external stakeholders.- Work in a dynamic and team-oriented environment. #DesignEnablement "
9,Intel,Manager Technology development (AAT)," Minimum qualifications are required to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. Minimum Qualifications: - master in Mechanical Engineering, Materials Science, Physics, Electrical Engineering or similar degree with focus on micro-electronics, electronic package, or semiconductors. PhD degree is added advantage Work Experience - 10+ years' experience working in Semiconductor Packaging within a technology development or new product development environment. - 6+ year experience in leading global teams - Preferred experience working on new assembly technology development Skills/Knowledge - Knowledge of resource and budget planning - Knowledge of supply chain business processes - Knowledge of NPI development process - Knowledge in leading multi-cultural globally distributed teams - Knowledge in project management - Knowledge of assembly processes and substrate fabrication processes - Knowledge of cost modelling and impact of processes on cost structure - Understanding of reliability failure modes in semiconductor processing and electronic packaging, inclusive of die to package interaction failures. - Excellent problem solving, communication and presentation skills - Ability to drive results across organizational boundaries. lead and work with teams spread across different geographies Requirements listed would be obtained through a combination of industry relevant job experience, internship experiences and or schoolwork/classes/research.",https://jobs.intel.com/en/job/hsinchu/manager-technology-development-aat/41147/43922810016, 
