,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,JPM,Software Engineering," BS/BA degree or equivalent experience Expertise in application, data, and infrastructure architecture disciplines Advanced knowledge of architecture and design across all systems Proficiency in multiple modern programming languages Knowledge of industry-wide technology trends and best practices Keen understanding of financial control and budget management Ability to work in large, collaborative teams to achieve organizational goals Passionate about building an innovative culture ",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/preview/210380157/?keyword=software+engineer&location=United+States&locationId=300000000289738&locationLevel=country," BS/BA degree or equivalent experience Expertise in application, data, and infrastructure architecture disciplines Advanced knowledge of architecture and design across all systems Proficiency in multiple modern programming languages Knowledge of industry-wide technology trends and best practices Keen understanding of financial control and budget management Ability to work in large, collaborative teams to achieve organizational goals Passionate about building an innovative culture "
1,JPM,Software Engineering," BS/BA degree or equivalent experience Expertise in application, data, and infrastructure architecture disciplines Advanced knowledge of architecture and design across all systems Proficiency in multiple modern programming languages Knowledge of industry-wide technology trends and best practices Keen understanding of financial control and budget management Ability to work in large, collaborative teams to achieve organizational goals Passionate about building an innovative culture ",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/preview/210389731/?keyword=software+engineer&location=United+States&locationId=300000000289738&locationLevel=country," BS/BA degree or equivalent experience Expertise in application, data, and infrastructure architecture disciplines Advanced knowledge of architecture and design across all systems Proficiency in multiple modern programming languages Knowledge of industry-wide technology trends and best practices Keen understanding of financial control and budget management Ability to work in large, collaborative teams to achieve organizational goals Passionate about building an innovative culture "
2,JPM,Software Engineering," Automating Infrastructure-as-code, using Terraform, VRA, ansible and other infrastructure automation tools Automating networking and O/S configuration from building images, configuring file system layouts and automating BGP peering up through CRI, CNI & CSI configuration for Kubernetes clusters Automating the installation, upgrade, scaling and management of a large and rapidly growing fleet of Kubernetes clusters Develop custom platform control plane webhooks, CRDs and operators and more that provide a secure opinionated platform Design and develop the UI & UX and put the customer at the center Being a culture carrier for modern development practices and agile principles including disciplined refinement and story splitting, pair programming, test driven development, and clean code. Being a culture carrier for an inclusive and collaborative team-based development model that experiments and learns from setbacks. Proficiency in multiple modern programming languages, ideally including one of Go, Python, React, Java, Experience working with modern private & public cloud infrastructure platforms - Kubernetes, AWS EKS / GCP GKE ecosystems a plus, Terraform and other automation tools Knowledge of industry-wide technology trends and best practices Passionate about learning new skills and technologies ",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/preview/210380071/?keyword=software+engineer&location=United+States&locationId=300000000289738&locationLevel=country," Automating Infrastructure-as-code, using Terraform, VRA, ansible and other infrastructure automation tools Automating networking and O/S configuration from building images, configuring file system layouts and automating BGP peering up through CRI, CNI & CSI configuration for Kubernetes clusters Automating the installation, upgrade, scaling and management of a large and rapidly growing fleet of Kubernetes clusters Develop custom platform control plane webhooks, CRDs and operators and more that provide a secure opinionated platform Design and develop the UI & UX and put the customer at the center Being a culture carrier for modern development practices and agile principles including disciplined refinement and story splitting, pair programming, test driven development, and clean code. Being a culture carrier for an inclusive and collaborative team-based development model that experiments and learns from setbacks. Proficiency in multiple modern programming languages, ideally including one of Go, Python, React, Java, Experience working with modern private & public cloud infrastructure platforms - Kubernetes, AWS EKS / GCP GKE ecosystems a plus, Terraform and other automation tools Knowledge of industry-wide technology trends and best practices Passionate about learning new skills and technologies "
4,JPM,"Senior C++ Software Engineer, Lead Software Engineer IV"," Bachelor’s degree in Computer Science, Computer Engineering, or applicable degree, plus a minimum of 10 years of relevant experience; or Master's degree plus a minimum of 8 years of relevant experience. Experience with profiling and optimizing source code. Strong fundamentals in data structures and algorithms Thorough understanding of software engineering concepts, principles, and theories. Expert at applying technical standards and methodologies to resolve issues in creative ways and help company meet financial and business objectives. Experience with Cloud technologies such as AWS or Azure. Demonstrated knowledge of software tools supporting Integrated Development Environments (IDE), version control, defect reporting and scripting. Agile experience preferred. Excellent communication skills. Very strong knowledge of technology trends and the ability to champion new ideas, products and process improvements. Ability to effectively handle complex assignments. Creative thinking with the ability to effectively multi-task. ",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/preview/210391823/?keyword=software+engineer&location=United+States&locationId=300000000289738&locationLevel=country," Bachelor’s degree in Computer Science, Computer Engineering, or applicable degree, plus a minimum of 10 years of relevant experience; or Master's degree plus a minimum of 8 years of relevant experience. Experience with profiling and optimizing source code. Strong fundamentals in data structures and algorithms Thorough understanding of software engineering concepts, principles, and theories. Expert at applying technical standards and methodologies to resolve issues in creative ways and help company meet financial and business objectives. Experience with Cloud technologies such as AWS or Azure. Demonstrated knowledge of software tools supporting Integrated Development Environments (IDE), version control, defect reporting and scripting. Agile experience preferred. Excellent communication skills. Very strong knowledge of technology trends and the ability to champion new ideas, products and process improvements. Ability to effectively handle complex assignments. Creative thinking with the ability to effectively multi-task. "
5,JPM,Lead Software Engineer," Collaborate with other team members in an Agile environment interacting with business owners and other technology teams Engage with designers, front-end engineers, leading back-end engineers to create reliable APIs Deliver technical solutions based on the business requirement by getting involved in the full development life cycle of analysis, design, testing and implementation of various projects Work across the full stack, building highly scalable distributed solutions that enable positive user experiences and measurable business growth Develop new features and infrastructure development in support of rapidly emerging business and project requirements Deliver application performance, uptime, and scale, maintaining high standards of code quality and thoughtful application design Support production environment for stability when required by troubleshooting application code-related issues, and mentor junior team members Formal training or certification on software engineering concepts and 5+ years of full stack experience in developing software in Java, object-oriented analysis and design techniques, and Rest APIs Hands-on experience in Oracle SQL, PL/SQL or other Database technologies including query optimization        Hands-on experience creating micro services using springboot or spring framework Preferred experience working with REACT/Redux/Javascript ",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/preview/210391964/?keyword=software+engineer&location=United+States&locationId=300000000289738&locationLevel=country," Collaborate with other team members in an Agile environment interacting with business owners and other technology teams Engage with designers, front-end engineers, leading back-end engineers to create reliable APIs Deliver technical solutions based on the business requirement by getting involved in the full development life cycle of analysis, design, testing and implementation of various projects Work across the full stack, building highly scalable distributed solutions that enable positive user experiences and measurable business growth Develop new features and infrastructure development in support of rapidly emerging business and project requirements Deliver application performance, uptime, and scale, maintaining high standards of code quality and thoughtful application design Support production environment for stability when required by troubleshooting application code-related issues, and mentor junior team members Formal training or certification on software engineering concepts and 5+ years of full stack experience in developing software in Java, object-oriented analysis and design techniques, and Rest APIs Hands-on experience in Oracle SQL, PL/SQL or other Database technologies including query optimization        Hands-on experience creating micro services using springboot or spring framework Preferred experience working with REACT/Redux/Javascript "
9,JPM,Software Engineer III," Executes software solutions, design, development, and technical troubleshooting with ability to think beyond routine or conventional approaches to build solutions or break down technical problems Creates secure and high-quality production code and maintains algorithms that run synchronously with appropriate systems Produces architecture and design artifacts for complex applications while being accountable for ensuring design constraints are met by software code development Gathers, analyzes, synthesizes, and develops visualizations and reporting from large, diverse data sets in service of continuous improvement of software applications and systems Proactively identifies hidden problems and patterns in data and uses these insights to drive improvements to coding hygiene and system architecture Contributes to software engineering communities of practice and events that explore new and emerging technologies Adds to team culture of diversity, equity, inclusion, and respect Formal training or certification on software engineering concepts and 3+ years applied experience Hands-on practical experience in system design, application development, testing, and operational stability Proficient in coding in one or more languages Experience in developing, debugging, and maintaining code in a large corporate environment with one or more modern programming languages and database querying languages Overall knowledge of the Software Development Life Cycle Solid understanding of agile methodologies such as CI/CD, Applicant Resiliency, and Security Demonstrated knowledge of software applications and technical processes within a technical discipline (e.g., cloud, artificial intelligence, machine learning, mobile, etc.) Familiarity with modern front-end technologies Exposure to cloud technologies ",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/preview/210391021/?keyword=software+engineer&location=United+States&locationId=300000000289738&locationLevel=country," Executes software solutions, design, development, and technical troubleshooting with ability to think beyond routine or conventional approaches to build solutions or break down technical problems Creates secure and high-quality production code and maintains algorithms that run synchronously with appropriate systems Produces architecture and design artifacts for complex applications while being accountable for ensuring design constraints are met by software code development Gathers, analyzes, synthesizes, and develops visualizations and reporting from large, diverse data sets in service of continuous improvement of software applications and systems Proactively identifies hidden problems and patterns in data and uses these insights to drive improvements to coding hygiene and system architecture Contributes to software engineering communities of practice and events that explore new and emerging technologies Adds to team culture of diversity, equity, inclusion, and respect Formal training or certification on software engineering concepts and 3+ years applied experience Hands-on practical experience in system design, application development, testing, and operational stability Proficient in coding in one or more languages Experience in developing, debugging, and maintaining code in a large corporate environment with one or more modern programming languages and database querying languages Overall knowledge of the Software Development Life Cycle Solid understanding of agile methodologies such as CI/CD, Applicant Resiliency, and Security Demonstrated knowledge of software applications and technical processes within a technical discipline (e.g., cloud, artificial intelligence, machine learning, mobile, etc.) Familiarity with modern front-end technologies Exposure to cloud technologies "
14,JPM,Lead Software Engineer," BS/BA degree or equivalent experience Expertise in application, data, and infrastructure architecture disciplines Advanced knowledge of architecture and design across all systems Proficiency in multiple modern programming languages Knowledge of industry-wide technology trends and best practices Keen understanding of financial control and budget management Ability to work in large, collaborative teams to achieve organizational goals Passionate about building an innovative culture ",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/preview/210384180/?keyword=software+engineer&location=United+States&locationId=300000000289738&locationLevel=country," BS/BA degree or equivalent experience Expertise in application, data, and infrastructure architecture disciplines Advanced knowledge of architecture and design across all systems Proficiency in multiple modern programming languages Knowledge of industry-wide technology trends and best practices Keen understanding of financial control and budget management Ability to work in large, collaborative teams to achieve organizational goals Passionate about building an innovative culture "
15,JPM,Lead Software Engineer," BS/BA degree or equivalent experience Expertise in application, data, and infrastructure architecture disciplines Advanced knowledge of architecture and design across all systems Proficiency in multiple modern programming languages Knowledge of industry-wide technology trends and best practices Keen understanding of financial control and budget management Ability to work in large, collaborative teams to achieve organizational goals Passionate about building an innovative culture ",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/preview/210385450/?keyword=software+engineer&location=United+States&locationId=300000000289738&locationLevel=country," BS/BA degree or equivalent experience Expertise in application, data, and infrastructure architecture disciplines Advanced knowledge of architecture and design across all systems Proficiency in multiple modern programming languages Knowledge of industry-wide technology trends and best practices Keen understanding of financial control and budget management Ability to work in large, collaborative teams to achieve organizational goals Passionate about building an innovative culture "
16,JPM,Lead Software Engineer," BS/BA degree or equivalent experience Expertise in application, data, and infrastructure architecture disciplines Advanced knowledge of architecture and design across all systems Proficiency in multiple modern programming languages Knowledge of industry-wide technology trends and best practices Keen understanding of financial control and budget management Ability to work in large, collaborative teams to achieve organizational goals Passionate about building an innovative culture ",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/preview/210386396/?keyword=software+engineer&location=United+States&locationId=300000000289738&locationLevel=country," BS/BA degree or equivalent experience Expertise in application, data, and infrastructure architecture disciplines Advanced knowledge of architecture and design across all systems Proficiency in multiple modern programming languages Knowledge of industry-wide technology trends and best practices Keen understanding of financial control and budget management Ability to work in large, collaborative teams to achieve organizational goals Passionate about building an innovative culture "
17,JPM,Software Engineer - Lead," BS/BA degree or equivalent experience Expertise in application, data, and infrastructure architecture disciplines Advanced knowledge of architecture and design across all systems Proficiency in multiple modern programming languages Knowledge of industry-wide technology trends and best practices Keen understanding of financial control and budget management Ability to work in large, collaborative teams to achieve organizational goals Passionate about building an innovative culture ",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/preview/210389292/?keyword=software+engineer&location=United+States&locationId=300000000289738&locationLevel=country," BS/BA degree or equivalent experience Expertise in application, data, and infrastructure architecture disciplines Advanced knowledge of architecture and design across all systems Proficiency in multiple modern programming languages Knowledge of industry-wide technology trends and best practices Keen understanding of financial control and budget management Ability to work in large, collaborative teams to achieve organizational goals Passionate about building an innovative culture "
