,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,JnJ,Technical Lead Engineer - IoT & Cloud," Accountable for the strategy and direction of Device Engineering deliverables throughout design and development across the projects in the Digital Surgery Platform (DSP) portfolio. Plan and allocate resources to effectively staff and accomplish the work to meet departmental goals. Organize and prioritize the deliverables, communicate these to the development teams, and define and validate device engineering performance goals. Coordinate the efforts to drive and build user-centric product vision, testing, procedural development. Maintain a standard engineering toolset, using J&J enterprise standards where applicable, and leading the adoption of new-to-J&J technologies where appropriate. Lead DevSecOps technology decisions. Guide the teams in making appropriate language choices, and ensure the toolset and pipeline framework supports the languages in use across the platform. Act as a coach and servant leader to the distributed DSP device team, and the engineering organization. Mentor junior members of the engineering staff to expand design team abilities and establish good working practices. Define and maintain a standard CI/CD framework (for example, including standard stages and quality gates). Increase reuse and consistency of CI/CD artifacts, and minimize dependencies between teams, through the use of parameterized pipeline modules and an outside-in, approach to deployment and provisioning. Define and implement a comprehensive test strategy, encompassing unit test, functional test, system and integration testing, performance testing, etc. Implement a shift-left strategy, applying tools and techniques such as code scanning to improve security and identify issues earlier in the lifecycle. Guide and support teams in automating common tasks and service requests. Partner with operations teams to adopt a Site Reliability Engineering approach. Ensure the engineering pipelines support the traceability and other requirements of the Quality Management System, in an efficient manner and without compromising the broader quality approach (e.g. through inappropriate use of UI-based testing). Automate and integrate with other systems (Jira/X-Ray for test evidence and ServiceNow) where this will improve efficiency or reduce manual error. Lead the adoption of CI/CD, with a particular focus on reducing cycle time and improving reliability of the deployment and release processes. Own the processes and design for version control, branching and integration, repositories and artifact management. Engage in the architecture and design of the platform, as a member of the architecture team. Thought Leader for the broader JJT engineering and device engineering community and Ensure the Digital Surgery program learns from and gives back to the broader community. Advisor and SME to the broader MedTech R&D/IT engineering strategy, for example on the tradeoffs between standardization/reuse and decoupling/independence, from an engineering practitioner’s perspective. Research and stay ahead of emerging technology, industry, and regulatory trends to build a competitive advantage. A Bachelor's degree in Computer Science, Computer Engineering, or equivalent degree is required. Minimum 5 years of experience in software product development. At least 3 years of experience with cloud-based engineering. Strong Java knowledge, software engineering and debugging skills. Experience with Python preferred. Working experience with PyTest or other test automation / RPA frameworks. Deep understanding of modern engineering practices across test, configuration-as-code, and DevSecOps and CI/CD more generally. Ability to solve complex problems required. Highly organized and methodological, scientific approach. Validated experience of managing a team to mature their test and engineering practices. Experience with medical devices and IoMT (Internet of Medical Things). Azure experience is a strong advantage. Experience as a systems engineer bringing robotics systems through the development lifecycle, from concept to release. Experience modeling and/or simulating system functionality and performance. Experience with computer architecture, networking, and common communications protocols. Must be adept at handling complexity and ambiguity. Must be skilled in building strong multi-functional partnerships. Must have excellent interpersonal & communication skills (written and oral). ",https://jobs.jnj.com/en/jobs/2306107638w/technical-lead-engineer-iot-cloud/," Accountable for the strategy and direction of Device Engineering deliverables throughout design and development across the projects in the Digital Surgery Platform (DSP) portfolio. Plan and allocate resources to effectively staff and accomplish the work to meet departmental goals. Organize and prioritize the deliverables, communicate these to the development teams, and define and validate device engineering performance goals. Coordinate the efforts to drive and build user-centric product vision, testing, procedural development. Maintain a standard engineering toolset, using J&J enterprise standards where applicable, and leading the adoption of new-to-J&J technologies where appropriate. Lead DevSecOps technology decisions. Guide the teams in making appropriate language choices, and ensure the toolset and pipeline framework supports the languages in use across the platform. Act as a coach and servant leader to the distributed DSP device team, and the engineering organization. Mentor junior members of the engineering staff to expand design team abilities and establish good working practices. Define and maintain a standard CI/CD framework (for example, including standard stages and quality gates). Increase reuse and consistency of CI/CD artifacts, and minimize dependencies between teams, through the use of parameterized pipeline modules and an outside-in, approach to deployment and provisioning. Define and implement a comprehensive test strategy, encompassing unit test, functional test, system and integration testing, performance testing, etc. Implement a shift-left strategy, applying tools and techniques such as code scanning to improve security and identify issues earlier in the lifecycle. Guide and support teams in automating common tasks and service requests. Partner with operations teams to adopt a Site Reliability Engineering approach. Ensure the engineering pipelines support the traceability and other requirements of the Quality Management System, in an efficient manner and without compromising the broader quality approach (e.g. through inappropriate use of UI-based testing). Automate and integrate with other systems (Jira/X-Ray for test evidence and ServiceNow) where this will improve efficiency or reduce manual error. Lead the adoption of CI/CD, with a particular focus on reducing cycle time and improving reliability of the deployment and release processes. Own the processes and design for version control, branching and integration, repositories and artifact management. Engage in the architecture and design of the platform, as a member of the architecture team. Thought Leader for the broader JJT engineering and device engineering community and Ensure the Digital Surgery program learns from and gives back to the broader community. Advisor and SME to the broader MedTech R&D/IT engineering strategy, for example on the tradeoffs between standardization/reuse and decoupling/independence, from an engineering practitioner’s perspective. Research and stay ahead of emerging technology, industry, and regulatory trends to build a competitive advantage. "
1,JnJ,Senior Technical Writer," Works without appreciable supervision. Writes, edits, and formats instructions for use documentation. Works within the confines of the Quality System policy as well as global regulatory requirements and complies with company style guide and branding requirements. Collaborates with a cross-functionally product development team to acquire source material and information to develop understanding of the products. Manages complex labeling-related programs, schedules, milestones, inter-dependencies, and deliverables. Coordinates with translation/localization suppliers to meet publication schedules. Reports status on assigned projects and assures that the quality of service meets internal and external customer requirements. Bachelor’s Degree, in a relevant technical subject area, scientific or technical communications, English, or equivalent. A minimum of 6+ years of progressively more responsible experience as a technical writer in a medical or high tech environment Strong prioritization skills and the ability to handle a large volume of projects simultaneously and meet deadlines as well as the ability to communicate effectively with all levels of employees. Comprehensive written and verbal communication, interpersonal, presentation, analytical, organization, follow-up, and project management skills. Must be highly organized and attentive to detail. Technical aptitude for learning new tools and systems. Ability to work in a fast-paced and changing environment. Experience working in a highly regulated environment is preferred. Solid understanding of software used for writing, publishing, graphics, and photo editing; experience writing with DITA concepts and working within a content management system is preferred Up to 10% Domestic Travel ",https://jobs.jnj.com/en/jobs/2206095838w/senior-technical-writer/," Works without appreciable supervision. Writes, edits, and formats instructions for use documentation. Works within the confines of the Quality System policy as well as global regulatory requirements and complies with company style guide and branding requirements. Collaborates with a cross-functionally product development team to acquire source material and information to develop understanding of the products. Manages complex labeling-related programs, schedules, milestones, inter-dependencies, and deliverables. Coordinates with translation/localization suppliers to meet publication schedules. Reports status on assigned projects and assures that the quality of service meets internal and external customer requirements. "
2,JnJ,IT Manager Technology Services IT Leader," Delivery of “Build, Operate and Manage” services for Global and Regional and site-based Manufacturing and Lab systems, ensuring quality and timely delivery of services to customers. Perform assessment, develop plan, execute and maintain transition of Manufacturing Services from Business Technology professionals to Shared Services. Determine optimization opportunities and execute to result in reduced Total cost of ownership while maintain established Service Levels Manage extended, global, enterprise teams of internal and external professionals. Delivery on best practices and solutions to align to standards of Shared Services organization. Deliver the new Shared Services organization to align with the current J&J IT Strategy including development of OGSM’s, organizational strategy and lean operations Management of the contracted support and delivery teams to maximize value Support and delivery for existing manufacturing systems to ensure sites operate to business needs and issues are resolved as they arise Provide innovative ways of problem solving and implementing system improvements. Act as subject matter expert on technical architectures and service platforms.  Ensure all applicable systems are validated by working with Quality Assurance and Regulatory Affairs departments and internal IT SME’s. Partner with Product Line Owners to define and execute Service Lifecycle and roadmap and continuous Improvement Plans for the NA DePuy group of companies. End-to-End delivery of major Manufacturing application and platform Build and Run Services Perform assessment, develop plan, and support models for all Manufacturing systems Determine optimization opportunities and execute to result in reduced Total cost of ownership while maintain established Service Levels. Establish standard processes. Manage extended, global, enterprise teams of internal and external professionals. Participate in the business planning activities (budgets, projects and resource planning). Interview, hire and manage outside contractors as required. Execute Vendor optimization strategies and optimized support models Ensure execution excellence in the delivery of I/T objectives and delivering. Ensure IT compliance (WICO, HIPAA, GXP, 21 CFR Part 11, WICO, Records Management, SOX, SDLC, CSV) requirements in all activities and solutions. Delivery on best practices and solutions to align to standards of the Shared Services organizations. Deliver the new AS QA Support Services organization to align with the current J&J IT Strategy including development of OGSM’s, organizational strategy and lean operations Minimum BS/BA in Computer Science or equivalent required Training with certification (Green or Black Belt) in Process and/or Design Excellence preferred Training in Process Mapping and Design preferred Working knowledge of IT Service Management frameworks including but not limited to ITIL preferred 5-8 years’ experience supporting Information Technology in Supply Chain/Manufacturing companies Experience in manufacturing and lab application development and support system Experience in organizational design, deployment and management preferred Experience in large program management and delivery with benefits delivered as committed required Working experience in a GXP and validated manufacturing environment Proven track record in optimizing processes and delivering upon cost reduction challenges required Strong communication skills required including at the executive level required Understanding of Agile methodologies and DevOps concepts preferred. 20% travel required. ",https://jobs.jnj.com/en/jobs/2306104484w/it-manager-technology-services-it-leader/," Delivery of “Build, Operate and Manage” services for Global and Regional and site-based Manufacturing and Lab systems, ensuring quality and timely delivery of services to customers. Perform assessment, develop plan, execute and maintain transition of Manufacturing Services from Business Technology professionals to Shared Services. Determine optimization opportunities and execute to result in reduced Total cost of ownership while maintain established Service Levels Manage extended, global, enterprise teams of internal and external professionals. Delivery on best practices and solutions to align to standards of Shared Services organization. Deliver the new Shared Services organization to align with the current J&J IT Strategy including development of OGSM’s, organizational strategy and lean operations Management of the contracted support and delivery teams to maximize value Support and delivery for existing manufacturing systems to ensure sites operate to business needs and issues are resolved as they arise Provide innovative ways of problem solving and implementing system improvements. Act as subject matter expert on technical architectures and service platforms.  Ensure all applicable systems are validated by working with Quality Assurance and Regulatory Affairs departments and internal IT SME’s. Partner with Product Line Owners to define and execute Service Lifecycle and roadmap and continuous Improvement Plans for the NA DePuy group of companies. "
3,JnJ,Post Doctoral Emerging Technology (MSAT)," Evaluate new PAT sensors Originate, lead and complete projects using mechanistic modeling and/or PAT projects for implementation in manufacturing Collaborate with various other functions within the larger MSAT and R&D teams Develop, validate, and implement high impact models in a GMP environment Develop new strategies for next generation manufacturing Lead activities associated with ongoing multivariate analysis projects Ph.D. with 0-2 years experience in Chemistry, Chemical Engineering, Bioengineering, or related field Training in analytics and statistics to analyze information and draw conclusions based upon their findings Exhibit strong understanding of material characterization methods, including spectroscopy, microscopy, thermal, and physical methods Proficient in programming languages such as R, Matlab, Python are strongly preferred Excellent communication, verbal, written, and presentation skills are required ",https://jobs.jnj.com/en/jobs/2306106781w/post-doctoral-emerging-technology-msat/," Evaluate new PAT sensors Originate, lead and complete projects using mechanistic modeling and/or PAT projects for implementation in manufacturing Collaborate with various other functions within the larger MSAT and R&D teams Develop, validate, and implement high impact models in a GMP environment Develop new strategies for next generation manufacturing Lead activities associated with ongoing multivariate analysis projects "
4,JnJ,Senior Technology Auditor," Perform audits with limited supervision from IT Audit Managers and Leads. Often leads a team of auditors during audit engagements providing guidance, delegation, and feedback. Independently assesses the design and operating efficiency of internal controls over financial reporting. Coordinate and manage interactions with multi-functional and cross-geographical teams, internally and externally, as necessary. Coordinates & performs ongoing control testing consistent with the J&J SOX 404 program guidelines. Capture and analyze information to identify key risks and corresponding controls. Systematically test and evaluate controls to verify operations efficiency and effectiveness, information reliability, and compliance with applicable laws and regulations. Recommend control improvements. Communicate findings and recommendations to management. Document audit work using automated audit management tools. Follow-up on the status of the remediation plan. Identifies internal control standard methodologies and promotes their adoption across the enterprise. A Bachelor's degree (BA/BS) is required A minimum of 2 years of information technology, audit, or assurance and advisory experience is required, preferably with a Big 4 or leading risk advisory/ public accounting firm. A good understanding of IT & Information Security Management Frameworks is required. Experience interacting with all levels of management is required. Experience in Cyber Security risk and control is preferred. Experience with SAP HANA is preferred. Analytical skills; specifically, the ability to assess and decompose processes utilizing a risk and control focus. Exposure or understanding of internal control concepts and processes with practical experience in regulatory compliance, internal audits, risk management, process improvement preferred. High level of self-confidence, strong people and client management skills and proven leadership ability, strong influencing skills. Professional security, audit, or control-related certification, such as CISSP, CISA, CRISC, or CIA, is strongly preferred. Excellent presentation and written communication skills. Must have the ability to work in a highly collaborative, team-oriented environment. Willingness to travel domestically and internationally is required (up to 40%). ",https://jobs.jnj.com/en/jobs/2206071847w/senior-technology-auditor/," Perform audits with limited supervision from IT Audit Managers and Leads. Often leads a team of auditors during audit engagements providing guidance, delegation, and feedback. Independently assesses the design and operating efficiency of internal controls over financial reporting. Coordinate and manage interactions with multi-functional and cross-geographical teams, internally and externally, as necessary. Coordinates & performs ongoing control testing consistent with the J&J SOX 404 program guidelines. Capture and analyze information to identify key risks and corresponding controls. Systematically test and evaluate controls to verify operations efficiency and effectiveness, information reliability, and compliance with applicable laws and regulations. Recommend control improvements. Communicate findings and recommendations to management. Document audit work using automated audit management tools. Follow-up on the status of the remediation plan. Identifies internal control standard methodologies and promotes their adoption across the enterprise. "
5,JnJ,Technical Product Owner SAP FICO (IT Senior Manager) - Account to Report (1 of 2)," Vision & Strategy Definition: shaping a ‘future proof’ finance business vision, strategy & capability roadmaps, and corresponding technology strategy & product roadmaps with significant decision-making latitude Business Problem Definition: understanding and translating business problems faced by the finance function into a value case & comprehensive set of solutions spanning process, technology, data, governance & user experience supported by defined, baselined value realization key performance indicators External Insights: understanding external trends and insights related to finance process & technology, including macro level shifts in compliance regimes (e.g. BEPS, SAF-T, US Tax Reform) to provide foresight necessary to inform strategies Solution Design: ensuring that product development efforts incorporate an approach that starts with experimentation to validate expected impact, includes human centered design, embraces agile principles, incorporates external insights, required end to end process optimizations, and compliance engagement Value Realization: defining expected value impact of investments across employee experience, functional excellence, efficiency, and compliance Architecture: partnering with the finance architecture team to define the role each system plays within our landscape aligned with business capabilities Internal Partnerships: acting as the primary trusted advisor to senior finance & technology leaders across all lifecycles of product development starting with inception through to value realization & ongoing continuous improvement, and communication of progress against strategic objectives Product Management: partnering with product management teams to ensure roadmaps are oriented to deliver finance business & technology strategy, value creation objectives, and measurable key performance indicators External Partnerships: managing vendor relationships to influence development roadmaps & ensure that our needs will be met by our technology partners Team Leadership: lead a team of finance technology strategy professionals across multiple domains S/4 HANA SAP Central Finance SAP FICO Data strategy, governance, technology, and process definition Close optimization & continuous accounting 7+ years required of relevant experience in managing technical and / or finance teams; strong leadership, communication and interpersonal skills; effective manager of people and strong team-building skills. BA/BS degree is required. Master’s Degree with focus on Computer Science or Computer Engineering; MBA is preferred. Technical familiarity in the following is preferred: S/4 HANA, SAP Central Finance, Data strategy, governance, and technology Experience with process definition/business analysis is required SAP FICO expertise is required Financial accounting knowledge is essential 20 – 30% business travel expected ",https://jobs.jnj.com/en/jobs/2206087296w/technical-product-owner-sap-fico-it-senior-manager-account-to-report-1-of-2/," Vision & Strategy Definition: shaping a ‘future proof’ finance business vision, strategy & capability roadmaps, and corresponding technology strategy & product roadmaps with significant decision-making latitude Business Problem Definition: understanding and translating business problems faced by the finance function into a value case & comprehensive set of solutions spanning process, technology, data, governance & user experience supported by defined, baselined value realization key performance indicators External Insights: understanding external trends and insights related to finance process & technology, including macro level shifts in compliance regimes (e.g. BEPS, SAF-T, US Tax Reform) to provide foresight necessary to inform strategies Solution Design: ensuring that product development efforts incorporate an approach that starts with experimentation to validate expected impact, includes human centered design, embraces agile principles, incorporates external insights, required end to end process optimizations, and compliance engagement Value Realization: defining expected value impact of investments across employee experience, functional excellence, efficiency, and compliance Architecture: partnering with the finance architecture team to define the role each system plays within our landscape aligned with business capabilities Internal Partnerships: acting as the primary trusted advisor to senior finance & technology leaders across all lifecycles of product development starting with inception through to value realization & ongoing continuous improvement, and communication of progress against strategic objectives Product Management: partnering with product management teams to ensure roadmaps are oriented to deliver finance business & technology strategy, value creation objectives, and measurable key performance indicators External Partnerships: managing vendor relationships to influence development roadmaps & ensure that our needs will be met by our technology partners Team Leadership: lead a team of finance technology strategy professionals across multiple domains "
6,JnJ,TECHNOLOGY SOLUTION LEAD DATA SOLUTIONS," Optimize flow and communications across iterations and Product Increments (PI) Facilitate PI Planning via synthesis of Vision, Roadmap and Backlogs Periodic synchronization across Release Trains & Solution Trains, with Inspect & Adapt workshops Assist with economic decision making by facilitating feature and capability estimation Call out and resolve blocks or impediments Facilitate System Demos and Solution Demos Driving Agile delivery, working in partnership with the Product Owner and Solution / Data Engineer roles to handle risk in the backlog. Subject Matter specialist in data platform solutions offered throughout Johnson & Johnson Technology Bachelor’s degree required; in the field Information Technology, Computer Science, Business or related field preferred 4-6 years of Business and IT Experience At least 5 years’ experience with developing data solution required, preferably in a highly regulated environment. Experience building solutions with AWS full stack and other cloud technologies like Azure Ensure Cloud standards are used like, ensure high availability, scalability and optimization of cloud servers using load balancers, restore & back up processes, right-sizing etc Lead architecture design that is scalable to the region, sector, and franchise level Look for innovative solutions in the market to address business needs Ensure the business and technical solution architecture is complete and fit-for-purpose in terms of its ability to address partner requirements Work with architecture team to ensure that security and technical architectures are in line with the overall business needs and strategy Lead all aspects of delivery of business technology projects and the ongoing operation of cohesive, coordinated solutions with full JJT engagement Coordinate for moving of code through environments and into production (e.g. release process) Lead effort to Technology Services schedule and financial budgets (lean budgets) Coordinate Change Control and Risk Management Processes Partner with Product Owners and Functional Leads across multiple verticals to craft & design IT solutions Lead multi-functional teams to drive them to a solution that addresses the business needs High level of flexibility to ensure responsibility for the shape and design of projects required throughout any multi area of the business and cross PLs solutions. Communicate within the technical and business communities with ability to interpret, develop and present information to multiple audiences Experience working with external partners to bring products/services to market. Certifications in key processes and technologies in the value stream, including but not limited to Cloud technologies like Azure, AWS. Experience with GxP platforms and SOX compliance This position requires up to 10% travel. ",https://jobs.jnj.com/en/jobs/2306103854w/technology-solution-lead-data-solutions/," Optimize flow and communications across iterations and Product Increments (PI) Facilitate PI Planning via synthesis of Vision, Roadmap and Backlogs Periodic synchronization across Release Trains & Solution Trains, with Inspect & Adapt workshops Assist with economic decision making by facilitating feature and capability estimation Call out and resolve blocks or impediments Facilitate System Demos and Solution Demos Driving Agile delivery, working in partnership with the Product Owner and Solution / Data Engineer roles to handle risk in the backlog. Subject Matter specialist in data platform solutions offered throughout Johnson & Johnson Technology "
8,JnJ,Technical Product Owner – IT Manager - Blackline and Core Finance," Bachelor’s degree is required. Preferably in Information Technology, Computer Science, Business or related field. A minimum of 5 years of professional business experience and IT experience/leadership Previous people management and strong team-building skills Prior work experience in developing tools that support financial closing process for SAP/ERP system Experience with all aspects of the product development lifecycle as well as Agile methodology Must be able to motivate and inspire people and make tough decisions, when necessary, in a timely manner. Strong leadership, communication, and interpersonal skills Experience working on SAAS applications, such as BLACKLINE and Bravo Experience working with external partners to bring products/services to market Master’s Degree with focus on Computer Science or Computer Engineering; MBA. ",https://jobs.jnj.com/en/jobs/2306099063w/technical-product-owner-it-manager-blackline-and-core-finance/," Bachelor’s degree is required. Preferably in Information Technology, Computer Science, Business or related field. A minimum of 5 years of professional business experience and IT experience/leadership Previous people management and strong team-building skills Prior work experience in developing tools that support financial closing process for SAP/ERP system Experience with all aspects of the product development lifecycle as well as Agile methodology Must be able to motivate and inspire people and make tough decisions, when necessary, in a timely manner. Strong leadership, communication, and interpersonal skills "
9,JnJ,"Sr. Technology Product Manager, Adv. Therapies"," Technology leadership across the entire product development lifecycle, from conceptualization to launch and beyond. This involves working closely with cross-functional business and technology teams, internal & external. Develop a product strategy, incorporating AT industry standard methodologies & lessons to accelerate the therapy launch & scale-up in alignment with SC business goals. You will also need to define product requirements, prioritize features, and ensure that the product is delivered on time and within budget. Maintain relationship with key business partners in Advanced therapies, including Partnerships and External Supply, Vein to Vein, Plan, Procurement, External Quality and Legal business leaders Lead the IT-to-IT engagement with external manufacturing/SC partners Leverage / adapt existing capabilities and strategic programs in other technology platforms to accelerate the technology delivery for AT. Collaborate with business leads and key Product Lines (Supply Chain Integration, Advanced Analytics, ERP, etc.) to confirm requirements and assign body of work Sit on the External Manufacturing Firewall Governance for IT in close collaboration with IT Security & Risk Management. Help to define the technical onboarding process for Cell Therapy External Manufacturing, with a focus on CAR-T manufacturing Support the development of departmental tools, including dashboards, onboarding tools, information management tools, and communication tools Lead program activities, including kickoff meetings, recurring status meetings, executive sponsor meetings, reporting, risk tracking, steering committee meetings, and conflict resolution Co-create detailed plans with your team, identifying critical paths and timing while meeting strategic intent and achieving key achievements in the production of CAR-T therapies Manage resources to achieve program/project results and coordinate project communication Ensure problem solving and decision making addressing major risks and issues by identifying, documenting, resolving, communicating, or advancing to senior leadership when appropriate Collaborate with key team members and foster diverse and inclusive high-performance teams! Bachelor's degree in a relevant field, such as engineering, computer science, or business or relevant experience 7+ years of experience in technical program/project management, preferably in a Supply Chain environment. Experience in technology integrations and program delivery Strong analytical and problem-solving skills Excellent communication and interpersonal skills Ability to work effectively in a team environment and build strong relationships with stakeholders Demonstrated ability to lead and motivate team members Experience with data analysis and visualization tools is a plus Knowledge of autologous cell therapy manufacturing is highly preferred Proven experience with Multi Echelon Supply Chain Business Networks and other end-to-end planning & supply chain integration technologies Language requirements – English - proficiency needed to operate confidently at a senior level in global business. Travel percentage 25% – mixed national / international. ",https://jobs.jnj.com/en/jobs/2306107427w/sr-technology-product-manager-adv-therapies/," Technology leadership across the entire product development lifecycle, from conceptualization to launch and beyond. This involves working closely with cross-functional business and technology teams, internal & external. Develop a product strategy, incorporating AT industry standard methodologies & lessons to accelerate the therapy launch & scale-up in alignment with SC business goals. You will also need to define product requirements, prioritize features, and ensure that the product is delivered on time and within budget. Maintain relationship with key business partners in Advanced therapies, including Partnerships and External Supply, Vein to Vein, Plan, Procurement, External Quality and Legal business leaders Lead the IT-to-IT engagement with external manufacturing/SC partners Leverage / adapt existing capabilities and strategic programs in other technology platforms to accelerate the technology delivery for AT. Collaborate with business leads and key Product Lines (Supply Chain Integration, Advanced Analytics, ERP, etc.) to confirm requirements and assign body of work Sit on the External Manufacturing Firewall Governance for IT in close collaboration with IT Security & Risk Management. "
10,JnJ,"Senior Scientist, Cell Therapy Process Developmet & Tech Transfer"," Support technology transfer of autologous T-cell derived cell therapies processes to internal and CDMO clinical manufacturing Leverage own experience in cell therapy process development to guide autologous platform and process development efforts focused on T-cell derived effector cells As a leader; mentor and train team members on technology transfer, manufacturing support and troubleshooting/investigations; including support for person in plant activities as required Drive successful technology transfer activities, writing protocols, reports, and performing and coordinating activities to support successful manufacturing with internal and external partners Directly support implementation and execution of automated end-to-end manufacturing processes, working directly with equipment vendors and internal resources to ensure successful outcomes. Expertise with existing and emerging systems in this space together with troubleshooting is required Collaborate with and participate in cross-functional teams to facilitate IND-enabling, clinical Phase I/II-enabling activities as well as BLA enabling workstreams Identify, critically assess and evaluate opportunities to improve manufacturing outcomes such as improving success rate, throughput, reducing cost, process time and product quality of the final drug product Communicate program progress and issues to management, to regulatory agencies as necessary, and at national conferences as appropriate Other duties, as necessary PhD in Immunology, Biological Sciences or Biomedical Engineering with at least 5 years of relevant industry experience (academic experience post-graduate also considered) OR MS in Biological Sciences, in Biological Sciences, Biomedical Engineering or Immunology and with at least 8 years of industry experience (relevant academic experience also considered) OR a BS in Biological Sciences, Biomedical Engineering or Immunology and with at least 10 years of industry experience is required. Knowledge of biology/immunology/biochemistry as applied in cell and gene therapy processes is required Knowledge and experience in autologous CAR-T cell therapy manufacturing and technology transfer is required Prior hands-on experience with automation equipment and end-to-end systems is required; expertise in their operations in both process development and manufacturing environments for cell therapies is highly advantageous S/he must be detail-oriented, highly organized and able to manage multiple tasks, handle tight timelines and deliver quality data. Must have excellent communication, interpersonal and collaborative skills Demonstrated ability to work in a dynamic environment as a team player with a strong work ethic. Highly adaptable and responsive, and committed to completing tasks in a timely fashion Proven leadership skills and problem-solving experience in cell therapy industry with an emphasis on technology transfer and end-to-end automation is required Occasional weekend work may be required; travel to support technology transfer and person in plant activities will be required ",https://jobs.jnj.com/en/jobs/2206084306w/senior-scientist-cell-therapy-process-developmet-tech-transfer/," Support technology transfer of autologous T-cell derived cell therapies processes to internal and CDMO clinical manufacturing Leverage own experience in cell therapy process development to guide autologous platform and process development efforts focused on T-cell derived effector cells As a leader; mentor and train team members on technology transfer, manufacturing support and troubleshooting/investigations; including support for person in plant activities as required Drive successful technology transfer activities, writing protocols, reports, and performing and coordinating activities to support successful manufacturing with internal and external partners Directly support implementation and execution of automated end-to-end manufacturing processes, working directly with equipment vendors and internal resources to ensure successful outcomes. Expertise with existing and emerging systems in this space together with troubleshooting is required Collaborate with and participate in cross-functional teams to facilitate IND-enabling, clinical Phase I/II-enabling activities as well as BLA enabling workstreams Identify, critically assess and evaluate opportunities to improve manufacturing outcomes such as improving success rate, throughput, reducing cost, process time and product quality of the final drug product Communicate program progress and issues to management, to regulatory agencies as necessary, and at national conferences as appropriate Other duties, as necessary "
