,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,KPMG,Associate - Instructional Design & Development,". Minimum one year of recent Learning & Development experience preferred; preferably in instructional design or learning asset materials development from a professional services firm. Bachelor's degree in adult education, learning science or related discipline inclusive of instructional design . Must have demonstrated experience designing and developing for various modalities and formats (such as digital, classroom, virtual, blended, simulation, social/collaborative, infographics and supporting guides). Have prior knowledge of designing interactive learning interventions and performance support tools, as well as creating detailed storyboards. Excellent organizational, communications, relationship building and project management skills with the ability to meet tight deadlines, manage heavy workloads and prioritize tasks. Applicants must be currently authorized to work in the United States without the need for visa sponsorship now or in the future",https://www.kpmguscareers.com/jobdetail/?jobId=97252,". Utilize instructional design, adult learning principles and innovative strategies in the conception, design, and development of learning assets. Collaborate with team members and subject matter professionals on course design and development to translate business content into learner-centered experiences. Apply fundamental research skills to instructional design projects. Review learning experiences against outlined training objectives, company brand standards and CPE requirements. Revise training products to see that they reflect an understanding of the diversity of learners and groups of learners. Design and create a variety of materials utilizing desktop publishing software and SCORM compliant authoring tools; facilitate design and development workshops with stakeholders and project teams"
1,KPMG,"Associate Director, Data Strategy Program & Project Execution",". Minimum eight years of recent Program and Project Execution experience; Minimum five years of recent experience in project management in Data Organizations, CDO preferred. Bachelor's degree from an accredited college or university is preferred. Prior knowledge in the management of large, complex IT projects and programs, managing multi-phase, multi-track, high-risk projects with up to 30 project team members concurrently. Experience in execution of Agile-based projects and programs. Ability to develop project plans, manage individual deadlines and goals; Capacity to manage change and effectively communicate to teams; Knowledge of project metrics, including gathering, reporting, trend analysis and creation. Applicants must be currently authorized to work in the United States without the need for visa sponsorship now or in the future",https://www.kpmguscareers.com/jobdetail/?jobId=98358,". Responsible to function as a project and/or program manager with overall responsibility for the successful planning, tracking and execution of multiple, simultaneous, medium to large complexity data & analytic projects. Manage cross project dependencies, risks and issues; Remove barriers for project teams, resolve minor project issues and escalate when required. Establish, manage, and motivate multi-disciplinary project teams as well as positive and collaborative relationships with leadership; Proactively participate in the evolution of improving delivery of solutions to business clients. Demonstrate a clear understanding of both internal and external customer business and work collaboratively to successfully deliver value; Act as point of escalation on projects and for project managers when managing programs to raise awareness and help resolve issues. Incorporate industry best practices, conduct internal and external benchmarking and implement standards, key measures and metrics, Drive adoption and excellence in Agile and Waterfall development methodologies and practices. Integrate new team members; Conduct necessary due diligence and preparation for formal performance development conversations; Be a role model for doing the right things and treating people the right way"
2,KPMG,"Manager, Service Enablement",". Minimum five years of experience leading a Training & Quality Management organization in a global service desk environment; experience in ServiceNow suite of products. Bachelor's degree from an accredited college or university is preferred. Ability to manage change and effectively communicate to teams; advanced knowledge of the broader scope that frames the essential technical area of work with the capacity to use this knowledge to create incremental value; experience in multi-national corporation and prefer native in one or more of Spanish/Hindi/Kannada in addition to English. Good knowledge in strategic solution delivery models to ensure products and/or services continue to innovate and to drive continuous improvement. Excellent verbal/written communication, collaboration, analytical and presentation skills to lead an environment driven by customer service and teamwork; must be able to set goals and participate in strategic initiatives for a team and foster the development of high-performance teams and interface with all levels of the organization; capability to participate in development of resource plans and structures and influence organizational priorities. Must have US Citizenship",https://www.kpmguscareers.com/jobdetail/?jobId=97889,". This role is responsible for defining, developing and executing Agent Training, Call Quality Management, Help Desk Workforce management and related processes for the Digital Desk IT Call Center. Be responsible for helping drive technical outcomes and managing a team of junior and intermediate employees that perform within set technical guidelines and standard operating procedures; set goals, offer feedback, source developmental opportunities and provide long-term career guidance to counselees and others across the department; integrate new team members and connect them to the resources and opportunities to help further their development and career goals; engage regularly with counselees and those they work with to help them continuously improve; work to increase counselees' engagement, job satisfaction, and pride; act as a role model for doing the right things and treating people the right way. Oversee strategies for training, quality, project intake and processes for the call center; Focus is blended between execution and tactical planning and participation in strategic planning; deliver tactical plans and monitor progress; be liable for championing alignment to the applicable strategies and adherence to them, the related commitments, the budget and management of the risk; contribute to innovation that has impact and creates a high financial, client value and efficiency impact within projects or department. Leverage experience and knowledge of ITIL processes such as Knowledge, Incident, Problem and Change Management to define policy and measure adherence, as well as performance and quality associated with policy; develop processes to operationalize new products/services with a focus on establishing KPIs to assess success and delivering training to a large diverse agent population. Utilize advanced technical expertise to execute work product, tactical and strategic planning, and conduct quality assessments of agent interactions with end users and customers to track customer experience and satisfaction, agent ticket quality, and agent skills; apply understanding of business terminology and processes to role; partner with managers to provide coaching to agents to correct deficiencies in knowledge, skills, and abilities. Function as the Digital Desk point of contact and interact regularly with management within the department and staff across BPG/functional process; influence client expectations and share appropriate alternatives, suggestions, and recommendations for improvements, ensuring goals and objectives are met"
3,KPMG,"Senior Associate, Internal Audit",". Minimum three years of work experience in IT, operational and/or financial Auditing. Bachelor's degree or higher from an accredited college/university. Basic knowledge of risks and controls. CISA, CISSP, CPA, CIA or related certifications are preferred. Strong verbal/written communication, problem solving, analytical and independent judgment skills to support an environment driven by customer service and teamwork. Ability to positively influence, mentor and be a credible source of knowledge to less experienced team members",https://www.kpmguscareers.com/jobdetail/?jobId=96416,". Support the audit team in the planning and successful execution of a full range of audits including the preparation or supervision of all audit workpapers and communication of findings and issues to the audit team, as appropriate, on a timely basis. Prepare detailed internal audit engagement budget, track actual time versus the budget and identify overruns. Provide supervision, continuous assistance, and feedback on performance to associates; seek and provide upward feedback. Draft or edit audit reports that summarize the results of testing performed, meeting expectations for accuracy, clarity, conciseness and minimal revision. Maintain an objective mind set and an appropriate level of professional skepticism and perform all work with due care. ​Participate in special projects, and financial, operational and compliance audits as directed"
4,KPMG,"Director, Compensation Design, M&A Strategy",". A minimum of eight years of experience in HR consulting, with a focus on the design, benchmarking, and implementation of compensation programs with a top accounting or human resources consulting firm, with an executive compensation focus. Related in-house experience is also considered. Bachelor's degree from an accredited university/college. Extensive experience in project management including planning, organizing, coordinating, and managing staff, clients, and/or partners towards the successful completion of a project. Has either attained, or is on track to attain, CPA, CCP/CECP, CEP, or other industry specific certification. Highly motivated, self-starter, team player, with positive attitude and strong quantitative, communication and relationship-building skills. Experience in M&A and the financial services/private equity sector. Willingness and ability to travel. Applicants must be currently authorized to work in the United States without the need for visa sponsorship now or in the future",https://www.kpmguscareers.com/jobdetail/?jobId=83540,". Work with the KPMG team and clients to understand current state of rewards programs and help to design and implement future rewards programs based on key business performance and talent objectives. Provide full scope of broad and executive-based compensation consulting services, including assessment, design, governance, technical guidance, and implementation services. Consult on the Rewards components of transaction-related engagements, including estimation of management proceeds / waterfall calculations upon a CIC, development of equity term sheets, benchmarking of roles, and alignment of compensation programs in a transaction context. Lead IPO compensation planning initiatives, including equity plan design, cash incentive plan redesign, and program communications. Lead multiple engagements while providing leadership to client service teams; build and manage strong client relationships with senior management and across client enterprise groups to drive growth; lead the development of new tools and approaches. Oversee and drive development of staff, including being mentor and coach to junior team members"
5,KPMG,"Senior Associate, Global Mobility Junior Project Manager",". Minimum one year of recent experience of IT project management experience. Bachelor's degree in Information Systems or a related discipline from an accredited college/university preferred. Project Management Professional (PMP) certifications preferred. Ability to elicit and document functional and technical requirements to support the transformation and effective design of a business process. Knowledgeable in coordinating across multiple organizations, risk and issue management and managing multiple priorities and experience providing project management services supporting IT Development. Self-starter who can effectively establish a new function and process and the ability to effectively manage and prioritize multiple projects and competing priorities. Ability to travel as required to support firm engagements and applicants must be currently authorized to work in the United States",https://www.kpmguscareers.com/jobdetail/?jobId=98243,". Manage and deliver large, complex client engagements that identify, design and implement creative business and technology services. Develop and implement project management strategies/methodologies (e.g., Agile, Scrum) and solutions for our rapidly growing analytics business with ability to manage full software development life cycle (SDLC). Handle engagement risk, project financials, planning and budgeting, account receivables and definition of deliverable content to help ensure buy-in of proposed solutions from top management levels, client and all project stakeholders. Develop and maintain relationships with senior management, clients as well as colleagues and project stakeholders; develop and maintain project management plans, including related artifacts, to efficiently perform duties and identify risks that could affect project timelines/financial reporting. Evaluate projects from a technical stance, helping to ensure that development methods are correct and practical and evaluate risks related to requirements management, business process definition, testing processes, internal controls, project communications, training and organization change management. Manage the day-to-day interactions with clients, senior management, project staff and stakeholders and complies with all corporate and departmental standard operating procedures"
6,KPMG,Ignition Service Delivery Leader,". Minimum five years of recent and progressing experience managing services and projects for technology related efforts. Bachelor's degree from an accredited college or university is preferred. Working knowledge of agile and waterfall project management processes; user centered design is desired. Ability to maintain composure and customer focus acting as liaison and main point of contact while managing multiple efforts across a large customer group. Proven success in team environments while demonstrating shared responsibility and accountability with other team members. Strong verbal/written communications, with ability to effectively interact with individuals at all levels of responsibility and authority; strong organizational skills with the ability to manage multiple projects simultaneously; ability to participate and manage project planning including resource and defined organizational plans",https://www.kpmguscareers.com/jobdetail/?jobId=96987,". Monitor and manage technology support, Ignition centers, and VIP support functions to ensure optimal service. Provide central management & ownership of technology innovation and support. Take ownership of a central incident, coordinating with resolution parties, and establishing effective communications between stakeholders for incident management including post-incident reviews. Ensure that systems, procedures, and methodologies are in place to support outstanding service delivery and technology innovation advancement. Analyze third-party as well as internal processes and creating strategies and processes for service delivery optimization; provide accurate and regular reports to the management on performance of the service delivery. Assist in managing new technology requests including software and hardware; provide support in managing end user technical process and education efforts"
7,KPMG,"Associate, U.S. Income Tax",". A minimum of one year of experience performing tax research and providing technical advice on multi-state tax or federal income tax issues. Bachelor's degree, J.D., LL.M. in Taxation, and/or Master's in Taxation (MST) from an accredited college/university. Knowledge of the development, planning, and execution of sales and transactions tax refund claims. Desire to perform in a high-energy team environment. Excellent writing, communication, and tax research skills",https://www.kpmguscareers.com/jobdetail/?jobId=96919,". Provide excellent client service to multi-state companies with state and local tax issues, including compliance, advisory services, planning, technology, and controversies. Prepare state sales and use tax returns . Assist multi-state companies with analyzing state tax considerations/impacts related to business restructuring projects. Assist multi-state companies with state and local tax controversies, which includes preparing clients for discussions with auditors, representing the client at hearings and at appeal meetings, and preparing protests. Research and draft technical memoranda regarding state and local tax questions. Provide assistance on large client project engagements"
8,KPMG,"Senior Associate, Third Party Risk",". Minimum three years of recent experience in a Third-Party Risk role. Bachelor's degree from an accredited college/university required; master's degree and other relevant degree/certification desirable; CRVPM or CTPRP preferred. Intermediate/Advanced understanding of Third-Party Risk Programs and solutions supporting a large and regulated institution preferred, preferably financial services. Highly customer service oriented with excellent written and verbal communication skills. Demonstrated analytical, problem solving and organization skills, project management skills desirable. Highest ethical standards with a strong moral compass and a constant focus on doing what is right",https://www.kpmguscareers.com/jobdetail/?jobId=95719,". Work closely with leadership and become a part of a dynamic team, to support the implementation and management of a Third-Party Vendor Risk program for the firm. Collaborate with Sourcing, Risk, business areas and Third-Party Relationship Owners (“TPROs”) to ensure visibility to, and understanding of, key Third Party Risk areas. Coordinate the completion of the Vendor Questionnaires and fulfilment of the due diligence request list with the TPROs, SMEs, sourcing managers and vendors; update and document due diligence tracking with real time status and escalate follow up items to management as needed. Review Financial and Negative news due diligence. Analyze Spend and Vendor Classification data, to determine the Risk Level Classification of the Vendor Work with Vendor Owner/Business unit to ensure correct classification of vendor"
9,KPMG,Tax Director,". A minimum of eight years of experience in mutual fund tax. Bachelor's degree in accounting from an accredited college/university; licensed CPA or J.D./LL.M. (Please note that any candidate hired by KPMG into this position that doesn't currently possess one of the aforementioned credentials/designations will be required to secure one within one year from the commencement of employment). Mutual Fund and/or investment partnership experience. Proficiency in the taxation of corporations, partnerships, and other flow-through entities including reviewing 1120 RIC and 1065 tax returns, including Schedule K-1. Strong verbal and written communication skills, with the ability to articulate complex financial information. Experience managing multiple client engagements and client service teams",https://www.kpmguscareers.com/jobdetail/?jobId=97138,". Build and manage client relationships while managing a portfolio of large clients and acting as a first point of contact for internal and external clients. Manage relationships at a senior level with large clients, advise on tactical issues, have a high level of responsibility for service delivery, and manage teams of tax professionals/assistants working on client projects. Assess the tax impact on clients, develop tax arguments to support conclusions, and suggest recommendations to clients. Manage risk and financial performance of engagement, including billing, collections, and budget for assigned projects. Participate in, and contribute to, market and business activities that are external to the firm while providing direction to, and maintaining, managerial responsibility for a team. Act as a coach and mentor to other tax professionals"
