,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,Microsoft,Senior Test Engineer,". 5+ years of experience in product and test engineering, specialize in ATE test program development. 5+ years of experience in developing integrated circuits (pre-silicon, first silicon bring-up, new product introduction).. 2+ years’ experience in large scale and/or high performance (i.e., AI, machine leaning, neural nets, CPU’s) and/or high power SoCs/chips on advanced process nodes.. Strong presentation and communication skills.. Knowledgeable in DFT and DFM techniques.. Good understanding of bring-up/debug, characterization/manufacturing test (on ATEs).. Advantest V93K experience is a plus. Ability to drive development and bring up test content on mixed signal IP’s is a plus.. Strong probability and statistics background including DOE’s.. Experience in . Leading cross functional teams and understands program/project management.. Managing supply chain, vendors / partners, and Integrated Circuit production.. Experience in system/customer requirements gathering and interfacing.. Device physics background.. Experience with failure analysis, qualification, and yield analysis. Trusted Computer architecture fundamentals/background. Great unit/integration testing skills. Fantastic Linux skills. Background in debugging and optimizing software . Adaptability (responds, explores, constructive attitude) . Growth Mindset (It starts with a belief that everyone can grow and develop) . Customer Focus (anticipates needs and proactively meets expectations) . Drive for results (actively pursues outcome, delivers on commitments) . Influence for impact (communicates, networks, persuades, influences) . Judgement (scope problem, builds & applies knowledge) ",https://careers.microsoft.com/us/en/job/1526181/Senior-Test-Engineer,"Responsibilities:The position will have responsibilities for test engineering for Microsoft silicon that is used in Azure, XBOX and Surface. Test engineering requires experience in end-to-end pre silicon and post silicon development which covers analog/digital test content development, debug, characterization, low yield debug, and test time improvement.The position will have the following responsibility:Expertise in specific/multiple test module such as ATPG, Memory, Functional, IO, AnalogDevelop pre silicon validation test plan (in partnership with design) and post silicon test plan. Be the voice from post silicon team to sign off the required test coverage quality that meets the DPPM goal.Pre silicon simulation of test content usage model and how it gets integrated into ATE flow at wafer and package level. Developing ATE test methods and characterization for test modules. Analyzing test data to identify test program or silicon issues and working with cross functional teams to root cause will also be a focus. ATE level failure triage and debug across silicon, hardware, and software.Define and build failure analysis fault isolation capabilities for new IP/product. Knowledge of system level test is a plus especially when dealing with System level test (SLT) failures and correlation of SLT with ATE test quality. Knowledge of platform, packaging, silicon power management and thermal is a plus and the ability to connect the dots will help in addressing any product quality issues. Customer obsessedWe will learn about our customers and their businesses with a beginner’s mind and then bring solutions that meet their needs. We will be insatiable in our desire to learn from the outside and bring it into Microsoft, while still innovating to surprise and delight our users. Diverse & inclusiveThe world is diverse. We will better serve everyone on the planet by representing everyone on the planet. We will be open to learning our own biases and changing our behaviors, so we can tap into the collective power of everyone at Microsoft. We don’t just value differences, we seek them out, we invite them in. And as a result, our ideas are better, our products are better, and our customers are better served. One MicrosoftWe are a family of individuals united by a single, shared mission. It’s our ability to work together that makes our dreams believable and ultimately achievable. We will build on the ideas of others and collaborate across boundaries to bring the best of Microsoft to our customers as one. We are proud to be part of team Microsoft. Making a differenceIf we commit to being customer obsessed, becoming more diverse and inclusive, and operating as One Microsoft, we will achieve our mission to empower every person and organization on the planet. Beyond that, we will make a difference and find deep meaning in our work. We stand in awe of what humans dare to achieve and are motivated every day to empower others to do more and achieve more through our technology and innovation.We fundamentally believe that we need a culture founded in a Growth Mindset. It starts with a belief that everyone can grow and develop; that potential is nurtured, not pre-determined; and that anyone can change their mindset."
1,Microsoft,Senior Product Engineer,". 5+ years of experience in product and test engineering, specialize in ATE test program development. 5+ years of experience in developing integrated circuits (pre-silicon, first silicon bring-up, new product introduction).. 2+ years’ experience in large scale and/or high performance (i.e., AI, machine leaning, neural nets, CPU’s) and/or high power SoCs/chips on advanced process nodes.. Strong presentation and communication skills.. Knowledgeable in DFT and DFM techniques.. Good understanding of bring-up/debug, characterization/manufacturing test (on ATEs).. Advantest V93K experience is a plus. Ability to drive development and bring up test content on mixed signal IP’s is a plus.. Strong probability and statistics background including DOE’s.. Experience in . Leading cross functional teams and understands program/project management.. Managing supply chain, vendors / partners, and Integrated Circuit production.. Experience in system/customer requirements gathering and interfacing.. Device physics background.. Experience with failure analysis, qualification, and yield analysis. Trusted Computer architecture fundamentals/background. Great unit/integration testing skills. Fantastic Linux skills. Background in debugging and optimizing software . Adaptability (responds, explores, constructive attitude) . Growth Mindset (It starts with a belief that everyone can grow and develop) . Customer Focus (anticipates needs and proactively meets expectations) . Drive for results (actively pursues outcome, delivers on commitments) . Influence for impact (communicates, networks, persuades, influences) . Judgement (scope problem, builds & applies knowledge) ",https://careers.microsoft.com/us/en/job/1526182/Senior-Product-Engineer,"Responsibilities:The position will have responsibilities for product engineering for Microsoft silicon that is used in Azure, XBOX and Surface. Product engineering requires experience in end-to-end post silicon development which covers manufacturing, test, debug, quality/reliability, qualification, and packaging. The position will have the following responsibility:Part of a larger team that correlates test solution to lab/OSAT/customer platform to validate silicon design, process, package, and manufacturability to product specifications.Drive cross functional efforts in the supply chain for operational readiness and NPI. This includes interaction with OSAT and foundry for test development implementation and resolution for operation/execution issues. Developing ATE test methods, characterization, and production test programs.Analyzing test data to identify test program or silicon issues and working with cross functional teams to root cause will also be a focus. Define, build, and execute silicon characterization on ATE platforms. Perform data analysis and part selection criteria for efficiency and optimization of characterization efforts. Production ramp which includes meeting yield, test time, DPPM and managing of product RMA. Knowledge of platform, package, and silicon power management and thermal is a plus and the ability to connect the dots will help in addressing any product quality issues.Knowledge of system level test is a plus. Customer obsessedWe will learn about our customers and their businesses with a beginner’s mind and then bring solutions that meet their needs. We will be insatiable in our desire to learn from the outside and bring it into Microsoft, while still innovating to surprise and delight our users. Diverse & inclusiveThe world is diverse. We will better serve everyone on the planet by representing everyone on the planet. We will be open to learning our own biases and changing our behaviors, so we can tap into the collective power of everyone at Microsoft. We don’t just value differences, we seek them out, we invite them in. And as a result, our ideas are better, our products are better, and our customers are better served. One MicrosoftWe are a family of individuals united by a single, shared mission. It’s our ability to work together that makes our dreams believable and ultimately achievable. We will build on the ideas of others and collaborate across boundaries to bring the best of Microsoft to our customers as one. We are proud to be part of team Microsoft. Making a differenceIf we commit to being customer obsessed, becoming more diverse and inclusive, and operating as One Microsoft, we will achieve our mission to empower every person and organization on the planet. Beyond that, we will make a difference and find deep meaning in our work. We stand in awe of what humans dare to achieve and are motivated every day to empower others to do more and achieve more through our technology and innovation.We fundamentally believe that we need a culture founded in a Growth Mindset. It starts with a belief that everyone can grow and develop; that potential is nurtured, not pre-determined; and that anyone can change their mindset. "
2,Microsoft,Principal Test Engineer,". Experience in Scan product and test engineering in a lead position. 10+ years of experience in working with Scan & ATPG DFT and test generation tools.. 5+ years of experience in product and test engineering, ATE test program development, post-silicon bring-up and ATPG diagnosis tools/flows.. Strong presentation and communication skills. Experience in leading cross functional teams and understands program/project management. Excellent knowledge of IC development including test development, DFM, IC characterization, failure analysis, qualification, debug, and yield analysis. . Experience in system/customer requirements gathering and interfacing. Strong probability and statistics background including DOE’s. Experience in large scale and/or high performance (ie. AI, machine leaning, neural nets, CPU’s) and/or high power SoCs/chips on advanced process nodes. Knowledgeable in DFT and DFM techniques. Good understanding of Scan bring-up/debug, characterization, and manufacturing test.. Good understanding of design flow. Device physics background. Fantastic Linux skills. Adaptability (responds, explores, constructive attitude) . Growth Mindset (It starts with a belief that everyone can grow and develop) . Customer Focus (anticipates needs and proactively meets expectations) . Drive for results (actively pursues outcome, delivers on commitments) . Influence for impact (communicates, networks, persuades, influences) . Judgement (scope problem, builds & applies knowledge) ",https://careers.microsoft.com/us/en/job/1526203/Principal-Test-Engineer,"Responsibilities:The position will have responsibility for Scan & ATPG product test methods on new products. This will include test generation, verification, and Silicon proof. The person should be familiar with industry standard tools for Scan, from design to manufacturing to diagnostics. Successful candidates should have strong project leadership skills to manage external vendors, drive cross functional teams and drive sub-project as part of larger development programs.Excellent knowledge of ATE test program development including test method development, test bring-up, characterization, debug, and yield analysis. The candidate should also be knowledge in DFT, silicon fabrication process, product Q&R, and basic transistor theory.The candidate would benefit from background in various product market area such as high-performance compute, AI, GPUs, or telecom.Knowledge of active thermal management at test is a plus. Customer obsessedWe will learn about our customers and their businesses with a beginner’s mind and then bring solutions that meet their needs. We will be insatiable in our desire to learn from the outside and bring it into Microsoft, while still innovating to surprise and delight our users. Diverse & InclusiveThe world is diverse. We will better serve everyone on the planet by representing everyone on the planet. We will be open to learning our own biases and changing our behaviors, so we can tap into the collective power of everyone at Microsoft. We don’t just value differences, we seek them out, we invite them in. And as a result, our ideas are better, our products are better, and our customers are better served. One MicrosoftWe are a family of individuals united by a single, shared mission. It’s our ability to work together that makes our dreams believable and ultimately achievable. We will build on the ideas of others and collaborate across boundaries to bring the best of Microsoft to our customers as one. We are proud to be part of team Microsoft. Making a differenceIf we commit to being customer obsessed, becoming more diverse and inclusive, and operating as One Microsoft, we will achieve our mission to empower every person and organization on the planet. Beyond that, we will make a difference and find deep meaning in our work. We stand in awe of what humans dare to achieve and are motivated every day to empower others to do more and achieve more through our technology and innovation.We fundamentally believe that we need a culture founded in a Growth Mindset. It starts with a belief that everyone can grow and develop; that potential is nurtured, not pre-determined; and that anyone can change their mindset."
3,Microsoft,"Senior Software Engineer, Mixed Reality Cloud",". Bachelor's Degree in Computer Science, or related technical discipline AND 4+ years technical engineering experience with coding in languages including, but not limited to, C, C++, C#, Java, OR equivalent experience.. Excellent development and debugging skills for C#, C++, Rust or similar . Experience with Windows platform or Shell infrastructure, ideally targeting HoleLens or other Windows Mixed Reality devices . A proven ability to work in a team environment on a shared code base . A proven track record of delivering high quality solutions for technical challenges . Excellent written and verbal communication skills. Desirable expertise in, experience with or passionate about:. Windows Shell platform architecture Cross-platform abstractions such as COM\NanoCom or equivalent Writing performance-critical code, conducting performance analysis and optimization Azure build pipelines Software architecture and public API design Integrating with large-scale Cloud services Machine Learning\AI with a particular emphasis on computer vision. Windows Shell platform architecture . Cross-platform abstractions such as COM\NanoCom or equivalent . Writing performance-critical code, conducting performance analysis and optimization . Azure build pipelines . Software architecture and public API design . Integrating with large-scale Cloud services . Machine Learning\AI with a particular emphasis on computer vision",https://careers.microsoft.com/us/en/job/1526178/Senior-Software-Engineer-Mixed-Reality-Cloud,"Working in close partnership with a team of diverse and talented peers in various disciplines including Design, hardware, Program Management, and Software Development for sustained long term success Partnering with your peers and technical leadership to deliver solid technical designs Maintaining an unwavering focus on our customers and the value you can deliver to them Closely collaborating with partner teams when engineering & business dependencies exist Owning accurate costing for your engineering activities, and executing with high accountability to schedule and quality Working on all aspects of Software Development including design, implementation, testing, maintenance, documentation, and delivery Mentoring other developers and sharing expertise throughout our team You are expected to be a self-starter, capable of solving ambiguous and challenging technical problems with wide scope You will have the opportunity to work with new technologies on a diverse range of cutting-edge hardware platforms "
4,Microsoft,Principal Engineering Manager,". Bachelor's Degree in Computer Science, or related technical discipline AND 8+ years technical engineering experience with coding in languages including, but not limited to, C, C++, C#, Java, OR equivalent experience.. OR equivalent experience.. 8 or more years of working in the area of Mixed Reality (Augmented Reality or Virtual Reality) . 5 or more years direct people management experience . Lead teams developing platforms or applications for Virtul Reality or Augmented Reality using Microsoft technology . Lead teams building runtimes for Mixed Reality (Augmented Reality or Virtual Reality), e.g. hand-tracking, head-tracking or equivalent . A proven ability to create and manage excellent teams . A proven track record of delivering high quality solutions for technically challenging leading-edge products . A BS/MS in Computer Science or equivalent . Desirable expertise in, experience with or passionate about:Writing performance-critical rendering or shader code, conducting performance analysis and optimization using modern graphics tools Developing or debugging Windows or Android OS internals especially involving low-latency networking, video encoding\decoding or DirectX\Vulkan\Metal graphics pipelines Software architecture and public API design Designing and building large-scale Cloud services on Microsoft platforms Machine Learning\Artificial Intelegence with a particular emphasis on computer vision . Writing performance-critical rendering or shader code, conducting performance analysis and optimization using modern graphics tools . Developing or debugging Windows or Android OS internals especially involving low-latency networking, video encoding\decoding or DirectX\Vulkan\Metal graphics pipelines . Software architecture and public API design . Designing and building large-scale Cloud services on Microsoft platforms . Machine Learning\Artificial Intelegence with a particular emphasis on computer vision ",https://careers.microsoft.com/us/en/job/1524805/Principal-Engineering-Manager,"Bring clarity, create energy and ultimately deliver results setting the vision for a team of talented engineers Drive the architecture, design and implementation of immersive and hybrid 3D user experiences including the integration with Windows Own and drive the partnership with the Win365 and related teams for our mutual success Realize the vision of remotely streamed applications (of various classes) to 1st and 3rd Party headsets Work directly with customers & partners to develop ground-breaking 3D experiences that leverage Windows on Azure Closely collaborating with partner with Design and User Research teams to advance the state-of-the art of Mixed Reality, Augented Reality & Virtual Reality in both ease-of-use and productivity Leading all aspects of Software Development including design, implementation, testing, maintenance, documentation, and delivery Hiring and mentoring developers and sharing expertise throughout our team Enjoy solving ambiguous and challenging technical problems with wide scope You will have the opportunity to work with new technologies on a diverse range of cutting-edge software and related hardware platforms "
5,Microsoft,Safety Analyst,". Bachelor's Degree in Business, Operations, Finance or related field AND 2+ years work experience in program management, process management, process improvementOR equivalent experience.. This role requires written, reading, and conversational fluency in one of the following languages: Spanish, Japanese, French, German, Portuguese, Italian, Russian, or Chinese. Academic or real-word experience in: Linguistics, Computational Linguistics, History, Art/Music Education, Medicine, Legal/Paralegal, Journalism, Behavioral Psychology or Education.. Background or experience in security, incident detection and response. Aptitude for data analysis. Expert in human languages and/or cultures. Proficient in multiple languages. Experience with database querying or regex/pattern authoring. Ability to have fun at work while bringing your authentic self. Great attention to detail. Good computer skills. Curious and a quick learner. Relevant certifications",https://careers.microsoft.com/us/en/job/1525171/Safety-Analyst,"Do you want to help make Microsoft products better? The Safety Analyst investigates content against usage policies, identifies misuse and high-stakes usage scenarios to train and improve Microsoft’s AI products and services. The Safety Analyst will use language, cultural knowledge or humanities backgrounds to capture the human “ground truth”. In this role you will be the foundation of the Microsoft teams responsible for driving machine learning and high AI technology enabling Microsoft’s customers to solve real business solutions. Join our team and use your background and expertise to continue delivering impact to Microsoft. The Safety Analyst responsibilities include:Investigate and deep dive into computer coding or language scenarios to understand behaviors to refine the algorithms and identify misuse. Examples may include malicious code, offensive language, or illegal content.Investigate flagged instances to understand if the activity performed violates policy.Go through content, extract information, find patterns in how the models are behaving. Analyze findings, develop, test, and communicate recommendations.Use your linguistic and/or humanities expertise test impact of recommendations of policy and/or filtering changes.Collaborate with team members on day-to-day problem solving, reporting on trends/analysis findings and projects assigned by managers.• Safety Analyst may come across offensive and mature material and will be required to work with this type of content to help train our AI models for the protection of Microsoft’s customers. "
6,Microsoft,Data Annotation Specialist,". This role requires written, reading, and conversational fluency in one of the following languages: Spanish (Mexico), French (Canada), or Portuguese (Brazil). 2+ years of troubleshooting experience, customer service or equivalent experience. Bachelor’s degree or equivalent work experience. In depth knowledge of required language pitch, tones, rhythm, intent, etc.. Ability to have fun at work while bringing your authentic self. Linguistics or computational linguistic background. Experience in language technology including speech. Proficient in multiple required languages. Great attention to detail. Good computer skills. Quick learner. Passionate and curious about technology. Relevant certifications",https://careers.microsoft.com/us/en/job/1525146/Data-Annotation-Specialist," Business Program Planning and Design Learns to perform program landscape research and analysis (e.g., internal and/or external market, sales, delivery), forecasting, and examine business trends (e.g., customer feedback and expectations) to identify audience size and program scope, and stay current, agile, and competitive. Learns the overall business goals, objectives, and strategies, and understands the short-term business priorities. Understands and identifies current program risks, impact, and mitigation plans under close guidance from senior team members.Learns to identify internal opportunities to develop new programs and improve current ones. Learns to identify root problems (e.g., root-cause analysis), define the program strategy, gather program requirements, identify resource needs, create the project plan and targets, and work across teams to align on the plan of record. Begins to develop the expertise to improve operations of existing programs by helping applying industry methodology, define program issues, assess various scenarios, and select the optimal scenario to resolve issues. Learns to work with cross-functional (e.g., organizational, product, business) stakeholders (e.g., Engineering, Marketing) to design programs from initiation to delivery. Learns to produce collateral (e.g., proposals, strategy walking deck, internal and external pitch content) to incorporate stakeholder needs and ensure the business objectives are met. Learns how to track the success criteria and performance metrics (e.g., Objectives and Key Results [OKRs] and Key Performance Indicators [KPIs]), such as quality, adoption, usage, impact, and effectiveness for the program. Buisness Program Excellence and Execution Learns to define and execute on landing and communication plans, such as the target audience(s) and communication strategy. Maintains the rhythm of business (ROB) during plan execution to ensure participants and stakeholders are communicating and responding according to the necessary cadence under close guidance from senior team members. Learns to work across teams (e.g., Landing, Design, Engineering, Supply Chain, Finance, Technical Program Management) to ensure all program requirements are understood and can be met. Learns to evangelize the programs to stakeholders, partners, and customers to gain buy in. Leverages data and performance metrics (e.g., Objectives and Key Results [OKRs] and Key Performance Indicators [KPIs]) to demonstrate the value of the program and show business impact under close guidance from senior team members. Learns to adapt communication style and storytelling strategy according to audience and business needs. Business Program Management Learns about project portfolios including the project plan, timelines, milestones, financial management, performance metrics, and resource needs for programs. Communicates the program status to relevant stakeholders and holds them accountable for following the established schedule, and risk mitigation plans and processes, under close guidance from senior team members.Learns about mapping or how systems work and impact one another. Learns to work with other teams (e.g., Supply Chain, Engineering, Sales) to ensure program processes are executed efficiently. Business Program Evaluation and Improvement Learns to conduct cost-benefit analyses to examine performance to value drivers (e.g., profit and loss [P&L], return on investment [ROI]). Learns about monthly business review (MBR) and helps run rhythms regularly to identify what is working and what is not.Learns to collect and evaluate success criteria and performance metrics (e.g., Objectives and Key Results [OKRs] and Key Performance Indicators [KPIs]), such as acquisition, usage, impact, effectiveness, and customer feedback, and uses scorecards and dashboards to monitor programs and ensure all activities align with business and program objectives. Learns to use data analytics (e.g., scenario analyses) to derive insights and training that help identify program risks and mitigation plans, as well as opportunities to streamline and optimize programs based on lessons learned.Demonstrates the skills needed to help ensure buy in and adoption of the new program or change by others in the organization. Learns to develop the collateral required to enable key stakeholders and others to be on board. Learns of the training, reskilling, and mapping of individuals conducted in partnership with Human Resources (HR)."
7,Microsoft,Business Administrator,". 4+ years of experience in an administrative, customer service, or business/front office support role for an enterprise technology company. 2+ years prior event/meeting planning experience. 1+ years of experience providing executive calendar support. Proficiency with Microsoft productivity software (Word, Outlook, PowerPoint, Excel, OneNote, SharePoint and Teams). Strong communication skills both verbal and written . Works well under pressure with minimal supervision . Great team collaborator . Positive attitude and learn it all mentality . Proximity to Redmond, WA with ability to travel to the office 4-5 days per week",https://careers.microsoft.com/us/en/job/1526183/Data-Annotation-Specialist-Spanish,"Support calendar management for senior leaders in gamingEnsure compliance of security groups, internal communication channels, and distribution groupsServe as an extension of the business operations team, regularly carrying out administrative tasks on behalf of the teamProvide onboarding support for new employees, vendors, and internsAssist team with execution of event logistics and team celebrations under the direction of senior colleaguesSupport ad hoc project-management related activities within the gaming organization as needed"
8,Microsoft,Data Center Inventory and Asset Technician,". High School Diploma AND 6 months experience or an internship in inventory management, retail, warehouse management, or a related fieldOR equivalent experience.. OR equivalent experience.. 1+ year(s) experience in warehouse/supply chain in an information technology (IT) environment, IT, and/or logistics, operating heavy-load movement equipment (e.g., forklift, pallet jacks, chassis lifts) for a large corporationOR equivalent experience.. OR equivalent experience.. Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.. Citizenship Verification: This position requires verification of US Citizenship to meet federal government security requirements.. Criminal Justice Information Services: This position may require passing a background check conducted through the CJIS criminal justice information system by authorized local, state, and/or federal agencies.",https://careers.microsoft.com/us/en/job/1512435/Business-Administrator,"Your responsibilities will include: Safety PracticesComplies with security and data management policies. Escalates any security or safety incidents. Coordinates with security escorts for third-party vendors. Engages in Task Hazard Analysis (THA) consistently for every task to be performed and ensures sign off from appropriate person for any related risks. Tactical Shift ManagementPerforms assigned tasks and escalates issues during high-volume work activity or escalation-based situations. Seeks guidance from management before proceeding with the next step of a process. Inbound and Outbound LogisticsPerforms data entry to document inbound and outbound packages. Executes incoming/outgoing deliveries as instructed by management (e.g. purchase order [PO] receiving, Rack Movement Supervisor [RMS] activities). Ensures accurate documentation of incoming and outgoing deliveries as well as records. Applies appropriate customs documentations and standards for outbound packages. Customer ServiceMaintains a strong focus to understand the impact of their work when completing tickets and assigned Inventory and Asset Management (IAM) tasks. Ensures IAM tasks are completed accurately as requested, as well as meet company and industry standards and policies. Becomes familiar with guidelines set by the Microsoft contractual agreements with suppliers and maintains a strong customer focus. Recognizes potential stakeholder impact of external and internal events and issues, communicates potential impact, and plans for impact accordingly. Inventory ManagementDevelops working knowledge of stock control and inventory management practices and procedures. Performs cycle audits and data corrections to ensure all inventory controls are met. Helps reconcile inventory discrepancies and report discrepancies. Ensures detailed physical inventory tracking and staging. Performs material movement, including shipping/receiving and inventory management per standard process. Warranty Process ManagementEngages supplier to initiate warranty claim when automation is not available and processes the orders. Processes failed vendor hardware devices using online/other tools, including information processing, packaging, shipment, and receipt of return for Return Merchandise Authorization (RMA) devices. Follows all Service Level Agreements (SLAs) related to RMA warranty process. Data Bearing Device (DBD) DestructionPerforms destruction of data bearing devices (DBD) following all Service Level Agreements (SLAs) and Microsoft policies as necessary. Ensures DBD serial number matches with database. ProcurementNotifies management about ordering stock shortages. Escalates any issues to management. Operational ExcellenceFollows existing procedures to run processes and ensures execution with consistency, accuracy, and timeliness of delivery. OtherEmbody our culture and values "
9,Microsoft,Data Center Circular Center Inventory and Asset Technician,". High School Diploma AND 6 months experience or an internship in inventory management, retail, warehouse management, or a related fieldOR equivalent experience.. OR equivalent experience.. 1+ year(s) experience in warehouse/supply chain in an information technology (IT) environment, IT, and/or logistics, operating heavy-load movement equipment (e.g., forklift, pallet jacks, chassis lifts) for a large corporationOR equivalent experience.. OR equivalent experience.. Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.. Citizenship Verification: This position requires verification of US Citizenship to meet federal government security requirements.. Criminal Justice Information Services: This position may require passing a background check conducted through the CJIS criminal justice information system by authorized local, state, and/or federal agencies.",https://careers.microsoft.com/us/en/job/1522824/Data-Center-Inventory-and-Asset-Technician,"Your responsibilities will include: Safety PracticesComplies with security and data management policies. Escalates any security or safety incidents. Coordinates with security escorts for third-party vendors. Engages in Task Hazard Analysis (THA) consistently for every task to be performed and ensures sign off from appropriate person for any related risks. Tactical Shift ManagementPerforms assigned tasks and escalates issues during high-volume work activity or escalation-based situations. Seeks guidance from management before proceeding with the next step of a process. Inbound and Outbound LogisticsPerforms data entry to document inbound and outbound packages. Executes incoming/outgoing deliveries as instructed by management (e.g. purchase order [PO] receiving, Rack Movement Supervisor [RMS] activities). Ensures accurate documentation of incoming and outgoing deliveries as well as records. Applies appropriate customs documentations and standards for outbound packages. Customer ServiceMaintains a strong focus to understand the impact of their work when completing tickets and assigned Inventory and Asset Management (IAM) tasks. Ensures IAM tasks are completed accurately as requested, as well as meet company and industry standards and policies. Becomes familiar with guidelines set by the Microsoft contractual agreements with suppliers and maintains a strong customer focus. Recognizes potential stakeholder impact of external and internal events and issues, communicates potential impact, and plans for impact accordingly. Inventory ManagementDevelops working knowledge of stock control and inventory management practices and procedures. Performs cycle audits and data corrections to ensure all inventory controls are met. Helps reconcile inventory discrepancies and report discrepancies. Ensures detailed physical inventory tracking and staging. Performs material movement, including shipping/receiving and inventory management per standard process. Warranty Process ManagementEngages supplier to initiate warranty claim when automation is not available and processes the orders. Processes failed vendor hardware devices using online/other tools, including information processing, packaging, shipment, and receipt of return for Return Merchandise Authorization (RMA) devices. Follows all Service Level Agreements (SLAs) related to RMA warranty process. Data Bearing Device (DBD) DestructionPerforms destruction of data bearing devices (DBD) following all Service Level Agreements (SLAs) and Microsoft policies as necessary. Ensures DBD serial number matches with database. ProcurementNotifies management about ordering stock shortages. Escalates any issues to management. Operational ExcellenceFollows existing procedures to run processes and ensures execution with consistency, accuracy, and timeliness of delivery. OtherEmbody our culture and values "
