,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
1,Nvidia,Senior HSIO Validation and Power Management Engineer,"BS or MS degree in EE/CE or equivalent experienceMinimum 5 years working in post-silicon bringup, IO validation, and/or power optimizationExperience with HSIOs like PCIE or USB including understanding of process/temp/voltage sensitivity on BERExperience with system level and interconnect power management optimizationsUnderstanding of electrical tuning/performance/challenges of HSIOs Understanding of firmware/driver structures and their interaction with HW.Hands-on validation lab experience with silicon bringup, lab debug and lab tools (oscilloscopes, multimeters, logic analyzers)Strong EE fundamentals, knowledgeable in computer architecture, high speed interfaces, timing analysis, process variations, statistical error rates and power analysis.Excellent problem solving, teamwork, and interpersonal skills.Background with automation scripting in languages such as Perl, Python, tcl.Experience with Linux",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-HSIO-Validation-and-Power-Management-Engineer_JR1964093,"Develop strategies and infrastructure for next gen HSIO bring up, validation and product integration with a deep understanding of IO design, specs, use case and topologies. Ensure interoperability with connected devices and system components in complex interconnect topologiesDeep dive into technically challenging HSIO bugs and help drive debug efforts across various teamsWork on system level power strategies to continue pushing performance in power constrained systemsWork closely and proactively with other engineering teams such as system architects, mixed signal and design, DGX, software/firmware, HW/SW QA, operations and AE teams to drive design, development, debug and release of next generations products."
2,Nvidia,"Senior Algorithms Engineer, Autonomous Driving","MS or higher in an engineering or technical field (Mechanical, Electrical, Computer Science, Physics, etc.) or equivalent experience6+ years of relevant experience in the industryExcellent knowledge of C++Ability to drive development of new functionalities from concept to productionAbility to think analytically and solve technical problems in a compute constrained systemAbility to multitask and prioritize in a fast paced environmentExcellent communication skillsExpert level understanding of control systems (optimal, adaptive, fuzzy, model predictive, robust, etc.), planning algorithms (A*, D*, RRTs, probabilistic roadmaps, etc.), machine learning (inverse/reinforcement learning, imitation learning)An expertise in fundamental physics - kinematic and dynamic models of rigid bodiesA background in automotive systems, or in building safety critical software architectures Experience as an engineering lead, driving development of complex functions or systems across a teamKnowledge of CUDA is a plus",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Software-Engineer--AV-Software_JR1945816,"Defining and developing of planning algorithms, integrate them into our software stack and mature them to production qualityDesigning the overall software architecture for a particular feature or componentDefining and verifying product requirements through detailed analysis, testing in simulation and on the road, define and measure key performance indicatorsSolve problems of how to combine data driven and classical solutions to create a robust pipeline that covers as many of the real world situations as possible, and in multiple different settings (perception sensor modalities, map availability, environmental conditions)"
3,Nvidia,Sales Operations Analyst,"8+ years of Sales Operations experience with Tier One OEMsBachelor's degree or equivalent experience.Strong revenue reporting and sales/financial analytical skills.Strong consultative and project management skills.Highly detailed oriented.Ability to maintain the confidentiality of critical information.Ability to work efficiently in a sophisticated high-tech environment.Knowledge of the Semiconductor industry and experience in supply chain management.High energy and positive problem-solving demeanor.Ability to multi-task and strong organization skills. Proactive, creative, flexible, and use good judgment to accomplish tasks on schedule with minimal direction and supervision.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Sales-Operations-Analyst_JR1965502,"Responsible for all aspects of strategy creation and implementation, forecasting, sales account management, training, and education to strategic customers.Partner with sales leaders to define, set up, and operationalize key processes, including Sales Forecasting, Sales Reporting, and Analytics, and Operations.Assist account management teams through full sales cycles with activities including the quote, special pricing, and deal tracking, rebate, EOL terms, and revenue management.Work with various NVIDIA internal partners (Operations, Finance, Credit, Sales Management, and Product Group) to drive continuity of supply and process improvement.Implement and help to standardize business reporting for strategic analysis and internal business review.Implement and maintain metrics of customer forecast and fulfillment including historical data analysis, waterfall analysis, trending analysis, etc.Participate in the development of regional Sales Operations processes to streamline workflows.Take the lead in performing daily sales administration and operations tasks including forecast management, customer demand fulfillment, leading customer level supply commitment, coordinating NPI, EOL, VMI hub supply, etc."
4,Nvidia,Senior ASIC Design Engineer,"BS in Electrical Engineering or equivalent experience (MS preferred)7+ years of relevant work experience.Ability to thrive in a dynamically changing environment.Experience in RTL design (Verilog), verification and logic synthesis.Strong coding skills in Perl or other industry-standard scripting languages.Understanding of sub-micron silicon issues like noise, cross-talk, and OCV effects is a plus.Implementing on-chip clocking networks is a bonus.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-ASIC-Design-Engineer_JR1965612,"As a Clocks team member, you will be collaborating with other architects, ASIC designers and verification engineers to design high frequency clocks.You should be able to engage with multiple teams and design the SOC clocks to satisfy all the architectural constraints.Your understanding of System Verilog will be valuable to verify the clocks design.Together with other team members, we deliver clock information to SOC verification team, timing and DFT teams. You will use Perl to improve the productivity of the above teams.Collaborate with Software and product design team to debug SOC clock silicon bugs in our new products."
5,Nvidia,Senior ASIC Design Engineer,"BS in Electrical Engineering or equivalent experience (MS preferred)3+ years of relevant work experience.Ability to thrive in a dynamically changing environment.Experience in RTL design (Verilog), verification and logic synthesis.Strong coding skills in Perl or other industry-standard scripting languages.Understanding of sub-micron silicon issues like noise, cross-talk, and OCV effects is a plus.Implementing on-chip clocking networks is a bonus.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-ASIC-Design-Engineer_JR1965611,"As a Clocks team member, you will be collaborating with other architects, ASIC designers and verification engineers to design high frequency clocks.You should be able to engage with multiple teams and design the SOC clocks to satisfy all the architectural constraints.Your understanding of System Verilog will be valuable to verify the clocks design.Together with other team members, we deliver clock information to SOC verification team, timing and DFT teams. You will use Perl to improve the productivity of the above teams.Collaborate with Software and product design team to debug SOC clock silicon bugs in our new products."
6,Nvidia,Senior DFT Engineer,"BSEE (or equivalent experience) with 8+, MSEE with 5+ years of experience or PhD in DFT or related domainsDemonstrated knowledge and expertise in defining scan test plans, BIST including memories and IOs, fault modeling, ATPG and fault simulationExcellent analytical skills in verification and validation of test patterns and logic on complex and multi-million gate designs using vendor toolsGood exposure to cross functional areas including RTL & clocks design, STA, place-n-route and power, to ensure we are making the right trade-offsExperience in Silicon debug and bring-up on the ATE with an understanding of pattern formats, failure processing, and test program developmentStrong programming and scripting skills in Perl, Python or Tcl desiredExtraordinary written and oral communication skills with the curiosity to work on rare challenges",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-DFT-Engineer_JR1965655,"As a member in our team, you will own and work with cross functional teams, implementing state-of-the-art designs in test access mechanisms, IO BIST, memory BIST and scan compression.In addition, you will help develop and deploy DFT methodologies for our next generation products. You will also help mentor junior engineers on test designs and trade-offs including cost and quality."
7,Nvidia,Senior Post-Silicon Validation Engineer,"BS or MS in EE, ECE, CS or equivalent experience.5+ years of meaningful validation experience.Exposure to design and verification tools (VCS or equivalent simulation tools, debug tools like Debussy, GDB).Experience with bus protocol (e.g. PCI Express, SATA, USB) or interconnect verification is preferred.Background with lab equipment, oscilloscopes and logic analyzers is helpful.Expertise in Python and/or Perl.Strong debugging and analytical skills.Good interpersonal skills and ability & desire to work as a standout colleague are a must.Proven record to work multi-functionally and drive issues to closure",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Post-Silicon-Validation-Engineer_JR1962733,"You'll implement the design the industry’s leading processor for deep learning, gaming, and dedication computing.Responsible for validation of features on Silicon using hands-on lab equipment like logic analyzers etc.Responsible for understanding the design and implementation, define the validation scope, develop the post-silicon verification infrastructure (Testplans, Tests, Scripts to analyze data), implement test/coverage plans and validate correctness of the design.You will be working multi-functionally with ASIC, SW and System teams to accomplish your tasks. "
8,Nvidia,Senior Package Layout Engineer - Hardware,"Hold a B.S. Electrical Engineering or equivalent experience3+ years experience in PCB Layout of graphics cards, motherboards, line cards or other related technology. Experience with HDI designs is a plusProven experience in substrate layout of wire bond and flip chip packages, preferredSignificant background with Cadence APD or SiP and/or PCB layout tools (including Constraint Manager)Your validated working knowledge of high-speed design signal integrity practicesExperience using Valor is helpful",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Package-Layout-Engineer---Hardware_JR1965050,"As part of a Layout team, you will collaborate to implement high speed/density ASIC packages.Perform substrate breakout patterns for ASIC packages.Optimize package pinout incorporating system level trade-offs of pins assignment.Help perform package routing, placement, stack-up, reference plane and power distribution using Cadence APD or SiP tool suite.Propose layout design trade-offs to the Technical Package Lead for resolution and implementation.Conduct design feasibility studies to evaluate the Package design goals for size, cost, and system performance.Develop symbols and CAD library databases using Cadence APD design toolsDevelop methodologies to improve layout productivity"
9,Nvidia,Senior Packaging Technical Engineer - Hardware,"BSEE or equivalent experience.Minimum of 5+ years in board/system design. Experience with package design is preferred.Good understanding of transmission line theory, power delivery and signal integrity is desired.Strong programming and scripting skills in Perl, Python, Tcl desired, Cadence Skill and EXCEL familiarity are helpful.You are enthusiastic and able to work with a minimum of supervision.You seek to solve complex technical problems.",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Remote/Senior-Packaging-Technical-Engineer---Hardware_JR1965047,"Your responsibilities include defining the chip pad ring, substrate interconnect scheme, and lead the package layout design process.We collaborate with large teams consisting of Circuit, Signal Integrity, RTL, Place and Route, substrate layout and system design Engineers and Managers.We work to define a chip floor plan, pad ring, substrate, and ball out implementing a robust world-class electrical package!Communicate effectively with various teams throughout the company"
10,Nvidia,Custom SOC IP Verification Engineer,"Clear understanding of complexities involved with various design verification tools, including Synopsys VCS or Cadence Xcelium Simulator, Verdi, JasperGold or VC FormalTrack record of first-pass success in ASIC DevelopmentB.S. or M.S. degree in Computer Engineering or Electrical Engineering (or equivalent experience)Experience working across multiple projects and adjusting priorities in partnership with stakeholders10+ years of experience owning processing ASIC, IP or SoC design verification Experience managing and delivering complex mixed language UVM and C++ testbenchesAbility to interpret functional specs and creating comprehensive test plansAbility to write directed and constraint random test to achieve coverage-driven verification closureExperience developing tools and infrastructure using Perl or PythonStrong background with AMBA protocols such as AXI, ACE, CHI, ATB, etc.Hands-on experience with complex subsystems in new technologies like ARM CPU complex, LPDDR, HBM, GPU’s, DLA, PCIE or Network on chip and with performance verification",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Custom-SOC-IP-Verification-Engineer_JR1965629,"Responsible for ASIC design verification for various processing blocks in a SOC. Contribute and lead key aspects of verification planning and execution, innovative verification methodology development, functional and code coverage closureParticipate in silicon architecture, micro-architecture reviews, interface with Architecture, SW/FW, Design, Modeling, Emulation, and Post-Silicon Validation teams to ensure comprehensive first-time right verification plans and executionPartner with internal and external cross-functional teams, individual contributors and peers including customersContribute to and drive development of silicon and platform verification strategy and methodologyCollaborate with IP development teams, and participate in, and support soft and hard IP identification, selection and IP licensingIdentify candidates, hire, schedule, support and train a team of verification engineers to develop products on time and on budget and with first-time right resultsContribute to, analyze, review supporting SOC and IP architecture and technical documentation, requirements and develop high quality verification plans, negotiate feedback to meet the needs of the program and customersSupport engineering teams to define, debug, implement and deliver total solutions around purpose-built ASICsDefine, implement and maintain key performance indicators (KPI) for areas of responsibilityPartner with technical program management and supply chain team members to manage internal and external development partners and vendor"
