,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,StateFarm,Remote: Mid-Level/Senior (AWS) Software Engineer,"Experience using industry tools, frameworks, and languages such as Python, JavaScript, React, Node.js, GoLang, SQL, Scala, Spring, Spark, etc.Experience with building, implementing and maintaining multi-tier cloud-native applications.Experience using AWS core services (IAM, KMS, S3, Lambda, DynamoDB, Aurora, Route 53, etc.) Ability to use Terraform or a related Infrastructure as Code technology to manage InfrastructureCertifications; AWS and HashiCorp a plusAbility to create pipelines/automation to deploy changes to production with quality and DevOps best practicesAbility to quickly adapt and thrive in a changing, highly collaborative agile team environmentStrong aptitude to learn new languages and frameworksExperience supporting applications, including troubleshooting, logging and observability (Splunk, Datadog, CloudWatch, Dynatrace)",https://jobs.statefarm.com/main/jobs/29863?lang=en-us,"Designs and develops full-stack applications using industry-adopted languages and frameworksChampions an innovative mind set to deliver AWS cloud native solutionsLeads strategic work across the product and/or suite and utilizes application architecture to increase efficiency and effectiveness of complex issuesProvides highest level of support for problem and issue resolution Influences and provides direction on product development practices, coding, data and testing standards, code reviews and software architectureConducts research and integrate industry best practices into processes and potential solutions"
1,StateFarm,Technical Architect,Ideal candidates will have Experience/Knowledge with the following technologies:,https://jobs.statefarm.com/main/jobs/30683?lang=en-us,"Modernize ET P&C Claims by migrating current applications codebase as part of our cloud computing journey utilizing an AWS platform.Lead Salesforce architecture and have a direct impact of State Farm’s System of Engagement for claims capabilities.Modernize ET P&C Claims Enterprise Claims System to a new Modern Associate Experience through the use of the listed skills desired.Utilize Java developing skills to understand, enhance, update, and mature the current Enterprise Claims System."
2,StateFarm,Lead Software Engineer,"Software Design, Analysis, Development, Testing, and implementation of REST/JSON web-based applicationClient-side Technologies like HTML, CSS, Modern JavaScript, and JSON Backend development with Java and Spring Boot Ability to quickly learn and adapt to changing business and technology needs Critical thinking skills and apply right technology to solve 3 problems Light-weight frameworks like Hibernate, Spring MVC, and Spring boot, ReactVersion control solutions like GIT & GITHUB/GitLabCode quality tools like SonarQube, mutation testing, and code coverage measurement Experience with CI/CD systems, and integration with code dependency scans ",https://jobs.statefarm.com/main/jobs/29978?lang=en-us,"Software Design, Analysis, Development, Testing, and implementation of REST/JSON web-based applicationClient-side Technologies like HTML, CSS, Modern JavaScript, and JSON Backend development with Java and Spring Boot Ability to quickly learn and adapt to changing business and technology needs Critical thinking skills and apply right technology to solve 3 problems Light-weight frameworks like Hibernate, Spring MVC, and Spring boot, ReactVersion control solutions like GIT & GITHUB/GitLabCode quality tools like SonarQube, mutation testing, and code coverage measurement Experience with CI/CD systems, and integration with code dependency scans "
3,StateFarm,REMOTE Mid-Level/Lead Software Engineer,JavaSpring FrameworkSpring BootPostgreSQL Relational Database,https://jobs.statefarm.com/main/jobs/29744?lang=en-us,"Possesses an understanding of how technology solutions meet the business outcomes and offers a range of solutions for business partners; understand business current and aspirational needsParticipates in sprint planning; provides work estimates to deliver product stories; owns development storiesDevelops solutions on variety of platforms according to business requirementsCompletes required coding to satisfy the defined acceptance criteria and deliver desired outcomeLeads solution design, considering risks, mitigations, performance, user experience, and testabilityAssists in development of automated testing and supporting code as necessaryCompletes required documentation to communicate information to deployment, maintenance, and business teamsUtilizes agile software development practices, data and testing standards, code reviews, source code management, continuous delivery, and software architectureParticipates in the full software development cycle including coding, testing, implementation, support and sunsetDesigns, develops, tests and supports software in support of big data objectivesPossesses an understanding of User Experience practices to improve usability and interaction between the customer and productAdopts Service Design, where appropriate, through architecture modularity to enable continuous deliveryConsiders applying emerging technology solutions to increase efficiency and effectiveness, expectation of continuous innovationResolves problems that result in a decreased time to market; improves quality, enhances flexibility, and embraces the solution provider mindsetProvides input into overall testing plan; contributes to test approach and scenarios for requirementsProvides product and/or process expertise necessary to support design, development, testing and execution of solutionsExhibits DevOps mindset where team is accountable for product from inception to sunset"
4,StateFarm,Senior Technology Engineer,"5+ years of Object-Oriented Programming experience (Java, C++, Apex, Gosu, etc.)5+ years of Node.js (or other JavaScript) experience2+ years of Terraform (or equivalent Infrastructure-as-Code language, such as CloudFormation) experience2+ years of AWS Serverless (Lambda) Development ExperienceEffective communication of complex software engineering topics to both high-level and low-level audiencesProven technical leadership abilityProven ability to mentor and coach other software engineersProficient in CI/CD AutomationProficient in PostgreSQL, Oracle, MySQL or other relational database technologiesProficient in DynamoDB, MongoDB, CouchDB, or other non-relational database technologiesProficient in event-driven architecture and API design/implementation",https://jobs.statefarm.com/main/jobs/30385?lang=en-us,"5+ years of Object-Oriented Programming experience (Java, C++, Apex, Gosu, etc.)5+ years of Node.js (or other JavaScript) experience2+ years of Terraform (or equivalent Infrastructure-as-Code language, such as CloudFormation) experience2+ years of AWS Serverless (Lambda) Development ExperienceEffective communication of complex software engineering topics to both high-level and low-level audiencesProven technical leadership abilityProven ability to mentor and coach other software engineersProficient in CI/CD AutomationProficient in PostgreSQL, Oracle, MySQL or other relational database technologiesProficient in DynamoDB, MongoDB, CouchDB, or other non-relational database technologiesProficient in event-driven architecture and API design/implementation"
5,StateFarm,Data Analytics Engineer,"Experience in programming languages such as Python, SAS, RExperience with any opensource database such as PostgreSql, MySQL. Etc.Experience with developing solutions on AWS or other distributed compute platforms.Ability to learn and adopt new technologies and languagesCritical thinking skills to challenge current thinking and apply right technology to solve problems.Bachelor’s Degree in Computer Science, Software Engineering, or related field",https://jobs.statefarm.com/main/jobs/30747?lang=en-us,"Work closely with data scientists and business experts to develop modeling solutions for actuarial and underwriting business problemsBuilding and maintaining data pipelines for the development, implementation, execution, validation, monitoring, and improvement of data science solutionsEstablish business domain knowledge for State Farm data sources Investigate, recommend, and initiate acquisition of new data resources from internal and external data sources Identify critical and emerging technologies, techniques, tools, data sources, and platforms in the data engineering field, including cloud-based solutions, that support and extend quantitative analytic deployment solutions"
6,StateFarm,Lead Data Engineer,"5+ years of Data Engineering experience, or equivalent.5+ years of experience with programming and scripting languages including Bash, Java, Python 2 or 3, SQL, Scala, SASStrong proficiency with developing solutions on AWS (S3, Redshift, Lambda, Athena, Glue) and other data analytic platformsExperience with version control and DevOps platforms such as GitHub and GitLabExperience with CI/CD Pipelines and SDLC best practicesExperience using deployment automation technologies including TerraformStrong relationship-building skillsAbility to articulate technical and non-technical concepts in simple and consumable waysLearning agility and a demonstrated track record of continuous learningExperience working in an Agile/Scrum team-based environment",https://jobs.statefarm.com/main/jobs/29942?lang=en-us,"Applying in-depth knowledge of data engineering tools, processes, applications, programming languages, and environments to lead strategic workUtilizing data and application architecture to increase efficiency and effectiveness of solutions aimed at solving complex business problemsApplying in-depth knowledge of data engineering practices including Extract, Transform, Load (ETL); data integration; data pipelines; data management; and data storage functionality to design and build reusable data solutionsMaintaining deep understanding in software engineering topics including classes, functions, security, containers, version control, CI/CD, and testing best practicesDemonstrating understating of business customer needs and the competitive landscape we operate inInfluencing and providing direction on product development practices, coding, data, and testing standardsMentoring, driving, coordinating, and delegating work to other team members as required"
8,StateFarm,REMOTE Software Engineer- Dev Ops,"Proficient in Java developmentAutomating deployments using DevOps tools like GitLab CI RunnersAWS knowledge, experience, and/or certifications (EMR, S3, Lambda, EC2 Runners, Redshift Cluster, RDS, CloudWatch, CI/CD)Experience with Terraform scriptingStrong learning agility and technical acumen",https://jobs.statefarm.com/main/jobs/29794?lang=en-us,"Help implement and support tools across automated building, deployment, security scanning, testing, monitoring, and deployment.Work in a culture of continuous integration and continuous delivery.Gain a good understanding of systems, data structures, modern scripting, and enterprise level requirements and tools.Consult teams, solve problems, and support the department’s ongoing migration to the Cloud."
9,StateFarm,Technical Administrator - Test Environment Infrastructure,Knowledge of Salesforce platformSQL scripting knowledge Knowledge in Mainframe Knowledge about JCLKnowledge of Pivotal Cloud Foundry (TP2),https://jobs.statefarm.com/main/jobs/30342?lang=en-us,Create and maintain topology diagramsTest environment planning and setupTest environment configuration managementImplementation of test codeCommunicate configuration management issues and eventsParticipate in test environment issues and defect resolution
10,StateFarm,Manager - Mktg Technology Mgmt - Campaigns/Lead Nurturing,"Minimum of a completed bachelor's degree3+ years' experience with Salesforce Marketing Cloud, Unica, email marketing, print production, vendor management, and/or related areasLeadership and technical expertise in campaign executionAbility to collaborate and partner across a matrix organizationUnderstanding of marketing data privacy and do-not-solicit rules and how to apply them to campaigns and journeysExperience managing business vendor relationships",https://jobs.statefarm.com/main/jobs/30563?lang=en-us,"Oversees and is accountable for enabling and optimizing marketing technology and dataUnderstands trends in marketing technology and identifies/recommends general enhancements and cutting edge solutions to improve Marketing platformsOversees execution of marketing campaigns in support of Marketing outcomesEnsures tech and data solutions that are compliant with regulations, internal guidelines, and risk expectationsEnsures teams are compliant with privacy and Do Not Solicit rules and regulationsServes as marketing technical liaison to the Enterprise Technology departmentEstablishes processes and goals for area of responsibility in alignment with enterprise and department objectivesResponsible for salary administration, performance assessment and coaching, selection, training, and career development of reporting employees in accordance with company policies and proceduresManages resources both human and financial in accordance with budget, department plans, and unit plans, within existing and anticipated business environmentsResponsible for fostering an environment of continual innovation and process improvement within area of responsibilityCultivates an environment where diversity and inclusion is valued and leveraged to position employees and the department to be their best"
