,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,Vistra,Electrician Helper - Comanche Peak,High School education or GED equivalentMinimum of three years experience working as an Electrician in a related industry or formal training in a related field.,https://vst.wd5.myworkdayjobs.com/en-US/vistra_careers/job/Glen-Rose-Texas/Electrician-Helper---Comanche-Peak_40009007-2,"Understands basic AC/DC Circuit Theory, Digital and Analog Circuit Theory, Power Plant Cycle Theory, and Mechanics.Inspects, tests, repairs, and installs plant electrical equipment such as leads, buses, breakers, batteries, motors, generators, lighting, winterizing, cathodic protection, elevators, cranes, electrical switches, relay control generators, lighting, winterizing, cathodic protection, cranes, electrical switches, relay control systems, excitation systems, and including electronic equipment such as annunciators, recorders, communications systems, uninterruptable power supplies, battery chargers, and electronic logic controllers, both analog and digital.Builds cable and raceway systems and bends and installs conduit. Pulls and routes control and power cables through raceways, cable trays and conduits. Terminates cables and checks for continuity and accuracy.Properly conducts low, medium, and high voltage switching, clearing and grounding activities for all plant auxiliary equipment.Locates, analyzes and corrects malfunctions of electrical and electronic equipment.Performs switchboard work such as wiring new electrical and electronic devices.Acquires a variety of skills to support electrical and electronic activity such as (1) use of computers for communications and research, (2) electrical schematic and blueprint interpretation and analysis, (3) use of code and reference books and specifications, (4) use of precision instruments for electrical, pressure and temperature measurements, (5) rigging, etc.Assists in the keeping of records on electrical and electronic equipment, including inspections and overhaul reports.Makes effective use of the maintenance planning tools.Complies with safety regulations established by regulatory agencies, the Safety Handbook and supervision.Complies with environmental regulations established by regulatory agencies, Company policy and supervision "
3,Vistra,"Account Manager, Sr","High School Diploma or equivalency requiredExperience gained through college degree programs and/or certifications is applicable to above skills2 – 3 years data analyst or sales support with pricing experience role and knowledge of ERCOT, PJM and MISO preferredExperience using Salesforce preferredStrong communication, interpersonal and written skills requiredStrong MS Excel, Word and Outlook skills requiredAnalytical skills with experience collecting, organizing, analyzing, and disseminating abundant information with accuracy preferred",https://vst.wd5.myworkdayjobs.com/en-US/vistra_careers/job/Irving-Texas/Account-Manager--Sr_40008827-3,"Support Large Business, Door-to-Door, Apartment & Builder Sales and ERCOT sales teams with setting up and closing highly profitable energy deals with business customers through a variety of means including obtaining usage history, working with price quotes and closing contractsUse Salesforce, SAP, ERCOT, PJM, MISO, LodeStar, Utility Portals, LOA, Adobe Sign and other associated tools and portalsMaintains established service levels by working to obtain account information, provide contract pricing and resolve account issuesWorks with organizations throughout Vistra to ensure customer accounts are handled efficiently and accurately Ensures requests for pricing are responded to in a timely manner and works with pricing, structured transactions, legal, contract and credit groups to prepare customer offersAble to manage, prioritize and complete support-related requests from sales executivesTOSA and Fixed Shape Contracts – accuracy of contract forms, tracking and resolving any discrepancies to ensure payment delays do not occur and if discovered, working within expected time frames to resolve and correct Ensures adherence to regulatory and government guidelines in maintaining customer accountsEnsures an accurate and timely process for maintaining customer account information and closing pricing transactions"
4,Vistra,Lead Developer,"Responsible for designing solutions and working with conventional data warehouse technologies to develop models that best support a business or organization.Have hands-on experience planning, developing, and performing data extraction from various source systems and building data warehouses and data marts in relational databases while ensuring data integrity.Participate in Data Services agile team; recommend and implement changes to mitigate risks and optimize performance.Apply subject matter expertise to acquire and understand data integration requirements and deliver enterprise services to support business objectives.2 + years of experience with cloud-native data stores (e.g., S3, Redshift, Snowflake), automation, and orchestration tools.Must have hands-on experience in warehouse tools like SAP BW on HANA, Enterprise HANA, Snowflake, Oracle DB, SQL Server, IBM DB2, Amazon redshift, MS Azure, etc.Must have hands-on experience in enterprise or cloud-based ETL tools like Informatica, SAP data Service, Talend, Azure Data Factory, Data Stage, SAS, etc.Good to have AWS or Azure cloud certification.",https://vst.wd5.myworkdayjobs.com/en-US/vistra_careers/job/Irving-Texas/Lead-Developer_40008863-2,"Responsible for designing solutions and working with conventional data warehouse technologies to develop models that best support a business or organization.Have hands-on experience planning, developing, and performing data extraction from various source systems and building data warehouses and data marts in relational databases while ensuring data integrity.Participate in Data Services agile team; recommend and implement changes to mitigate risks and optimize performance.Apply subject matter expertise to acquire and understand data integration requirements and deliver enterprise services to support business objectives.2 + years of experience with cloud-native data stores (e.g., S3, Redshift, Snowflake), automation, and orchestration tools.Must have hands-on experience in warehouse tools like SAP BW on HANA, Enterprise HANA, Snowflake, Oracle DB, SQL Server, IBM DB2, Amazon redshift, MS Azure, etc.Must have hands-on experience in enterprise or cloud-based ETL tools like Informatica, SAP data Service, Talend, Azure Data Factory, Data Stage, SAS, etc.Good to have AWS or Azure cloud certification."
5,Vistra,Lead Microsoft 365 Security Engineer,"Experienced gained through college degree programs and/or certifications in business or information systems related fields, with an emphasis in information technology or cyber security10+ years of dedicated information security experience OR 5+ years of information technology administration experience Experience designing/implementing security controls in AWS and/or AzureExperience with automating processes and/or security controlsExperience with DevOps, DevSecOps, and Agile SDLC methodologiesAdvanced and proven knowledge of security concepts (CISSP, CISA, CISM, GPEN, GWAPT, GCIH, other GIAC certifications, OSCP, CEH, PCNSE, etc.) Experience leading a DevOps team with emphasis on team mentorship and driving outcomes through collaboration.",https://vst.wd5.myworkdayjobs.com/en-US/vistra_careers/job/Royal-Lane-Office/Lead-Microsoft-365-Security-Engineer_40007943-2,Takes ownership over execution of the roadmap to drive security and compliance requirements into all enterprise technology systems and projects as part of the SDLC process by working closely with various other company architects and application teams.Participates in strategic planning of technical and operational roadmaps.Drives standardization of design patterns and integrations to CI/CD pipelines.Participate in creating plans for implementing management directives in most secure manners with automation.Provides mentorship to junior team members to improve security guidance and further improve knowledge within the teams.Works closely with cross-functional teams as a subject matter expert for security standards and advises/contributes to development as needed.
6,Vistra,Retail Contract Analyst IV,"2-4+ years in contract related work experience including contract negotiations, language writing and redlines and project coordination2-4+ years in a customer-focused or sales support roleAbility to make an educated decision based on knowledge of standard contractual risk, contract language and business acumenAdvanced Skill in using computer software applications such as MS Office products, SAP, Sales Force, Workshare Compare and various CLM platformsAble to effectively contribute to small work groups and process groups on the team and with other teams in the organization to enhance effectiveness and efficiency in business marketsAdvanced skills to work in a collaborative team environment dailyDemonstrated ability to work effectively in a rapidly changing environmentAdvanced communication skills that translate to Sales, Management and Executive LeadershipHigh school diploma or equivalent ",https://vst.wd5.myworkdayjobs.com/en-US/vistra_careers/job/Irving-Texas/Retail-Contract-Analyst-IV_40008746-3,"Create non-standard contract documents which will include complex structures and negotiationsApprove and retain manually created contract documents per closure and retention policyPrioritize contract closure during peak times per the task in the work queue for commodity Complete day-to-day task in the workflow management system(s) for commodity or non-commodityHas subject matter expert knowledge to facilitate and lead the negotiation and redline process between Sales, Risk Management and LegalUtilizes expert knowledge to assist Senior Analysts on the team with complex structures and negotiationsMonitor and assess day-to-day related issues to ensure business practices, policies and procedures are executed in an effective manner Has subject matter expert responsibility for analyzing and developing improvements to business processes to enhance Vistra Corp effectiveness and efficiency in business marketsCreate and maintain ongoing dialogue by providing data expertise and original perspective with strategic partner(s), internal personnel and Vistra Governance to ensure a positive, valued relationship that has unambiguous alignment with business initiatives and changing business need.Respond to questions from business clients regarding any aspect of contract dataWork under minimal supervision/guidanceAnalyze customer feedback to identify solutions to improve and enhance the customers’ experienceProvides first level of technical support to internal stakeholders to resolve issues and drive automation between Salesforce and CLM platformsExperience with Salesforce Standard and Custom objects, fields, field validation ruleDevelop and present regular and timely reports, as needed.Knowledge and use of contract comparison software for negotiations and template revisions. Actively participate in cross-functional team activities, offering original perspectives and challenging conventional views.Develop / deliver management-level presentations to communicate findings and recommendations of deep dive analysis efforts to management. "
7,Vistra,Contractor Coordinator,"High School Diploma or Equivalent.5-7 years of fossil power plant experience in mechanical, electrical maintenance.Operating procedures, safety procedures, auxiliary equipment, fuel handling equipment, fossil plant planning, clearance procedures, experience in computer maintenance management systems and an understanding of RCM/CBM programs.",https://vst.wd5.myworkdayjobs.com/en-US/vistra_careers/job/Kincaid-Illinois/Contractor-Coordinator_40008919-3,"Requires understanding of the functional operation of the Maximo and PMMS Systems and proper implementation of the procedures.Directly evaluates the status of the running equipment in the assigned area on a daily basis and communicates with various other departments within the plant to verify potential problem areas. Generates the appropriate actions either by creating work orders or by entering AR’s so the appropriate repairs can be planned and completed. This will also include interactive communications with the Scheduler.Is directly responsible for creating work orders from AR’s; creating new standard job plans and revising existing standard job plans; building, maintaining, reviewing, and correcting the PM database; continually monitoring and correcting job estimates on repeatable jobs; closing schedules and review closed schedule comments to evaluate for any additional actions; build and modify bill of materials lists in the database; and generate reports as required and any other duties as set by the scheduler in order to support the area’s daily effortsUnderstands the job functions of the scheduler and will fill that position if the scheduler is away from the plant.Understands the CBM technology and applies that technology by interpreting and utilizing the supporting data to properly plan up-coming projects. Incorporate the latest code, safety, and regulatory changes to the current daily plans.Personally understands all of the equipment and maintenance activities in the assigned area well enough to give an accurate work duration, a detailed description of the tools required, the materials to be used, and how the work will to be performed for a specific job.Arranges, coordinates, provides direction, and directly supervises contracting work forces. Will be accountable for controlling particular project assignments relative to work scope, safety, quality, production, and cost management.Arranges and tracks off-site equipment repairs. This position will be responsible for providing a scope of work, schedule time lines, and cost control.Other duties as assigned."
9,Vistra,Sr. Counsel - Corporate Securities and Finance; Asst Corp Secretary,"J.D., and current license to practice law.6-10 years of capital markets, finance, or securities law experience, preferably at a large law firm. M&A experience will also be considered.",https://vst.wd5.myworkdayjobs.com/en-US/vistra_careers/job/Irving-Texas/Sr-Counsel---Corporate-Securities-and-Finance--Asst-Corp-Secretary_40008975-1,"Primary legal support for the Finance and Treasury departments on corporate finance and capital markets transactions and other matters, including negotiation and review of finance and credit documents and support ongoing compliance obligations, and oversee outside counsel engagementAs Assistant Corporate Secretary, support all corporate governance matters, including assisting with Board administration and governance and NYSE requirementsAdminister planning and logistics for annual shareholders meeting, including preparation of proxy statementPrimary responsibility for management and governance of Vistra’s subsidiary organization structure Provide advice with respect to federal securities laws matters, including preparation and review of Exchange Act reports, including 10-K, 10-Q, 8-K, and manage all Section 16 filings"
11,Vistra,Senior Regulatory Compliance Counsel,"•Jurisprudence Doctorate and current license to practice law.•Minimum of seven years of regulatory law experience, preferably in the energy, commodities, or financial services industries. Federal Energy Regulatory Commission (FERC), Public Utility Commission of Texas (PUCT), or Commodity Futures Trading Commission (CFTC), or Securities Exchange Commission (SEC) experience preferred.",https://vst.wd5.myworkdayjobs.com/en-US/vistra_careers/job/Irving-Texas/Senior-Regulatory-Compliance-Counsel_40008986-4,"•Ensure company-wide compliance with federal and state laws and regulations and market rules for the wholesale sale and purchase of electricity and natural gas and related financial hedging transactions (primarily FERC, PUCT, and CFTC-jurisdictional bilateral and organized markets).•Design, implement, and remediate core wholesale energy compliance program elements such as policies and procedures, communication and transaction monitoring, internal controls, and regular reporting functions.•Establish and maintain open communication with key regulatory and enforcement bodies; appear before regulators or other governing bodies when needed.•Complete internal inquiries on incidents of potential non-compliance. •Defend the company in regulatory or enforcement actions, including by managing document collection and production.•Provide advice and counsel on key regulatory contracts, such as power purchase agreements, market participation agreements, and generator interconnection-related agreements.•Actively monitor regulations, rules, and laws that affect the legal requirements and risk exposure of Vistra."
12,Vistra,Engineer - Kosse Mine,"Along with the Mine Maintenance team, will be involved in the outage planning, scheduling, and special projects (dragline, coal barn, loading station, etc)Participate in offsite quality control of various critical asset builds.Identifies and performs task as required to meet objectivesLead interpretation and analysis of complex issues Coordinates assigned projects, studies and initiatives through completionComply with safety policy and procedures to ensure a safe working environmentPrepare and present reports including recommendation to resolve complex issues Participate in and lead special projects and committees Lead complex problem - solving efforts",https://vst.wd5.myworkdayjobs.com/en-US/vistra_careers/job/Kosse-Texas/Engineer---Kosse-Mine_40008993-2,"Along with the Mine Maintenance team, will be involved in the outage planning, scheduling, and special projects (dragline, coal barn, loading station, etc)Participate in offsite quality control of various critical asset builds.Identifies and performs task as required to meet objectivesLead interpretation and analysis of complex issues Coordinates assigned projects, studies and initiatives through completionComply with safety policy and procedures to ensure a safe working environmentPrepare and present reports including recommendation to resolve complex issues Participate in and lead special projects and committees Lead complex problem - solving efforts"
13,Vistra,"Sr. Manager, Development Engineering (Renewables)","Qualify new solar and battery opportunities, perform technical due diligence on project practicalityComplete preliminary plant design – layouts, optimization, technical specifications.Develop energy production modeling for projects (PVsyst), performance analytics, financial performance metricsLead design of solar, storage or other power development projects that is optimized to commercial and financial models. Develop/Lead primary project equipment selectionDevelop cost-benefit analysis for various project designs to conclude on an optimal project designDevelop/Lead structural and electrical conceptual designsDevelop all technical inputs to the project financial model, including estimates of production and performance, EPC capital costs, operating and maintenance expenses and operational capital expenditures ",https://vst.wd5.myworkdayjobs.com/en-US/vistra_careers/job/Irving-Texas/Design-Phase-Engineering-Manager--Renewables-_40008207-3,"Qualify new solar and battery opportunities, perform technical due diligence on project practicalityComplete preliminary plant design – layouts, optimization, technical specifications.Develop energy production modeling for projects (PVsyst), performance analytics, financial performance metricsLead design of solar, storage or other power development projects that is optimized to commercial and financial models. Develop/Lead primary project equipment selectionDevelop cost-benefit analysis for various project designs to conclude on an optimal project designDevelop/Lead structural and electrical conceptual designsDevelop all technical inputs to the project financial model, including estimates of production and performance, EPC capital costs, operating and maintenance expenses and operational capital expenditures "
