,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,Vizient,"Associate Principal, Industry Relations","Relevant degree in Business Administration, Pharmacy, Healthcare Administration, or other similarly related fields; Master’s degree in discipline preferred",https://vizient.wd1.myworkdayjobs.com/en-US/Vizient_Careers/job/Virtual-Office/Associate-Principal--Industry-Relations_24974R,Direct responsibility for strategic growth across assigned pharmaceutical and biologic manufacturer accounts. Possess a high degree of experience of managing deals (>$M) and presenting to C- and Executive level groups
1,Vizient,"Principal, Industry Relations","Relevant degree in Business Administration, Pharmacy, Healthcare Administration, or other similarly related fields; Master’s degree in discipline preferred10 or more years of relevant experience managing specialty / biologic manufacturer relationships, healthcare, specialty pharmacy, data services, real world data / evidence, industry analytics, clinical programs, drug access, health systems/IDNs & health technologies (EHRs)Eight or more years of team leadership experience, managing industry relations teams who work independently to drive growth and mutually beneficial opportunities to marketExperience with market access drug channels, health systems, integrated delivery networks, health technologies, electronic health record (EHR) and pharmacy dataAbility to travel regularly throughout the year as customers demand and attend conferences as requiredPossess stellar written and verbal communication, presentation, and storytelling skills with experience in business development and presenting in front of large executive customer audiencesExperience creating go-to-market strategies for new products, services, and programs; building significant revenue-generating strategic partnerships while obsessing over customer experience and has a high degree of customer empathyVisibility and action orientation, proven track record of leading through influence both inside and outside the organization; articulate and produce buy-in to a visionTransformative leadership; a history of instilling best-in-class processes, team outcomes and improving efficiency while obtaining growth",https://vizient.wd1.myworkdayjobs.com/en-US/Vizient_Careers/job/Virtual-Office/Principal--Industry-Relations_24973R,"Lead team responsible for strategic growth across pharmaceutical and biologic manufacturers, while having direct account responsibility for a limited number of key accounts. Possess a high degree of experience of managing deals (>$M) and presenting to C- and Executive level groupsAccountable for development and negotiation of specialty pharmacy, clinical service, data and product / drug access, as well as team execution of growth objectives and goalsIdentify and prioritize mutually beneficial opportunities which may include expanding current programs, access to limited distribution drugs (LDD), clinical programs, data services, real world data / evidence, industry analytics, health technology programs and other related contractual arrangementsSuggest and help develop new product and pricing strategies, in collaboration with internal teamsOwnership of the business line profitability; development and delivery of strategic account-level business plan, with projected revenue and tactics required for successLead development of best practices across the team and collaborate with senior leaders on how Acentrus is representing itself in the market; understand, quantify, and present programs; drive new opportunities and increase customer satisfactionServe as liaison in internal and external meetings related to pharmaceutical / biologic manufacturer channel and shall stay current of compliance, legal and legislative landscape and challenges effecting the industryLead the team to execute towards goals, creating space for autonomy and innovation, while decreasing time it takes to bring opportunities to marketBe a change agent; lead Acentrus business channel partnership discussions across Vizient organization; support strategic initiatives as well as work across team boundaries for reusability, standardization, etc.Embody a growth mentality, challenging yourself and your teams to be curious and actively seek opportunities for learning and improvement, even when it’s uncomfortableCreate a shared purpose by connecting strategy and success by focusing teams on clear objectives and demonstrating how their individual roles impact our collective missionCommunicate proactively, openly and clearly about goals, challenges, and opportunities. Listen with the intent to understand. Seek opportunities to collaborate across the businessValue different perspectives and are committed to building a culture where everyone can show up as themselves and do their best work together"
2,Vizient,"Senior Director, Business Marketing - Suppliers","Relevant degree desired; Advanced degree preferred.10 or more years of relevant experience required including proven track record of leading a highly effective, audience-specific marketing team.Ability to understand healthcare provider and supplier needs from programmatic, financial, technical, organizational perspectives.Demonstrated experience in Consultative solutions marketing experience targeting c-suite personas.Experience at both a leader and a doer – can wear both a strategic and execution hat.Embrace an entrepreneurial mindset with a willingness to explore bold new ideas, the tenacity to drive to execution, and flexibility to take on different roles and duties as required.Collaborative team player who exhibits personal accountability and can independently manage projects from conception to completion.Strong written, interpersonal, presentation, communication, and group facilitation skills.Willingness to travel.",https://vizient.wd1.myworkdayjobs.com/en-US/Vizient_Careers/job/Irving-TX-75062-Vizient-Corporate-HQ/Senior-Director--Business-Marketing---Suppliers_24872R,"Collaborate with cross-functional teams to differentiate our value proposition and capitalize on market opportunities aligned with our corporate goals and strategy.Build vision for and implementation of marketing plans to evolve supplier perception of our brand, fuel revenue growth and cultivate loyalty.Create narratives and own messaging platforms that succinctly convey our differentiation and align with our brand identity.Craft compelling campaigns and bring them to life across a variety of channels.Work closely with cross-functional teams to enable our delivery and sales teams to confidently engage suppliers with the right messages at the right time.Partner with analytics on reporting and performance improvement initiatives to maximize results.Manage budgets, performance, and culture for a team of two individual contributors.Build out a strong project management discipline to ensure that demand aligns with internal capacity and expectations/commitments.Work with team members to develop agile processes where you can iterate on the insights with the customer and work collaboratively towards the end research product.Act as a ‘player-coach’ to the team through establishing expectations for performance, providing recurring feedback, and helping to nurture team members by aligning their career goals with opportunities to grow within Vizient."
3,Vizient,"Consultant, Value Transformation-Sg2","Relevant Degree Preferred. 2 or more years of relevant experience in value-based care, managed care or payer strategy business advisory with a health care provider or a consulting firm required.Medicare alternative payment models such as accountable care organizations, bundled payments and medical home models experience preferred.Financial volume and forecast modeling experience preferred.Intermediate to advanced excel and other analytical tool skills required.Health care strategy consulting experience with an emphasis on value-based care, payer strategy or alternative payment models preferred.Experience with issues related to health care payment transformation and policy, managed care, physician alignment, physician compensation and sharing arrangements, and clinical integration preferred.Willingness to travel.",https://vizient.wd1.myworkdayjobs.com/en-US/Vizient_Careers/job/Virtual-Office/Consultant--Value-Transformation-Sg2_24876R,"Provide consulting support for value-based care engagements across our consulting offerings including enterprise value-based care strategy, payer and employer strategy, alternative payment model analysis and planning, clinically integrated network (CIN) development and planning and other engagements in support of assisting healthcare systems in transitioning to a value-based payment and delivery model.Work with engagement managers and leads to adhere to defined engagement timeline/schedule; communicate updates on engagement tasks and deliverables; provide data collection, analysis and modeling; assist in crafting the story based on data analysis; present materials and collaborate with the engagement team.Stay informed of business and economic developments in value-based care while understanding the impact these changes have to our clients.Leverage data and perspectives from across the company to support analyses specific to value-based care."
4,Vizient,Contract Negotiator/Portfolio Executive,"Relevant degree preferred.2 or more years of experience required.Experience with contracts and negotiations preferred.Experience in a health care environment preferred.Demonstrated expertise in competitive bidding, and management of high profile agreements.Must be financially savvy with working with expense and revenue budgets.Excellent verbal, written presentation skills.Willingness to travel.",https://vizient.wd1.myworkdayjobs.com/en-US/Vizient_Careers/job/Irving-TX-75062-Vizient-Corporate-HQ/Portfolio-Executive---Pharmacy-Sourcing_24850R,"Manage a portfolio for acute/non-acute agreements.Conduct product and market assessments and market research for assigned categories.Develop contracting strategies that will deliver unique value to support individual members, supply networks, academic medical centers as well as customers and clients in non-health care markets to include: to include: negotiating contract terms and conditions for contract renewals, amendments, addenda, and tier pricing; developing and managing portfolio budgeting and forecasting, and maintaining supplier relationships.Serve as a category expert for members, suppliers / distributors, Vizient field team, advisory solutions, legal, and finance for assigned portfolios.Partner with cross functional teams and collaborate with Analysts and colleagues to ensure alignment to member needs and market competitiveness.Communicates key contract changes and enhancements to internal and external key stakeholdersCreate product specific marketing approaches to increase contract utilization by membersSeek member input from councils and / or task forces to understand member needs and incorporate into contracting initiatives for low to moderate complexity portfoliosParticipate in the competitive bid process by negotiating favorable terms and conditions.Implement new programmatic offerings while maintaining practical knowledge of the healthcare industry, market dynamics and new technology.Develop and manage relationships with members, suppliers, and alliances to ensure satisfaction through effective, timely communication and problem resolution."
5,Vizient,Senior Analyst,"Relevant degree preferred. 5 or more years of relevant experience required.Experience in health care preferred with a focus on data management and quality reporting outcomes. Strong quantitative and analytic skills, including proficiency with spreadsheet and relational data base software applications preferred. SQL and Python programming knowledge.",https://vizient.wd1.myworkdayjobs.com/en-US/Vizient_Careers/job/Virtual-Office/Senior-Analyst_24556R,Ensure the accuracy of data flowing into 3rd party data with Vizient's clinical products & linkage with external data sets. 
7,Vizient,Associate Software Engineer,Relevant degree preferred.No prior work experience required.Knowledge of Agile and Scrum methodologies.Knowledge of Java concepts.You must be authorized to work in the United States without sponsorship.,https://vizient.wd1.myworkdayjobs.com/en-US/Vizient_Careers/job/Cape-Girardeau-MO-63703/Associate-Software-Engineer_24914R,Develop and test defined user stories.Review test cases and support quality assurance efforts.Complete and maintain documentation.Support continuous improvement.Resolve application defects (debugging and bug cycle support).Adhere to Architecture/Design standards.
8,Vizient,Analyst - Pharmacy Analytics,"Relevant degree preferred; graduate degree desired.2 or more years experience required.Knowledge of pharmaceutical industry, pharmacy supply chain, and GPO contracting preferred.Proven advanced level knowledge using MS Excel, SQL, and MS Access (or other database clients).Experience with data visualization tools and dashboards (PowerBI, Python or other comparable programs) a plus.Highly organized with exceptional attention to detail.Exceptional verbal and written communication skills.Action oriented, high initiative, good problem-solving skills, and independent thinking.Ability to collaborate within team and work independently as situation dictates.The ideal candidate will work at the corporate office and reside in the DFW Area.",https://vizient.wd1.myworkdayjobs.com/en-US/Vizient_Careers/job/Irving-TX-75062-Vizient-Corporate-HQ/Analyst--Pharmacy-Analytics---Sourcing_22512R,"Provide operational support for pharmacy portfolio which includes system management and generating various analyses to help manage portfolio and measure performance including price management and revenue tracking.Manipulate large amounts of data using Microsoft Excel, Access, SQL Server and other database clients for reporting and analysis. Interact with pharmaceutical manufacturers routinely for various reporting needs and product management issues.Compile key elements of information from various sources including spend, product, pricing, financial and membership data with supportive analysis.Demonstrate critical thinking and analysis interpretation skills beyond compiling and creating reports to effectively assist PE/management teams to draw relevant conclusions.Demonstrate high levels of tact, judgment and diplomacy when collaborating with internal and external stakeholders."
9,Vizient,Lead Analyst - Dedicated support Oklahoma/Arkansas Network - Virtual,"Serve as lead for analytics requests, including creating data sets and coordinating ad-hoc analyses to address inquiries and resolve anomalies.Leverage programming/coding and business intelligence tools to automate the production of analytics and dashboards.Identify data sources and approaches to be used in simple and complex queries.Conduct analyses of information to produce results and identify solutions to complex problems.Identify trends and performance levels for metrics based on established benchmarks or create benchmarks using standard or customized approaches.Design and create charts, graphs, tables, and reports to support findings and develop recommendations.Present recommendations to management and executive audiences and provide guidance in selecting alternatives.Deliver customized analyses, leveraging internal and external as well as structured and unstructured datasets.Utilize advanced modeling techniques; handle large data sets.Identify gaps in existing reporting and analytical processes, taking immediate action to address.May lead functional teams or projects with moderate resource requirements, risk, and / or complexity to ensure quality and timely project delivery.Build and maintain strong working relationships with both internal and member leaders; identify needs and reach appropriate compromises to ensure alignment with desired outcomes and expectations.",https://vizient.wd1.myworkdayjobs.com/en-US/Vizient_Careers/job/Virtual-Office/Lead-Analyst---Dedicated--OK-AR-Network-_24643R-1,"Serve as lead for analytics requests, including creating data sets and coordinating ad-hoc analyses to address inquiries and resolve anomalies.Leverage programming/coding and business intelligence tools to automate the production of analytics and dashboards.Identify data sources and approaches to be used in simple and complex queries.Conduct analyses of information to produce results and identify solutions to complex problems.Identify trends and performance levels for metrics based on established benchmarks or create benchmarks using standard or customized approaches.Design and create charts, graphs, tables, and reports to support findings and develop recommendations.Present recommendations to management and executive audiences and provide guidance in selecting alternatives.Deliver customized analyses, leveraging internal and external as well as structured and unstructured datasets.Utilize advanced modeling techniques; handle large data sets.Identify gaps in existing reporting and analytical processes, taking immediate action to address.May lead functional teams or projects with moderate resource requirements, risk, and / or complexity to ensure quality and timely project delivery.Build and maintain strong working relationships with both internal and member leaders; identify needs and reach appropriate compromises to ensure alignment with desired outcomes and expectations."
10,Vizient,Price Management Analyst,"Relevant degree preferred. 2 or more years’ relevant work experience required. Strong Excel and analytical skills required.Experience in designing/altering queries using various tools, including SQL and Access preferred.Knowledge of purchasing data, contracts and tiers preferred.Understanding of medical suppliers, vendors and their relationships a plus.Strong written and verbal communication skills. ",https://vizient.wd1.myworkdayjobs.com/en-US/Vizient_Careers/job/Irving-TX-75062-Vizient-Corporate-HQ/Price-Management-Analyst_24695R,"Interact with members, contracted vendors and distributors as necessary to assist account management in the resolution of vendor pricing issues.Send price management discrepancy summary emails weekly. Pull customer requested price management reports and provide training and guidance regarding these reports as needed.Serve as a liaison for all contract data issues regarding pricing, units of measure, manufacturers, catalog numbers, etc.Assist account management with identifying and processing custom pricing, contract enrollment, tier management and distribution mark-ups."
