,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,Cisco,Supply Chain Manager - Intern- San Francisco - Summer 2023," Studying a Bachelor or Masters (or equivalent) in Supply Chain, Operations, Engineering or related field Enthusiastic: a great teammate Clear and effective communicator Keen, fast and proactive learner who seeks out feedback Enjoys working across multiple time zones, languages and environments",https://jobs.cisco.com/jobs/ProjectDetail/Supply-Chain-Manager-Intern-San-Francisco-Summer-2023/1398762,
1,Cisco,FedRamp Compliance Specialist," 4 - 6 years of Program management skills to drive programs to completion. Experience in FedRAMP or similar government certification programs and execution. College degree - preferably MBA or BS in Information Security or other technical discipline or equivalent experience. Excellent communications skill at all levels of the organization Ability to prioritize in a fast-changing environment Ability to balance multiple programs Ability to supply or drive legal contracts and SOW development. US Citizenship required due the nature of work this position will perform Vision and drive to create a world class, forward thinking compliance service/team in a large global enterprise Ability to lead others not reporting directly to you Excellent analytical skills Knowledge in Agile Program management - scrum or kanban Experience in global enterprise environments and CI/CD Experience working with AWS and/or GCP a plus",https://jobs.cisco.com/jobs/ProjectDetail/FedRamp-Compliance-Specialist/1398022,
2,Cisco,Technical Consulting Engineer," You will be part of Cisco's Technical Services team of technical authorities whose #1 focus is to help customers deploy and operate their networks effectively while delivering the best possible customer experience. Our success is validated through excellent financial results, increasing customer satisfaction metrics, industry recognition, and employee satisfaction scores.  You will be part of Cisco's Digital Network Architecture technology team consists of the industry's brightest minds, developing and deploying today's most advanced Internet technologies. You'll gain insight on the detailed functionality of Cisco products and partners with all distributed elements of the service chain.  You will provide 2nd/3rd level technical support for Digital Network Architecture technologies to Cisco customers, partners, account teams, and other Technical Assistance Center engineers  You can apply your analytical skills and technical knowledge to take on product and network problems of moderate to high complexity.  You will also provide technology/product training and intellectual property material as required  You'll act as focal point for large account network problem resolution.  You can effectively utilize moderate to complex lab setups to recreate and solve problems.  Provide technical support for Cisco Digital Network Architecture products to Cisco customers, partners, account teams, and other internal technical support teams.  Handle a wide variety of technical support problems—from simple application or network configuration fixes to extremely complex troubleshooting and problem resolution.  Utilize moderate to complex lab setups to recreate and solve problems.  Submit complete and correct defect reports with collaboration and supervision.  Work with minimal supervision and exercise judgment within defined procedures to determine appropriate action.  Collaborate with other TAC engineers across technology boundaries to help drive quicker resolution where multiple technologies may be involved.    Bachelor’s degree and/or 3-6 years equivalent experience in related fields.   • Excellent written & verbal communication skills and can present/communicate ideas effectively across different audiences, such as Sales, Customers, or Engineering.   • Excellent time management & customer management.  • Leverages software skills and tools to configure, deploy and/or troubleshoot Cisco products and solution   • Ability to drive customer satisfaction and take ownership for customer success.   • Produces and shares intellectual capital (including documentation and training) within technology and adjacent areas for internal audiences, Global Delivery Partners, and customers.   • Contributes to the development of diagnostic signatures through regex and automation  • Has advanced knowledge of global customer issues and can think about and recognize impacts at a large scale   • Can Design, Build and utilize complex lab setups across multiple technologies to duplicate and resolve problems, including use of traffic generators.   • Recognizes and submits bugs with all required related information. Mentors others to file bugs.   • Work with engineering to improve product quality by filing enhancements and testing fixes • Submits effective escalations with Engineering teams.   • Frequently assists other TCEs and Global Delivery Partners with problem resolution.   • Ability to mentor junior level engineers in the technology area.   • Active CCNP (equivalent or higher) Enterprise Certification desired   • Expert in at least one of the Layer 2 Protocols with a broad knowledge for others  • Expert in at least one of the Layer 3 Protocols with a broad knowledge of those remaining - OSPF, EIGRP, BGP, PBR and MPLS   • Advanced Knowledge of WireShark and can analyze traffic flows to properly root cause network and/or application issue   • Competent user of Linux/Windows/MacOS and Microsoft Office Suite   • Is an expert in at least one platform architecture, with broad knowledge of other platforms and software architectures they support.   • Has site level impacts potentially spanning multiple teams. Thinks beyond just problem resolution and leverages ways to automate or other methods to advance outcomes.   • Effectively collaborates across technology silos to drive customer success and builds cross-technology knowledge.  None indicated  We connect everything – people, process, data and things – and we use those connections to change our world for the better.  We innovate everywhere - From launching a new era of networking that adapts, learns and protects, to building Cisco Services that accelerate businesses and business results. Our technology powers entertainment, retail, healthcare, education and more – from Smart Cities to your everyday devices.  We benefit everyone - We do all of this while striving for a culture that empowers every person to be the difference, at work and in our communities. ",https://jobs.cisco.com/jobs/ProjectDetail/Technical-Consulting-Engineer/1397880,
3,Cisco,DevOps Engineer," Deploy and maintain critical applications on cloud-native microservices architecture Implement automation, effective monitoring, and infrastructure-as-code Deploy and maintain CI/CD pipelines across multiple environments Sustain and improve the process of knowledge sharing throughout the engineering team",https://jobs.cisco.com/jobs/ProjectDetail/DevOps-Engineer/1397900,
4,Cisco,Marketing Manager," Bachelor's degree in Business, Marketing, or a related subject area Digital Marketing and/or Content Marketing experience Platform experience with Salesforce.com Marketing Cloud, Eloqua, Marketo or similar platforms is a plus Video and digital broadcasting experience, Social Live platform experience a plus. Experience with Influtive or other advocate marketing software Strong analytical, problem solving and creative thinking skills Strong customer interface and presentation skills, with a Customer Focus demeanor Able to act as a trusted advisor in addressing our customer's and department business needs Ability to work well in a fast-paced, multifaceted environment. Excellent planning, time management, organizational and interpersonal skills",https://jobs.cisco.com/jobs/ProjectDetail/Marketing-Manager/1397905,
5,Cisco,Systems Engineer SLED," WHY YOU'LL LOVE CISCO  We change the World, you will become passionate about your employer and the brand you represent. Everything is converging on the Internet, making networked connections more meaningful than ever before in our lives. Our employees' groundbreaking ideas impact everything. Here, that means we take creative ideas from the drawing board to dynamic solutions that have real-world impact. You'll collaborate with Cisco leaders, partner with mentors, and develop incredible relationships with colleagues who share your interest in connecting the unconnected. You'll be part a team that cares about its customers, and enjoys having fun, and you'll take part in changing the lives of those in our local communities. Come prepared to be encouraged and inspired.    What You'll Do 
  You will partner with our Account Executives in a pre-sales technical role, showcasing Cisco product solutions-setting up demonstrations and explaining features and benefits to customers and designing and configuring products to meet specific customer needs. You will gain access to the palette of Cisco technologies and applications in a variety of vertical markets including Government, Healthcare and Education. You will collaborate with the Account Manager to recommend and develop customer solution offerings. You will provide an architectural perspective across the Cisco product portfolio and can use your technical specialization for specific opportunities. You will act in an increasingly consultative fashion and be looked to as a guide, or trusted technical adviser, in your field by the account team and customers. You will keep up-to-date on relevant competitors' solutions, products and services. You will assist with the development of formal sales plans and proposals for assigned opportunities. You will actively participate as a specialist on the assigned Virtual Team and provide consultative support in their area of specialization to other Systems Engineers. 
  Who You'll Work With 
  You will work with a team of Public Sector Systems Engineers who partner with Account Managers. We work with partners and customers to further the mission to protect, serve and educate. We have a wide range of interests outside of work, but we all love technology. 
  Who You Are
You are passionate about the customer experience and excited about new technology. You are a true teammate and love to learn. 
  You have a knowledge of baseline SE skills and in-depth knowledge in at least one specialization in either Data Center, Collaboration, Security or Route/Switch/Wireless.  You have knowledge of relevant solutions sets, product line specifications, performance criteria and applications.  You have the understanding and conversant about the company, competitors, technologies, solutions, product strengths, weaknesses, opportunities and threats.  You show technical knowledge, consultative skills, and the ability to work effectively and contribute to the extended team.  Pre-Sales experience desired.  Typically requires BS/BA (EE/CS) or equivalent.  CCIE or equivalent experience is a plus.  Our minimum requirements for this role:  You have excellent written and verbal communication, listening, negotiation and presentation skills.  4+ years of related experience preferred.  Cisco product experience or relevant experience in key competitor offerings in technology area of emphasis required.   Why Cisco  #WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference powering an inclusive future for all.  ",https://jobs.cisco.com/jobs/ProjectDetail/Systems-Engineer-SLED/1397662,
6,Cisco,Senior Information Security Engineer," Assist and influence management in the development, evolution, and execution of security risk strategies. Take the lead in the creation effort of the Information Security Risk Program by crafting a Security Risk Assessment methodology, policy, strategy, and process. Proactively work with local and remote Security teams and business owners to define the risk roadmap and program direction. Communicate and advocate for security enhancements and continuous improvements. Lead gap and risk assessments to identify and document significant information security risks associated with all aspects of Meraki systems, data, and infrastructure. Partner with Engineering leadership on the development, and review of IT initiatives and Security controls to identify operational efficiency. Lead remediation efforts and document completion status of deficiencies. Advance GRC and other Security tools to collect, maintain and share security risk information with senior leadership. Serve as a project lead by providing professional and expert-level security consulting services to business owners and partners. Maintain broad knowledge of standard methodologies and trends in the field of Information Security and other technologies relevant to systems operated by the Operations teams. Find opportunities for collaboration, inclusion, and alignment across the security program. Act as a mentor and train other security analysts. Extensive experience implementing and assessing security in a cloud-hosted environment. High-level of knowledge of security technologies, information systems, and risk assessment methodologies. Desire to learn new and evolving technologies in a fast-paced environment. The ideal candidate will have at least 8+ years of working within the technical arena with 5+ years of information security work experience. Technical background in IT systems and networking in Cloud environments. Experience analyzing vulnerability assessment reports and data and writing risk mitigation plans according to the assessment. Must have the ability to lead and collaborate with technical and non-technical teams to further the goals and mission of the Security Risk and Compliance team Excellent written and oral communication skills, as well as interpersonal skills including the ability to articulate to both technical and non-technical audiences. Experience in security standards such as ISO 27001, 27002, 27005; NIST, COBIT, ITIL, PCI",https://jobs.cisco.com/jobs/ProjectDetail/Senior-Information-Security-Engineer/1397454,
7,Cisco,Systems Architect - SLED NYC," Learn a broad level of knowledge of the business economics and trends of the industries and vertical markets in which one's customers conduct business, and how Cisco solutions add financial and strategic value. Build relationships both within and outside of Cisco; establish credibility quickly through personal self-confidence Strong understanding of the customer business model and common financial pain points; ability to frame Cisco offerings in terms of business drivers Advanced understanding of Cisco vision and technology; articulate the vision from the customer perspective Understand customer business drivers and how to map these to a customer network platform Understand internetworking industry trends, including new products and solutions Understand the competitive product and solution landscape Advanced knowledge in Routing & Switching, DC and Security Advanced knowledge in Networking Platform Design Excellent technical consulting skills, including the ability to define trade-offs, ask probing questions and incorporate Cisco solutions into a broader technology environment Actively share information about common replicable architectures that are most appropriate for assigned customers The technical specialist SE has an in-depth knowledge of their specialization and adjacent technologies including product, technology, and competitive information Excellent written and verbal communications skills are required Excellent presentation skills are required The SA role is very dynamic. You will be required to have the technical depth and breathe and be able to deliver presentations to the customer describing Cisco's Architectures, Business Outcomes and Business Value. 7+ years related experience. Cisco product experience or relevant experience in key competitor offerings in the technology area of emphasis required. Pre-Sales experience required. CCIE Certification preferred.",https://jobs.cisco.com/jobs/ProjectDetail/Systems-Architect-SLED-NYC/1397259,
8,Cisco,Technical Consulting Engineer- ID 1397146," You'll be part of Cisco's Technical Services team of technical authorities whose #1 focus is to help customers deploy and operate their networks effectively while delivering the best possible customer experience. Our success is validated through excellent financial results, increasing customer satisfaction metrics, industry recognition, and employee satisfaction scores. You will be part of Cisco's Digital Network Architecture technology team consists of the industry's brightest minds, developing and deploying today's most sophisticated Internet technologies. You'll gain insight on the detailed functionality of Cisco products and partners with all distributed elements of the service chain. You will provide 2nd/3rd level technical support for Digital Network Architecture technologies to Cisco customers, partners, account teams, and other Technical Assistance Center engineers You can apply your analytical skills and technical knowledge to take on product and network problems of moderate to high complexity. You will also provide technology/product training and intellectual property material as required You'll act as focal point for large account network problem resolution. You can effectively use moderate to sophisticated lab setups to recreate and solve problems. Provide technical support for Cisco Digital Network Architecture products to Cisco customers, partners, account teams, and other internal technical support teams. Handle a wide variety of technical support problems—from simple application or network configuration fixes to extremely sophisticated troubleshooting and problem resolution. Apply moderate to sophisticated lab setups to recreate and solve problems. Submit complete and correct defect reports with collaboration and supervision. Work with minimal direction and exercise judgment within defined procedures to determine appropriate action. Collaborate with other TAC engineers across technology boundaries to help drive quicker resolution where multiple technologies may be involved. Bachelor’s degree and/or 3-6 years equivalent experience in related fields. Excellent written & verbal communication skills and can present/communicate ideas effectively across different audiences, such as Sales, Customers, or Engineering. Excellent time management & customer management. Leverages software skills and tools to configure, deploy and/or fix Cisco products and solution Ability to drive customer satisfaction and take ownership for customer success. Produces and shares intellectual capital (including documentation and training) within technology and adjacent areas for internal audiences, Global Delivery Partners, and customers. Contributes to the development of diagnostic signatures through regex and automation Has sophisticated knowledge of global customer issues and can think about and recognize impacts at a large scale Can Design, Build and apply sophisticated lab setups across multiple technologies to duplicate and resolve problems, including use of traffic generators. Recognizes and submits bugs with all required related information. Mentors others to file bugs. Work with engineering to improve product quality by filing enhancements and testing fixes Submits effective escalations with Engineering teams. Frequently assists other TCEs and Global Delivery Partners with problem resolution. Ability to mentor junior level engineers in the technology area. Active CCNP (equivalent or higher) Enterprise Certification desired Expert in at least one of the Layer 2 Protocols with a broad knowledge for others Expert in at least one of the Layer 3 Protocols with a broad knowledge of those remaining - OSPF, EIGRP, BGP, PBR and MPLS Sophisticated Knowledge of WireShark and can analyze traffic flows to properly root cause network and/or application issue Competent user of Linux/Windows/MacOS and Microsoft Office Suite Is an expert in at least one platform architecture, with broad knowledge of other platforms and software architectures they support. Has site level impacts potentially spanning multiple teams. Thinks beyond just problem resolution and leverages ways to automate or other methods to advance outcomes. Effectively collaborates across technology silos to drive customer success and builds cross-technology knowledge. None indicated",https://jobs.cisco.com/jobs/ProjectDetail/Technical-Consulting-Engineer-ID-1397146/1397146,
9,Cisco,Engineering Manager - Platform and Capabilities," Building a cloud native, cloud scale , multi-tenant stream processing system as a service. Lead a team of experienced engineers and guide them to build reliable and scalable applications. Building highly scalable and optimized data products/manage data sets via stream processing & machine learning Building tools and frameworks that ensure highest quality of data, make data discovery and data access easy for applications Building tools to monitor and troubleshoot the system at high scales and high volumes Leading architecture discussions and designing and implementing reliable and scalable solutions. Work with architects and leaders and should be able articulate the solutions. Mentor and provide technical guidance to the team members. You have worked extensively with distributed computing and data processing like Kubernetes, NoSQL, Elastic Search, Kafka, Spark, Spark Streaming, Flink, MapReduce etc for 3+ years Experience in working multiteam, large and complex environments You have worked extensively with cloud native technologies, Kubernetes. Experience in building scalable, reliable and secure applications You have dealt with data at large scale, and understand the growing pains that come along with it. You have significant coding experience in one or more programming languages (Scala, Java, Golang, C++, etc…) You have strong understanding of concurrency concepts and multi-threading. You have experience in cloud engineering problems around scalability and resiliency You have 7+ years of experience in building distributed systems with understanding of distributed systems protocols and algorithms You have a can-do attitude on problem solving and ability to execute You’re a self starter You’re a team player",https://jobs.cisco.com/jobs/ProjectDetail/Engineering-Manager-Platform-and-Capabilities/1397175,
