,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,Collabera,User Experience Designer,"Position Details:
 Industry:               Banking
Work Location:     Remote to begin with then Onsite at Jersey City, NJ, 0730C
Job Title:               User Experience Designer
Duration:               12 months + Extension and permanent placement based on attendance and performance 
Working Hours:    M - F, 8 am - 4 pm 
 Required Skills:
As an Experience Designer, you Should have experience designing complex transactional systems into intuitive and valuable products. 
Experience Designers need to be excellent analytical and conceptual thinkers that translate user needs, business objectives and technology capabilities into innovative design. 
You will Help translate product strategy into interaction flows and final designs working with technology partners to plan and design new features and own the overall quality of what being delivered. 
You will apply color, composition, and content strategy to create meaningful experiences that consistently raise the bar and reset expectations for employee-facing experiences. 
You will be an advocate for users and an ambassador for our brand, creating designs that are familiar, intuitive, and accessible for all. ",https://collabera.com/job-description/?post=328824,
1,Collabera,Scanning specialist,"             Opportunity to work with Banking / Financial Clients
 Position Details:
Client-              Banking and Financial
Title -               Lockbox Specialist
Duration -       10+ months (Extension based on performance and business needs)
Location -        Chicago, IL, 60661
Shift hours -    Thursday-Monday 7 AM-3:30 PM
 Description:
Image Capture Representative (Scanning)
Responsible for the day-to-day scanning and imaging of customer/client documents received via US mail, overnight mail and local courier.
Ability to identify different work flows, and document retention
The individual must be capable of working in a high volume and demanding continuous production environment, including sitting for prolonged periods of time
Proactively identify and manage risk, leveraging the Risk Framework.
Understand and live the values that support our culture.
Adhere to policies and procedures
Stay informed of key priorities and business updates
Must be able to lift/move boxes, trays, and racks of work up to 50 lb.
Responsible for performing Match and Compare, Health Logic Match and Compare and Special Health Logic Match and Compare as requested by client.
Position requires the operation of high speed machinery used to scan/image documents
Duties include: user maintenance on machine, extracting documents from envelope, identifying exception transactions; cash handling, credit card payments and foreign items.
Individual ensures that the documents are scanned/imaged appropriately, following department guidelines.",https://collabera.com/job-description/?post=330683,
2,Collabera,User Interface Designer,"Role: Sr. UX Designer
Location: Remote
Contract: 12 Months + Extension 
 Job Description:
Research
Work with the UX researcher to identify users’ needs and understand how users consume and navigate content
Design
Develop user-centered designs considering customer feedback, personas, user research, technical constraints or opportunities, and business needs
Deploy a variety of practices to efficiently yet effectively create designs
Strategy
Contribute to the product strategy and roadmap
Facilitate workshops (journey mapping, problem-statement, etc.)
Must have:  
Minimum of 3-7 years of UX Design experience 
Figma   
Must understand Design Systems 
Experience working with web and mobile platforms
If you are interested and want to know more about the role, kindly reach out at damini.gawande@colllabera.com.",https://collabera.com/job-description/?post=330682,
3,Collabera,Consultant,"Role: Workday Consultant 
Location: Remote
Contract: 6 Months + Extension
 Why is this open?
Need someone to uncover best practices, processes to improve, and where to optimize the system and make life easier. 
The client wants to fix this and remove responsibilities on the manager (ex. inputting requisitions in Workday, etc.).
Must haves:
7+ years of Workday HCM (human capital management) piece 
Someone who has the knowledge to guide and can provide best practice
Must have 5-10+ years of techno-functional experience with Workday HCM:Recruitment, Security audit.
If you are interested and want to know more about the role, kindly reach out at damini.gawande@collabera.com.
 ",https://collabera.com/job-description/?post=330681,
4,Collabera,Manufacturing Engineer,"Hiring:: Manufacturing Engineer: IL, IA, WI, ND, SD
Looking for a career that matters?
Whether you’re a student, new grad, or an experienced professional, we have the right opportunity for you. These opportunities are with one of our direct clients and we have been consistent in delivery best talents to this organization. If you are seeking your next role in a Manufacturing Industry, this is the right opportunity for you. You can apply to this position irrespective of your expertise and our recruiters would reach out to you with the best possible match.
We are always looking to fill the below positions-
Manufacturing Engineer
Engineer Quality
Software Engineer
Electrical/controls/Mechanical
Engineers
Unit Supervisor
Material Handling/Supply chain
Safety ProfessionalFacilities/Maintenance Professionals
Customer Support Representative
Curriculum/Content Developer
CAD/Mechanical designers
and many more...

Responsibilities:
Plans, coordinates, and performs manufacturing engineering work for a project or process.
Operates in a team environment within either the enterprise product delivery process or the enterprise order fulfillment process.
At this level, projects are of moderate scope and responsibility or may be a significant portion of a major and diverse project or process; decisions are made within established guidelines and may be reviewed by supervisors and/or managers.
May assign, coordinate and review portions of the work for support personnel, contractors and suppliers.",https://collabera.com/job-description/?post=330680,
5,Collabera,Business Analyst," Required Skills: Business Analysis, SQL, Data Analysis, Excel, User stories, BRD, FRD, Capital Market, Equity, Derivatives, Liquidity, Commodity, Trade, Bond, Stocks, Cash Flow, Fixed Income, Risk, Compliance, OTC
Description:
An Excellent Opportunity for Sr. Business Analyst/Business Analysts to work with ""Fortune 100"" clients in New York, NY
Roles and Responsibilities:
Responsible for capturing and refining business and/or system requirements (based on specialization)
Works with stakeholders to understand their needs, analyze problems, and capture their requirements, and then working closely with the Development Team to refine the requirement into specifications that can be executed by the team
Possess a working knowledge of the business and/or technical domain based on their specialization
Leverages experience and understanding of stakeholder needs to help create a solution, envisions the solution to solve a problem (manual or through software)
Performs Cost/Benefit Analysis to align the technology to business strategy
Gathers & catalogs functional, non-functional, and technical requirements for stakeholder requests
Determines the impact of modifications and enhancements on the application
Acts as the products subject matter expert to support scope and requirement decisions
Ensures changes to the application are compliant with client standards and policies
Assists users and development team with application testing and troubleshooting, and may help configure test solutions to validate functional and system needs
Identifies, document and troubleshoot application related problems
Documents process, procedures and workflows associated with applications
Leads or participate in continuous improvement efforts; Building expertise in creating, analyzing, and improving processes
Creates, maintains and presents training materials for end-users
Required Skills:
Knowledge of Enterprise Credit and Market Risk Management systems, Fixed Income Credit Commodities (FICC) & Equities OTC Derivative products, derivative products risk sensitiveness, SQL
Preferred Skills:
Knowledge of trade life cycle, risk management and front to back office flows
 ",https://collabera.com/job-description/?post=330679,
6,Collabera,Manufacturing Engineer,"  Hiring:: Manufacturing Engineer: IL, IA, WI, ND, SD
Looking for a career that matters?
Whether you’re a student, a recent grad, or an experienced professional, we have the right opportunity for you.
These opportunities are with one of our direct clients and we have been consistent in delivering the best talents to this organization. If you are seeking your next role in the Manufacturing Industry, this is the right opportunity for you. You can apply to this position irrespective of your expertise and our recruiters would reach out to you with the best possible match.
We are always looking to fill the below positions-
Manufacturing Engineer
Engineer Quality
Software Engineer
Electrical/controls/Mechanical Engineers
Unit Supervisor
Material Handling/Supply chain
Safety Professional
Facilities/Maintenance Professionals
Customer Support Representative
Curriculum/Content Developer
CAD/Mechanical designers
and many more...

Responsibilities:
Plans, coordinates, and performs manufacturing engineering work for a project or process.
Operates in a team environment within either the enterprise product delivery process or the enterprise order fulfillment process.
At this level, projects are of moderate scope and responsibility or may be a significant portion of a major and diverse project or process; decisions are made within established guidelines and may be reviewed by supervisors and/or managers.
May assign, coordinate and review portions of the work for support personnel, contractors and suppliers.",https://collabera.com/job-description/?post=330678,
7,Collabera,Technical Project Manager,"  Title - Technical Project Manger
Location - Houston, TX
Duration - Contract
 Day-to-Day: 
This role is 80% day to day project management activities and 20% scrum team activities.
This person will manage scrum with internal teams but will also work with external teams. 
Yu can also share me your resume on palak.singla@collabera.com
 ",https://collabera.com/job-description/?post=330677,
8,Collabera,SCCM Administrator,"Job Title: SCCM Administrator
Job Duration: 6 Months Contract to Hire
Location: St Louis (Hyrbid)

DayToDay Responsbilities:
This role will be responsible for performing application packaging of endpoint software to prepare it for electronic distribution including Vulnerability remediation, software deployment, and software upgrades.
Designs, develops, tests, debugs, documents and implements modifications to scripted applications.
Utilizes tools and utilities using standard software installation packaging techniques. This includes: -In-house application installations, -3rd party application installations, -3rd party driver installations, -Utility and administrative scripts.
Must Have: Required and desired skills:
3 years’ experience with industry standard software packaging and scripting technology (added numerical importance):
1. PowerShell v3 and WMI
2. SCCM 2012
3. OSD (Microsoft Operating System Deployment)
4. PowerShell App Deployment Toolkit
5. Flexera InstallShield AdminStudio Thorough knowledge of developing packages involving the following:
Windows installer files (including the use of Public & Private properties and switches),
Setup.exe files
Transforms InstallShield .iss files Extensive knowledge of Windows registry
Windows Installer
Command shell

NiceToHave:
Thorough understanding of how multiple software applications, components and the Windows OS interact with other applications in a multi-vendor environment.",https://collabera.com/job-description/?post=330676,
9,Collabera,Onsite - Image Scanning Representative,"                                         Excellent Opportunity!!!
++++++++++++++++++++++++++++++++++++++++++++++++
  Position Details:
Client-              Banking and Financial
Title -               Image Scanning Representative
Location -         Chicago, IL, 60661(Onsite)
Shift hours -    Thursday-Monday 7 AM-3:30 PM
 NOTE: Must have Documents/mails scanning experience
 Description:
Image Capture Representative (Scanning)
Responsible for the day-to-day scanning and imaging of customer/client documents received via US mail, overnight mail and local courier.
Ability to identify different work flows, and document retention
The individual must be capable of working in a high volume and demanding continuous production environment, including sitting for prolonged periods of time
Proactively identify and manage risk, leveraging the Risk Framework.
Understand and live the values that support our culture.
Adhere to policies and procedures
Stay informed of key priorities and business updates
Must be able to lift/move boxes, trays, and racks of work up to 50 lb.
Responsible for performing Match and Compare, Health Logic Match and Compare and Special Health Logic Match and Compare as requested by client.
Position requires the operation of high speed machinery used to scan/image documents
Duties include: user maintenance on machine, extracting documents from envelope, identifying exception transactions; cash handling, credit card payments and foreign items.
Individual ensures that the documents are scanned/imaged appropriately, following department guidelines.
++++++++++++++++++++++++++++++++++++++++++++++++",https://collabera.com/job-description/?post=330675,
