,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,Expedia,Associate Market Manager (Denver),"0-2 years of experience in account management, partner/client success, consultative sales, or related field
proficient in english language skills
passionate about travel
work independently and collaboratively with a diverse team
possess a strong appetite for innovative technology, fast-changing business environment, and data driven decision-making
prioritize and multi-task effectively to achieve critical targets, goals, and/or strategic objectives set by e4b leadership team
continue to follow up when facing testing situations
present ideas and directives clearly and persuasively
demonstrate analytical skills with market trends, partner performance, and competitor analysis to address business and partner needs
proactively and consistently demonstrate the unique value proposition of partnering with expedia group
possess a growth mindset, consistently using feedback to improve in role
relationship builder; earns the confidence of others. bridges and sustains solid partnerships based on mutual support through a collaborative style
drive for results",https://careers.expediagroup.com/jobs/job/?Associate+Market+Manager+%28Denver%29-Denver-Colorado-j-R-80282,"develop and sustain strong partnerships by providing relevant data insights and high-quality needs-based consulting services to hotel partners (e.g. revenue management advice, marketing opportunities on the expedia group marketplace)
ensure that partner hotels’ products (content, rates, and availability) are consistently optimized on expedia group sites to maximize customer conversion
secure additional lodging rates and availability information over high demand and compression periods to satisfy traveler needs
secure seasonal deals and promotions to support the brands’ merchandising and marketing efforts
continuously promote and develop hotel partners’ high engagement with expedia group’s full suite of:
unique market insights (partner reports, competitive data, key performance drivers)
in-house revenue management tools (rev+)
marketing and merchandising opportunities (dynamic promotions, packages, member deals, mobile offers)
specialized brands (e.g. hotwire, media solutions) potential opportunities
self-service tools (expedia partner central)
execute effectively based on kpi metrics (targets, goals, and/or strategic objectives)
guide and support hotel partners to deliver the best traveler experience
promote self-service
conduct regular self-learning to improve skills
travel for partner visits 0-20% of the time"
1,Expedia,Technical Program Manager III - Strategic Initiatives - CTO Enablement,"bachelor's degree in business, computer science, engineering or in a related technical field; or equivalent related professional experience
5-7 years of related experience in a world-class consulting firm, technology platform product management and/or large strategic program management
experience with developer tools, cloud technology, security, compliance, employee tech, networking, and/or infrastructure, in an ecommerce environment, is a plus
passion for travel is a plus
experience owning or influencing product strategy & vision, roadmaps, and backlog prioritization
proven ability to understand and discuss technical concepts, manage trade-offs and evaluate opportunistic new ideas with internal and external partners
experience utilizing agile, waterfall, and hybrid methodologies
demonstrated ability to deliver results by working across subject areas and organizational boundaries
excellent influencing and relationship building skills as well as experience working with senior management
experience working cross-culturally and leading cross-functionally, and ability to adapt personal style to different environments
strong strategic and critical thinking skills; ability to see the “big picture” while also diving into details when needed
creative decision maker who can work independently and apply quantitative rigor to analyses and tradeoff decisions
strong program planning skills with experience scoping and executing on large initiatives",https://careers.expediagroup.com/jobs/job/?Technical+Program+Manager+III+-+Strategic+Initiatives+-+CTO+Enablement-Seattle-Washington-j-R-80256,"you will lead, co-lead or support large, long-range initiatives while delivering value incrementally by operating in an agile, rapid development environment
you will operate effectively within the organization's formal and informal structures by building relationships across departments and understanding the roles and perspectives of diverse partner groups
you will work across team boundaries with multiple product and program managers to appropriately prioritize work to align with overall initiative, organization, and company goals
you will actively identify and drive resolution on cross-team issues, scope changes, resource constraints, and other impediments
you will continually build knowledge about our products, capabilities, usage, and future partner needs
you will craft solutions that empower our business to scale and adapt by partnering with our brand and business partners to solve problems"
2,Expedia,"Senior Director, IT","12+ years of successful leadership experience in technology in a global platform company
well versed and experienced with consumer technology and/or platform business with a product-led mindset
proven excellence leading diverse functional and globally dispersed development teams in high-impact initiatives that deliver meaningful business results
ability to juggle multiple priorities in a fast-paced, dynamic environment, with a strong bias for action
self-directed and able to move forward in an ambiguous environment
curious and analytical, adept at using data to uncover hidden customer needs and deeply understand key business drivers
excellent verbal and written communication skills; simplify, clarify and succinctly convey complex information and ideas to individuals at all levels of the organization
creative thinker with extraordinary business, strategic, analytical, management and relationship skills
a ""one team"" player, transparent and an advocate of sharing data and learnings to create better customer outcomes
inspires peripheral relationships across expedia group, has the enthusiasm and passion to engage own team and wider organization on ecommerce roadmap",https://careers.expediagroup.com/jobs/job/?Senior+Director%2C+IT-Seattle-Washington-j-R-80079,"lead the program to deliver improvement and acceleration of our employee experience journey, focused initially on productivity tools and workplace technology but also leveraging a team to build our data personalization capabilities as well as increase self service and virtual agent capabilities.
build and execute strategy for a platform that aggregates and connects a variety of systems to build a connected and cohesive solution that is seamless for employees based on business business goals, market opportunities, and product/technology approach; drive enact larger business decisions that advance the organization’s mission and enhance its reputation.
define the key opportunities and which employee journeys and use cases to prioritize.
build roadmap and set okrs that enables and supports (onboarding, content, etc)
build & lead an engaged & inspired organization of top talent which drives innovation
partner with stakeholders in technology and our people team, along with other parts of expedia group to execute on the product roadmap and prioritize accordingly
track developments and changes in employee experience and hybrid working trends to ensure that we’re providing solutions that are industry leading, collaborating with functional experts across the industry internally and externally.
design approaches and influence change on solutions that are tied to business outcomes
enable optimum organizational efficiency by taking a whole systems approach and thinking across boundaries to identify which polices/processes should be standardized
provide guidance to teams and leaders when evaluating the impacts of a solution to ensure linkages between structure, people, process and technology
able to articulate and present complex business concepts and solutions to very large audiences and executives at the ceo/board level.
champion prioritized initiatives across the local organization including goal setting and work with others across eg to connect those goals and initiatives to larger eg strategy"
3,Expedia,"Sr Program Manager, Business Operations","strong critical thinking and eye for business skills, a drive for operational distinction, enabling goal attainment and a high level of intellectual curiosity that drives sense of ownership, desire for continuous improvement and to work independently
first-class influencing and organizational change skills
ability to build long term relationships and use work methods that facilitate positive partnerships with key business teams
ability to be flexible in supporting executive leaders and their teams in both our domestic and international offices
ability to adapt to changing circumstances and achieve results efficiently and timely in a complex environment working with a variety of partners
strong process orientation with experience running programs and/or projects and leading change from inception through delivery
experience handling multiple tasks and projects at a time, prioritize workload and tenacity in a multifaceted, complex environment
8+ years of program management or related experience in a forward-thinking, fast paced team environment
excellent problem-solving, analytical and decision-making skills
capable of working with abstract concepts and communicating conceptual topics to others
an excellent teammate, also able to operate independently while prioritizing your own work and resources
strong business insight, analytical and organizational skills with a high degree of attention to detail
strong skills in microsoft office suite and advanced level of knowledge of excel
8+ years of program management or related experience in a forward-thinking, fast paced team environment
excellent problem-solving, analytical and decision-making skills
capable of working with abstract concepts and communicating conceptual topics to others
an excellent teammate, also able to operate independently while prioritizing your own work and resources
strong business insight, analytical and organizational skills with a high degree of attention to detail
strong skills in microsoft office suite and advanced level of knowledge of excel",https://careers.expediagroup.com/jobs/job/?Sr+Program+Manager%2C+Business+Operations-Seattle-Washington-j-R-79957,"enable results through the effective creation, rollout, improvement and management of business processes/frameworks and accompanying documentation
partner across the team members to enable program management of key priorities to enable success
enable financial operations including headcount tracking/investments, discretionary spend tracking/allocation, forecasts enablement and time tracking/compliance
enable preparation of events and business meetings that offer leadership an opportunity to check-in on progress to business goals
collaborate with business partners to support rollout of processes, as needed, to ensure success, with a focus on continuous improvement, efficiency and operational quality
provide general program management support for initiatives and special projects, as required, by the business"
4,Expedia,Growth Marketing Manager,"proven experience in seo, preferably in the travel industry or ecommerce.
a strong understanding of digital marketing and optimization, and advanced, hands-on knowledge of seo; both technical and content.
truly excellent web analytics skills and a passion for data. you are comfortable crafting and interpreting in-depth keyword research, competitor analysis and web analytics reports autonomously, and you spot opportunities that aid decision-making even in large data sets.
hands on experience working with product and engineering teams with a focus on data driven marketing channels and pii data.
experience in analyzing end to end user journeys. you enjoy working with product and technology teams to make journey improvements, e.g. by implementing ancillary products
experience presenting complex content to varied, often senior, internal and external groups; consulting experience would be advantageous.
strong influencing skills: you can balance the needs of many collaborators with ease and advocate for the importance of marketing priorities with other teams, externally and internally.
a bias towards action: you like to get things done, and you are able to analyze information, provide clarity back to the business and take ownership of outcomes.
proficient with marketing, analytics and tagging tools that include adobe analytics, google analytics, google tag manager, etc.
an advanced user of seo tools including google search console, keyword planner and semrush/ahrefs.
in-house experience required. additional experience in agency is a bonus!
hands on experience with tag management solutions such as google tag manager and tag commander.
experience with other marketing platforms such as adobe campaign is a big plus!",https://careers.expediagroup.com/jobs/job/?Growth+Marketing+Manager-Seattle-Washington-j-R-79951,"devise and deliver performance marketing initiatives for our top partners, either by supporting them with initiatives that they execute on their side, or by executing on initiatives in-house
partner with seo, product and technology teams to develop new marketing features and solutions at scale with a focus on technical, content and mobile.
use expertise in web analytics to benchmark performance, identify digital marketing or user journey optimization opportunities, and turn these into concrete, accurately sized proposals that get colleagues and partners on board.
use your experience in seo dataset analysis to identify, size and prioritise data-driven seo optimization opportunities from a range of sources including digital analytics platforms, search console data, keyword insights, semrush, etc.
actively support the on-going optimization of data utilised across multiple channels, including pii data across crm.
partner with commercial and finance teams to forecast partner marketing performance and develop business cases for new initiatives.
build and disseminate reporting both internally and to partners to ensure digital performance and growth opportunities are well understood for various levels.
proactively share industry news, best practices, comparative and competitive reviews, and stay on top of evolving marketing technologies."
5,Expedia,Program Manager III,"organizational and logistical skills are core to your success
comfortable leading complex technical projects both with and without supervision, including ambiguous, adaptive programs
capable of communicating across various levels of business
bachelor’s or master’s degree in a related field; or equivalent related professional experience",https://careers.expediagroup.com/jobs/job/?Program+Manager+III-Seattle-Washington-j-R-79918,"drive increasingly complex projects requiring coordination within the organization
proactively identify and mitigate risks to ensure success of the program
develop project schedule, define timeframes, and prioritize tasks to achieve project milestones and deliver intended objectives
identify and alleviate bottlenecks to streamline and simplify workflows
manages stakeholders, gains stakeholder trust, keeps stakeholders informed, gathers stakeholder perspectives and uses them to inform the program progress
facilitates team collaboration and communication
apply agile engineering practices, lead and mentor others through agile ceremonies"
6,Expedia,"Senior Manager, Program Management","strong experience leading organizational change and/or end-to-end program management
excellent communication, interpersonal, organizational, and writing skills, including plan status, results, and presentations
8+ years of overall corporate work experience with a bachelor’s degree or 6+ years of relevant experience with an advanced degree",https://careers.expediagroup.com/jobs/job/?Senior+Manager%2C+Program+Management-Seattle-Washington-j-R-79917,"support the team in establishing and effectively managing working relationships with stakeholders
coaching the team in partner mapping, whole systems approach, agile methodologies
connects teams across disciplines to build common tools, language, systems, and structure to drive the development of the team
stays current on and ensures the team stays current on industry trends, serving as a subject matter expert
participates in agile sprint planning with product and engineer leaders and ensures portfolio impacts are integrated into team roadmaps
works with team to manage actual or potential gaps in resourcing for projects and recommends strategies to mitigate
manages project portfolio and participates in prioritization decisions
evaluates the full complement of team talent, identifies gaps and implements action plans to fill gaps and drive achievement of goals
crafts the culture of their team by building team rituals, processes and practices that build strong team bonds and an open trusting environment where diverse viewpoints, opinions, and approaches and candid conversations and critiques can happen"
7,Expedia,"Senior Program Manager, Business Enablement & Performance","bachelor’s or master's in business management or a related field; or equivalent related professional experience
5 + years of experience in strategic planning and prioritization, program management (agile) and/or chief of staff role. related experience and capability will be considered
outstanding communication and organizing skills, both written and verbal
able to engender trust; strong team-building, analytical, collaboration, and motivation
advanced abilities to “connect the dots”
a people-oriented team-player who builds allyship across expedia group, has the enthusiasm and passion to engage own team and wider organization.
able to work independently and take the initiative to and solve tough problems
a leader that drives clarity and executes on ambiguous problems
extremely proactive, self-directed and takes initiative without explicit direction
advanced abilities to “connect the dots” and very comfortable using data to drive decisions/outcomes",https://careers.expediagroup.com/jobs/job/?Senior+Program+Manager%2C+Business+Enablement+%26amp%3B+Performance-Seattle-Washington-j-R-79878,"partner with leaders to ensure alignment across the organization on overall strategic goals, standards, okrs, and kpi’s
manage leadership communications within the organization
drive rhythm of business together with business operating teams (e.g., fireside chat, all hands, q&a, townhall, techops review, offsites etc.)
identify gaps in efficiencies, opportunities for optimization and execute on solutions with the leadership team
drive orchestration of workstreams and initiatives, coordinating with product lines to ensure consistency in execution
lead cross functional initiatives that sets the organization for scale, agility, and high performance"
8,Expedia,Security Engineer I,"bachelor's or master's degree in a related technical field; or equivalent related professional experience
relevant certification (e.g., security+, tier 1 csp administration)
familiar with security audit and orchestration tools
understand the pci environment, the various pci-dss standards and ensure compliance
understanding large, complex technical environments and can resolve operational issues within the system, also act on security configuration issues on various security tools",https://careers.expediagroup.com/jobs/job/?Security+Engineer+I-Seattle-Washington-j-R-79805,"manage and run recurring operational maintenance tasks like monthly patching, tool monitoring reporting, user access revies, and cloud compliance efforts
provide email and instant messaging support for critical tool alerts and queries
provide security tool operational support - upkeep, tool monitoring, identifying security agent coverage, troubleshooting issues with security agents, checking logs and system logs
continuously expands knowledge regarding the company infrastructure and user requirements
security incident response and handling like log4j security event, patching critical systems, change management process, using itsm tools for proper tracking, top notch documentation for on call guide
system, and tool infrastructure upgrade, asset patching with minimal outages and proper documentation
rca tracking for all security events, tool outages and other troubleshooting
endpoint detection and response - edr anti-malware agents, advanced threat protection, data loss prevention
vulnerability management - dc and cloud asset vulnerability patching and compliance
web content filtering - seamless internet protection, on-premises and cloud-based web proxies
network security - web application firewall, intrusion prevention, network-based spyware, anti-malware detection and blocking, aws guard duty
threat intelligence - intelligence feeds from sources like recorded future, and threat detection - user behavior analysis and investigation"
9,Expedia,Quality Assurance Specialist,"3+ years of experience in ecommerce risk environments
proven capacity for analytical thought, and able to extract meaningful insights from data that lead to improvements in detection of risk
possesses strong analytical skills, including data extraction capabilities across multiple platforms, and demonstrates sophisticated judgement capability
requires superb interpersonal skills, and an ability to communicate effectively with internal parties
possess a high degree of self-motivation, and strive for improvement both in yourself and those around you
flexibility to adapt and able to handle multiple assignments while working independently
love working as a part of a creative, adaptable team within an evolving area of the company
attention to detail is critical, as is the ability to prioritize work to meet business needs
strong internet research, microsoft office, and overall pc skills; sql experience a plus",https://careers.expediagroup.com/jobs/job/?Quality+Assurance+Specialist-Springfield-Missouri-j-R-79782,"build, evolve, and execute sql, redshift, qubole, and splunk database queries to retrieve data and produce standardized reports.
analyze data to acquire insights on current trends, potential process improvements, and functional-level performance opportunities
determine appropriate solutions to combat fraud trends and emerging risk vectors
demonstrate knowledge of fraud ad-hoc reports and queries
maintain up to date knowledge of the assigned risk space
utilize project management strategies to ensure reliable delivery of expectations
act as a leader throughout risk operations in partnership with management to develop support structures for operational excellence within assigned functional area
serve as an initial uat resource for the technical and project teams when developing new programs or tools
mentor and train team members and own smaller operations-focused initiatives
provide consultation to internal teams for metrics development and investigative improvement
assist in identification and reporting of bugs, fraud data/weight abnormalities and technical problems
consistently maintain or exceed required performance standards related to productivity, quality, and efficiency"
