,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,Infosys,Pega Engineer,"bachelor’s degree or foreign equivalent required from an accredited institution. will also consider three years of progressive experience in the specialty in lieu of every year of education. at least 11 years of experience with information technology location for this position is austin, tx. this position may require travel and/or relocation u.s. citizens and those authorized to work in the u.s. are encouraged to apply. we are unable to sponsor at this time. at least 11 years of experience in implementing & supporting planning/budgeting and forecasting solutions. designing/developing and supporting the development of standard bpc planning templates (capex, opex, revenue, hr, headcount) and dashboards (engagement, revenue, pipeline) working closely with the various business & technical functions to ensure appropriate support for new planning template (e.g. managing requirements into technology for changes in the underlying data structures) experience in scripting for modelling. should be familiar with working /managing projects in agile delivery model excellent analytical and communication skills good functional skills. ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1937650,
1,Infosys,Principal Enterprise SAP BPC Consultant,"bachelor’s degree or foreign university equivalent. will also consider three years of progressive experience in the specialty in lieu of every year of education minimum of 2 years experience in information technology understand the models created for a business problem and translate this into a technical solution using python / sas tools knowledge of implementation and deployment of analytics solutions at client architecture performance of data wrangling to prepare data for analysis experience performing exploratory data analysis on customer data experience in developing, testing, deployment and monitoring of ml models u.s. citizens and those authorized to work in the u.s. are encouraged to apply. we are not able to sponsor at this time. 2 - 5 years of experience in analytics / data engineering / data science hands on experience in knime / alteryx / sas or any other platforms preferred proven and proficient programming skills in object oriented programming in python. strong experience in python data wrangling/analysis using pandas, numpy, matplotlib, seaborn etc. strong knowledge of azure stack (azure ml, azure databricks, azure storage, azure sql). good understanding of version control tools like git & experience building ci/ cd pipelines. familiarity with deep learning libraries like tensorflow, keras, pytorch model deployment experience understanding and awareness for data science lifecycle. excellent business communication and excellent relationship management ability and the ability to work across business units within complex organization ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1936754,
2,Infosys,Sr. Enterprise Solutions Architect,"analyze complex market information, understand the market drivers and enablers, leading to category specific procurement strategies. collaborate closely with client business on key strategic initiatives and projects. lead mid to complex level sourcing projects end to end from scope definition to award and contracting. ensure all contractual obligations are met by delivering operational excellence. drive and monitor key business metrics to ensure that all sla and kpis are met and exceeded. constantly evaluate opportunities to benchmark and implement digital transformation initiatives to expand scope of services and deliver operations excellence. manage team members to maintain high productivity levels whilst controlling attrition. lead and participate in governance meetings, business reviews and programs. bachelor’s degree or foreign equivalent required from an accredited institution. will also consider three years of progressive experience in the specialty in lieu of every year of education.  at least 9 years of experience in the job description. mba is desirable. specialized certification in supply chain - cpsm / cips skills in rpa and automation leveraging internal, and 3rd party applicational. excellent written and verbal communication skills highly adaptable team player extremely organized, strong attention to details, problem solving abilities. ms office proficient. first class business communication skills - verbal and written. ability to work with minimal supervision. provide support to operations lead in team management. mentoring of team members ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1938804,
3,Infosys,Senior .NET Developer,"0 - 1 year experience in java full stack development. candidate must be located within commuting distance of mc lean, va or be willing to relocate to the area. this position may require travel in the us and canada. u.s. citizens and those authorized to work in the u.s. are encouraged to apply. we are unable to sponsor at this time. knowledge and experience with full sdlc lifecycle experience with lean / agile development methodologies strong programming knowledge in java strong in basics of angular and spring boot (should have expertise in developing at least 1 end to end simple full stack application during training period / bench) sql basics (sybase / postgres) excellent analytical and communication skills knowledge in automation tools (selenium / api automation)  knowledge and experience with full sdlc lifecycle agile and devops skills (cicd, maven, gradle, jenkins) ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1938162,
4,Infosys,Automation Test Engineer,"5+ years of working knowledge on red hat linux enterprise administration in both on premise and aws environment 5+ years of working knowledge on windows 2012/2019 administration in both on premise and aws environment familiarity with aws ec2 instances, bastion host, network, communication, security, and environment creation using ami proven knowledge on aws infrastructure maintain, manage, coordinate, and implement security, software upgrades, patches, hot fixes on servers, workstations, and network hardware for both windows and linux systems installing or upgrading windows systems and servers from windows 2012 r2 to 2019 working knowledge in hosting aws environments in different availability zones and regions working knowledge in creating shell scripts and ansible scripts/playbook working knowledge of monitoring aws infrastructure using aws cloud native service i.e. aws shield, cloud watch, cloud trail, guard duty working knowledge on cloud formation, aws storage, infrastructure as a code using ansible hands on experience on tenable.io for infrastructure security scan and fixing of security findings knowledge of network security systems, intrusion detection systems, and data backup. excellent problem-solving skills. good analytical and communication skills additional linux certifications (rhct, rhce and lpic) will be considered an advantage familiarity with vmware and san management and concepts knowledge of protocols such as dns, http, ldap, smtp and snmp experience with databases, patch management, and networks including lan and wan. ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1926611,
5,Infosys,AWS Linux Administrator,"bachelor’s degree or foreign equivalent required from an accredited institution. will also consider three years of progressive experience in the specialty in lieu of every year of education. at least 4 years of information technology experience u.s. citizens and those authorized to work in the u.s. are encouraged to apply. we are unable to sponsor at this time. this position may require travel to project / client location/s. at least 4 years of configuration and development experience in any of below edi integration technologies: ibm sterling integrator, solid skills in trouble shooting, debugging, and resolving of edi functional and technical issues, familiar in developing new maps and bp’s or various edi transactions with swift formats, xml, x12 and edifact formats experience on seeburger bic md and business processes development skills. experience in migration and integration projects specific related with seeburger. ability to interact with business and other stake holders to get requirements and build low level solution design specifications. good knowledge on industry standards for edi such as swift formats, xml, edifact. ability to work in team in diverse multiple stakeholder environment good analytical and communication. experience in ibm wtx or wmb would be added advantage relational database oracle experience in writing unit test cases good knowledge on unix environment maven with jenkins good to have git or similar version control tool should have worked in devops team and well versed with agile framework. ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1931707,
6,Infosys,Senior EDI Consultant,"bachelor’s degree or foreign equivalent required from an accredited institution. will also consider three years of progressive experience in the specialty in lieu of every year of education. candidate can be anywhere in the u.s. however we prefer if candidate is local or ready to relocate and be within commuting distance of irving, tx. this position may require travel in the us and canada. u.s. citizens and those authorized to work in the u.s. are encouraged to apply. we are unable to sponsor at this time. at least 4 years of experience with information technology at least 3 years of experience and functional capability and familiarity with leading data governance tools, like collibra experience in creating metamodel, business glossaries, data dictionaries, data catalog etc. programming skills in java/groovy and be able to develop complex workflows experience in performing rest api based integrations good experience in end-to-end implementation of dw bi projects, especially in data warehouse and mart developments strong knowledge and hands-on experience in sql, unix shell scripting good understanding of data integration, data quality and data architecture certification with collibra would be a plus experience with design and implementation of etl/elt framework for complex warehouses/marts. knowledge of large data sets and experience with performance tuning and troubleshooting hands-on development, with a willingness to troubleshoot and solve complex problem experience managing team size of 2-3 would be a plus and capable of creating data governance roadmap excellent verbal and written communication skills experience and desire to work in a global delivery environment ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1916904,
7,Infosys,UI Frontend Developer,"provide overall project management, , solution leadership and critical problem solving throughout the lifecycle of consulting engagements. provides leadership  and oversight of consulting teams across many healthcare functional areas. lead/key consultant with external client. provides advice and consultation to external clients . address and resolve issues within reasonable timeframes for all project components. manages ad hoc client requests and provides clients with feedback on feasibility and timelines. develops and manages overall project plan, working with project managers. oversees team members in development of business requirements and project scope documents. directs team members in updating project plans, change of scope, risk logs, etc. provide coordination for the overall project and identifies synergies, duplication of efforts or overlap, and any project gaps. works with consultants to develop analytic approach and methods and works with theteam to prepare client deliverables: leads the development and delivery of key findings, recommendations (including priorities when appropriate), and develops presentations for client executive audiences participate in the research and product development process. support account management/sales in business development and sales meetings support practice management processes including utilization, staffing, opportunity tracking, etc. bachelor’s degree or foreign equivalent required.  will also consider three years of progressive experience in the specialty in lieu of every year of education. minimum of 9 years’ experience with large healthplan and providers and at least 5 years of advisory consulting experience in comparable consulting services. ability to travel 4 days a week to multiple local, state and national client locations. u.s. citizens and those authorized to work in the u.s. are encouraged to apply. infosys will not sponsor at this time. must be a resident of an infosys consulting hub locations of boston, new york, basking ridge, atlanta, chicago, dallas, houston, san francisco and seattle or must reside in city that is within a 2 hour driving distance from one of these hub locations. an mba with an advanced degree or equivalent experience in healthcare, business, analytic, strong client facing skills including presentations to senior leadership, advice and consult with clients. demonstrated ability to coordinate, integrate and deliver informatics and business intelligence projects. understanding issues related to data analysis in healthcare provider/payer industry. strong planning, coordination, analytical and communication skills. ability to derive insight and infer business implications from data. familiarity with fundamental financial, performance, and quality measures used in health care industry. familiarity with statistics and advanced methods such as ai/machine learning preferred ability to provide guidance to stakeholders in understanding business value of the initiative. ability to interface with customers and other stakeholders with minimal supervision. ability to complete project, with demonstrated commitment to meeting deliverables. ability to prioritize among multiple tasks and self-manage. ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1938891,
8,Infosys,Senior Principal- Healthcare,"responsible for identifying and closing new deals in the manufacturing space be the face of infosys to the market and help position infosys as an industry leader and trusted advisor leverage the infosys ecosystem of capabilities across technology practices, industry verticals and service lines to develop solutions that address the client’s business problems ground-breaking force behind developing platform solutions specifically geared towards manufacturing bachelor’s degree or foreign equivalent required from an accredited institution. will also consider three years of progressive experience in the specialty in lieu of every year of education and 15+ years of experience, with strong sales experience in service understanding of global delivery model (offshore/outsourcing) and large deal experience minimum of 5-7 years of relevant business development experience selling it services track record of interacting and building relationship with cxos of leading organization hands-on experience with proposal creation and leading proposal presentation strong leadership, interpersonal, communication and presentation skills history of achieving/overachieving sales targets experience in s/w contract negotiations experience with competitor mapping and swat analysis ability to define specific to ground-breaking solutions within abstract environments well networked within the it services industry and manufacturing vertical ability to identify upcoming rfps / deals by networking with key client partners ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1920561,
9,Infosys,Sales Director Manufacturing Practice,"client relationship management and business development: handle client relationships, build a portfolio up to $10m, lead the opportunity management cycle: prospect-evaluate-propose-close client delivery assurance: collaborate with all delivery team members involved to ensure fulfillment of all commitments to the client account planning and governance: build the account plan including relationships required, opportunities to be pursued, price decisions, etc. bachelor’s degree or foreign equivalent required from an accredited institution. will also consider three years of progressive experience in the specialty in lieu of every year of education 5+ years of experience, with strong sales/relationship management/account management experience originating and qualifying leads via cold-calling, networking, social media, and other sources develop and qualify leads or major opportunities to be further pursued leverage knowledge of industry trends and client challenges to develop and deliver compelling value propositions lead client expectations throughout the sales cycle and closing process ability to work in a fast paced, driven sales culture high level of personal and professional integrity, excellent oral and written communication skills and outstanding presentation skills excellent attention to detail and time leadership skills u.s. citizenship or permanent residency required, we are not able to sponsor this position at this time a well-documented track record of achieving annual sales quotas recent experience selling consulting services engagements qualified applicants must demonstrate a consistent ability to exceed yoy sales targets this is a “hunter” role and qualified candidates must provide examples of their ability to generate organic revenue growth via prospecting tools and techniques experience in building and maintaining relationships with senior executives ability to work in a global organizational and service delivery environment experience leading large multi-location consulting engagement teams ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1920566,
10,Infosys,Oracle CC&B Consultant,"answers incoming calls from queue in a professional and courteous manner assists internal and external customers via email service internal and external customers via customer chat channel ensure that customer requests are fulfilled, and questions are answered in an accurate, knowledgeable and efficient manner transfers callers to the appropriate departments escalate calls to supervisor as warranted enter appropriate comments and notes within policy database proactively recommend and upsell appropriate products based upon customer needs or direction from supervisor takes a proactive approach to enhance product knowledge when not on a call, including but not exclusive to submitting topics for department knowledge base, studying coverage and procedural documents, and visiting competitor and partner websites foster a team environment by creating and maintaining a positive relationship with peers, customers and business partners consistently meet or exceed performance standards outlined in the customer service department career path attends weekly team meeting so as to stay abreast of product information, and procedural/policy changes
required / desired knowledge, experiences and skills: minimum of six months of customer service or customer facing role preferred prior experience working in a call center environment is a plus excellent verbal and written communication ability to interact with customers in a professional manner while having an upbeat and friendly demeanor excellent computer skills including experience with microsoft office products ability to work independently at a quick pace and with a high degree of accuracy high school diploma or ged required ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1734619,
11,Infosys,Actimize Business Analyst,"you will be a key player in the consulting team that helps discover and define the problem statement, evaluates the solution options, and makes recommendations. you will create business requirement and process artifacts and assist with the overall deployment. you will also support knowledge transfer with the objective of providing value-adding consulting solutions that enable our clients to meet the changing needs of the global landscape. opportunity to collaborate with some of the best talent in the industry to create innovative high quality and defect-free solutions to meet our clients’ business needs. candidate can currently work remote and can be present anywhere in usa but must be willing to relocate to the any of the following area new york/new jersey/connecticut area as per client requirement. this position may require travel in the usa. bachelor’s degree or foreign equivalent required from an accredited institution. will also consider three years of progressive experience in the specialty in lieu of every year of education. at least 7 years of information technology experience. at least 5 years’ experience in one or more of the following skills
end-end clinical trial management process and related applications.
experience in clinical data management applications such as oc/rdc/tms.
experience on clinical reporting (internal, fda) during study start to closeout phases.
knowledge of clinical data management processes with knowledge of clinical data warehouse.
experience in computer systems validation activities. end-end clinical trial management process and related applications. experience in clinical data management applications such as oc/rdc/tms. experience on clinical reporting (internal, fda) during study start to closeout phases. knowledge of clinical data management processes with knowledge of clinical data warehouse. experience in computer systems validation activities. familiarity with good clinical practices, good documentation practices, clinical trial quality & compliance. good knowledge of study life cycle activities (study protocols /study design for irt and edc studies), various study milestones, clinical trial regulatory reports and other metrics reports at study level /site level. must be able to translate business requirements into well-formed technical and system requirements. strong business consulting skills associated with complex it system implementation. strong oral & written communication skills, business stakeholder management. must have performed business requirement analysis, documenting  use case from a business analysis/consulting standpoint.  experience in the full system development life cycle (sdlc) on a variety of technologies and platforms preferably in pharma it space at least 4 years of experience in creating requirement specifications based on architecture/design /detailing of processes. at least 4 years of experience in capturing requirements related to internal/external consulting, documenting, and mapping current business process. at least 4 years of experience in business analysis skills – requirements analysis, elicitation, agile methodologies. planning and co-ordination skills. experience with project management. experience and desire to work in a management consulting environment that requires regular travel. experience in agile development and jira tools. excellent verbal and written communication skills. experience and desire to work in a global delivery environment. ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1894278,
12,Infosys,IAM Developer,"bachelor’s degree or foreign equivalent required in electrical, telecom, or information technology engineering. will also consider one year of relevant work experience in lieu of every year of education min. 12 years of experience in product management within the communications sector focusing on either b2b or b2c segments. knowledgeable in key areas of communications provider operations, including customer operations, network operations, product introduction, and service delivery strong experience in customer journey design, product strategy, product requirements strong experience in kpi definition and measurement aligned to business goals ability to work with business leaders at various levels ability to drive independently product roadmap including managing success working with various stakeholders ability to work with it teams to guide on product implementation excellent analytical skills and communication skills experience and desire to work in a consulting environment that requires regular travel should have excellent soft-skills and leadership skills to lead assessment workshops, and work with enterprise architects to design roadmaps for next 5 years experience of at least 1 or 2 full-cycle implementations for a csp with hands on functional and deployment experience experience in a csp in north america across mobility or wireline networks will be preferred all candidates must be willing and able to travel up to 100%, depending on client requirements u.s. citizens and those authorized to work in the u.s. are encouraged to apply. we are unable to sponsor at this time live within 2 hours’ drive time or be willing to relocate to one of the following infosys hub offices - atlanta, ga; boston, ma; chicago, il; dallas, tx; houston, tx; bridgewater, nj; new york city, ny; san francisco, ca; seattle, wa ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1938935,
13,Infosys,Principal - Business Consulting,"bachelor’s degree or foreign equivalent required in electrical, telecom, or information technology engineering. will also consider one year of relevant work experience in lieu of every year of education min. 8 years of experience in product management within the communications sector focusing on either b2b or b2c segments. knowledgeable in key areas of communications provider operations, including customer operations, network operations, product introduction, and service delivery strong experience in customer journey design, product strategy, product requirements strong experience in kpi definition and measurement aligned to business goals ability to work with business leaders at various levels ability to drive independently product roadmap including managing success working with various stakeholders ability to work with it teams to guide on product implementation excellent analytical skills and communication skills experience and desire to work in a consulting environment that requires regular travel should have excellent soft-skills and leadership skills to lead assessment workshops, and work with enterprise architects to design roadmaps for next 5 years experience of at least 1 or 2 full-cycle implementations for a csp with hands on functional and deployment experience experience in a csp in north america across mobility or wireline networks will be preferred all candidates must be willing and able to travel up to 100%, depending on client requirements u.s. citizens and those authorized to work in the u.s. are encouraged to apply. we are unable to sponsor at this time live within 2 hours’ drive time or be willing to relocate to one of the following infosys hub offices - atlanta, ga; boston, ma; chicago, il; dallas, tx; houston, tx; bridgewater, nj; new york city, ny; san francisco, ca; seattle, wa ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1938924,
14,Infosys,Selenium Automation Java Test Lead,"candidate must be located within commuting distance of raleigh, nc or tampa fl or be willing to relocate to the area. this position may require travel in the us and canada. bachelor’s degree or foreign equivalent, will consider work experience in lieu of a degree 11 years of information technology experience u.s. citizenship or permanent residency required, we are not able to sponsor at this time experience in software development life cycle experience in oracle hcm cloud implementation or support projects expertise on integrations, hcm extracts, bi reporting, and data conversions for us. responsible for developing new payroll interfaces with third party systems, hcm extracts, bi reports, and fast formulas. should be able to interact and work with business on technical requirements, prepare technical design documentation experience in creating bi reports and reconciliation related activities experience in creating, modifying and trouble shooting experience in creating fast formula ability to load the using hdl experience and desire to work in a global delivery environment ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1938936,
15,Infosys,Oracle HCM Cloud Solution Architect,"candidate must be located within commuting distance of atlanta, ga or be willing to relocate to the area bachelor’s degree or foreign equivalent, will consider work experience in lieu of a degree 11+ years of information technology experience experience in peoplesoft hcm functional role strong experience and process knowledge of peoplesoft north america payroll, time and labor and payroll distribution function u.s. citizenship or permanent residency required, we are not able to sponsor at this time at least experience of 2 projects in peoplesoft hcm domain and experience of at least 2 implementation/upgrade/support project of peoplesoft applications (v9.2) demonstrates strong proficiency across industry best practices for hcm and payroll domain strong experience in handling peoplesoft functional work related to impact analysis, requirement gathering, configuration, development, testing and production rollout experience in work allocation planning, work distribution and managing deliverable from a large sized team of business analysts, developers and system and security administrators experience of working with public service organizations expertise and responsible for providing consulting service to support all aspects of hcm systems implementation including business flow understanding and documenting using visio and microsoft tools, requirements gathering, performing fit/gap analysis, application design documentation. knowledge and experience with full sdlc lifecycle. knowledge of agile practices and ability to implement the project in agile mode experience and desire to work in a global delivery environment excellent communication / presentation / verbal and written communication skills. should be able to drive customer discussions independently and act as trusted advisor for advising industry best practicians and desire to work in a global delivery environment ability to communicate complex technology solutions to diverse teams namely, technical, business and management teams ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1938402,
16,Infosys,PeopleSoft HCM Principal Consultant,"candidate must be located within commuting distance of atlanta, ga or be willing to relocate to the area bachelor’s degree or foreign equivalent, will consider work experience in lieu of a degree 11+ years of information technology experience experience in peoplesoft hcm functional role u.s. citizenship or permanent residency required, we are not able to sponsor at this time strong experience and process knowledge of peoplesoft north america payroll at least experience of 2 projects in peoplesoft hcm domain and experience of at least 2 implementation/upgrade/support project of peoplesoft applications (v9.2) demonstrates strong proficiency across industry best practices for hcm and payroll domain strong experience in handling peoplesoft functional work related to impact analysis, requirement gathering, configuration, development, testing and production rollout experience in work allocation planning, work distribution and managing deliverable from a large sized team of business analysts, developers and system and security administrators experience of working with public service organizations expertise and responsible for providing consulting service to support all aspects of hcm systems implementation including business flow understanding and documenting using visio and microsoft tools, requirements gathering, performing fit/gap analysis, application design documentation. knowledge and experience with full sdlc lifecycle. knowledge of agile practices and ability to implement the project in agile mode experience and desire to work in a global delivery environment excellent communication / presentation / verbal and written communication skills. should be able to drive customer discussions independently and act as trusted advisor for advising industry best practicians and desire to work in a global delivery environment ability to communicate complex technology solutions to diverse teams namely, technical, business and management teams ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1938416,
17,Infosys,PeopleSoft HCM Payroll Principal Consultant,"candidate must be located within commuting distance of atlanta, ga or be willing to relocate to the area bachelor’s degree or foreign equivalent, will consider work experience in lieu of a degree 11+ years of information technology experience experience in peoplesoft hcm functional role u.s. citizenship or permanent residency required, we are not able to sponsor at this time strong experience and process knowledge of peoplesoft core hr, north america payroll at least experience of 2 projects in peoplesoft hcm domain and experience of at least 2 implementation/upgrade/support project of peoplesoft applications (v9.2) demonstrates strong proficiency across industry best practices for hcm and payroll domain strong experience in handling peoplesoft functional work related to impact analysis, requirement gathering, configuration, development, testing and production rollout experience of working with public service organizations expertise and responsible for providing consulting service to support all aspects of hcm systems implementation including business flow understanding and documenting using visio and microsoft tools, requirements gathering, performing fit/gap analysis, application design documentation. knowledge and experience with full sdlc lifecycle. knowledge of agile practices and ability to implement the project in agile mode experience and desire to work in a global delivery environment excellent communication / presentation / verbal and written communication skills. should be able to drive customer discussions independently and act as trusted advisor for advising industry best practicians and desire to work in a global delivery environment ability to communicate complex technology solutions to diverse teams namely, technical, business and management teams ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1938418,
18,Infosys,PeopleSoft HCM Senior Business Analyst,bachelor’s degree or foreign equivalent required from an accredited institution. will also consider three years of progressive experience in the specialty in lieu of every year of education. at least 4 years of relevant information technology experience u.s. citizens and those authorized to work in the u.s. are encouraged to apply. we are not able to sponsor at this time location for this position is  or be willing to relocate to the area of work location. any where in usa.this position may require travel. at least 4 years of experience in either one of the following technology skills .net / java / …… experience in software development life cycle. experience in project life cycle activities on development and maintenance projects. experience in design and architecture review. ability to work in team in diverse/ multiple stakeholder environment. analytical skills. experience and desire to work in a global delivery. ,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1935890,
19,Infosys,Technology Lead,"bachelor’s degree or foreign equivalent required from an accredited institution. will also consider three years of progressive experience in the specialty in lieu of every year of education. at least 7 years of relevant information technology experience u.s. citizens and those authorized to work in the u.s. are encouraged to apply. we are not able to sponsor at this time location for this position is any where in usa or be willing to relocate to the area of work location. this position may require travel. at least 7 years of experience in either one of the following technology skills sap/oracle/infrastructure/ …… in creating requirement specifications based on architecture/design /detailing of processes at least 7 years of experience in development/ configuration/solutions evaluation/ validation and deployment at least 7 years of experience in capturing requirements related to internal/external consulting, documenting, and mapping current business process analytical and communication skills planning and co-ordination skills experience with project management experience and desire to work in a management consulting environment that requires regular travel the job entails sitting as well as working at a computer for extended periods of time. should be able to communicate by telephone, email or face to face. travel may be required as per the job requirements. ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1935736,
20,Infosys,Lead Consultant,"bachelor’s degree or foreign equivalent required from an accredited institution. will also consider three years of progressive experience in the specialty in lieu of every year of education. at least 4 years of relevant information technology experience u.s. citizens and those authorized to work in the u.s. are encouraged to apply. we are not able to sponsor at this time location for this position is  or be willing to relocate to the area of work location. any where in usa this position may require travel. at least 4 years of experience in either one of the following technology skills sap/oracle/infrastructure/ …… in creating requirement specifications based on architecture/design /detailing of processes at least 4 years of experience in development/ configuration/solutions evaluation/ validation and deployment at least 4 years of experience in capturing requirements related to internal/external consulting, documenting, and mapping current business process analytical and communication skills planning and co-ordination skills experience with project management experience and desire to work in a management consulting environment that requires regular travel the job entails sitting as well as working at a computer for extended periods. should be able to communicate by telephone, email or face to face. travel may be required as per the job requirements ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1932448,
21,Infosys,Senior Consultant,"bachelor’s degree or foreign equivalent required from an accredited institution. will also consider three years of progressive experience in the specialty in lieu of every year of education. at least 4 years of relevant information technology experience u.s. citizens and those authorized to work in the u.s. are encouraged to apply. we are not able to sponsor at this time candidate must be located within commuting distance of work location or be willing to relocate to the area. this position may require travel. ability to communicate complex technology solutions to diverse teams namely, technical, business and management teams excellent verbal and written communication skills experience and desire to work in a global delivery environment experience with lean / agile development methodologies ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1933759,
22,Infosys,Technical Test Lead,"oracle c2m, cc&b and/or ccs leadership of complex business transformation programs project execution employing a global delivery model. provide overall project management and senior leadership for cis transformations using oracle’s c2m, cc&b and/or ccs products. ensures project value is defined, tracked and measured across transformational programs. ensures excellence in project management and execution from project managers. serves as trusted advisor to client leadership. serves as mentor to junior staff and participates in firm-wide activities that drive knowledge sharing and contribute to firm culture. support account management/sales in business development and sales meetings. bachelor’s degree or foreign equivalent required.  will also consider three years of progressive experience in the specialty in lieu of every year of education. in addition to oracle skills noted, at least 7  years’ experience within or exposure to the utilities industry and at least 5 years of consulting experience providing comparable consulting services. ability to travel 4 days a week to multiple local, state and national client locations. u.s. citizens and those authorized to work in the u.s. are encouraged to apply. infosys will not sponsor h-1b or other work authorization for this role at this time. strong planning, coordination, analytical and communication skills. previous experience with a top-tier consulting organization. advanced degree from top-tier university. ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1916611,
