,CATEGORY,COMPANY,TITLE,QUALIFICATIONS
0,Data Scientist/Data Analyst,Amazon,Data Scientist II #0000,"A Master’s degree, or foreign equivalent, in Mathematics, Computer Science, Engineering, Statistics, Business Analytics or a related discipline and 2 years of experience as a Data Scientist or a related occupation. In the alternative, employer will accept a Bachelor’s degree, or foreign equivalent, in Mathematics, Computer Science, Engineering, Statistics, Business Analytics or a related discipline followed by 5 years of progressively responsible experience as a Data Scientist or a related occupation.Experience must include:1. 2 years of experience with data scripting languages (e.g SQL, Python, R etc.) or statistical/mathematical software (e.g. R, SAS, or Matlab).2. 2 years of experience with quantitative analysis. 3. 2 years of experience analyzing data to produce accurate and unbiased results.4. 2 years of experience with advanced data management and data manipulation skills, including a strong foundation in relational databases programming.#0000. All applicants must meet all the above listed requirements. #0000Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us."
1,Data Scientist/Data Analyst,Amazon,Business Intelligence Engineer,"· Bachelor's degree in Math/Statistics/Engineering or other equivalent quantitative discipline. · 10+ years in relevant experience as data scientist, software engineer, business intelligence engineer, or equivalent. · Advanced knowledge of SQL, shell scripting, Python/R, and MS excel. · Strong active listener with solid written and verbal communication skills. · Proven ability to work cross-functionally and delivering automated solutions for customer-facing data science problems. · Ability to work cross-functionally, building and maintaining trust with internal stakeholders. · Strong understanding of BI technologies and their application including database warehousing and dash-boarding · Experience on at least one data visualization tools (e.g. OBIEE, Tableau, QlikView) · Strong verbal/written communication and data presentation skills, including an ability to effectively communicate with both business and technical teams. Master’s degree in Industrial Engineering, Logistics, or another quantitative field preferred. Bachelor's degree or experience in computer science or another technical field is highly desired.Technical aptitude and familiarity with the design and use of complex supply chain software systems.Experience working effectively with software engineering teams. Analysts are not expected to write code, but it helps to be able to read it.Experience communicating with senior management (VP level decision makers) as well as with colleagues from computer science, operations research, and business backgrounds.A Strong individual contributor who can work with minimal direction and oversight."
2,Data Scientist/Data Analyst,Amazon,"Data Scientist, Analytics II #0000","A Master’s degree or foreign equivalent in Computer Science, Engineering, Artificial Intelligence, Data Analytics, Statistics, Mathematics, or related field and 1 year of experience in a related occupation.In the alternative, employer will accept a Bachelor’s degree or foreign equivalent in Computer Science, Engineering, Artificial Intelligence, Data Analytics, Statistics, Mathematics, or related field followed by 5 progressively responsible years of experience in a related occupation.Experience must include:1. 1 year of experience developing A/B testing frameworks.2. 1 year of experience visualizing data using Tableau.3. 1 year of experience using statistical computer language R, Python, or SQL to manipulate data and draw insights from large data sets.4. 1 year of experience applying fundamental statistical principles to solve applied problems.* Telecommuting benefits available #0000. All applicants must meet all the above listed requirements. #0000Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records."
3,Data Scientist/Data Analyst,Amazon,"Business Intel Engineer, Global Procurement Operations","EXPERIENCE/ SKILLS:. Experience with AWS services including S3, Redshift etc.Experience with ML is a strong plus.Knowledge of Microsoft technologies (MSSQL, SSIS).Experience with software coding practices."
4,Data Scientist/Data Analyst,Amazon,"Senior Applied Scientist, People eXperience & Technology Central Science (PXTCS)","• MS or PhD in Computer Science, Statistics, Math, Electrical Engineering, Computational Linguistics, Natural Language Processing, Economics, or related fields• 5+ years of experience applying statistical/ML models in large-scale production applications• Created production systems; 2+ years experience deploying solutions to AWS and/or hosting and maintaining AWS based production systems• Skilled in Python, R or similar scripting language; knowledge of SQL• Knowledge and practical experience in more than one of the following areas: machine learning, natural language processing, semantic parsing, statistical inference, causal modeling, reinforcement learning, Bayesian methods, predictive analytics, decision theory, recommender systems, deep learning, time series modeling• Demonstrated use of modeling and optimization techniques tailored to meet business needs.• Track record of solving ambiguous problems and delivering complex software systems to customers• Excellent technical writing and communication skills and ability to convey scientific concepts to non-technical business audiences• Highly adaptable, creative, and thrives in a fast-paced work environment. • Deep experience in several of the above areas and experience with libraries such as Tensorflow/MxNet/PyTorch• Track record of publishing in premier journals and conferences• Knowledge of software engineering best practices for the full software development life cycle (i.e., coding standards, code reviews, source control management, build processes, and testing)• Familiarity with AWS and knowledge of distributed computing• Experience with customer or employee sentiment data• Experience with fact extraction, entity linking, question answering, semantic parsing, natural language generation, ontologies and knowledge representation--particularly for question answering. Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us."
5,Data Scientist/Data Analyst,Amazon,Data Engineer II - AMZRR0010,"Position Requirements:  Master's degree or foreign equivalent in Computer Science, Engineering, Information Systems, Mathematics, or a related field and one year of experience in the job offered, or as a Operations Research Analyst, Database Developer, or a related occupation. Employer will accept a Bachelor's degree or foreign equivalent in Computer Science, Engineering, Information Systems, Mathematics, or a related field and five years of experience in the job offered or a related occupation as equivalent to the Master's degree and one year of experience. Must have one year of experience in the following skill(s): (1.) developing and operating large-scale data structures for business intelligence analytics using each of the following: ETL/ELT processes; OLAP technologies; data modeling; SQL; and Oracle. Telecommuting may be permitted. Some positions may require domestic or international travel.Amazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation #0000. Please see job description and position requirements above."
6,Data Scientist/Data Analyst,Amazon,"Data Analyst, EU BIAS","* Ability to write complex SQL queries (Redshift, MySQL, PostgreSQL)* Experience in RDS includes MySQL and PostgreSQL* Experience working in Amazon Fulfillment center mainly in ICQA, Inbound or Outbound problem solving.* Experience working using Agile development.* Excellent communication skills.. * Bachelors in Computer Science or Engineering, or equivalent experience.* Minimum of 1+ years of experience as a Data Analyst or similar role* Ability to write scripts or small programs in Python and Ruby or Java* Experience with NoSQL Databases like ElasticSearch and DynamoDB* Strong analytical and organization skills and ability to influence Sr. Team based on findings* Proven ability to work under pressure and meet tight deadlines and prioritize workload* Work to create team environment to openly discuss trends and develop and drive the implementation of new solutionsAmazon est un employeur engagé pour l'égalité des chances. Nous sommes convaincus qu'une main d'oeuvre diversifée est essentielle à notre réussite. Nous prenons nos décisions de recrutement en fonction de votre expérience et de vos compétences. Nous apprécions votre envie de découvrir, d'inventer, de simplifier et de construire. La protection de votre vie privée et la sécurité de vos données constituent depuis longtemps une priorité absolue pour Amazon. Veuillez consulter notre Politique de Confidentialité pour en savoir plus sur la façon dont nous collectons, utilisons et traitons les données personnelles de nos candidats."
7,Data Scientist/Data Analyst,Amazon,"Business Intelligence Engineer, EU SL AVS","Experience with SQLExperience with data visualization using Tableau, Quicksight, or similar toolsExperience in the data/BI space. * Atleast 5 years experience in data analytics.* Strong organizational and multitasking skills with ability to balance competing priorities.* Comfort dealing with ambiguity.* Ability to work effectively within an interdisciplinary science team of economists, applied scientists, software engineers, and data engineers.* Excellent verbal and written communication skills with the ability to effectively advocate technical solutions to non-technical audience.Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build. Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Please consult our Privacy Notice (https://www.amazon.jobs/en/privacy_page) to know more about how we collect, use and transfer the personal data of our candidates.m/w/d"
8,Data Scientist/Data Analyst,Amazon,"Sr. Principal PMT-ES, Amazon Connect","• Bachelor's degree is required. MBA or MS in Computer Science or other Engineering Disciplines is preferred• Deep knowledge in implementing contact centers, with 10+ years of industry experience • Proven track record of delivering exceptional live and recorded content including public speaking and live demos in front of hundreds or thousands of people. • This position requires a combination of experience in product management, solution design, machine learning applications, and software services. The key differentiator being sought is the ability to be a thought leader in a new technology-centric area. Strong candidates will have the following experience:o Thought leader, who can learn new technology and drive long-term business strategyo Demonstrated ability to simplify complex technology for customerso Impeccable communication skills for writing customer-centric documents that meld business and product strategyo Ability to work with multiple disciplines – machine learning scientists, software developers, data specialists, contact center technologists, customer engagement business leaders.• Professional traits that are not unique to this position, but necessary for Amazon leaders:o Exhibits excellent judgmento Has relentlessly high standardso Thinks strategically, but stays on top of tactical executiono Expects and requires innovation of internal partners and team mateso Thinks big and has convictionso Is results orientedAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us."
9,Data Scientist/Data Analyst,Amazon,"Principal Economist, Workforce Intelligence ","1. PhD in a quantitative field such as Mathematics, Statistics, Physics, Engineering, Computer Science, Economics2. 10+ years of professional experience working with large data sets, understanding of statistical analysis, modeling techniques, data mining and business and/or public policy analysis.. 1. Proven track record in research and solution of business problems leveraging techniques from economics or related disciplines.2. Demonstrable experience in any of the following areas of applied economics (multiple areas preferred): reduced-form causal analysis, predictive modeling and causal ML algorithms, forecasting, hazard models, health and insurance economics, education economics, labor economics, and behavioral economics, designing and administering large-scale social science surveys.3. Demonstrated ability to lead a team of economists and data scientists to deliver high quality research results on time.4. Demonstrated ability to communicate research to clients in business and/or public policy.5. Excellent communication skills, both written and oral with both technical and business people. Ability to speak at a level appropriate for the audience. Experience applying these skills in both academic teaching environment and a business setting is a plus.6. Excellent writing skills for presenting business cases and to document the models and analysis and present the results/conclusions in order to influence important decisions.7. Strong science breadth across Econometric modeling, Causal Inference, Optimization, Forecasting, Machine Learning.8. Strong publication and presentation record in top-tier economic, public policy, statistical, or ML publications and conferences.9. Excellent written and oral communication skills with technical, business, and public policy people, and ability to speak at a level appropriate for the audience.10. Experience with prototyping in a scripting language such as STATA, R, and python.Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us."
