,job_title,job_desc,company,category
0,SMB Sales Acceleration Manager for Finland,":
3+ years of progressive experience in a sales environment
bachelor’s degree in business or management or related field preferred
experience in sales forecasting and planning in cisco is beneficial
experience in distribution or partner management is considered as advantage
·       ability to work as a team player and to work with minimal supervision.  
·       excellent written, verbal communication, listening and presentation skills. 
  excellent interpersonal, facilitation and negotiation skills 
english at very good working
level is a requirement, as well as fluency in language of the location ",Cisco,Marketing
1,Technical Consulting Engineer - SDWAN,":
  ø  you possess a fundamental working knowledge of computer and networking industry, products and protocols including:
ü  minimum experience of 7+ years in wan architecture & routing protocols such as bgp and ospf
ü  understanding of linux systems
ü  understanding of virtualization technologies such as vmware and kvm
ü  understanding of cloud technologies such as aws, azure, and openstack
ü  understanding of security technologies, digital certificates, x.509, ipsec, tls, ssl
  desired skills:
  ø  strong documentation skills; to be utilized for case management, knowledge capture, defect management and training
ø  strong knowledge in programmability, rest api & redhat linux
ø  working knowledge of handling network down situations; this role will be handling s1/s2 service requests with limited supervision
ø  ability to drive recreates remotely; many issues result in the engineer needing to perform a recreate of the customer problem in order to isolate the issue and resolve
ø  ccie or other top level industry certification (mcse, linux, vmware) is highly desirable / preferred
  industry or sector experience:
  ø  prior experience in a technical support capacity (advantageous)
ø  prior experience of high-level technical problem solving (essential)
ø  typically requires be/bs in a technical field (cs/ee preferred) and/or equivalent plus 7 years related experience
",Cisco,Marketing
2,Technical Consulting Engineer - Collaboration,"
does this sound like you?
problem solver: you enjoy solving technical problems. you are analytical in your approach. you have excellent troubleshooting skills.
empathy: you're able to keep customers happy and stress levels down during difficult situations. you dream about customer success.
technically sound: obviously you are an authority in your technology field. here are the skills we are looking for to add to our support team so if you posses below let us know:
call control: cisco unified communications manager
applications: presence (im&p) and cisco jabber
call control protocols and cube (sip, h.323, mgcp)
deep hands-on troubleshooting experience - log analysis (sip/prt/wireshark/http log/fiddler)
ccna and/or ccnp collaboration is highly desired
communicate: you have excellent communication skills (in english).
education: you are bachelor or master’s in engineering/ computer science or have equivalent experience.
experience in technical support (tac) or similar job role.
 ",Cisco,Marketing
3,Technical Consulting Engineer - SDA/DNAC,":
  ø  you possess a fundamental working knowledge of computer and networking industry, products and protocols including:
ü  minimum experience of 7+ years in wan architecture & routing protocols such as bgp and ospf
ü  understanding of linux systems
ü  understanding of virtualization technologies such as vmware and kvm
ü  understanding of cloud technologies such as aws, azure, and openstack
ü  understanding of security technologies, digital certificates, x.509, ipsec, tls, ssl
  desired skills:
  ø  strong documentation skills; to be utilized for case management, knowledge capture, defect management and training
ø  working knowledge of handling network down situations; this role will be handling s1/s2 service requests with limited supervision
ø  ability to drive recreates remotely; many issues result in the engineer needing to perform a recreate of the customer problem in order to isolate the issue and resolve
ø  very good understanding and experience on linux/unix(ubuntu/rhel/centos)
ø  knowledge of designing dynamic large-scale, multi-tenant, distributed systems using java/cloud (aws, azure) environments
ø  understanding and experience on docker an kubernetes design and troubleshooting the deployments based on containerised environment
ø  understanding and troubleshooting knowledge for applications such as postgres/mongodb/redis/kafka/elasticsearch etc.
ø  working knowledge in yang models, configuration management, and operational models
ø  troubleshooting java related application issues
ø  understanding of campus architectures, software defined networking (sdn) & network function virtualization (nfv)
ø  must have a basic programming/scripting skill (preferably python)
ø  understanding and basic knowledge on networking skills( switching/routing) and preferred exposure to cisco wireless products (wlc & aps) or cisco catalyst platforms (cat3k, cat6k and/or cat9k)
ø  preferrably a ccna/ccnp certification and/or ccie or other top level industry certification (mcse, linux, vmware) is highly desirable
  industry or sector experience:
  ø  prior experience in a technical support capacity (advantageous)
ø  prior experience of high-level technical problem solving (essential)
ø  typically requires be/bs in a technical field (cs/ee preferred) and/or equivalent plus 7 years related experience
",Cisco,Marketing
4,Failure Analysis Engineer,"
ability to decode hardware related router/switch error messages and trace message to hardware component error checker.
ability to simulate customer network failures and identify the failures in complex systems, subsystems and components.
comprehensive knowledge of ieee networking standards, and technology.
experience in setting up and troubleshooting routers and switches in different network topologies.
able to analyze failure logs, nvram content, and failure dumps based on the spec.
ability to analyzing and map the customer’s configuration/failure scenario into the fa setup for customer problem recreation.
hands on experience on routing protocols (bgp, ospf, eigrp, rip etc) and ability to configure and test underlying hardware.
experience creating protocol/traffic patterns which target specific network element hardware.
hands on experience on troubleshooting high complexity hw and ability to isolate to the defective component(s).
experience scripting and automations, python, tcl, perl.
strong background and experience in testing methodology, test development and test execution and report generation.
knowledge of ate test development.
experience in structured programming.
experience using software development and debug tools.
  desired skills
typically requires bsee/cs plus 8+ yrs related experience, or a msee/cs combined with 5+ years of related experience in the hw/sw/networking field.
cisco networking certification a plus.
demonstrated success in leading teams with several key areas of responsibility including new product test strategy, product quality, and test development/deployment.
the individual must demonstrate strong technical background in hw, sw, networking and failure analysis.
 ",Cisco,Marketing
5,Technical Consulting Engineer - Architecture,"the business entity
are you pre-wired to understand what customers want and what they need to deliver business outcomes quickly? can you do this in an environment that handles 1.4 million calls per year -- in 17 languages -- from customers in 180 countries? do you achieve results? think analytically? handle conflict and customer experience? make decisions with critical thinking? you may be a cisco customer support engineer… and we have the people deal for you!
the team
strategically positioned within cisco's technical assistance center (tac), architecture team is a team of best-in-class technical experts whose primary focus is the behavior (or misbehavior) of the network operating system (specifically ios, ios-xe and nx-os) and a depth understanding of the network operating system, while delivering the best possible customer experience. aligned to three geographic regions, and converging into one global, borderless tac, we are the first to be confronted by challenges and issues with new equipment and tools in the field. we provide tireless support to our customers, partners, account teams, and other tac engineers. with a technology runway that never ends, opportunities to develop your depth, breadth and diversity of technology expertise are second to none!
role & responsibilities
the customer support engineer is the connection to cisco customers and builds effective working relationships while solving their issues, managing expectations, and leaving the customer feeling valued.
provide technical support on a worldwide basis via phone, email, web and remote access for architecture focus area.
effectively utilizes databases of existing issues, debugging tools and simple or moderate lab simulations to analyze problems and identify solutions with a high level of customer satisfaction.
shares knowledge to build relationships, and effectively troubleshoots problems both alone and as part of a team.
reverse engineering analysis, identification and documentation for unexpected behaviors in cisco devices running ios, ios-xe and nx-os.
interaction and collaboration with other tac technology teams.
required qualifications
ccna or equivalent level of demonstrated networking knowledge.
understanding of overall computer architecture.
c debugging and data structures knowledge.
netconf, restconf, yang, gnmi basic/intermediate knowledge.
understanding of virtualization technologies (esxi, kvm, docker, etc).
knowledge of wireshark and able to analyze traffic flows to properly root cause network and/or application issue.
linux/unix file system knowledge.
commitment and ability to resolve complex technical problems, multitask, and be dedicated to customer success.
english fluency.
excellent verbal and written communication skills.
crisis management skills and ability to handle critical customer issues.
2+ years of experience in technical support, computer networking-related problem solving, critical thinking, and troubleshooting, interacting with customers, partners and account teams.
proactivity to investigate new technologies, new issues and develop initiatives to impact daily basis tasks.
ability to clearly and concisely articulate both technical and non-technical concepts.
excellent time management, follow-through, and attention to detail.
outstanding customer service skills.
desired qualifications
ccnp r&s certification or equivalent.
strong knowledge in virtualization technologies deployment and troubleshooting.
proficient in one or more programming languages (python, c, c++).
proficient in one or more public clouds (gcp, aws, azure).
troubleshooting experience with operating systems such as ios, ios-xe or nxos.
bachelor of it degree or similar.
#wearecisco, where each person is unique, but we bring our talents to work as a team and make a difference powering an inclusive future for all.
we embrace digital, and help our customers implement change in their digital businesses. some may think we’re “old” (36 years strong) and only about hardware, but we’re also a software company. and a security company. we even invented an intuitive network that adapts, predicts, learns and protects. no other company can do what we do – you can’t put us in a box!
but “digital transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)
day to day, we focus on the give and take. we give our best, give our egos a break, and give of ourselves (because giving back is built into our dna.) we take accountability, bold steps, and take difference to heart. because without diversity of thought and a dedication to equality for all, there is no moving forward.
so, you have colorful hair? don’t care. tattoos? show off your ink. like polka dots? that’s cool. pop culture geek? many of us are. passion for technology and world changing? be you, with us! ",Cisco,Marketing
6,Technical Consulting Engineer- Service Provider (5 - 8 Years of experience),"
typically requires bachelor degree in a technical field(cs/ee preferred) or equivalent plus 5-8 years related experience.
professional level (e.g. ccnp) or expert level (ccie) is added advantage.
desired skills
working level knowledge technologies used by service provider network like routing protocols (bgp, ospf, is-is), mpls, l3vpn, l2vpn.
previous experience in enterprise or service provider network in areas of deployment/migration/support.
has working knowledge of software programmability, automation, orchestration and/or virtualization.
knowledge on cisco routing products and cli (command line interface) is required.
effectively communicates skills in english language (verbal and written).
what you will do
remotely resolve customer issues over email, phone or using collaborations tools such as cisco webex.
immediately engaged with customer to provide recommendation to network/service down situation
engage team leads effectively to resolved complex issues.
use cisco lab to replicate customer reported issues and test software fixes provided by engineering team.
document troubleshooting procedure for new and common problems to help junior engineers.
work with technical leaders to support automation and innovation efforts.
work with team to support each other and focus on achieving key performance indicator and operational goals
",Cisco,Marketing
7,Technical Consulting Engineer - Wireless,"

you have done at least two of the following activities:
·      a analyze traffic and packet flows using packet analyzer such as wireshark, omnipeek or equivalent.
·      hands on experience in server virtualization using vmware esxi, microsoft hyper-v, linux kvm, encs nfvis, etc.
·      admin troubleshoot experience of linux-based hosts, servers, and devices (performance issues, logs analysis and user management)
·      server virtualization using vmware, ms hyper-v
·      deploy using aws, azure, gcp or alibaba cloud third party instances
·      working knowledge in ip networking, l2/l3 network protocols, lan/wan, tcp/ip, dhcp, dns, routing, snmp, and qos.
·      hands on experience with multiple client device types, ieee 802.11 standards, wireless sniffing, rogue detection, rf transmission, antennas, etc.
·      ability to understand, explain and troubleshoot wlan security in the areas of authentication, encryption, ids/ips, aaa authentication, ldap, radius, eap-tls, leap, peap, psk, aes-ccmp encryption, wpa (wi-fi protocol access), wpa2.
  desired skills:
  ·      hands on experience administrating wireless cisco technologies.
·      configure, implement, and troubleshoot api-based technologies
·      programming skills in python and scripting.
  you have any of these certifications (not mandatory):
·      ccna
·      cisco devnet associate
·      ccnp enterprise, ccnp security
·      cwna
·      cwnp
·      any other industry related certification
 
you will be the front-line defense for cisco’s customers supporting our 24/7 business model. this may require you to potentially work an alternative shift schedule of 4x10 (sunday, monday, tuesday, wednesday) and or 3x12 (thursday, friday, saturday), additional weekend day, etc.) in a rotational setup.",Cisco,Marketing
8,"Strategic Mechanical Sourcing Manager, Meraki","we believe that when passionate people are able to spend less time struggling with technology, they can spend more time on what matters - like teaching children, running businesses, keeping airports safe, and connecting disaster victims with relief. that’s the real power of simplicity. cisco meraki is the leader in cloud-managed it, thanks to our creative, inclusive, fearless team that is driven to simplify technology so the world can simply work!
 cisco meraki has grown to become an industry leader in the it space, with over 500,000 plus  customers and with over 3 million active networks and counting around the world. we have a comprehensive set of solutions which allows customers to seize new business opportunities and reduce operational costs. meraki is known for simplifying powerful technology through our products and services - and for the people behind them. as the fastest growing cloud-managed networking team in the world, our products and technology architecture are changing the face of networking and making cloud-managed it a reality.
 with sales growth rapidly outpacing the industry standard, meraki’s manufacturing needs are growing exponentially. we are seeking a strategic sourcing manager who is looking to grow into a role of managing and negotiating with enclosure component manufacturers and interfacing with the odms. as our products increase in number and complexity, you'll supervise the particulars of where and how these products will be made.
you will
use your investigational skills, you will piece together an accurate picture of new technologies and processes in an ever-shifting market and then use this knowledge and your unimpeachable negotiation abilities to get the best deal for us.
develop strategic relationships with mechanical suppliers, including negotiating product supply agreements and costs. 
own npi operations and product quality, and collaborate with hardware engineering and supply chain teams.
you have
experience in sourcing and managing suppliers (sheet metal, plastics, castings, cnc, enclosures)
knowledge in researching, building, and maintaining cost models, contract negotiations, and supplier management
understand technology and align npi through early design engagement with product design mechanical engineer
ability to work with multi-functional teams and influence supplier management at all levels
ability to speak mandarin and travel 30% of the time to countries outside of taiwan like china.
bs in mechanical or equivalent experience
strong organizational skills.
peerless discretion and judgment.
proven fact-finding abilities.
bonus if you have
mba in supply chain, operations, or finance.
experience in npi product operations and mechanical manufacturing process
proven leadership skills
at cisco meraki, we’re challenging the status quo with the power of diversity, inclusion, and collaboration. when we connect different perspectives, we can imagine new possibilities, inspire innovation, and release the full potential of our people. we’re building an employee experience that includes appreciation, belonging, growth, and purpose for everyone.
cisco is an affirmative action and equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis. cisco will consider for employment, on a case by case basis, qualified applicants with arrest and conviction records.
message to applicants applying to work in the u.s.: when available, the salary range posted for this position reflects the projected hiring range for new hire salaries in u.s. locations. for non-sales roles, the hiring ranges reflect base salary and do not include bonuses, equity, or benefits. hiring ranges for sales positions include base and incentive target, and do not include equity or benefits. individual pay is determined by the candidate's hiring location and additional factors, including but not limited to skillset, experience, and relevant education, certifications or training. applicants may not be eligible for the full salary range based on their u.s. hiring location. the recruiter can share more details about compensation for the role in your location during the hiring process. ",Cisco,Marketing
9,United States Army Account Manager,"
you are able to effectively position cisco solutions within various departments and functional groups with the customer to ensure that the full spectrum of cisco solutions are being presented. in additional to driving strong customer relationships, you will need to work closely with key reseller partners as well as ecosystem partners to complement cisco’s offerings in the market. you are comfortable selling business value at an executive level and across customer lines of business, roi/tco at a financial level and technical benefits at an it level. 
our minimum requirements for the role are:
must be a us citizen.
-must possess or have the ability to obtain a security clearance.
-must reside in or around the washington dc area
-understanding and experience with federal government funding, budgets, and buying cycles
- demonstrated success with communicating to c-level management teams
- 8+ years of account management or client relationship experience
the preferred candidate will have the following:
- experience with solution selling
- knowledge of it service and delivery
- demonstrated experience managing a large customer in the dod market

we connect everything: people, processes, data, and things. we innovate everywhere, taking bold risks to shape the technologies that give us smart cities, connected cars, and mission-enabling technologies. and we do it in style with unique personalities who aren’t afraid to change the way the world works, lives, plays and learns. 
we celebrate the creativity and diversity that fuels our innovation. we are dreamers and we are doers.
cisco is an affirmative action and equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis. cisco will consider for employment, on a case-by-case basis, qualified applicants with arrest and conviction records.
  we will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. please contact us to request accommodation
 ",Cisco,Marketing
