,job_title,job_desc,company,category
0,"Senior Full Stack Engineer, MS","senior full stack engineer, ms
apply here  
the mr insight team is building a next generation cloud-based analytics platform to troubleshoot wifi connectivity and performance issues in meraki networks. wifi is notoriously difficult to debug, especially in complex enterprise environments. leveraging telemetry from millions of devices in the field, we give customers intuitive insights about their wireless deployments and solve network issues in real time with proactive recommendations. this growing team of full stack, firmware, and machine learning engineers provides a unique opportunity to build impactful solutions while broadening your technical talent. our full-stack engineers are well-versed in a wide array of cs concepts and are excited to explore all levels of the meraki stack!
what you will do:
develop tools for customers to configure and monitor networking devices all over the world.
build and maintain a backend that extracts real-time insights about customer networks.
identify and solve backend performance bottlenecks to ensure a seamless user experience and high uptime.
create and prioritize actionable metrics, monitoring, and alerting (statsd, grafana, elasticsearch, kibana)
design and develop high performance public api endpoints for wireless metrics.
you are an ideal candidate if you:
have 3+ years of production experience with one of these or similar languages: ruby/python/scala/java/go.
have a significant experience in relational databases: postgres/mysql.
have experience working on web applications at scale.
have experience with cloud providers: aws or equivalent.
have experience with docker
take a focused, organized approach to development, testing, and monitoring.
would be excited to join a people-focused team, and look forward to contributing time to help your teammates.
would thrive in a small engineering team and are excited to solve open-ended problems across the stack.
understand that privacy is inherently valuable for everyone, and work to make sure our system is transparent in its operation and secure with its data.
bonus points for:
experience with web development or dev-ops tasks.
personal projects or contributions to open-source projects.
have working knowledge of network protocols used on both local and wide-area networks.
we encourage you to drop us a line even if you don’t meet all the points above. that's a lot of different areas of responsibility! we will help you build these skills because we believe that great engineers come from diverse backgrounds.
cisco is an affirmative action and equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis. cisco will consider for employment, on a case by case basis, qualified applicants with arrest and conviction records.
at cisco meraki, we’re challenging the status quo with the power of diversity, inclusion, and collaboration. when we connect different perspectives, we can imagine new possibilities, inspire innovation, and release the full potential of our people. we’re building an employee experience that includes appreciation, belonging, growth, and purpose for everyone.
compensation range: usd $112,000 usd - $217,800 
message to applicants applying to work in the u.s.: when available, the salary range posted for this position reflects the projected hiring range for new hire salaries in u.s. locations. for non-sales roles, the hiring ranges reflect base salary and do not include bonuses, equity, or benefits. hiring ranges for sales positions include base and incentive target, and do not include equity or benefits. individual pay is determined by the candidate's hiring location and additional factors, including but not limited to skillset, experience, and relevant education, certifications or training. applicants may not be eligible for the full salary range based on their u.s. hiring location. the recruiter can share more details about compensation for the role in your location during the hiring process.  
apply here  ",Cisco,Software engineering
1,Security Development Intern,"the modern world runs on the internet, and the internet cannot exist without its underlying infrastructure. meraki makes setting up, managing, and maintaining that infrastructure easier than it has ever been before. meraki enables connectivity everywhere from neighborhood cafes to education institutions to global hospitality groups operating thousands of sites.
the security development team is responsible for building secure ""paved path"" libraries and components for consumption by partnering teams, secrets and certificate management and architecture review for aws based systems. as an intern, you will get hands-on experience in secure coding concepts, iac tooling and vulnerability management automation. 
meraki believes that the quality of our product is dependent on the quality of our engineers. we place a high value on nurturing the growth and development of everyone on our team. we foster an open and supportive workplace where everybody is given the opportunity to succeed.
example projects of a security development intern:
build new features in our secrets/certificate management system
improve automation logic within our vulnerability management pipeline
assist in replacing legacy systems/components with more secure and scalable alternatives
you are an outstanding applicant if:
you are pursuing a technical degree or have equivalent experience with a strong foundation in the fundamentals of computer science and information security
you have familiarity with python, aws, terraform and git.
you’re interested in security concepts such as cryptography, authentication, authorization, or security protocols
you strive to build rich and dynamic features by expanding current tools or by creating entirely new components
you can expertly work beyond the boundary of single languages or technologies to identify complex bugs
you would flourish within a small engineering team and are excited to tackle open-ended problems
intern program overview:
meraki security development interns will join our security operations team for 12 weeks and will have the opportunity to work on small starter projects within our security development team, such as integration and implementation of new tools, and once up to speed spending the majority of the program on a larger project, such as building the infrastructure for a new service. projects are cross functional, which allow insight into new technologies and concepts which will help encourage professional growth within engineering, and allow a sense of ownership within the team.
meraki’s engineering teams place a high emphasis on mentorship. each intern is matched 1:1 with a mentor who provides continual feedback and guidance throughout the duration of the program. mentors help with introductions to other team members, overviews of tools and processes, and provide a seamless integration into meraki life.
intern benefits:
competitive salary
the option to work 100% remote
housing assistance
social events inside and outside of the office
breakfast and lunch daily
customized laptop and desk setups
medical coverage plan
cisco covid-19 vaccination policy
the health and safety of cisco's employees, customers, and partners is a top priority. our goal is to protect and mitigate the spread of covid-19 infection for strong business resiliency during the pandemic. therefore, cisco may require new hires to be fully vaccinated against covid-19 if the role requires business-related travel, meeting with customers/partners (including visiting third-party sites on behalf of cisco), attending trade events, and cisco office entry, unless otherwise prohibited by applicable law, and in countries where covid-19 vaccination is legally required. the company will consider legally required accommodations/exceptions for medical, religious, and other reasons as per the requirements of the role and in accordance with applicable law. additional information will be provided to candidates about the requirements and accommodation process at the offer time based on region.
cisco is an affirmative action and equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis. cisco will consider for employment, on a case by case basis, qualified applicants with arrest and conviction records.
at cisco meraki, we’re challenging the status quo with the power of diversity, inclusion, and collaboration. when we connect different perspectives, we can imagine new possibilities, inspire innovation, and release the full potential of our people. we’re building an employee experience that includes appreciation, belonging, growth, and purpose for everyone.",Cisco,Software engineering
2,Technical Program Manager,"at cisco meraki, we know that technology can connect us, empower us, and drive us. by simplifying powerful technology we can free passionate people to focus on their mission. as the fastest growing cloud-managed networking team in the world, our products and technology architecture are changing the face of enterprise networking and making cloud-managed it a reality.

meraki is seeking an experienced technical program manager to be responsible for introducing new products to the market. come be part of the new team that delivers groundbreaking products for businesses and organizations of all sizes. as a technical program manager for the meraki products, you will work closely with our hardware engineering, software engineering, product management, marketing, support, sales, strategy, finance, legal and operations teams to shepherd products from conceptualization through all phases of product development. our goal is to deliver high-value products/projects to our customers on time with quality and within budget.

you will be responsible for the following:
lead npi (new product introduction) programs / projects for meraki products
build, maintain program plan with multi-functional dependencies
implement and track program work you're doing, achievements, action items, technical dependencies, risks and mitigation plans
craft project status reporting and deliver executive briefings to update senior leaders and partners
understand product use case and communicate technically with engineering teams
develop strong working relationships with multi-functional teams to best understand and deliver on business goals and priorities
adhere to metrics and governance for meraki’s process and provide inputs to process improvements

you are ideal for this role if you have:
bachelors or higher degree in a related technical field (electrical, electronics engineering/computer science) or equivalent experience in hardware and/or software engineering
8+ years of experience as program manager in software, hardware, embedded, networking, cloud technologies or products
must have a successful track record of on time delivery of programs
strong understanding of software / hardware development processes.
excellent communication, interpersonal and presentation skills.
experience working with project planning tools (excel, gantt charts, jira, wrike, confluence, google docs)
proficient in agile project management processes. should be able to deal well with rapid changes, and feel comfortable navigating uncertain/ambiguous situations.


cisco is an affirmative action and equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis. cisco will consider for employment, on a case by case basis, qualified applicants with arrest and conviction records.

at cisco meraki, we don't just accept differences - it's one of our key values. everybody in means we listen to each other's opinions. everybody is accepted and valued here, and we are a team that works as one towards our goals. we recognize that diverse teams make the strongest teams, and we encourage people from all backgrounds to apply.",Cisco,Software engineering
3,Senior Systems Software Engineer- MS,"senior systems software engineer, ms network connectivity
san jose, ca or remote


meraki software engineers breathe life into our cloud-managed network-attached devices, which include switches, routers, wireless access, and security cameras. meraki switching platform acts as a glue to bring all the meraki devices together. we are passionate about solving customer problems using real-time telemetry data from millions of nodes deployed across the world.we strive to simplify complex technology using innovative solutions.
as a senior systems software engineer, you will be responsible for improving our code base, bringing innovative solutions and improving our monitoring and visibility. . initially, this role will focus on delivering fixes for regressions, improving debuggability, and eliminating technical debt and code smells. all of which are key to accelerating the release of bringing up new products to customers. as you mature in your knowledge of our codebase, you will be responsible for improving and re-architecting existing components and subsystems, as well as bringing up new products and features to support the growth of ms, both in terms of functionality, simplicity, scalability, and availability. our projects are driven by technological innovation and developer creativity in addition to market demands, giving you the structure and freedom to pursue projects you are most passionate about. in this role, you will have the opportunity to work across teams to craft systems that enable us to tackle complex problems for our customers. with millions of people using meraki products around the world, your work will have a significant impact from the day it is deployed.
you are an ideal candidate if you have:
proficiency in c and c++. if not proficient in c++, must be proficient in another object oriented programming language
experience with an object-oriented programming paradigm
experience in system design and architecture
experience with ipc/rpc communication mechanisms
5+ years experience in a production software engineering environment
experience developing and troubleshooting in a linux environment
experience working with and writing concurrent programs
understanding of os fundamentals and experience working in both kernel and user-space
good networking foundational knowledge (lans, routing, switching, wireless)
a focused, organized approach to development, testing, and quality
excellent communication (oral and written) and presentation skills
scripting skills in ruby or python
bonus points for:
experience developing and implementing core network protocols (tcp, ip, dns, dhcp, arp)
experience building cloud-based infrastructure and services (e.g. web applications)
understanding of network security fundamentals
experience with build systems (yocto, openwrt)
meraki is headquartered in the mission bay area of san francisco, with beautiful views of the oracle ballpark and the bay beyond. there are also locations in san jose, chicago, and austin. all locations offer a generous benefits package.
cisco is an affirmative action and equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis. cisco will consider for employment, on a case by case basis, qualified applicants with arrest and conviction records.
at cisco meraki, we’re challenging the status quo with the power of diversity, inclusion, and collaboration. when we connect different perspectives, we can imagine new possibilities, inspire innovation, and release the full potential of our people. we’re building an employee experience that includes appreciation, belonging, growth, and purpose for everyone",Cisco,Software engineering
4,Senior Systems Software Engineer- MS,"senior systems software engineer, ms
san jose, ca or remote


cisco-meraki software engineers breathe life into our cloud-managed devices, which include switches, routers, wireless access, and security cameras. we use real-time telemetry from thousands of networks spanning all over the globe and continuously improve the performance and stability of our products. our incredible growth is a testament to how much our customers love our innovative products.
as a technical leader- systems software engineer, you will develop software that breathes life into our products. you will design, develop and debug high-performance system software & applications. you must be comfortable in taking high-level directions and translate them to actionable steps. you will be responsible for improving and architecting components, bring up new products. your designs should be functional, simple, scalable and always available. you should be passionate about customer experience and driven to triage complex network regressions, improve debug ability.
our projects are driven by innovation and market demand, you will have both structure and freedom to pursue ideas you are most passionate about. in this role, you will have the opportunity to work across teams to craft systems that enable us to solve complex problems for our customers. with millions of people using meraki products all around the world, be ready to make a huge impact.
meraki is headquartered at the mission bay, san francisco, california. come to beautiful views of the san francisco bay. we are also conveniently located at san jose, chicago, austin. we offer flexible work options including remote work.
this position is for network connectivity team at cisco-meraki, come work at the heart of the largest networking company in the world!

you should be excellent in:
superb presentation and technical writing skills
organized approach to design, development and quality assurance
7+ years of experience in a production software engineering environment
c / c++
ruby / python
network fundamentals
object-oriented paradigm
system design and architecture
concurrent programming & ipc/rpc mechanisms
containers
troubleshooting problems in a linux environment
os fundamentals in kernel and user-space
super qualified candidates will be really good at:
data plane management (l2 and l3)
l1 management (phy speed, duplex)
l2 management (spanning trees, link aggregation, vlans)
qos
storm control
routing (static, ospf, ipv6, bgp, fabric, ecmp)
end-point address management (dhcp, slaac)
warm spare (vrrp)
click packet processing
yocto, openwrt, gerrit, git

the health and safety of cisco's employees, customers, and partners is a top priority. our goal is to protect and mitigate the spread of covid-19 infection for strong business resiliency during the pandemic. therefore, cisco requires all new hires to be fully vaccinated against covid-19 in the u.s., unless otherwise prohibited by applicable law, and in countries where covid-19 vaccination is legally required. the company will consider legally required accommodations/exceptions for medical, religious, and other reasons as per the requirements of the role and in accordance with applicable law. additional information will be provided to candidates about the requirements and accommodation process at the offer time based on region
cisco is an affirmative action and equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis. cisco will consider for employment, on a case by case basis, qualified applicants with arrest and conviction records.
at cisco meraki, we’re challenging the status quo with the power of diversity, inclusion, and collaboration. when we connect different perspectives, we can imagine new possibilities, inspire innovation, and release the full potential of our people. we’re building an employee experience that includes appreciation, belonging, growth, and purpose for everyone",Cisco,Software engineering
5,"Senior Full Stack Engineer, MS","senior full-stack engineer, ms 
apply here 
at meraki, we’re making it easier, faster, and smarter. our full-stack teams build and maintain our cloud applications, which manage millions of networks, cameras, and sensors all over the world. our customers use the meraki web dashboard, mobile app, and programmable apis to monitor, configure, and automate critical it infrastructure that serves tens of millions of people every single day.
the meraki network service team is transforming the way networking and security is delivered with meraki’s legendary simplicity and cloud-first approach. our teams are small and fast-paced, striving always to make our products unique by balancing feature-rich abilities and simplicity. our full-stack engineers are well-versed in a wide array of technologies and excited to jump around languages, platforms, and all levels of the meraki stack!
what you will do:
build intuitive and powerful workflows to tackle important problems for it professionals around the world, by collaborating with engineers, product managers and ux designers.
solve challenging scaling problems to meet a growing user base and ensure the best experience and uptime.
develop tools for customers to configure and monitor networking devices all over the world.
boldly move the networking and security industry forward along a path of simplification, performance, and flexibility.
help other specialists make architectural design decisions while evangelizing engineering best practices.
be a unifying force connecting people and motivating others to do their best.
you are an ideal candidate if you:
have 5+ years of experience writing professional production code and tests.
2+ years of experience in web backend technologies, like ruby on rails or go.
2+ years of experience in building rich web uis with react, javascript (and redux).
would thrive in a small engineering team
are passionate about what you do and ignite people around you.
bonus points for:
experience or willingness to work on proof-of-concept spikes and in an agile environment (scrum, kanban, etc.).
have working knowledge of network protocols used on both local and wide-area networks.
we encourage you to drop us a line even if you don’t have all the points above. that's a lot of different areas of responsibility! we will help you pick them up because we believe that great engineers come from diverse backgrounds.
at cisco meraki, we’re challenging the status quo with the power of diversity, inclusion, and collaboration. when we connect different perspectives, we can imagine new possibilities, inspire innovation, and release the full potential of our people. we’re building an employee experience that includes appreciation, belonging, growth, and purpose for everyone.
cisco is an affirmative action and equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis. cisco will consider for employment, on a case by case basis, qualified applicants with arrest and conviction records.
compensation range: usd $112,000 usd - $217,800 
message to applicants applying to work in the u.s.: when available, the salary range posted for this position reflects the projected hiring range for new hire salaries in u.s. locations. for non-sales roles, the hiring ranges reflect base salary and do not include bonuses, equity, or benefits. hiring ranges for sales positions include base and incentive target, and do not include equity or benefits. individual pay is determined by the candidate's hiring location and additional factors, including but not limited to skillset, experience, and relevant education, certifications or training. applicants may not be eligible for the full salary range based on their u.s. hiring location. the recruiter can share more details about compensation for the role in your location during the hiring process.  
—-----------------------------------------------------------------",Cisco,Software engineering
6,Technical Program Manager,"at cisco meraki, we know that technology can connect us, empower us, and drive us. by simplifying powerful technology, we can free hard-working people to focus on their mission. as the fastest growing cloud-managed networking team in the world, our products and technology are changing the face of enterprise networking and making cloud-managed it a reality. come be a part of the team that delivers innovative products for businesses and organizations of all sizes.

meraki is seeking an experienced technical program manager for driving new product introduction (npi) for our hardware and software programs. as a technical program manager, you will be working closely with our hardware engineering, software engineering, product management, marketing, support, sales, strategy, finance, legal and operations teams to manage, facilitate, and deliver new products with cisco meraki from concept to delivery. our goal is to deliver high quality products on time and within budget.
you will be responsible for the following:
lead npi programs / projects for meraki product portfolios
build and drive program plans with well-managed dependencies and partner alignment
understand product use-cases and communicate technically with engineering teams
implement and track program work, milestones, action items, dependencies, risks, and mitigation plans
craft project status reporting and deliver executive briefings to update senior leaders and partners
adhere to metrics and governance for meraki’s process and provide inputs for process improvement
cultivate healthy collaboration between teams and develop strong working relationships with multi-functional teams to best understand and deliver on the business goals and priorities
you are ideal for this role if you have:
bachelors or higher degree in a related technical field or equivalent experience in software engineering / hardware engineering and npi
4+ years of proven experience as an engineering program manager or technical program manager in software, hardware, embedded, or product delivery
consistent track record of delivering high quality products start to finish
experience working across global teams to drive programs, optimally through multiple time zones
experience working in medium to large size companies that have gone through personnel growth in the sw engineering organization
strong understanding of hardware and software development for bringing new products to market
excellent communication, interpersonal, and presentation skills
experience with project planning tools (jira, gantt charts, wrike, ms project, confluence, google docs, sharepoint)
proficient in agile process management processes. should be able to deal well with rapid changes, and feel comfortable navigating uncertain/ambiguous situations.

cisco requires all u.s. employees to be fully vaccinated or have an approved religious or medical accommodation. candidates accepting an offer must provide proof of vaccination status on their first day. if someone anticipates requesting an accommodation for this requirement, they must receive approval before the start date. candidates receiving an offer will receive additional information about the accommodation process at the time of the offer. all offers of employment are contingent upon complying with cisco's vaccination policy.

cisco is an affirmative action and equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis. cisco will consider for employment, on a case by case basis, qualified applicants with arrest and conviction records.

at cisco meraki, we don't just accept differences - it's one of our key values. everybody in means we listen to each other's opinions. everybody is accepted and valued here, and we are a team that works as one towards our goals. we recognize that diverse teams make the strongest teams, and we encourage people from all backgrounds to apply.",Cisco,Software engineering
7,Expression of Interest - Cloud Engineer,"
you already have a few years of experience working in a high-transactional, 24x7 production environment and experience configuring cisco routers and switches. you also have a good understanding of layer 2 switching and ip routing protocols including bgp, ospf and know traffic engineering techniques in bgp. you know your way around a linux shell and understand the basic operations of file management, package management, virtual environments and checking system log files.
this role could be a good fit for you if these apply to you:
previously worked in a fast paced, 24x7 follow-the-sun global operational/support environment.
experience with router/switching platforms including asr9k, asr1k and nexus families; junos experience is helpful.
good knowledge of bgp and ospf routing protocols; experience with traffic engineering techniques in bgp, ipv6, network security and tunneling technologies (ipsec/gre).
strong troubleshooting skills related to traffic pattern and network performance issues; ddos mitigation, packet-loss, latency or efficiency problems. familiar with netflow and sla probes.
familiarity with linux (system logging, file management, package management, etc..))
you have strong verbal and written communication skills, using english.
experience using network monitoring tools to identify problems.
experience with ticketing and documentation tools such as jira, confluence or similar.
experience with peering at internet exchanges and working with transit providers is a plus.
experience writing scripts in python and using git repositories is a plus.
ability to multitask, prioritize tasks, and handle pressure well in a fast-paced environment.
",Cisco,Software engineering
8,Systems Software Engineer- MS,"systems software engineer, ms network connectivity
san jose, ca or remote

meraki software engineers breathe life into our cloud-managed network-attached devices, which include switches, routers, wireless access, and security cameras. meraki switching platform acts as a glue to bring all the meraki devices together. we are passionate about solving customer problems using real-time telemetry data from millions of nodes deployed across the world. we strive to simplify complex technology using innovative solutions.
as a systems software engineer,. initially, you'll focus on delivering fixes for regressions, enhancing debuggability, and eliminating technical debt and code smells. all of which are key to accelerating the release of bringing up new products to the customers. as you mature in your knowledge of meraki infrastructure, you will be responsible for improving and refactoring existing components and subsystems, as well as bringing up new products and features to support the growth of the ms product line, both in terms of functionality, simplicity, scalability, and availability. our projects are driven by technological innovation and developer creativity in addition to market demands, giving you the structure and freedom to pursue projects you are most passionate about. you’ll have the opportunity to work across teams to design systems that enable us to solve complex problems for our customers. with millions of people using meraki products around the world, your work will have a significant impact from the day it is deployed.
you are an ideal candidate if you have:
fluency in c or c++
experience with object-oriented programming paradigm
developing and troubleshooting experience in a linux environment
understanding of os fundamentals
good networking foundational knowledge (lans, routing, switching, wireless)
a focused, organized approach to development, testing, and quality
excellent communication (oral and written) and presentation skills
scripting skills in ruby or python
2+ years experience in a production software engineering environment.
bonus points for:
experience developing and implementing core network protocols (tcp, ip, dns, dhcp, arp)
experience with ipc/rpc communication mechanisms
experience building cloud-based infrastructure and services (e.g. web applications)
understanding of network security fundamentals
experience with build systems (yocto, openwrt)
meraki is headquartered in the mission bay area of san francisco, with beautiful views of the oracle ballpark and the bay beyond. there are also locations in san jose, chicago, and austin. all locations offer a generous benefits package.
cisco is an affirmative action and equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis. cisco will consider for employment, on a case by case basis, qualified applicants with arrest and conviction records.
at cisco meraki, we’re challenging the status quo with the power of diversity, inclusion, and collaboration. when we connect different perspectives, we can imagine new possibilities, inspire innovation, and release the full potential of our people. we’re building an employee experience that includes appreciation, belonging, growth, and purpose for everyone",Cisco,Software engineering
9,"Technical Leader, Systems Software Engineer- MS","technical leader systems software engineer, ms network connectivity
san jose, ca or remote


cisco-meraki software engineers breathe life into our cloud-managed devices, which include switches, routers, wireless access, and security cameras. we use real-time telemetry from thousands of networks spanning all over the globe and continuously improve the performance and stability of our products. our incredible growth is a testament to how much our customers love our innovative products.
as a technical leader- systems software engineer, you will develop software that breathes life into our products. you will design, develop and debug high-performance system software & applications. you must be comfortable in taking high-level directions and translate them to actionable steps. you will be responsible for improving and architecting components, bring up new products. your designs should be functional, simple, scalable and always available. you should be passionate about customer experience and driven to triage complex network regressions, improve debug ability.
our projects are driven by innovation and market demand, you will have both structure and freedom to pursue ideas you are most passionate about. in this role, you will have the opportunity to work across teams to craft systems that enable us to solve complex problems for our customers. with millions of people using meraki products all around the world, be ready to make a huge impact.
meraki is headquartered at the mission bay, san francisco, california. come to beautiful views of the san francisco bay. we are also conveniently located at san jose, chicago, austin. we offer flexible work options including remote work.
this position is for network connectivity team at cisco-meraki, come work at the heart of the largest networking company in the world!

you should be excellent in:
superb presentation and technical writing skills
organized approach to design, development and quality assurance
7+ years of experience in a production software engineering environment
c / c++
ruby / python
network fundamentals
object-oriented paradigm
system design and architecture
concurrent programming & ipc/rpc mechanisms
containers
troubleshooting problems in a linux environment
os fundamentals in kernel and user-space
super qualified candidates will be really good at:
data plane management (l2 and l3)
l1 management (phy speed, duplex)
l2 management (spanning trees, link aggregation, vlans)
qos
storm control
routing (static, ospf, ipv6, bgp, fabric, ecmp)
end-point address management (dhcp, slaac)
warm spare (vrrp)
click packet processing
yocto, openwrt, gerrit, git

the health and safety of cisco's employees, customers, and partners is a top priority. our goal is to protect and mitigate the spread of covid-19 infection for strong business resiliency during the pandemic. therefore, cisco requires all new hires to be fully vaccinated against covid-19 in the u.s., unless otherwise prohibited by applicable law, and in countries where covid-19 vaccination is legally required. the company will consider legally required accommodations/exceptions for medical, religious, and other reasons as per the requirements of the role and in accordance with applicable law. additional information will be provided to candidates about the requirements and accommodation process at the offer time based on region
cisco is an affirmative action and equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis. cisco will consider for employment, on a case by case basis, qualified applicants with arrest and conviction records.
at cisco meraki, we’re challenging the status quo with the power of diversity, inclusion, and collaboration. when we connect different perspectives, we can imagine new possibilities, inspire innovation, and release the full potential of our people. we’re building an employee experience that includes appreciation, belonging, growth, and purpose for everyone",Cisco,Software engineering
