,job_title,job_link,job_desc
0,Senior Technical Program Manager,https://jobs.cisco.com/jobs/ProjectDetail/Senior-Technical-Program-Manager/1395292," Drive end-to-end engineering delivery and own the engineering timeline Ensure capacity can meet the program demands and escalate needs when required Cultivate a cohesive and aligned program leadership team at the program team of teams (ToT) level Set the culture and tone for how program team members interact Identify and communicate program processes and operating model (using agile transformation standard methodologies) Establish and operate ways to uphold continuous, open 2-way communication within the program team Establish and operate ways to maintain open communication with key program constituents and partners Remove or call out obstacles that are preventing team progress Drive efficient decision-making for the program and communicate decisions to program team, program constituents, and partners Inspect and adapt program processes and operating model regularly Ensure visibility to, and celebrations around team successes 10-15+ years of proven experience working as a Technical Program Manager Thorough understanding of enterprise software development and/or infrastructure processes and lifecycle; ability to adjust and apply this knowledge in a dynamic environment using agile methodologies Strong technical aptitude, and experience with both application and platform components Outstanding organizational, communication, interpersonal, relationship building skills conducive to collaboration; work well in a multi-functional, matrix management environment Excellent analytical and problem-solving skills with a history of hands-on, detail orientation Consistent track record of building motivated, collaborative, and productive teams, including remote team members Comfortable with ambiguity and fast changes with an ability to adapt as needed Ability to establish credibility and rapport with senior executives and technical and non-technical team members alike Ability to work under tight deadlines while being flexible and responding to changing business and technical conditions One or more software program management certifications preferred: Certified ScrumMaster (CSM), Certified Scrum Practitioner (CSP), or PMI Agile Certified Practitioner (PMI-ACP)"
1,"Technical Program Manager, Supply Chain",https://jobs.cisco.com/jobs/ProjectDetail/Technical-Program-Manager-Supply-Chain/1394917," Work with a cross-functional team across Supply Chain teams, along with IT to drive large-scale Supply Chain process improvements & transformations. Support and own projects from start to finish — working with partners to plan requirements, manage project schedules, identify risks, and communicate clearly with cross-functional partners. Identify and analyze systems requirements and define project scope, requirements, and results. Design and deliver optimized program communication plans including executive and key partner communications Build trusted relationships with program partners, including managing expectations of senior cross-functional leads and ensuring they have the insights they need to make effective decisions Coordinates project activities and ensure all project phases are documented appropriately. Excited to build new things and self-sufficient in doing so A creative thinker who solves problems differently than “the way it’s always been done” Able to envision a new system design given data assets and team requirements Excited by ambiguity and have a distinct passion for efficiency through continuous process improvement Quick learner and can keep the teams on track to achieve the desired goals 8+ years in a technical role, with proven experience in program management BS and/or MS in engineering, program management, operations research, computer science, or related technical fields. Experience leading large-scale programs across the company Natural leadership ability coupled with program management skills and keen attention to detail - you can lead multiple programs in parallel Strong critical thinking and creative problem-solving skills Experience with manufacturing and/or supply chain management. Skilled in cross-functional program management; Strong communication, presentation, interpersonal, and organizational skills. Ability to communicate (verbal/written) detailed, technical initiatives to technical and non-technical people at all levels of the organization Bonus (not required): Specific experience with Agile PLM and/or EPR systems Knowledge and/or experience with Cisco Supply Chain processes and tools."
2,Technical Product Owner,https://jobs.cisco.com/jobs/ProjectDetail/Technical-Product-Owner/1394901," You will work with Product Owners in the support of business processes & capabilities. Conduct deep analysis of various attributes within the Quote to Cash processes. Define, analyze and translate business requirements and Use Cases to provide functional requirements to IT Team, partnering with Product Managers, Business team members and SMEs. Identify operational improvement opportunities through analysis of business drivers and practices. Evaluate solutions in light of operational impacts and influence solutions that improve the quality of operational delivery and customer experience Align with business architecture business rules, policies, key business decisions, cross-program dependencies, and high-level solution designs. Support work intake process and end to end impact analysis for CRs. Drives capability co-design sessions, requirements assessment & evaluate IT solution on quality, and negotiate options Aligns with business architecture business rules, policies, critical business decisions, cross-program dependencies, and high-level solution designs Evaluate solutions in the light of operational impacts and influence to enhance the quality of capability delivery and partner experience. Improve end to end Commerce Experience The ability to act as liaison conveying strategy, business requirements, and information needs of the business to IT teams and cross functional partners. Identify, document, and communicate process changes to business collaborators Experience in Agile methodologies, working in sprints Understanding of Sales Processes, experience collaborating with Sales teams and leadership Bachelor’s degree in business or related field or an MBA. Minimum 10+ years of relevant Business Analyst/ Product Owner experience Outstanding analytical and conceptual thinking skills. Ability to influence partners and work closely with them to resolve acceptable solutions. Excellent documentation skills. Excellent analytical and conceptual thinking skills. Experience crafting detailed reports and giving presentations. Proficiency in Microsoft applications, including Word, Excel, and Outlook. A track record of following through on commitments. Excellent planning, interpersonal, and leadership skills. A history of leading and supporting successful projects. Familiarity with Cisco technologies is a huge plus Experience working in JIRA is a huge plus"
3,Technical Consulting Engineer (1394769),https://jobs.cisco.com/jobs/ProjectDetail/Technical-Consulting-Engineer-1394769/1394769," Provides second/third level technical support on a worldwide basis via phone, email, web and remote access for AAA products, protocols, and solutions. Practical knowledge of the Networking industry, products, and protocols. Apply Analytical skills and technical knowledge to solve product and network problems of moderate-high complexity. Effectively apply moderate to sophisticated lab setups to recreate and solve problems. Crisis management skills and ability to handle critical customer issues/problems. Bachelor or master’s degree in engineering (Telecommunications Engineering, Computer Science, Electrical Engineering, or equivalent). 2+ years of experience in designing, deploying, configuring, supporting, troubleshooting, and debugging networks (direct customer support experience). Good technical foundation in networking (CCNA equivalent level or above) is required. Good communication skills, both oral and written. Good analytical skills. Ability to work independently. You're passionate about and have the ability to learn and work in a multicultural team environment. You're motivated by a service excellence attitude. You aim to achieve goals with limited supervision. Knowledge of Cisco network security products, protocols, and solutions such as Identity Service Engine (ISE), Trust Sec, Radius, EAP and TACACS. Knowledge of basic Routing and Switching and Wireless Lan Controllers. Certification: Cisco CCNA R&S, CCNA Security, CCNP Security, or CCIE security Programming skills: Python, Java, Linux"
4,Technical Consulting Engineer,https://jobs.cisco.com/jobs/ProjectDetail/Technical-Consulting-Engineer/1394761," Bachelor's degree in a technical field or 5 years of progressive experience in related occupation.  Experience or Certifications in one or more of the following is preferred- CCNA, CCNP, CCIE  Prior customer support experience is preferred.  
  Great verbal and written communication skills.  Working knowledge of Networking, products and protocols.  Strong analytical and troubleshooting skills.  Able to resolve problems and deliver known solutions with a high level of customer satisfaction. "
5,Principal Engineer - Integrated Photonics - Acacia,https://jobs.cisco.com/jobs/ProjectDetail/Principal-Engineer-Integrated-Photonics-Acacia/1394602," Device-level modeling of III-V quantum well laser and amplifier devices, including optical gain / loss, electrical carrier considerations, mode confinement, etc. Module-level modeling of III-V quantum well laser and amplifier modules, including optical, electrical, and thermal performance. Designing and modeling photonics integrated circuits on III-V and silicon photonics. Developing processes and designs for heterogeneous integration of III-V devices and silicon photonic circuits with commercial partners. Transitioning prototypes into mass production with high yield and low cost. Ph.D. or master’s degree in optical engineering, physics, electrical engineering or equivalent work experience on semiconductor lasers Experience with semiconductor laser / amplifier development and production Deep understanding of laser physics, solid-state physics, waveguide design, and opto-electronics Experience with laser / amplifier simulations, including optical gain and loss, electrical carriers, mode confinement, etc Familiarity with laser / amplifier characterization and testing Extensive experience in design of photonic integrated circuits in III-V Experience with III-V-Si integration is preferred"
6,Federal Account Manager,https://jobs.cisco.com/jobs/ProjectDetail/Federal-Account-Manager/1394584," You'll collaborate with Cisco leaders, partner with mentors, and develop incredible relationships with colleagues who share your interest in connecting the unconnected. You'll be part a team that authentically cares about its customers, enjoys having fun, and you'll take part in changing the lives of those in our local communities. Come prepared to be supported and encouraged at Cisco. You have the ability to call at multiple levels within your customer accounts leading partner relationships and account planning with an extended team. You are aggressive, self-starters that can build executive relationships, articulate Cisco's product and business strategies, create the demand and close deals. You will prospect, replace incumbents and successfully lead your customer install base. Will be responsible for negotiating solutions on business issues with peers, partners and customers using a Win/Win philosophy coupled by working on complex technical accounts taking care of CXO and other key decision makers. You will be required to travel up to 50% of the time. Active TS required BS degree or equivalent You have 7+ years IT solution sales experience running a sales territory Extensive experience selling to CXO personnel You have proven an understanding of government contracts and procurement vehicles You possess strong communication skills coupled with superior negotiation skills at CXO level Data networking technical knowledge strongly preferred. You have a validated and successful sales background developing a business strategy and multi-year business plan,collaboration, partnership, and delivery of customer success by working Experience obtaining a quota of $15M or greater needed You have sold to government customers in Federal Scientific preferred; specifically extensive DOI experience Preferred work location of Denver, CO We connect everything – people, process, data and things – and we use those connections to change our world for the better. We innovate everywhere - From launching a new era of networking that adapts, learns and protects, to building Cisco Services that accelerate businesses and business results. Our technology powers entertainment, retail, healthcare, education and more – from Smart Cities to your everyday devices."
7,Python Software Engineer,https://jobs.cisco.com/jobs/ProjectDetail/Python-Software-Engineer/1394547," MINIMUM of 5 years of software development experience with Java/Python/Golang Experience in Linux development environments and knowledge of shell scripting Hands on, work related experience with SpringBoot/Flask, RESTful APIs, JSON etc. Working experience with openshift , openstack platforms Experience with SQL/No-SQL database technologies – Oracle, MongoDB, MySQL, PostgreSQL, etc. Proficiency with Unit/Functional test automation Experience with Automate tools - Ansible , Airflow or similar Experience in any one of the public clouds -  AWS, Azure & GCP is highly desirable. Requires hands on experience with designing a microservice based architecture, container deployments and management tools like Kubernetes, docker, etc. Experience developing in a CI/CD, DevOps model with full knowledge of Selenium, Jenkins, GIT, is required Proficient in debugging procedures."
8,Sr. Electrical Strategic Sourcing Manager,https://jobs.cisco.com/jobs/ProjectDetail/Sr-Electrical-Strategic-Sourcing-Manager/1394536," 8+ years of experience in sourcing and managing Silicon suppliers (CPU/Sensor/memory/RF) with exposure to key players in the industry. BS in Electrical Engineering, Computer Science, or similar is strongly preferred. Additional years of proven experience (outlined above) are considered in lieu of a relevant degree. Excellent knowledge of the component manufacturing process. Extensive negotiation experience with global suppliers and proven success in cost reduction. Consistent track record in researching, building, and maintaining cost models that enable product roadmap decisions. Ability to sell Meraki technical strategies to the supply base for strategic relationship building and investment Ability to influence engineering designs by recommending 2nd source or new technologies Able to travel up to 20% to Asia, especially Taiwan and China Experience with component specification analysis and/or experience in comparing datasheets. Experience in optics (lens) and sensor technology for camera development Experience in semiconductor Engineering, product management, or NPI product operations."
9,Signal Integrity Engineer,https://jobs.cisco.com/jobs/ProjectDetail/Signal-Integrity-Engineer/1394395," High-Speed link modeling and simulation, including high-speed I/O, IC package and system interconnections. Modeling and analyzing power delivery networks Electromagnetic modeling of complex 3-dimensional structures Perform pre- and post-route signal integrity analysis of both PCB and ASIC package designs Write signal integrity design guideline, test plan and test report Decide appropriate PCB material, stack-up, and work with vendors to address any DFM issues Support prototype function bring-up, validation and trouble-shooting Address signal integrity challenges on system high-speed interconnections, clock, power etc. Work closely with other hardware function teams including HW design, eCAD, Mechanical, Power, EMC, Diag to deliver first-class products. PhD/MSEE or BSEE combined with 2+ years related experience Strong lab skills and measurement experience are desired (VNA, TDR, Real Time Scope, BERT) Strong tools knowledge (HFSS, ADS, Matlab, Cadence PowerSI/DC, Allegro, Simbeor, HSpice) Proficiency with 3-D field solvers and PI simulation tool such as PowerSI/DC Working experience with high speed NRZ and PAM4 SerDes, high-speed PCB/package development, and PI analysis is a plus Self-motivation, collaboration, strong communication and a desire to innovate are important"
