,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,Collabera,Administrative Support,"Note:
The position is onsite (No Work from Home).
Position Details:
Position: Business Execution Administrator
Client: Fortune 500
Industry: Banking
Job duration: 6 months (Possible Extension)
Location: Irving, TX 75062 (Onsite)
Shift timings: Sun-Thu
Shift: 40hrs
Pay Rate: $26/hr. (without benefits)
Responsibilities:
Support in implementation of initiatives related to operations and Business Execution across multiple lines of business.
Identify opportunities to improve processes and provide support to a variety of diverse support functions or operations.
Receive direction from supervisors.",https://collabera.com/job-description/?post=328286,"Note:
The position is onsite (No Work from Home).
Position Details:
Position: Business Execution Administrator
Client: Fortune 500
Industry: Banking
Job duration: 6 months (Possible Extension)
Location: Irving, TX 75062 (Onsite)
Shift timings: Sun-Thu
Shift: 40hrs
Pay Rate: $26/hr. (without benefits)
Responsibilities:
Support in implementation of initiatives related to operations and Business Execution across multiple lines of business.
Identify opportunities to improve processes and provide support to a variety of diverse support functions or operations.
Receive direction from supervisors."
1,Collabera,Customer Service Representative,"Urgent Hiring for Customer Service Representative in Pennington, NJ at a pay of 18.52/hr
Who can Apply?
Some one with good call center or customer service experience
Job Description:
The representative role is inclusive to an inbound phone team environment assisting external clients, (participants in corporate sponsored retirement and health plans) with financial transactions and inquiries.

This fast-paced work environment provides an excellent opportunity to build a strong foundation for a career in the financial services industry.

The Call Center assists with 401(k), Stock Options and Health Benefit Solutions.",https://collabera.com/job-description/?post=328285,"Urgent Hiring for Customer Service Representative in Pennington, NJ at a pay of 18.52/hr
Who can Apply?
Some one with good call center or customer service experience
Job Description:
The representative role is inclusive to an inbound phone team environment assisting external clients, (participants in corporate sponsored retirement and health plans) with financial transactions and inquiries.

This fast-paced work environment provides an excellent opportunity to build a strong foundation for a career in the financial services industry.

The Call Center assists with 401(k), Stock Options and Health Benefit Solutions."
2,Collabera,Graphics Engineer,"Responsibilities:
Produces a variety of marketing materials (e.g. pitch books, deal books, covers, templates, infographics, etc.) using MS Office and Adobe applications to an advanced level
Assists with the production of creative PPT pitch books and offers conceptual and visual solutions to enhance client materials including motion graphics
Traces and produces logos, maps and illustrations
Liaises directly with workflow staff and clients to determine deadlines, job instructions and design requirements
Completes related admin for accurate work billing and job tracking purposes
Assists with Intake coordination when required
Responsible for quality control of own work, as well as assisting colleagues with QC tasks
Buddies new starters post-training
Contributes to best production practices through internal initiatives and programs
Required Skills:
3-5 years or above of admin/operational support in a corporate, service-oriented environment, ideally in a financial institution – essential
Advanced knowledge of industry standard graphic design applications – essential
 ",https://collabera.com/job-description/?post=328284,"Responsibilities:
Produces a variety of marketing materials (e.g. pitch books, deal books, covers, templates, infographics, etc.) using MS Office and Adobe applications to an advanced level
Assists with the production of creative PPT pitch books and offers conceptual and visual solutions to enhance client materials including motion graphics
Traces and produces logos, maps and illustrations
Liaises directly with workflow staff and clients to determine deadlines, job instructions and design requirements
Completes related admin for accurate work billing and job tracking purposes
Assists with Intake coordination when required
Responsible for quality control of own work, as well as assisting colleagues with QC tasks
Buddies new starters post-training
Contributes to best production practices through internal initiatives and programs
Required Skills:
3-5 years or above of admin/operational support in a corporate, service-oriented environment, ideally in a financial institution – essential
Advanced knowledge of industry standard graphic design applications – essential
 "
3,Collabera,Security Engineer,"Responsibilities:
• Develop DLP policies, response rules and allow/block lists based on business requirements.
• Identify policy tuning/enhancement opportunities to reduce false positives.
• Analyze, define and interpret business needs and issues by gathering, analyzing, documenting and validating the business requirements.
• Documents existing process in technical model format.
• Lead testing efforts by defining, developing and implementing practices and procedures for complete end user test plans.
• Facilitate the implementation of approved IS tools and identify/recommend new or improved security solutions or emerging technologies.
• Mitigate risk by analyzing the root cause of issues, impacts to business, and required corrective actions and develop security solutions.
• Ensure IS compliance and seek opportunities to enhance the efficiency of IS policies and procedures.
 Qualifications:
• 6-10 years of relevant experience.
• Strong knowledge of Symantec DLP policy development.
• Additional technical certifications are preferred (e.g., CompTIA Security+, CISA, CISSP, CISM).
• Demonstrated ability to research and apply current information regarding data leakage protection.
• Consistently demonstrates clear and concise written and verbal communication.
• Proven influencing and relationship management skills.
• Proven analytical skills.",https://collabera.com/job-description/?post=328283,"Responsibilities:
• Develop DLP policies, response rules and allow/block lists based on business requirements.
• Identify policy tuning/enhancement opportunities to reduce false positives.
• Analyze, define and interpret business needs and issues by gathering, analyzing, documenting and validating the business requirements.
• Documents existing process in technical model format.
• Lead testing efforts by defining, developing and implementing practices and procedures for complete end user test plans.
• Facilitate the implementation of approved IS tools and identify/recommend new or improved security solutions or emerging technologies.
• Mitigate risk by analyzing the root cause of issues, impacts to business, and required corrective actions and develop security solutions.
• Ensure IS compliance and seek opportunities to enhance the efficiency of IS policies and procedures.
 Qualifications:
• 6-10 years of relevant experience.
• Strong knowledge of Symantec DLP policy development.
• Additional technical certifications are preferred (e.g., CompTIA Security+, CISA, CISSP, CISM).
• Demonstrated ability to research and apply current information regarding data leakage protection.
• Consistently demonstrates clear and concise written and verbal communication.
• Proven influencing and relationship management skills.
• Proven analytical skills."
4,Collabera,Java Developer,"Responsibilities:
·         Conduct tasks related to feasibility studies, time and cost estimates, IT planning, risk technology, applications development, model development, and establish and implement new or revised applications systems and programs to meet specific business needs or user areas
·         Monitor and control all phases of development process and analysis, design, construction, testing, and implementation as well as provide user and operational support on applications to business users
·         Utilize in-depth specialty knowledge of applications development to analyze complex problems/issues, provide evaluation of business process, system process, and industry standards, and make evaluative judgement
·         Recommend and develop security measures in post implementation analysis of business usage to ensure successful system design and functionality
·         Consult with users/clients and other technology groups on issues, recommend advanced programming solutions, and install and assist customer exposure systems
·         Ensure essential procedures are followed and help define operating standards and processes
·         Serve as advisor or coach to new or lower level analysts
·         Has the ability to operate with a limited level of direct supervision.
·         Can exercise independence of judgement and autonomy.
·         Acts as SME to senior stakeholders and /or other team members.
Required Skills:
·         5-8 years of relevant experience
·         Experience in systems analysis and programming of software applications
·         Experience in managing and implementing successful projects
·         Working knowledge of consulting/project management techniques/methods
·         Ability to work under pressure and manage deadlines or unexpected changes in expectations or requirements
·         5- years of Java development experience
·         Proficiency in Java 8+, Spring Framework w/ Spring Boot (2.x+),
·         Experience with SQL and RDBMS (preferred SQL Server and/or Oracle)
·         Proficiency in Java EE preferably Oracle WebLogic 12.x
·         Familiarity with DevOps technologies such as Jenkins,TeamCity, uDeploy, Docker, Openshift, and Kubernetes
·         Excellent grasp of Object Oriented Design
·         Expert level understanding of Data Structures and Algorithms
·         Familiarity with Linux environment including scripting skills
·         Familiar with standard SDLC and Agile processes
·         Ability to have clear and concise written and verbal communication, work with minimal supervision, go above and beyond assigned tasks, and take decisions and escalate issues when necessary
·         Grasp of Concurrent programming concepts
·         Experience in one of the middleware technologies such as RabbitMQ, Kafka, TibcoEMS, etc.
 ",https://collabera.com/job-description/?post=328282,"Responsibilities:
·         Conduct tasks related to feasibility studies, time and cost estimates, IT planning, risk technology, applications development, model development, and establish and implement new or revised applications systems and programs to meet specific business needs or user areas
·         Monitor and control all phases of development process and analysis, design, construction, testing, and implementation as well as provide user and operational support on applications to business users
·         Utilize in-depth specialty knowledge of applications development to analyze complex problems/issues, provide evaluation of business process, system process, and industry standards, and make evaluative judgement
·         Recommend and develop security measures in post implementation analysis of business usage to ensure successful system design and functionality
·         Consult with users/clients and other technology groups on issues, recommend advanced programming solutions, and install and assist customer exposure systems
·         Ensure essential procedures are followed and help define operating standards and processes
·         Serve as advisor or coach to new or lower level analysts
·         Has the ability to operate with a limited level of direct supervision.
·         Can exercise independence of judgement and autonomy.
·         Acts as SME to senior stakeholders and /or other team members.
Required Skills:
·         5-8 years of relevant experience
·         Experience in systems analysis and programming of software applications
·         Experience in managing and implementing successful projects
·         Working knowledge of consulting/project management techniques/methods
·         Ability to work under pressure and manage deadlines or unexpected changes in expectations or requirements
·         5- years of Java development experience
·         Proficiency in Java 8+, Spring Framework w/ Spring Boot (2.x+),
·         Experience with SQL and RDBMS (preferred SQL Server and/or Oracle)
·         Proficiency in Java EE preferably Oracle WebLogic 12.x
·         Familiarity with DevOps technologies such as Jenkins,TeamCity, uDeploy, Docker, Openshift, and Kubernetes
·         Excellent grasp of Object Oriented Design
·         Expert level understanding of Data Structures and Algorithms
·         Familiarity with Linux environment including scripting skills
·         Familiar with standard SDLC and Agile processes
·         Ability to have clear and concise written and verbal communication, work with minimal supervision, go above and beyond assigned tasks, and take decisions and escalate issues when necessary
·         Grasp of Concurrent programming concepts
·         Experience in one of the middleware technologies such as RabbitMQ, Kafka, TibcoEMS, etc.
 "
5,Collabera,Java Developer," Job Description: 
Candidate should have strong programming experience with JavaScript, NodeJS, Asp.Net / Webapi , . python, Net Core, Java, Agile
Ideally, they would have working knowledge Angular 6+, HTML5, CSS
Tools like Swagger are highly desired
Should be very well versed with Angular Web Components and PWA architecture
Should be very well versed with CSS concepts like flexbox, grid and frameworks like bootstrap for responsive design and theming
Should have working knowledge of GIT or any similar source code repositories.
Should have working knowledge of Continuous build and deployment strategy using Jenkins and Ansible
Soft skills like Teamwork, Communication Skills, Problem Solving Skills etc.
Primary Skill:
CSS
Required Skills:
Angular and java
 ",https://collabera.com/job-description/?post=326629," Job Description: 
Candidate should have strong programming experience with JavaScript, NodeJS, Asp.Net / Webapi , . python, Net Core, Java, Agile
Ideally, they would have working knowledge Angular 6+, HTML5, CSS
Tools like Swagger are highly desired
Should be very well versed with Angular Web Components and PWA architecture
Should be very well versed with CSS concepts like flexbox, grid and frameworks like bootstrap for responsive design and theming
Should have working knowledge of GIT or any similar source code repositories.
Should have working knowledge of Continuous build and deployment strategy using Jenkins and Ansible
Soft skills like Teamwork, Communication Skills, Problem Solving Skills etc.
Primary Skill:
CSS
Required Skills:
Angular and java
 "
6,Collabera,Java Developer,"Job Description:
Responsible for providing leadership, technical direction, and oversight to a team as they deliver technology solutions.
Develops solutions and processes for delivering features based on their knowledge of design/architectural patterns and Agile/DevOps practices.
Ensures the systems design and requirements are aligned to achieve the desired business outcomes, and that team practices and coding/quality principles are aligned to achieve the desired technology outcomes.
They have built significant experience through multiple software implementations and has developed both depth and breadth in a number of technical competencies.
Designs and develops and is accountable for feature delivery. Applies enterprise standards for solution design, coding and quality.
Ensures solution meets product acceptance criteria with minimal technical debt. Responsible for compliance and security items and audit support at the team level.
Acts as a liaison for production activities/issues.
Works with Product Owner to ensure that product backlog/requirements are healthy, with clear acceptance criteria.
Guides the team on work breakdown and execution. Plays a team lead role (as an individual contributor) and mentors the team.
Guides team members with skills and practices (planning & estimation, peer reviews and other engineering practices).
Identifies skill and role gaps, and works with Technology Manager to address them.
Works with Technology Manager in creating resource contingency plans where required. Individual contributor.
Excellent communication skills, both written and verbal. Demonstrable contribution to strategic application design.
Primary Skill:
Core Java
Secondary Skill:
Oracle SQL / PLSQL
Required Skills:
7+ years of experience in Java/J2EE web application development; Java, Oracle(SQL/PL/SQL), RedHat Linux, JIRA
Desired Skills:
Automation Experience",https://collabera.com/job-description/?post=326727,"Job Description:
Responsible for providing leadership, technical direction, and oversight to a team as they deliver technology solutions.
Develops solutions and processes for delivering features based on their knowledge of design/architectural patterns and Agile/DevOps practices.
Ensures the systems design and requirements are aligned to achieve the desired business outcomes, and that team practices and coding/quality principles are aligned to achieve the desired technology outcomes.
They have built significant experience through multiple software implementations and has developed both depth and breadth in a number of technical competencies.
Designs and develops and is accountable for feature delivery. Applies enterprise standards for solution design, coding and quality.
Ensures solution meets product acceptance criteria with minimal technical debt. Responsible for compliance and security items and audit support at the team level.
Acts as a liaison for production activities/issues.
Works with Product Owner to ensure that product backlog/requirements are healthy, with clear acceptance criteria.
Guides the team on work breakdown and execution. Plays a team lead role (as an individual contributor) and mentors the team.
Guides team members with skills and practices (planning & estimation, peer reviews and other engineering practices).
Identifies skill and role gaps, and works with Technology Manager to address them.
Works with Technology Manager in creating resource contingency plans where required. Individual contributor.
Excellent communication skills, both written and verbal. Demonstrable contribution to strategic application design.
Primary Skill:
Core Java
Secondary Skill:
Oracle SQL / PLSQL
Required Skills:
7+ years of experience in Java/J2EE web application development; Java, Oracle(SQL/PL/SQL), RedHat Linux, JIRA
Desired Skills:
Automation Experience"
7,Collabera,Java Developer,"Job Description:
7+ year Java development experience, 5+ year API development
Understanding of software and/or application lifecycle and the implementation of security principals throughout
Experience in building/managing Java applications
Solid experience with DevOps and CI/CD tools, such as GIT, Maven, SonarQube, Jenkings, Artifactory, Ansible, JIRA, etc.
Good experience with configuring and tuning application containers such as Weblogic, WebSphere, JBOSS, Tomcat, MuleSoft
Understanding of complex environments, their sub-components, concepts, and interactions
Good understanding of large networks and systems and the interaction between applications, infrastructures, etc.
A broad knowledge of information security principles
Ability to work independently on initiatives with little oversight
Strong analytical skills/problem solving/conceptual thinking; out-of-the-box thinkers
Ability to identify, analyze, and address problems to resolve issues in a way that minimizes negative impact and risk to the organization
Ability to be comfortable delivering messages across a wide spectrum of individuals having varying degrees of technical understanding
Strong leadership skills and qualities which enable you to work with peers and various levels of management
Effective oral and written communication skills and motivation/willingness to learn
Primary Skill:
Core Java
Secondary Skill:
Spring boot
Desired Skills:
MemSQL/Singlestore, DB2, Kafka ,MQ
Experience with Identity and Access Management products and technologies, such as Ping Identity, OAuth, OIDC, LDAP",https://collabera.com/job-description/?post=327934,"Job Description:
7+ year Java development experience, 5+ year API development
Understanding of software and/or application lifecycle and the implementation of security principals throughout
Experience in building/managing Java applications
Solid experience with DevOps and CI/CD tools, such as GIT, Maven, SonarQube, Jenkings, Artifactory, Ansible, JIRA, etc.
Good experience with configuring and tuning application containers such as Weblogic, WebSphere, JBOSS, Tomcat, MuleSoft
Understanding of complex environments, their sub-components, concepts, and interactions
Good understanding of large networks and systems and the interaction between applications, infrastructures, etc.
A broad knowledge of information security principles
Ability to work independently on initiatives with little oversight
Strong analytical skills/problem solving/conceptual thinking; out-of-the-box thinkers
Ability to identify, analyze, and address problems to resolve issues in a way that minimizes negative impact and risk to the organization
Ability to be comfortable delivering messages across a wide spectrum of individuals having varying degrees of technical understanding
Strong leadership skills and qualities which enable you to work with peers and various levels of management
Effective oral and written communication skills and motivation/willingness to learn
Primary Skill:
Core Java
Secondary Skill:
Spring boot
Desired Skills:
MemSQL/Singlestore, DB2, Kafka ,MQ
Experience with Identity and Access Management products and technologies, such as Ping Identity, OAuth, OIDC, LDAP"
8,Collabera,Python Developer,"Job Description:
Bachelor's degree in Computer Science, Engineering, or related discipline; MS is a plus.
3+ years of programming experience using Python
5+ Years of IT experience with 3+ Years of relevant experience in developing ETL solutions in Hadoop & RDBMS technologies. Well versed with efficiently transferring bulk data between heterogenous data sources (Hadoop, RDBMS etc.)
Good programming knowledge with Hadoop, HIVE, Spark, Unix, Shell Scripting, Relational Databases.
Strong SQL writing background with RDBMS (SQL SERVER/Oracle) and Hadoop (Hive/Spark/Impala etc.)
Proficiency in writing and optimizing complex SQL queries.
Good understanding of agile development and continuous integration. Ability to quickly adapt to changing requirements.
Strong analytical ability, detail-oriented, independent problem solving, and excellent written and verbal communication.
Proficiency in technical documentation, requirement analysis and user guidelines.?
Desired Skills:
Python development experience",https://collabera.com/job-description/?post=326738,"Job Description:
Bachelor's degree in Computer Science, Engineering, or related discipline; MS is a plus.
3+ years of programming experience using Python
5+ Years of IT experience with 3+ Years of relevant experience in developing ETL solutions in Hadoop & RDBMS technologies. Well versed with efficiently transferring bulk data between heterogenous data sources (Hadoop, RDBMS etc.)
Good programming knowledge with Hadoop, HIVE, Spark, Unix, Shell Scripting, Relational Databases.
Strong SQL writing background with RDBMS (SQL SERVER/Oracle) and Hadoop (Hive/Spark/Impala etc.)
Proficiency in writing and optimizing complex SQL queries.
Good understanding of agile development and continuous integration. Ability to quickly adapt to changing requirements.
Strong analytical ability, detail-oriented, independent problem solving, and excellent written and verbal communication.
Proficiency in technical documentation, requirement analysis and user guidelines.?
Desired Skills:
Python development experience"
9,Collabera,IOS Developer,"Job Description:
To ensure success as a Mobile development Engineer, you should have a strong working knowledge of iOS and or Android Frameworks, be proficient in Objective-C, Swift & Swift UI and be able to work as part of a team.
Typically requires minimum of 5-7years of experience. Must have a bachelor’s degree or equivalent degree is required
Required Skills:
Bachelor’s degree in computer science or software engineering.
Designing and building native mobile applications for Apple’s iOS platform or next generation android mobile applications
Hands on development of Android/IOS applications is required
Solid understanding of Object-Oriented Programming concepts
Good knowledge of Data structures and Algorithms
Proficient in Objective-C, Swift, Swift UI or Kotlin
Extensive experience with iOS Frameworks and integrating vendor app SDK’s.
Knowledge of iOS back-end services.
Knowledge of Apple’s design principles and application interface guidelines.
Proficient in code versioning tools including Git, Bitbucket.
Knowledge of C-based libraries.
Familiarity with Biometrics, push notifications, usage of Camera API’s, etc.
Must be familiar with one of the following languages - Java, Swift or Kotlin
Collaborating with the design team and feature lead to define app features.
Ensuring quality and performance of the application to specifications.
Identifying potential problems and resolving application bottlenecks.
Fixing application bugs before the final release.
Publishing application on App Store.
Maintaining the code and atomization of the application.
Designing and implementing application updates.
Desired Skills:
Experience with continuous integration & Unit tests.
Ability to thrive in a fast-paced, team-based environment.
Strong written and verbal communication skills.
Strong focus on troubleshooting and issue resolution.",https://collabera.com/job-description/?post=327527,"Job Description:
To ensure success as a Mobile development Engineer, you should have a strong working knowledge of iOS and or Android Frameworks, be proficient in Objective-C, Swift & Swift UI and be able to work as part of a team.
Typically requires minimum of 5-7years of experience. Must have a bachelor’s degree or equivalent degree is required
Required Skills:
Bachelor’s degree in computer science or software engineering.
Designing and building native mobile applications for Apple’s iOS platform or next generation android mobile applications
Hands on development of Android/IOS applications is required
Solid understanding of Object-Oriented Programming concepts
Good knowledge of Data structures and Algorithms
Proficient in Objective-C, Swift, Swift UI or Kotlin
Extensive experience with iOS Frameworks and integrating vendor app SDK’s.
Knowledge of iOS back-end services.
Knowledge of Apple’s design principles and application interface guidelines.
Proficient in code versioning tools including Git, Bitbucket.
Knowledge of C-based libraries.
Familiarity with Biometrics, push notifications, usage of Camera API’s, etc.
Must be familiar with one of the following languages - Java, Swift or Kotlin
Collaborating with the design team and feature lead to define app features.
Ensuring quality and performance of the application to specifications.
Identifying potential problems and resolving application bottlenecks.
Fixing application bugs before the final release.
Publishing application on App Store.
Maintaining the code and atomization of the application.
Designing and implementing application updates.
Desired Skills:
Experience with continuous integration & Unit tests.
Ability to thrive in a fast-paced, team-based environment.
Strong written and verbal communication skills.
Strong focus on troubleshooting and issue resolution."
