,CATEGORY,COMPANY,TITLE,QUALIFICATIONS
0,Data Scientist/Data Analyst,Deloitte, Data Science Program Manager – S&A Strategy ,"Masters or Ph.D. in STEM field or equivalent experience (Computer Science, Engineering, Mathematics. Physics, Statistics, etc.)6+ years’ experience managing and delivering complex and technical projects, preferably in the data science space2+ years’ experience crafting the strategic direction of technical programs within domain specific industriesPrevious experience in a technical role such as a data scientist, solutions architect, machine learning engineer, AI consultant, etc.Strong technical capability and understanding of code deliveryLive within commuting distance to one of Deloitte’s consulting officesAbility to travel 10%, on average, based on the work you do and the clients and industries/sectors you serveLimited immigration sponsorship may be available"
1,Data Scientist/Data Analyst,Deloitte, Life Sciences - AI & Data Engineering Senior Manager ,"Master’s level degree in Business/Management highly preferredMinimum 8+ years of experience in Life Sciences in a consulting or industry practitioner role involving client interaction, identifying client's priority needs for service and supportStrong understanding of the Life Sciences commercial/R&D/Supply chain domain’s challenges and opportunitiesStrong understanding of various types of dataset used across LS business functionsExcellent verbal and written communication skills with experience making presentations to clients, executives and technical teamStrong experience in client relationship management and pre-sales support, building deep client relationships and identifying client's priority needs for service and supportThe ability to manage teams of consultants and work with cross functional and client facing teams within an on/off-shore model.Excellent verbal and written communication skills with experience making presentations to clients, executives and technical team.Experience in project management activities: project plans and estimates, scoping and requirements through implementation, including ensuring delivery of quality outcomes within timelines and budgetsLimited immigration sponsorship may be available.Ability to travel 50%, on average, based on the work you do and the clients and industries/sectors you serve."
2,Data Scientist/Data Analyst,Deloitte, Life Sciences Specialist Master - AI & Data Engineering ,"Master’s level degree in Business/Management highly preferredMinimum 6+ years of experience in Life Sciences in a consulting or industry practitioner role involving client interaction, identifying client's priority needs for service and supportStrong understanding of the Life Sciences commercial/R&D/Supply chain domain’s challenges and opportunitiesStrong understanding of various types of dataset used across LS business functionsExcellent verbal and written communication skills with experience making presentations to clients, executives and technical teamStrong experience in client relationship management and pre-sales support, building deep client relationships and identifying client's priority needs for service and supportThe ability to manage teams of consultants and work with cross functional and client facing teams within an on/off-shore model.Excellent verbal and written communication skills with experience making presentations to clients, executives and technical team.Experience in project management activities: project plans and estimates, scoping and requirements through implementation, including ensuring delivery of quality outcomes within timelines and budgetsLimited immigration sponsorship may be available.Ability to travel 50%, on average, based on the work you do and the clients and industries/sectors you serve."
3,Data Scientist/Data Analyst,Deloitte, Life Sciences Senior Manager - Data Analytics & Cognitive ,"8+ years of relevant data management and/or cloud analytics (AWS, GCP, Azure) consulting or industry experience (master data, metadata, data architecture, data governance, data quality, data modeling) 4+ years of experience leading and managing data delivery project teams through all phases of the project lifecycle from scoping and planning, requirements gathering, design, development, testing, and go live. Significant experience leading complex data management engagements and team sizes ranging from 5 to 20 resources Bachelor’s Degree or equivalent professional experience Travel up to 50% (While 50% of travel is a requirement of the role, due to COVID-19, non-essential travel has been suspended until further notice.) Limited sponsorship may be available "
4,Data Scientist/Data Analyst,Deloitte, Data Science Sr. Manager - TS/SCI w/ Poly Clearance Required ," Bachelor’s degree required Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future Active TS/SCI w/ Poly security clearance required 80-100% Onsite SCIF requirement8+ years experience implementing supervised and unsupervised machine learning algorithms. 8+ years experience with data cleaning and ETL scripts. 8+ years experience executing data science methodologies using common programming/scripting languages, such as Python, Java, Scala, and R. "
5,Data Scientist/Data Analyst,Deloitte, Data Science Consultant - TS/SCI w/ Poly Clearance Required ," Bachelor’s degree required Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future Active TS/SCI w/ Poly security clearance required 80-100% Onsite SCIF requirement2+ years experience implementing supervised and unsupervised machine learning algorithms. 2+ years experience with data cleaning and ETL scripts. 2+ years experience executing data science methodologies using common programming/scripting languages, such as Python, Java, Scala, and R. "
6,Data Scientist/Data Analyst,Deloitte, Data Science Manager - TS/SCI w/ Poly Clearance Required ," Bachelor’s degree required Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future Active TS/SCI w/ Poly security clearance required 80-100% Onsite SCIF requirement8+ years experience implementing supervised and unsupervised machine learning algorithms. 8+ years experience with data cleaning and ETL scripts. 8+ years experience executing data science methodologies using common programming/scripting languages, such as Python, Java, Scala, and R. "
7,Data Scientist/Data Analyst,Deloitte, Data Science Senior Consultant - TS/SCI w/ Poly Clearance Required ," Bachelor’s degree required Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future Active TS/SCI w/ Poly security clearance required 80-100% Onsite SCIF requirement5+ years experience implementing supervised and unsupervised machine learning algorithms. 5+ years experience with data cleaning and ETL scripts. 5+ years experience executing data science methodologies using common programming/scripting languages, such as Python, Java, Scala, and R. "
8,Data Scientist/Data Analyst,Deloitte, AI Foundry Senior Consultant - Managed AI ,"4+ years of relevant work experience1+ years of experience leading and managing project teams that are globally dispersed 2+ years of experience on AI projects2+ years of experience in one or more of our focus industry sectors (Life Sciences, Banking, Consumer)Bachelor's Degree in applied mathematics, statistics, computer science, data science, electrical engineering, physics, or closely related fieldAbility to travel up to 50%, on average, based on the work you do and the clients and industries/sectors you serveLimited immigration sponsorship may be available."
9,Data Scientist/Data Analyst,Deloitte, BioInformatics Data Scientist ,"Masters degree in Biomedical Sciences, Computer Science, Engineering, Mathematics or other health-related fieldAbility to obtain and maintain a Public Trust Security clearance2+ years of experience with in the field of Biological and Biomedical Sciences2+ years of experience with analysis packages and programming languages such as R, Python, SPSS, SQL, and SAS2+ years of experience with scientific research methods as applied to quantitative data analysisMust be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future "
10,Data Scientist/Data Analyst,Deloitte, Data Engineering Manager – S&A Strategy ," Bachelor's degree in a STEM field or equivalent experience (Data Science, Computer Science, Engineering, Physics, Mathematics, etc.); Master’s degree is preferred 6+ years’ experience in data engineering, software engineering, MLOps, or data science Strong management skills with experience managing teams and delivering complex and critical projects Expert programming skills in Linux Shell/CLI, Python, Powershell, etc Experience with enabling modern deep learning software architectures and frameworks including Tensorflow, PyTorch or other frameworks Experience managing Docker, Kubernetes, Spark, Dask, Flask, and CI/CD services Experience with provisioning and configuration management tools; Puppet, Ansible, Chef, Airflow, Terraform, Jenkins etc. Experience with Databases (relational and NoSQL) and data warehousing Experience with deployment and optimization–Kubernetes, Docker, NVIDIA TensorRT/Triton, RAPIDs, Kubeflow, MLflow etc. Proficient of the various services and capabilities of computing platforms (AWS/Azure/GCP and Nvidia suite), specifically EC2, EBS, ELB, RDS, S3, Redshift, Lambda, etc Experience with workflow and data management solutions such as Airflow, Kafka, Glue, etc. Limited immigration sponsorship may be available Ability to travel 10%, on average, based on the work you do and the clients and industries/sectors you serve Live within commuting distance to one of Deloitte’s consulting offices "
