,CATEGORY,COMPANY,TITLE,QUALIFICATIONS
0,Data Scientist/Data Analyst,Google," AI Engineer, Professional Services, Google Cloud ","Bachelor's degree in Computer Science, Mathematics, a related technical field, or equivalent practical experience.5 years of experience working with recommendation engines, data pipelines, or distributed Machine Learning. Experience in coding languages (such as Python, Scala, Java, Go, or similar), data structures, algorithms, and software design.Experience working with technical customers.. Experience in learning frameworks (such as l, Torch, Caffe, Theano).Experience in technical consulting.Understanding of the auxiliary practical concerns in production ML systems.Knowledge of data warehousing concepts, including data warehouse technical architectures, infrastructure components, ETL/ ELT and reporting/analytic tools, and environments (such as Apache Beam, Hadoop, Spark, Pig, Hive, MapReduce, Flume)."
1,Data Scientist/Data Analyst,Google," Data Scientist, Business and Marketing ","Bachelor's degree in Computer Science or equivalent practical experience.8 years of experience in data science, data analysis, and/or a related field.Experience working with web technologies (e.g., HTML, CSS, JavaScript, and HTTP).Experience in customer-facing, translating technical concepts and solutions to non-technical and executive audiences.. Master's degree in Statistics, Computer Science, Engineering, Mathematics, or a related field.2 years of experience in coding using a general purpose programming language.Experience in big data and cloud platforms to deploy large-scale data science solutions.Experience in SQL, R, Python, Marketing Analytics, Software Development.Understanding of media and the statistical algorithms typically used in marketing analytics."
2,Data Scientist/Data Analyst,Google," Data Analytics Consultant, Cloud Financial Operations, Professional Services ","Bachelor's degree in Computer Science, Mathematics, a related technical field or equivalent practical experience.6 years of experience with data modeling, data visualization, and building dashboards.Experience manipulating datasets (e.g., SQL, Google BigQuery or ETL tools).. Master’s degree in Computer Science, a related technical field or equivalent practical experience.Experience in big data, information retrieval, data mining or machine learning.Experiences in building multi-tier high availability applications with modern web technologies (e.g., NoSQL, MongoDB, SparkML, Tensorflow).Experience implementing BI tools including Tableau, Qlik, and Power BI.Experience in working with/on data warehouses, including data warehouse technical architectures, infrastructure components, ETL/ ELT and reporting/analytic tools and environments, data structures."
3,Data Scientist/Data Analyst,Google," Research Scientist, Google Research ","PhD degree in Computer Science, a related field, or equivalent practical experience. One or more scientific publication submission(s) for conferences, journals, or public repositories.. 2 years of coding experience. 1 year of experience owning and initiating research agendas."
4,Data Scientist/Data Analyst,Google," Research Scientist, Multi Modal Video Understanding ","PhD degree in Computer Science, a related technical field, or equivalent practical experience.Experience working with Python or C++.Experience in computer vision, machine learning, and deep learning.. Experience in multi-modal video understanding, generating a description of a long video (e.g., movie, YouTube video, news report) based on multiple modalities.Experience in learning from weak labels and self-supervised learning.Track record of publications at AI conferences (ICCV, CVPR, ECCV, ICLR, NeurIPS, and others)."
5,Data Scientist/Data Analyst,Google," Technical Solutions Engineer, Big Data, Google Cloud ","Bachelor's degree in the field of Science, Technology, Engineering, Math or equivalent practical experience. Experience in reading or debugging code in one or more of the following: Java, C, C++, Python, Shell, Perl, JavaScript.Experience in advocating for customer needs.. Experience with distributed, columnar and/or analytic-oriented databases or distributed data processing frameworks.Experience with open-source distributed storage and processing utilities in the Apache Hadoop family and/or workflow orchestration products.Experience with machine learning technologies, including developing and/or training models or implementing solutions that rely on invoking such models.Experience in data analytics, warehousing, ETL development, data science or other Big Data applications.Understanding of basic web technologies and TCP/IP concepts, Unix/Linux basic administration and commands.Excellent troubleshooting, attention to detail, and communication skills in a fast-paced setting."
6,Data Scientist/Data Analyst,Google," Research Scientist, Visual Computing and Digital Humans ","PhD in Computer Vision, Computer Graphics, Machine Learning, related disciplines, or equivalent practical experience.Experience in C++ or Python programming languages.Publications in conferences such as CVPR, SIGGRAPH, NeurIPS, ECCV, ICCV, ICML, etc.. Experience in digital humans.Experience in deploying research into production.Experience in leading research projects and teams."
7,Data Scientist/Data Analyst,Google," Software Engineer III, Machine Learning, Search ","Bachelor’s degree or equivalent practical experience.2 years of experience with software development in one or more programming languages, or 1 year of experience with an advanced degree.2 years of experience with data structures or algorithms in either an academic or industry setting.. Master's degree or PhD in Computer Science or related technical field.2 years of experience with machine learning algorithms and tools (e.g., TensorFlow), artificial intelligence, deep learning and/or natural language processing.Experience developing accessible technologies."
8,Data Scientist/Data Analyst,Google," Software Engineer, People with Disabilities (장애인 채용) ","Bachelor's degree in Computer Science, similar technical field, or equivalent practical experience.Software development experience in one general purpose programming languages.Experience in two of the following: web/mobile development, Unix/Linux environments, distributed/parallel systems, machine learning, information retrieval, natural language processing, networking, developing software systems, security software development.. Master’s or PhD degree in Engineering, Computer Science, or other technical related field.Experience with Frontend or Fullstack in one or more general purpose programming languages, including but not limited to: C++, Java, C and Python.Experience in a variety of projects utilizing natural language processing, artificial intelligence, data compression, machine learning, and search technologies.Excellent written and verbal communication skills."
9,Data Scientist/Data Analyst,Google," Software Engineer III, Machine Learning, Google Cloud Platform AI and Industry Solutions ","Bachelor’s degree or equivalent practical experience.2 years of experience with software development in one or more programming languages, or 1 year of experience with an advanced degree.2 years of experience with data structures or algorithms in either an academic or industry setting.. Master's degree or PhD in Computer Science or related technical field.2 years of experience with machine learning algorithms and tools (e.g., TensorFlow), artificial intelligence, deep learning and/or natural language processing.Experience developing accessible technologies."
10,Data Scientist/Data Analyst,Google," Cloud Data Engineer, Professional Services, Google Cloud ","Bachelor's degree in Computer Science, Mathematics, related technical field, or equivalent practical experience.Experience with data processing software (e.g., Hadoop, Spark, Pig, Hive) and algorithms (e.g., MapReduce, Flume).Experience coding in one or more languages: Java, C++, Python, Go, JavaScript.Experience managing client-facing projects, troubleshooting technical issues, working with Engineering, Sales, Services, and customers.. Experience working with data warehouses, including data warehouse technical architectures, infrastructure components, ETL/ELT, and reporting/analytic tools and environments.Experience in technical consulting.Experience working with Big Data, information retrieval, data mining, or machine learning.Experience in building multi-tier high availability applications with modern web technologies (e.g., NoSQL, MongoDB, SparkML, TensorFlow).Experience architecting, developing software, or internet scale production-grade Big Data solutions in virtualized environments."
11,Data Scientist/Data Analyst,Google," Senior Software Engineer, Machine Learning, Technology and Society ","Bachelor’s degree or equivalent practical experience.1 year of experience in software design and architecture.3 years of experience with machine learning algorithms and tools (e.g., TensorFlow), artificial intelligence, deep learning, or natural language processing.. Master's degree or PhD in Computer Science, or a related technical field.1 year of experience working in a complex, matrixed organization involving cross-functional, and/or cross-business projects.1 year of experience in a technical leadership role."
12,Data Scientist/Data Analyst,Google," Senior Staff Software Engineer, Machine Learning, Core ","Bachelor's degree or equivalent practical experience.8 years of experience in software development, and with data structures/algorithms.5 years of experience with design and architecture; and testing/launching software products.7 years of experience with machine learning algorithms and tools (e.g., TensorFlow), artificial intelligence, deep learning and/or natural language processing.. Master’s degree or PhD in Engineering, Computer Science, or a related technical field.5 years of experience in a technical leadership role leading project teams and setting technical direction.3 years of experience working in a complex, matrixed organization involving cross-functional, and/or cross-business projects."
13,Data Scientist/Data Analyst,Google," Staff Software Engineer, Machine Learning, Google Cloud Platforms ","Bachelor's degree or equivalent practical experience. 8 years of experience in software development, and with data structures/algorithms.5 years of experience testing, and launching software products, and 3 years of experience with software design and architecture. 5 years of experience with machine learning algorithms and tools (e.g., TensorFlow), artificial intelligence, deep learning, and/or natural language processing.. Master’s degree or PhD in Engineering, Computer Science, or a related technical field. 3 years of experience in a technical leadership role leading project teams and setting technical direction. 3 years of experience working in a complex, matrixed organization involving cross-functional, and/or cross-business projects."
