,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,Infosys,"Oracle Functional Consultant - ORMB - Chicago, IL / Dallas, TX","bachelor's degree or foreign equivalent required from an accredited institution. will also consider three years of progressive experience in the specialty in lieu of every year of education 8+ years of experience implementing microsoft d365 fo / ax2012 experience with the microsoft d365 fo supply chain module 4-5 full lifecycle implementations with microsoft d365 fo understand client businesses and gather requirements for project needs and gap analysis successful implementation of practical business solutions using industry best practices facilitate the implementation and support of dynamics 365 supply chain module focusing on areas such as production control, master planning and product information management, etc. experience in other functional areas such as advance warehouse / warehouse management is a strong plus design, configuration, and testing of core dynamics 365/ax supply chain modules experience of handling data migration experience of handling phased cutover implementations along with cutover planning convert requirements to functional specs and well-written functional design documents drive conference room pilot (crp) and other system walkthrough presentations showcasing microsoft d365 fo’s capabilities supporting customer requirements. help customers appreciate out-of-the-box system capabilities and advise how to best utilize standard solution with creative configuration. prepare business process discovery documents prepare functional specification for customizations required for dynamics 365 erp implementations prepare user manuals and training documentation provide pre-go live and post go live end user support willingness to work in an onsite-offshore global delivery model good written and verbal communication skills willingness to travel or relocate to work from client office as per business need participate in design and architecture sessions with clients and guide consultants on capturing and documenting project requirements effectively. strong client interfacing and articulation skills on business value delivery, acting as a primary liaison and contact accountable to customers to ensure that expectations are properly set, met, or exceeded strong customer focus and confidence in making critical decisions independently in a fast paced and demanding environment strong analytical and problem-solving skills ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1925896,"bachelor's degree or foreign equivalent required from an accredited institution. will also consider three years of progressive experience in the specialty in lieu of every year of education 8+ years of experience implementing microsoft d365 fo / ax2012 experience with the microsoft d365 fo supply chain module 4-5 full lifecycle implementations with microsoft d365 fo understand client businesses and gather requirements for project needs and gap analysis successful implementation of practical business solutions using industry best practices facilitate the implementation and support of dynamics 365 supply chain module focusing on areas such as production control, master planning and product information management, etc. experience in other functional areas such as advance warehouse / warehouse management is a strong plus design, configuration, and testing of core dynamics 365/ax supply chain modules experience of handling data migration experience of handling phased cutover implementations along with cutover planning convert requirements to functional specs and well-written functional design documents drive conference room pilot (crp) and other system walkthrough presentations showcasing microsoft d365 fo’s capabilities supporting customer requirements. help customers appreciate out-of-the-box system capabilities and advise how to best utilize standard solution with creative configuration. prepare business process discovery documents prepare functional specification for customizations required for dynamics 365 erp implementations prepare user manuals and training documentation provide pre-go live and post go live end user support willingness to work in an onsite-offshore global delivery model good written and verbal communication skills willingness to travel or relocate to work from client office as per business need participate in design and architecture sessions with clients and guide consultants on capturing and documenting project requirements effectively. strong client interfacing and articulation skills on business value delivery, acting as a primary liaison and contact accountable to customers to ensure that expectations are properly set, met, or exceeded strong customer focus and confidence in making critical decisions independently in a fast paced and demanding environment strong analytical and problem-solving skills "
1,Infosys,D365 F&O SCM Consultant,"analyze federal and state regulations for medicaid programs. perform functional activities to support and maintain an integrated eligibility system. utilize knowledge of medicaid eligibility rules to analyze defects, perform root cause analysis, suggest solutions, and verify defect fixes. review assigned change request documentation and performed impact analysis. convert policy requirements into system requirements and functional design.  participate in reviews and walkthroughs of deliverables with the client. review test cases, scenarios, and conditions support users in user acceptance testing 4 or more years of experience with state medicaid eligibility systems operations and/or implementation as a functional consultant or equivalent positions like business analyst, process analyst, etc. functional knowledge of rules, regulations, policies, and procedures in medicaid. experience in translating federal and state policy requirements into functional requirements and functional designs or experience in reviewing functional requirements and/or functional designs of state eligibility systems for medicaid programs. along with experience in medicaid eligibility rules, basic knowledge of food and/or cash programs like snap and tanf is a plus. bachelor’s degree in engineering or foreign equivalent required. 4+ years of experience in medicaid eligibility systems excellent verbal and written skills proven ability to engage with clients on day-to-day work without supervision. ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1928431,"analyze federal and state regulations for medicaid programs. perform functional activities to support and maintain an integrated eligibility system. utilize knowledge of medicaid eligibility rules to analyze defects, perform root cause analysis, suggest solutions, and verify defect fixes. review assigned change request documentation and performed impact analysis. convert policy requirements into system requirements and functional design.  participate in reviews and walkthroughs of deliverables with the client. review test cases, scenarios, and conditions support users in user acceptance testing 4 or more years of experience with state medicaid eligibility systems operations and/or implementation as a functional consultant or equivalent positions like business analyst, process analyst, etc. functional knowledge of rules, regulations, policies, and procedures in medicaid. experience in translating federal and state policy requirements into functional requirements and functional designs or experience in reviewing functional requirements and/or functional designs of state eligibility systems for medicaid programs. along with experience in medicaid eligibility rules, basic knowledge of food and/or cash programs like snap and tanf is a plus. bachelor’s degree in engineering or foreign equivalent required. 4+ years of experience in medicaid eligibility systems excellent verbal and written skills proven ability to engage with clients on day-to-day work without supervision. "
2,Infosys,Medicaid Business Analyst,"bachelor’s degree or foreign equivalent required from an accredited institution. will also consider three years of progressive experience in the specialty in lieu of every year of education. at least 4 years of experience in aml development/ configuration/solutions evaluation/ validation and deployment/testing. sme for the aml which includes processes relating to kyc, sanctions, and aml screening. at least 5 years of experience in aml primary, sas aml product, configure rules in sas aml, xml. knowledge of sas architecture, design and data models, sas data management, and automation. experience in aml scenarios validation and test data preparation for alert generation process. experience in sas aml products. experience in configure rules in sas aml, xml. knowledge in sql knowledge, data integration. able to develop sas aml scenarios based on new requirements from compliance. ability to resolve issues with code implementations, logic and performance issues. collaborate with production team and vendors to deploy enhancements and new releases. customize sas alert generation process models to meet specific business requirements. identify issues with code implementation, logic, and performance issues and take corrective actions. collaborate with team members on sas architecture, design, development, and testing. coordinate with production team to deploy enhancements and new releases. experience with sas analytics and modeling is preferred. must be experienced in various software development lifecycle (sdlc) methodologies, including waterfall and agile. good analytical and communication skills with ability to collaborate with multiple teams. planning and co-ordination skills, interactions with stakeholders from line of business and technology. excellent time management skills and ability to work in a fast-paced environment. excellent stakeholder management skills. ability to work in a complex organizational matrix with different regions. good to have – experience working in fix protocol. knowledge of jira and hp qc. hands on experience on sas aml product. experience with project management. good to have experience in the areas of asset, trade settlements, oversight functions for the advisory offerings. ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1927170,"bachelor’s degree or foreign equivalent required from an accredited institution. will also consider three years of progressive experience in the specialty in lieu of every year of education. at least 4 years of experience in aml development/ configuration/solutions evaluation/ validation and deployment/testing. sme for the aml which includes processes relating to kyc, sanctions, and aml screening. at least 5 years of experience in aml primary, sas aml product, configure rules in sas aml, xml. knowledge of sas architecture, design and data models, sas data management, and automation. experience in aml scenarios validation and test data preparation for alert generation process. experience in sas aml products. experience in configure rules in sas aml, xml. knowledge in sql knowledge, data integration. able to develop sas aml scenarios based on new requirements from compliance. ability to resolve issues with code implementations, logic and performance issues. collaborate with production team and vendors to deploy enhancements and new releases. customize sas alert generation process models to meet specific business requirements. identify issues with code implementation, logic, and performance issues and take corrective actions. collaborate with team members on sas architecture, design, development, and testing. coordinate with production team to deploy enhancements and new releases. experience with sas analytics and modeling is preferred. must be experienced in various software development lifecycle (sdlc) methodologies, including waterfall and agile. good analytical and communication skills with ability to collaborate with multiple teams. planning and co-ordination skills, interactions with stakeholders from line of business and technology. excellent time management skills and ability to work in a fast-paced environment. excellent stakeholder management skills. ability to work in a complex organizational matrix with different regions. good to have – experience working in fix protocol. knowledge of jira and hp qc. hands on experience on sas aml product. experience with project management. good to have experience in the areas of asset, trade settlements, oversight functions for the advisory offerings. "
3,Infosys,Senior AML Consultant,"bachelor’s degree or foreign equivalent required from an accredited institution. will also consider three years of progressive experience in the specialty in lieu of every year of education. at least 4 years of experience in development i.e., linux, python programing language at least 4 years of experience in creating requirement specifications based on architecture/design /detailing of processes/user stories and mapping user stories.   at least 5 years of experience in capturing requirements related to internal/external consulting, documenting, and mapping current business process. experience in onetick with high freq market pricing experience in unix, python developer with onetick. experience in market data pricing/tick pricing experience agile methodologies, safe and kanban practices. experience in data analysis concepts and data mapping. excellent confluence documentation ability to work in a complex organizational matrix with different regions. good to have – experience working in fix protocol. knowledge of jira and hp qc at least 2 to 3 years of experience in development for python and linux. at least 3 to 5 years of experience in market data pricing/tick pricing experience experience with project management good to have experience in the areas of asset, trade settlements, oversight functions for the advisory offerings. ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1927166,"bachelor’s degree or foreign equivalent required from an accredited institution. will also consider three years of progressive experience in the specialty in lieu of every year of education. at least 4 years of experience in development i.e., linux, python programing language at least 4 years of experience in creating requirement specifications based on architecture/design /detailing of processes/user stories and mapping user stories.   at least 5 years of experience in capturing requirements related to internal/external consulting, documenting, and mapping current business process. experience in onetick with high freq market pricing experience in unix, python developer with onetick. experience in market data pricing/tick pricing experience agile methodologies, safe and kanban practices. experience in data analysis concepts and data mapping. excellent confluence documentation ability to work in a complex organizational matrix with different regions. good to have – experience working in fix protocol. knowledge of jira and hp qc at least 2 to 3 years of experience in development for python and linux. at least 3 to 5 years of experience in market data pricing/tick pricing experience experience with project management good to have experience in the areas of asset, trade settlements, oversight functions for the advisory offerings. "
4,Infosys,Senior RPA Developer,"candidate can work from any of the infosys office location. this position may require travel in the us and canada. bachelor’s degree or foreign equivalent, will consider work experience in lieu of a degree at least 4 years of experience with information technology  4 years of experience in cloudera admin & linux doing database maintenance, application security and database growth management. 4 years of experience in knowledge and hands-on experience in sql, python and etl concepts 4 years of experience in support responsibilities include data loading and assist clients with data management, data access, sql optimization, etl, data curation, and leverage business software for task automation. a familiarity with kerberos and active directory integration would be valuable. infra/admin support that requires est timezone and weekend support for some upgrades/critical troubleshoot. ability to communicate complex technology solutions to diverse teams namely, technical, business and management teams experience managing team size of 2-3 would be a plus excellent verbal and written communication skills experience and desire to work in a global delivery environment u.s. citizenship or permanent residency required, we are not able to sponsor at this time ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1927525,"candidate can work from any of the infosys office location. this position may require travel in the us and canada. bachelor’s degree or foreign equivalent, will consider work experience in lieu of a degree at least 4 years of experience with information technology  4 years of experience in cloudera admin & linux doing database maintenance, application security and database growth management. 4 years of experience in knowledge and hands-on experience in sql, python and etl concepts 4 years of experience in support responsibilities include data loading and assist clients with data management, data access, sql optimization, etl, data curation, and leverage business software for task automation. a familiarity with kerberos and active directory integration would be valuable. infra/admin support that requires est timezone and weekend support for some upgrades/critical troubleshoot. ability to communicate complex technology solutions to diverse teams namely, technical, business and management teams experience managing team size of 2-3 would be a plus excellent verbal and written communication skills experience and desire to work in a global delivery environment u.s. citizenship or permanent residency required, we are not able to sponsor at this time "
5,Infosys,Cloudera Admin Lead,"candidate can work from any of the infosys office location. this position may require travel in the us and canada. bachelor’s degree or foreign equivalent, will consider work experience in lieu of a degree at least 4 years of experience with information technology at least 3 years of experience on aws services like s3, athena, lambda, emr spark, aws glue  at least 1 year of experience in building pipeline using aws ecosystem and etl solid understanding of relational and dimensional data modeling  good python programming skills. experience on snowflake and data bricks is preferred good understanding of data integration, data quality , data models knowledge/implementation of streaming architectures is also desired (kafka, kinesis data streams, kinesis data analytics, emr) excellent verbal and written communication skills experience and desire to work in a global delivery environment u.s. citizenship or permanent residency required, we are not able to sponsor at this time ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1928399,"candidate can work from any of the infosys office location. this position may require travel in the us and canada. bachelor’s degree or foreign equivalent, will consider work experience in lieu of a degree at least 4 years of experience with information technology at least 3 years of experience on aws services like s3, athena, lambda, emr spark, aws glue  at least 1 year of experience in building pipeline using aws ecosystem and etl solid understanding of relational and dimensional data modeling  good python programming skills. experience on snowflake and data bricks is preferred good understanding of data integration, data quality , data models knowledge/implementation of streaming architectures is also desired (kafka, kinesis data streams, kinesis data analytics, emr) excellent verbal and written communication skills experience and desire to work in a global delivery environment u.s. citizenship or permanent residency required, we are not able to sponsor at this time "
6,Infosys,Oracle Revenue Management Billing Solution Architect,"candidate must be located within commuting distance of raleigh nc or be willing to relocate to the area. this position may require travel in the us and canada. bachelor’s degree or foreign equivalent, will consider work experience in lieu of a degree 7 years of information technology experience u.s. citizenship or permanent residency required, we are not able to sponsor at this time experience with oracle hcm cloud – compensation and talent management hands on experience in working on oracle global hr cloud for us knowledge of agile practices and ability to implement the project in agile mode experience and desire to work in a global delivery environment knowledge and experience with full sdlc lifecycle experience with lean / agile development methodologies experience with implementation and support of oracle hcm cloud modules ability to lead the discussions with the customer teams for integrations, data migrations and reports related to benefits knowledgeable on hcm technical tools including hcm data loader (hdl), hcm extract, bi reporting, fast formulae, payroll batch loader. ability to communicate complex technology solutions to diverse teams namely, technical, business and management teams experience managing team size of 10+ would be a plus excellent verbal and written communication skills ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1916572,"candidate must be located within commuting distance of raleigh nc or be willing to relocate to the area. this position may require travel in the us and canada. bachelor’s degree or foreign equivalent, will consider work experience in lieu of a degree 7 years of information technology experience u.s. citizenship or permanent residency required, we are not able to sponsor at this time experience with oracle hcm cloud – compensation and talent management hands on experience in working on oracle global hr cloud for us knowledge of agile practices and ability to implement the project in agile mode experience and desire to work in a global delivery environment knowledge and experience with full sdlc lifecycle experience with lean / agile development methodologies experience with implementation and support of oracle hcm cloud modules ability to lead the discussions with the customer teams for integrations, data migrations and reports related to benefits knowledgeable on hcm technical tools including hcm data loader (hdl), hcm extract, bi reporting, fast formulae, payroll batch loader. ability to communicate complex technology solutions to diverse teams namely, technical, business and management teams experience managing team size of 10+ would be a plus excellent verbal and written communication skills "
7,Infosys,Oracle HCM Cloud Lead Consultant,"candidate must be located within commuting distance of raleigh, nc or be willing to relocate to the area. this position may require travel in the us and canada. bachelor’s degree or foreign equivalent, will consider work experience in lieu of a degree 7 years of information technology experience u.s. citizenship or permanent residency required, we are not able to sponsor at this time experience in software development life cycle experience in oracle hcm cloud implementation or support projects expertise on integrations, hcm extracts, bi reporting, and data conversions for us. responsible for developing new payroll interfaces with third party systems, hcm extracts, bi reports, and fast formulas. should be able to interact and work with business on technical requirements, prepare technical design documentation experience in creating bi reports and reconciliation related activities experience in creating, modifying and trouble shooting experience in creating fast formula ability to load the using hdl experience and desire to work in a global delivery environment ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1916565,"candidate must be located within commuting distance of raleigh, nc or be willing to relocate to the area. this position may require travel in the us and canada. bachelor’s degree or foreign equivalent, will consider work experience in lieu of a degree 7 years of information technology experience u.s. citizenship or permanent residency required, we are not able to sponsor at this time experience in software development life cycle experience in oracle hcm cloud implementation or support projects expertise on integrations, hcm extracts, bi reporting, and data conversions for us. responsible for developing new payroll interfaces with third party systems, hcm extracts, bi reports, and fast formulas. should be able to interact and work with business on technical requirements, prepare technical design documentation experience in creating bi reports and reconciliation related activities experience in creating, modifying and trouble shooting experience in creating fast formula ability to load the using hdl experience and desire to work in a global delivery environment "
8,Infosys,Oracle HCM CLoud Technology Architect,"minimum 8 years of experience in the software development/testing space or higher automation – in sprint automation (shift left testing) experience with selenium (java), selenium grid and restassured api automation. experience of automation frameworks like bdd (behavior driven development) experience with mq messages experience with using sql for data checks and backend testing. java sdet skills - knowledge of major programming languages e.g., java, javascript. be able to understand, review at code level, find gaps against requirements. ability to communicate technical concepts effectively, written and orally, to colleagues across diverse teams and geographies. ability to reason about performance, security, and process interactions in complex distributed systems. independent and comfortable in a fast paced, ambiguous, and often multi-directional work environment in agile / scrum process location preference is hartford, ct but will also consider candidates who are available to work in est hours experience with iso / swift messaging experience with version control, continuous integration, deployment, and configuration management tools in a devops environment. experience with jira or other project management, issue-tracking or bug-tracking tools ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1927965,"minimum 8 years of experience in the software development/testing space or higher automation – in sprint automation (shift left testing) experience with selenium (java), selenium grid and restassured api automation. experience of automation frameworks like bdd (behavior driven development) experience with mq messages experience with using sql for data checks and backend testing. java sdet skills - knowledge of major programming languages e.g., java, javascript. be able to understand, review at code level, find gaps against requirements. ability to communicate technical concepts effectively, written and orally, to colleagues across diverse teams and geographies. ability to reason about performance, security, and process interactions in complex distributed systems. independent and comfortable in a fast paced, ambiguous, and often multi-directional work environment in agile / scrum process location preference is hartford, ct but will also consider candidates who are available to work in est hours experience with iso / swift messaging experience with version control, continuous integration, deployment, and configuration management tools in a devops environment. experience with jira or other project management, issue-tracking or bug-tracking tools "
9,Infosys,Lead Test Consultant-Automation,"bachelor's degree or foreign equivalent required from an accredited institution. will also consider three years of progressive experience in the specialty in lieu of every year of education 5+ years of experience in d365 ce with understanding and familiarity of azure implementations for apps,services,apis and data. hands on experience in c# & .net customizations with dynamics 365 excellence in software engineering practices, coding and solid foundation in data structures, algorithms with strong testing, debugging and analytical skills proven ability to plan, schedule and deliver quality software strong client interaction skills working independently and in teams strong analytical and problem-solving skills experience in troubleshooting and driving technical investigations solid communication and cross-discipline collaboration skills strong customer focus and confident in making critical decisions independently in a fast paced and demanding environment experience in creating requirement specifications based on architecture/design /detailing of processes ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1925897,"bachelor's degree or foreign equivalent required from an accredited institution. will also consider three years of progressive experience in the specialty in lieu of every year of education 5+ years of experience in d365 ce with understanding and familiarity of azure implementations for apps,services,apis and data. hands on experience in c# & .net customizations with dynamics 365 excellence in software engineering practices, coding and solid foundation in data structures, algorithms with strong testing, debugging and analytical skills proven ability to plan, schedule and deliver quality software strong client interaction skills working independently and in teams strong analytical and problem-solving skills experience in troubleshooting and driving technical investigations solid communication and cross-discipline collaboration skills strong customer focus and confident in making critical decisions independently in a fast paced and demanding environment experience in creating requirement specifications based on architecture/design /detailing of processes "
