,CATEGORY,COMPANY,TITLE,QUALIFICATIONS
0,Data Scientist/Data Analyst,KPMG,"Lead Specialist, Data Scientist","A minimum of eight years of technical data science experience; U.S. Federal government consulting experience preferredMaster's degree from an accredited college/university; Data Science, Engineering, Computer Science, Information Systems Management, Mathematics, Operations Research, Statistics, or Engineering preferredExperience performing data science from data discovery, cleaning, model selection, validation, and deployment; experience coding artificial intelligence methods using object-oriented programming in a software development process, and ability to restructure, refactor, and optimize code for efficiencyExperience with visualization technologies such as Tableau, Qlik, PMRT, or PowerBI with demonstrated expertise with analytics and cognitive engagements across strategy, design and implementationExpert problem-solving ability through the use and/or development of data science algorithms, models, testing, etc.; ability to utilize a diverse array of technologies and tools as needed, to deliver insights, such as R, Python, Spark, Hadoop and emerging Cloud Capabilities on Azure, GCP and/or AWS; experience with command-line scripting, data structures, and algorithmsAbility to travel as required to support firm engagementsAbility to obtain a U.S. Federal government security clearance within a reasonable period of time, which requires U.S. citizenship"
1,Data Scientist/Data Analyst,KPMG,"Associate Director, Data Analytics and Modeling - Insights Center of Excellence (COE)","Minimum six years of recent experience applying data analytics capabilities to solve complex business problemsBachelor's degree from an accredited college or universityExtensive experience in an agile software development environment working with IT partners to deliver solutions on demand; demonstrated understanding of data engineering and data science methodologies, techniques, and toolsHands-on development experience with Einstein Discovery and JSON and SAQL in CRMA; additional BI tools and modeling experience also relevantDemonstrated ability to effectively work and communicate with business analysts, architects, and development teams on requirements, implementation approaches and solutionsProven track record of assessing the impact of new requirements on Salesforce.com end users across CRMA, including core technologies and processes, and all upstream and downstream connected applications and integrations"
2,Data Scientist/Data Analyst,KPMG,"Sr Associate, Ignition - Data & Analytics","Minimum of three years of experience performing data manipulation and analysis using ETL and visualization tools such as Tableau, Power BI, QlikView/Qlik Sense, Alteryx, SSIS, and AzureBachelor's degree (Master's degree preferred) from an accredited college/university or foreign equivalent in engineering, computer science, information systems, management information systems or related fieldsExperience in data manipulation/querying using SQL or Excel, statistical methodology, and data management conceptsDevelopment experience in database technologies (SQL Server, etc.)Experience in dashboarding strategy, design, creation, and maintenanceKnowledge of the following is a plus: development in one or more programming languages (C#, Java); machine learning and/or big data tools (Spark, Hive, and Pig); Enterprise resource planning (ERP) systems; statistical programming knowledge in one or more languages such as R, Python, and SAS"
3,Data Scientist/Data Analyst,KPMG,"Senior Specialist, Federal Data Scientist (TS/SCI + Poly)","A minimum of three years of technical data science experience; U.S. Federal government consulting experience Bachelor's degree from an accredited college/universityExperience performing data science from data discovery, cleaning, model selection, validation, and deployment; experience coding artificial intelligence methods using object-oriented programming in a software development process, and ability to restructure, refactor, and optimize code for efficiencyProficient in TableauProblem-solving ability through the use and/or development of data science algorithms, models, testing, etc.; ability to utilize a diverse array of technologies and tools as needed, to deliver insights, such as R, Python, SQL; experience with command-line scripting, data structures, and algorithmsU.S. Citizenship required and an active U.S. Federal Government TS/SCI + Poly security clearance"
4,Data Scientist/Data Analyst,KPMG,"Director, ESG Services, Climate Data & Technology","Minimum eight years of recent strategy or data & analytics consulting experience from a Top Ten public accounting firm, management consultancy or ESG consultancy; minimum five years in reporting (GHG protocols, reporting frameworks)Bachelor's Degree in Economics, Accounting Sustainability, Business, Political Science, Environmental Engineering, Climate Science, Physical Sciences, Computer Science, or related field; Master's Degree in a related field preferred, but not requiredExtensive experience in project management including planning, organizing, coordinating, and managing staff, clients and/or partners towards the successful completion of a project; domain level subject-matter knowledge across Sustainability / ESG strategy, program design, management, reporting and transparency and risk management, and other areas with a demonstrated expertise in one or more topic areasDeep familiarity with climate data; experience with and knowledge of GHG emissions accounting, climate risk assessment and climate scenario analysis a plus; knowledge of sustainabilityApplicants must be currently authorized to work in the United States without the need for visa sponsorship now or in the future"
5,Data Scientist/Data Analyst,KPMG,"Director, Technology-Data & Analytics","Minimum eight years of recent experience in design, development and delivery of data driven solutions and analytics including at least five years as manager in data & analytics delivery Bachelor's degree from an accredited college/university; also, MBA, Analytics, Information Systems/Technology, Computer Science, any of the Engineering disciplines or a related field from an accredited college/university is preferred Minimum three years with proven consulting and delivery leadership in data transformation, data modeling, data analytics, data visualization and/or data science Experience in project management including planning, organizing, coordinating and managing staff, clients and/or partners towards the successful completion of a project Proven track record of managing customer-centric data driven solutions across a complex portfolio of stakeholders and fostering the development of high-performance teams including both onshore and offshoreStrong communication skills and ability to present complex information concisely through written & verbal communication; experience hosting interviews, brainstorms/workshops with business teams and executives on data-related topics/projects"
6,Data Scientist/Data Analyst,KPMG,"Senior Specialist, Federal Data Engineer","A minimum of three years of experience with data engineering, design, implement, and test data processing pipelines, and data mining / data science algorithms ; U.S. Federal government consulting experience preferredBachelor's degree from an accredited college/university preferredExperience with programming languages (Python, Scala preferred) with the ability to pick up new languages and technologies quicklyProficient in developing SQL queriesExperience with large-scale data technologies such as Apache Spark, Databricks, Hive/AWS Glue, is preferredExperience with data governance, data catalog and access control tools such as Collibra (preferred) or ImmutaExperience with production environments and DevOps systems and CI/CD pipelinesU.S. citizenship required and an active U.S. Federal government Secret security clearance"
7,Data Scientist/Data Analyst,KPMG,"Senior Associate, Visualization Data Engineer","Minimum three years of experience working as a data engineer with Advanced SQL skills; strong analytical, data profiling and problem-solving skills Bachelor's degree from an accredited college/university in a numerate subject such as Computer Science, Mathematics, Electrical Engineering, Statistics, or Science or equivalent practical experienceExperience creating and maintaining ETL/ELT pipelines that operate on a variety of sources such as APIs, FTP sites, cloud-based blob stores, databases including relational and non-relational, unstructured dataHands-On experience with Microsoft data and analytics platform such as Azure Data Factory, Microsoft SQL Server, Azure SQL Database, Azure SQL Managed Instance, Azure Cosmos DB, Azure Synapse Analytics, Azure DatabricksExperience with SDLC methodologies, particularly Agile and project management tools, preferably Azure DevOpsExperience working with operational programming tasks, such as version control, CI/CD, testing and quality assurance"
8,Data Scientist/Data Analyst,KPMG,"Manager, Data Engineer","Minimum five years of experience working as a data engineer with Advanced SQL skills; strong analytical, data profiling and problem-solving skills Bachelor's degree from an accredited college/university in a numerate subject such as Computer Science, Mathematics, Electrical Engineering, Statistics, or Science or equivalent practical experienceExperience creating and maintaining ETL/ELT pipelines that operate on a variety of sources such as APIs, FTP sites, cloud-based blob stores, databases including relational and non-relational, unstructured dataHands-On experience with Microsoft data and analytics platform such as Azure Data Factory, Microsoft SQL Server, Azure SQL Database, Azure SQL Managed Instance, Azure Cosmos DB, Azure Synapse Analytics, Azure DatabricksExperience with SDLC methodologies, particularly Agile and project management tools, preferably Azure DevOpsExperience working with operational programming tasks, such as version control, CI/CD, testing and quality assurance"
9,Data Scientist/Data Analyst,KPMG,"Senior Manager, Tax (SAP and Oracle)","A minimum of eight years of experience in leading and delivering data integration or data analysis projectsBachelor's degree from an accredited college/university or foreign equivalent in engineering, computer science, information systems, management information systems or related fields; Master's degree is preferredLicensed CPA,  J.D., LL.M., PhD, MBA, or MS in Computer Science from an accredited college/university; CISA (Certified Info Systems Auditor); CISSP (Certified Information Systems Security Professional); CFE (Certified Fraud Examiner); CFF (Certified in Financial Forensics); CORPTAX (CORPTAX Certified Professional); TCERTIMP (Thomson Certified Implementer); Alteryx Analytics Designer Core and Alteryx Designer Advanced; ACA (Chartered Accountant) with Lean Six Sigma (White Belt acceptable); SIX SGMA (Six Sigma Certification) - excludes Lean Six Sigma and must be Green Belt or higher, White Belt is not acceptable (Please note: Any candidate hired by KPMG into this position that does not currently possess one of the aforementioned credentials/designations, will be required to secure one within one year from the commencement of employment)Strong experience working with variations of Oracle and SAP. Development experience with one or more programming languages (C# and Java) and database technologies (SQL Server)Knowledge of machine learning and/or big data tools a plus"
