,Category,Company,job_title,job_desc
0,Marketing,Walmart,"(USA) Senior Manager, Digital Media - Event Marketing- Seller Acquisition"," Bachelor’s degree in Marketing, Business, or related field and 3 years’ experience in marketing or related field OR 5 years’ experience in marketing or related field. Digital marketing (for example, affiliate marketing, display advertising), Leading a cross-functional team"
1,Marketing,Walmart,Lead Product Marketing Manager," Option 1: Bachelor’s Degree in Marketing, Business Administration, or related field and 3 years' experience in Marketing, Business Administration, or related field. Option 2: 6 years' experience in Marketing, Business Administration, or related field. Masters: Business Administration"
2,Marketing,Walmart,"Events Marketing Manager, Marketing Planning and Strategy - eComm"," Bachelor's degree in Business, Marketing, Communications, or related field and 1 year's experience in marketing or related field OR 5 years' experience in marketing or related field. MarketingMasters: Business Administration"
3,Marketing,Walmart,(USA) Product Marketing Manager," Option 1: Bachelor’s Degree in Marketing, Business Administration, or related field. Option 2: 4 years’ experience in Marketing, Business Administration, or related field. "
4,Marketing,Walmart,Market Coordinator," Proficiency in Microsoft Office programs (for example, Word, PowerPoint, Outlook, Excel).Associate’s Degree or 1 year's retail experience AND 1 year's administration experience or 2 years' retail work experience1 year's experience handling and maintaining confidential information Data Analysis, Experience managing calendar for 1 or more senior business leaders (for example, setting up meetings and determining the priority of meeting requests and events), General administrative experience supporting senior business leadersBachelors: Business, Bachelors: Human Resources"
5,Marketing,Walmart,"Associate Director, Marketing Planning And Strategy"," Bachelor's degree in Business, Marketing, Communications, or related field and 3 years' experience in marketing or related field OR 7 years'experience in marketing or related field. Leading cross-functional projects, Marketing or related field, Supervisory experienceMasters: Business Administration"
6,Marketing,Walmart,(USA) Senior Product Marketing Manager," As permitted by applicable law, provide evidence of full vaccination as defined by CDC guidelines OR secure approval of medical or religious accommodation for the vaccination mandate. "
7,Marketing,Walmart,(USA) Senior Product Marketing Manager -Sam's Club MAP Senior Product Marketing Manager,
8,Marketing,Walmart,"Senior Project Manager II (Associate Director, Agency Relations- Marketing)","Bachelor’s degree in Business, Finance, Computer Science, or related field and 4 years' experience in business, operations, analytics, or relatedarea OR 6 years' experience in business, operations, analytics, or related area.2 years’ supervisory experience.3 years’ project management experience. Managing small or medium scale change initiativesMasters: Business Administration, Masters: EconomicsProject Management - Project Management Professional - Certification, Six Sigma - Certification"
9,Marketing,Walmart,"Emerging Sales, Senior Manager, Marketing Planning and Strategy"," Bachelor's degree in Business, Marketing, Communications, or related field and 2 years' experience in marketing or related field OR 7 years'experience in marketing or related field. Marketing or related fieldMasters: Business Administration"
10,Marketing,Walmart,"(USA) Senior Manager, Digital Media - Partner Marketing"," Bachelor’s degree in Marketing, Business, or related field and 3 years’ experience in marketing or related field OR 5 years’ experience in marketing or related field. Digital marketing (for example, affiliate marketing, display advertising), Leading a cross-functional team"
