,CATEGORY,COMPANY,TITLE,QUALIFICATIONS
0,Data Scientist/Data Analyst,Meta,"Data Science Director, VR Ecosystems & Foundations"," 8+ years experience managing a team of data scientists/analytics professionals 3+ years experience managing managers Experience working with cross-functional partners including Engineering, Design, Product Management and Data Engineering to drive product or business impact. "
1,Data Scientist/Data Analyst,Meta,"Research Scientist Intern, Data Science and HCI (PhD)"," Currently has, or is in the process of obtaining, a PhD in Machine learning, Artificial Intelligence (AI), Data Science, Computational Mathematics, Human and Computer Interaction, or a related computational field. 3+ years of experience with programming language Python. 2+ years of experience in using machine learning libraries such as Numpy, scikit-learn, SciPy, Pandas, Matplotlib, Tensorflow, or Pytorch. Experience in applying explainable AI techniques. Interpersonal skills: cross-group collaboration and cross-culture collaboration. Must obtain work authorization in the country of employment at the time of hire and maintain ongoing work authorization during employment..  Experience with the HCI field. Experience with AR/VR technologies and literature. Experience with Unity game engine. Proven track record of achieving significant results as demonstrated by grants, fellowships, patents, as well as a minimum of 2 first-authored publications at leading workshops or conferences such as ACM CHI, ACM UIST, ACM IUI, KDD, NIPS, CVPR. Intent to return to degree-program after the completion of the internship/co-op."
2,Data Scientist/Data Analyst,Meta,"Research Scientist Intern, AI for Science (PhD)"," Currently has, or is in the process of obtaining a PhD degree in the field of Machine Learning, Artificial Intelligence, Reinforcement Learning, Optimization, Game Theory, Computational Science or similar Experience in Python,  C++ or other related languages Must obtain work authorization in the country of employment at the time of hire, and maintain ongoing work authorization during employment.  Experience in research areas such as AI for computational chemistry, protein modeling, neuroscience, optics, or material science Experience working with large-scale Transformer models and/or graph neural networks Proven track record of achieving significant results as demonstrated by grants, fellowships, patents, as well as publications at leading workshops or conferences such as NeurIPS, ICML, ICLR, and/or leading venues in computational chemistry, protein modeling, neuroscience, optics, or material science Comfort manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources Comfort working with advanced scientific simulation software Experience communicating complex research in a clear, precise, and actionable manner Experience building large-scale machine learning systems and training with large datasets Demonstrated software engineering experience via an internship, work experience, coding competitions, or widely used contributions in open source repositories (e.g. GitHub) Intent to return to degree-program after the completion of the internship/co-op"
3,Data Scientist/Data Analyst,Meta,"Data Engineer, Analytics (Generalist)"," 5+ years experience in the data warehouse space. 5+ years experience in custom ETL design, implementation and maintenance. 5+ years experience with object-oriented programming languages. 7+ years experience with schema design and dimensional data modeling. 7+ years experience in writing SQL statements. Experience analyzing data to identify gaps and inconsistencies. Experience managing and communicating data warehouse plans to internal clients. Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience..  Experience working with either a MapReduce or an MPP system. Knowledge and practical application of Python. Experience working autonomously in global teams. Experience influencing product decisions with data."
4,Data Scientist/Data Analyst,Meta,"Data Engineering Director, Instagram"," 12+ years of experience in BI and Data Warehousing. Experience scaling and managing 20+ person teams. Communication and leadership experience, with experience initiating and driving projects. Project management experience. Data architecture experience. Experience in SQL or similar languages. Development experience in at least one object-oriented language (Python, Java, etc.). BA/BS in Computer Science, Math, Physics, or other technical fields..  Experience in one or more of the following - data telemetry, data driven performance and reliability improvement across platform and/or products, data foundation for computer vision or advance machine learning problems, data/analytics for voice assistant. Experience with automating data auditing through comprehensive lineage tools. Experience with large volume data sets, Hive/Presto, and data visualization tools."
5,Data Scientist/Data Analyst,Meta,"Research Data Scientist, Machine Learning"," MS in a quantitative field such as Computer Science, Quantitative Finance, Math, Statistics, Physics, or a related Engineering degree. Experience with machine learning and statistical methods such as forecasting, time series analysis, hypothesis testing, classification, clustering, regression, or other advanced analytics techniques. Experience testable and production-level code and shipping code into production. Experience using version control tools such as git or mercurial. 7+ years experience in building models and developing algorithms for machine learning, statistics, mathematical programming, and simulation in industry and/or academia. 7+ years experience in managing and analyzing large-scale structured and unstructured data using R or Python. 7+ years experience in SQL in big data environments (i.e. Hadoop) and data modeling. Experience with scientific computing and analysis packages such as NumPy, SciPy, Pandas, scikit-learn, dplyr, or ggplot2. Experience with machine learning libraries and packages such as PyTorch, Caffe2, TensorFlow, Keras or Theano. Experience with data visualization libraries such as Matplotlib, Pyplot, ggplot2..  PhD in Computer Science or Math or Statistics or relevant fields. Knowledge of deep learning research. Familiarity with object-oriented programming languages (such as C++ or Java) and visualization tools (such as Tableau). Experience executing on the full life cycle of projects through project planning, data collection, model prototyping and deployment, with responsibilities encompassing stakeholder management and communication to cross-functional partners."
6,Data Scientist/Data Analyst,Meta,"Data Scientist, Machine Learning"," Bachelor's degree in Mathematics, Statistics, related technical field, or equivalent practical experience. A minimum of 8 years of experience (minimum of 6 years with a Ph.D.) in one or more of the following: ML Modeling, Ranking, Recommendations, or Personalization systems. Experience with statistical data analysis such as linear models, multivariate analysis, stochastic models, and sampling methods. Experience with applying machine learning techniques to big data systems (e.g., Spark and Hadoop) with TB to PB scale datasets. Experience with data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R)..  Ph.D. in a quantitative field. Strong research record demonstrated through publications. Knowledge of one or more of advanced ML techniques such as Classification, Prediction, Recommender Systems, Anomaly Detection, Optimization, Privacy Preserving Machine Learning. Experience with design and analysis of experiments. Experience with large-scale A/B testing systems, especially in the domain of online advertising."
7,Data Scientist/Data Analyst,Meta,"Data Scientist, Product Analytics"," Bachelor's degree in Mathematics, Statistics, related technical field, or equivalent practical experience. A minimum of 6 years of work experience (4 years with a Ph.D.) in applied analytics. Experience with data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R)..  Ph.D. in a quantitative field."
8,Data Scientist/Data Analyst,Meta,"Post-doctoral Researcher, Cognitive Science and Machine learning (PhD Grad)"," Currently has or is in the process of obtaining a PhD degree in Computer Science or related field or relevant experience Track record of publications that demonstrate experience in a quantitative domain Experience collaborating within a team to solve analytical problems using quantitative approaches Ability to manipulate and analyze high-volume, high-dimensionality data from varying sources Ability to communicate research for public audiences of peers. Knowledge in a programming language Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment.  First-author publications at peer-reviewed AI conferences or cog-sci journals Experience conducting original research that can be applied to deep learning research at FAIR"
9,Data Scientist/Data Analyst,Meta,"Research Scientist, Applied Core ML"," Experience holding a faculty, industry, or government researcher position Ph.D. and publications in machine learning, AI, computer science, statistics, applied mathematics, data science, or related technical fields Proven track record of recent and consistent publication/citation history Experience leading a team in solving modeling problems using AI/ML approaches Experience in applying research to production problems Experience communicating research for public audiences of peers Experience in developing and debugging in Python, C/C++, or C# Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment.  2+ years of work experience post PhD in a university, industry, or government lab(s), in a role with primary emphasis on AI research. 2+ years of experience as technical lead for a project of 2-3 individuals. First-author publications at peer-reviewed AI conferences (e.g., NeurIPS, ICML, ICLR, AAAI). Experience with interdisciplinary and/or cross-cultural collaboration. Experience bringing machine learning-based products from research to production."
