,COMPANY,TITLE,QUALIFICATIONS
0,Amazon,Senior Software Development Engineer,"· 4+ years of professional software development experience· 3+ years of programming experience with at least one modern language such as java, c++, or c# including object-oriented design· 2+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems· bachelor's degree in computer science or 8+ years of equivalent professional or military experience· 4+ years of professional software development experience· 3+ years of programming experience with at least one modern language such as java, c++, or c# including object-oriented design· 2+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems· 5+ years industry experience as a software engineer or a software developer with experience as a senior engineer leading teams in an agile environment· bachelor’s degree in computer science or related field or equivalent experience· computer science fundamentals in object-oriented design, data structures and algorithm design, and complexity analysis. · completed master’s degree in computer science or equivalent· experience taking a leading role in building complex software systems that have been successfully delivered to customers· knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations· experience in communicating with users, other technical teams, and senior management to collect requirements, describe software product features, technical designs, and product strategy· experience mentoring junior software engineers to improve their skills, and make them more effective, product software engineers· experience influencing software engineers best practices within your team· hands-on expertise in many disparate technologies, typically ranging from front-end user interfaces through to back-end systems and all points in between· experience in building high-performance, highly-available and scalable distributed systems· ability to work in an ambiguous environment and create innovative solutions regularly"
1,Amazon,Software Development Engineer - Payments,"· programming experience with at least one modern language such as java, c++, or c# including object-oriented design· 1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.· 2+ years of non-internship professional software development experience· bachelor's degree in engineering or equivalent· 3+ years of experience in object-oriented and component design· 2+ years delivering software solutions in distributed computing and soa· 2+ years of experience working with javascript/typescript front-end applications· experience in architecting solutions using native aws components and distributed computing· good written and verbal communication skills. · bachelor’s degree in computer science, computer engineering or related technical discipline· experience mentoring junior software engineers to improve their skills, and make them more effective, product software engineers· deal well with ambiguous/undefined problems; ability to think abstractly.· eager to learn and learn fast, enjoy a fast paced environment· self-directed, demonstrate leadership potential and a team player· excellent verbal and written communication skills· ability to work effectively in a cross-functional team· a high degree of pragmatism in building the simplest thing that does the job; we want to use technology to solve real-world problems expediently, not indulge in over-designed, unnecessarily intricate software architecture.· experience influencing software engineers best practices within your team"
2,Amazon,Software Development Engineer - Fintech,"bachelor’s degree in computer science or related field4+ years of software development engineeringunderstanding of the software development life cycle (sdlc) processstrong knowledge of cs fundamentals including data structures, algorithm design and complexity analysisproficiency in at least one object-oriented programming language such as java, c++ or c#fluency in english language.excellent communication, analytical and problem solving skills. proven track record of taking ownership and successfully delivering resultsknowledge of professional software engineering best practices for the complete software development life cycle, including coding standards, code reviews, source control management, build processes, testing and deploymentability to take a project from scoping requirements through actual launch of the projectexperience in communicating with users, other technical teams, and senior management to collect requirements, describe software product features, technical designs, and product strategy.experience with aws is a plus.experience with financial or tax software implementation, configuration, support and reporting"
3,Amazon,Software Development Engineer,"1+ years of experience contributing to the system design or architecture (architecture, design patterns, reliability and scaling) of new and current systems.2+ years of non-internship professional software development experienceprogramming experience with at least one software programming language.. · post-graduate degree in computer science or related field · 4+ years of professional software development experience · 3+ years of experience building large scale web services or distributed system software · knowledge of full life-cycle software engineering practices including coding standards, testing, source control management, and operations · demonstrated ability to take a project or significant feature from concept to launch · knowledge of linux systems and operating system internals · experience with large scale systems · experiencing mentoring junior software development engineers and driving engineering excellence · meets/exceeds amazon’s leadership principles requirements for this role · meets/exceeds amazon’s functional/technical depth and complexity for this role "
4,Amazon,"Embedded Software Development Engineer, Satellite Flight Software, GNC Software","1+ years of experience contributing to the system design or architecture (architecture, design patterns, reliability and scaling) of new and current systems.2+ years of non-internship professional software development experienceprogramming experience with at least one software programming language.. master’s or advanced degree in computer science, computer engineering or related technical discipline.familiarity with interdisciplinary developments that involve hardware, software, and algorithm co-design and verification.expertise in real-time operating systems, embedded linux with real-time extensions, systems programming, concurrency, and scheduling.expertise building, testing, and verifying real-time or safety-critical systems.experience with sensors, actuators, embedded vehicle electronics/avionics, and/or control systems.experience with simulation in various contexts: hardware-in-the-loop, monte-carlo, emulators.experience with operating remotely deployed systems in extreme environments.experience supporting infrastructure and tool development for scientific/engineering users.experience in building or leading strong engineering teams, including hiring and growing software engineers.independent and entrepreneurial, showing the ability to work with minimal direction.excellent interpersonal and written communication skills."
5,Amazon,Embedded Software Engineer,"ba/bs degree in computer science, computer engineering, electrical engineering, related field, or equivalent practical experience.5+ years of software development experience.extensive experience in computer architecture and embedded wireless systems.extensive embedded development experience in c, and familiarity with arm cpus.extensive experience writing low-level drivers, interrupting service routines, and general troubleshooting/debugging with hardware.. master’s degree or higher in computer science, computer engineering, electrical engineering, or related field.experience with one of more commercial wireless protocols like z-wave, zigbee, ble, or wifi.experience in firmware development and testing of battery-powered products.experience with development tools like makefile/cmake and git version control system.experience with common bus protocols such as sdio, spi, i2c, and uart.experience with software testing (unit, regression, and system testing)knowledge of unix/linux environments and embedded linux.comfortable in some scripting language of choice.prior experience with system bring-up, manufacturing line testing, or wireless networking drivers is preferred.prior experience in python or analyzing sensor data (or interest in learning) is also preferred."
6,Amazon,"Senior Software Engineer, Intech","past experience in being a technical leader and have previous track record in delivering large scale solutions in a very ambiguous environmentability to understand and evaluate critical applications from end-to-end and evaluate high level and low-level design.active contributor on teams technical strategy and account for technical tradeoffs that can impact existing applications as well as other applications within amazon.5+ years of software development experience.strong proficiency in at least one modern oo programming language such as c, c++, c#, java, python, go.strong object oriented design and familiarity with application and database programming under unix/linux.experience mentoring and training the engineering community on complex technical issues.proficiency in spoken and written english. experience building complex software systems that have been successfully delivered to customers.a high degree of pragmatism in building the simplest thing that does the job; we want to use technology to solve real-world problems expediently, not indulge in over-designed, unnecessarily intricate software architecture.a good understanding of sdlc models and a track record of shipping software efficiently. you recognize the difference between building software and shipping software.exceptional customer relationship skills including the ability to discover the true requirements underlying feature requests, recommend alternative technical and business approaches, and lead engineering efforts to meet aggressive timelines with optimal solutions.a strong track record of project delivery for large, cross-functional, projects.sharp analytical abilities and proven design skills"
7,Amazon,Software Development Engineer,"5+ years relevant work experience in commercial or web-scale system software development. bs degree or higher in computer science, engineering or related field"
8,Amazon,"Software Development Engineer, INTech","past experience in being a technical leader and have previous track record in delivering large scale solutions in a very ambiguous environmentmust be able to understand and evaluate critical applications from end-to-end and evaluate high level and low-level design.must be an active contributor on teams technical strategy and account for technical tradeoffs that can impact existing applications as well as other applications within amazon.bachelor’s degree in computer science, computer engineering or a related technical discipline.3+ years of software development experience.strong proficiency in at least one modern oo programming language such as c, c++, c#, java.strong object oriented design and familiarity with application and database programming under unix/linux.experience with agile/lean (kanban, scrum, rup, xp), oo modeling, web services, unix, middleware, database and data mining systems.experience mentoring and training the engineering community on complex technical issues.. master’s degree in computer science, math or physics or related field.experience building complex software systems that have been successfully delivered to customers.a high degree of pragmatism in building the simplest thing that does the job; we want to use technology to solve real-world problems expediently, not indulge in over-designed, unnecessarily intricate software architecture.a willingness to dive deep, experiment rapidly and get things done.a good understanding of sdlc models and a track record of shipping software efficiently. you recognize the difference between building software and shipping software.exceptional customer relationship skills including the ability to discover the true requirements underlying feature requests, recommend alternative technical and business approaches, and lead engineering efforts to meet aggressive timelines with optimal solutions.a strong track record of project delivery for large, cross-functional, projects.deep hands-on technical expertise, excellent verbal and written communication skills.sharp analytical abilities and proven design skills"
9,Amazon,Software Development Engineer,"past experience in being a technical leader and have previous track record in delivering large scale solutions in a very ambiguous environmentmust be able to understand and evaluate critical applications from end-to-end and evaluate high level and low-level design.must be an active contributor on teams technical strategy and account for technical tradeoffs that can impact existing applications as well as other applications within amazon.bachelor’s degree in computer science, computer engineering or a related technical discipline.3+ years of software development experience.strong proficiency in at least one modern oo programming language such as c, c++, c#, java.strong object oriented design and familiarity with application and database programming under unix/linux.experience with agile/lean (kanban, scrum, rup, xp), oo modeling, web services, unix, middleware, database and data mining systems.experience mentoring and training the engineering community on complex technical issues.. master’s degree in computer science, math or physics or related field.experience building complex software systems that have been successfully delivered to customers.a high degree of pragmatism in building the simplest thing that does the job; we want to use technology to solve real-world problems expediently, not indulge in over-designed, unnecessarily intricate software architecture.a willingness to dive deep, experiment rapidly and get things done.a good understanding of sdlc models and a track record of shipping software efficiently. you recognize the difference between building software and shipping software.exceptional customer relationship skills including the ability to discover the true requirements underlying feature requests, recommend alternative technical and business approaches, and lead engineering efforts to meet aggressive timelines with optimal solutions.a strong track record of project delivery for large, cross-functional, projects.deep hands-on technical expertise, excellent verbal and written communication skills.sharp analytical abilities and proven design skills"
