,CATEGORY,COMPANY,TITLE,QUALIFICATIONS
0,Data Scientist/Data Analyst,Tela,Sensor Machine Learning Engineer,"Extensive experience with Python and C++.Working knowledge of at least one of common DL frameworks, Pytorch/Keras/Tensorflow. Pytorch experience is preferred.Successful development of Machine Learning algorithms for real world applications.Experience in design and implementation of deep learning algorithms for real world applications.Experience in classic machine learning and signal processing algorithms such as: State Estimation, Hidden Markov Model, and Density Estimation. Familiarity with common software development tools such as Git and Jira. Experience in working with a wide range of sensors is desirable. MS/BS in Engineering, Computer Science, Mathematics, Physics or experience in a relevant field3+ years of relevant work experience"
1,Data Scientist/Data Analyst,Tela,"Machine Learning Scientist, Autopilot AI","Strong experience with Python and software engineering best practices. An “under the hood” knowledge of deep learning: layer details, loss functions, optimization, etc. Fluency with common neural network architectures for computer vision, speech, NLP, etc. Expertise in one of these areas: object detection, object tracking, behavior prediction, pose estimation, gesture recognition, depth estimation, semantic & instance segmentation, video networks, autoregressive networks (e.g. GPT, pixel-cnn), reinforcement learning, neural radiance fields (NeRF). Experience with PyTorch, or another major deep learning framework such as TensorFlow. Experience with data manipulation tools including jupyter notebooks, numpy, scipy, matplotlib, scikit-learn, Python & Bash scripting, Linux environment. (bonus) Familiarity with neural network quantization, distillation, pruning, etc. (bonus) Comfortable working in a shared cluster environment (e.g. Slurm, network filesystems). (bonus) Record of driving research projects from start to end, including conception, experimentation, iteration, and integration into a working product. "
2,Data Scientist/Data Analyst,Tela,"Lead Machine Learning Engineer, Tesla Bot","Requirements The team operates in a production setting. An ideal candidate has strong software engineering practices and is very comfortable with Python programming, debugging/profiling, and version control. We train neural networks on a cluster in large-scale distributed settings. An ideal candidate is very comfortable in cluster environments and understands the related computer systems concepts (CPU/GPU interactions/transfers, latency/throughput bottlenecks during training of neural networks, CUDA, pipelining/multiprocessing, etc). We are at the cutting edge of deep learning applications. The ideal candidate has a strong understanding of the under the hood fundamentals of deep learning (layer details, backpropagation, etc). Additional requirements include the ability to read and implement related academic literature and experience in applying state of the art deep learning models to computer vision (e.g. segmentation, detection) or a closely related area (speech, NLP). Experience with PyTorch, or at least another major deep learning framework such as TensorFlow Some experience with data science tools including Python scripting, numpy, scipy, matplotlib, scikit-learn, jupyter notebooks, bash scripting, Linux environment. "
3,Data Scientist/Data Analyst,Tela,"Machine Learning Framework Engineer, Autopilot AI","What you will bring:· Experience programming in Python. · Experience with at least one deep learning framework (ideally in PyTorch). · Demonstrated experience in profiling CPU/GPU code. · Proficient in system-level software, in particular hardware-software interactions and resource utilization. · Optional: Experience with high-performance networking (e.g. Infiniband, RDMA, NCCL).· Optional: Experience programming in C/C++ and CUDA."
4,Data Scientist/Data Analyst,Tela,"Machine Learning Engineer - Full Stack, Autopilot AI","Requirements:Strong experience with Python and software engineering best practices. Experience with building modern web applications using React, back-end frameworks such as Flask/Django, and SQL databases Experience with data manipulation tools including Jupyter notebooks, numpy, scipy, matplotlib, scikit-learn, and parallelism via Python multiprocessing. (bonus) Understanding of machine learning concepts and experience working with deep learning training frameworks, ideally PyTorch. "
5,Data Scientist/Data Analyst,Tela,"Machine Learning Engineer – Data Infrastructure, Autopilot AI","Requirements:Strong experience with Python and software engineering best practices. Experience in system-level software and resource utilization, parallelism and Python multiprocessing, and being able to debug problems across the stack. Experience working with the underlying storage formats for various kinds of data (e.g. images, videos, depth arrays, human labels, etc). Familiarity with python libraries such as numpy, scipy, matplotlib, scikit-learn. (bonus) Understanding of machine learning concepts and experience working with deep learning training frameworks, ideally PyTorch. "
6,Data Scientist/Data Analyst,Tela,"Machine Learning Scientist, 3D Computer Vision – Autopilot","Strong experience writing production-level Python and software engineering best practices.Solid mathematical fundamentals including linear algebra, vector calculus, probability theory, and numeric optimization.An “under the hood” knowledge of deep learning: layer details, loss functions, optimization, etc.Understanding of modern deep learning techniques (CNNs, transformers, autoregressive models, etc.).Domain expertise in at least one of these areas: object detection & tracking, pose estimation, depth estimation, semantic & instance segmentation, video models, differentiable rendering, Neural Radiance Field (NeRF), 3D reconstruction, visual SLAM, structure from motion.Familiarity with basic computer vision concepts such as intrinsic and extrinsic calibrations, homogeneous coordinates, projection matrices, and epipolar geometry.Experience with PyTorch, or at least another major deep learning framework such as TensorFlow.Experience in GPU programming (e.g., CUDA, OpenCL, OpenGL) or GPU-accelerated libraries.Comfortable working in a shared cluster environment."
7,Data Scientist/Data Analyst,Tela,"Machine Learning Intern, 3D Computer Vision – Autopilot, AI","· Strong experience writing production-level Python and software engineering best practices. · Solid mathematical fundamentals including linear algebra, vector calculus, probability theory, and numeric optimization. · An “under the hood” knowledge of deep learning: layer details, loss functions, optimization, etc. · Understanding of modern deep learning techniques (CNNs, transformers, autoregressive models, etc.). · Domain expertise in at least one of these areas: object detection & tracking, pose estimation, depth estimation, semantic & instance segmentation, video models, differentiable rendering, Neural Radiance Field (NeRF), 3D reconstruction, visual SLAM, structure from motion. · Familiarity with basic computer vision concepts such as intrinsic and extrinsic calibrations, homogeneous coordinates, projection matrices, and epipolar geometry. · Experience with PyTorch, or at least another major deep learning framework such as TensorFlow. · Experience in GPU programming (e.g., CUDA, OpenCL, OpenGL) or GPU-accelerated libraries. · Comfortable working in a shared cluster environment."
8,Data Scientist/Data Analyst,Tela,Vehicle & Energy Scheduling – Machine Learning Engineer/Data Scientist,"* Bachelor’s degree in Data Science, Computer Science, Industrial Engineering, Mathematics , or related field* Understanding of statistics, probability, and machine learning concepts* Experience training and maintaining models for real world applications* Strong experience with Python and data manipulation tools including SQL, pandas, numpy, scipy, matplotlib, scikit-learn, jupyter notebooks.* Familiar with software engineering best practices including api design and version control.* Ability to thrive in a fast-moving and constantly evolving high growth environment* Comfortable in an environment with unstructured, incomplete, and ambiguous data* Curious, open-minded, and driven to solve complex problems* (Bonus) experience working with geospatial data and vehicle routing algorithms"
9,Data Scientist/Data Analyst,Tela,"Machine Learning Engineer – 3D computer vision, Autopilot AI","Strong experience with Python, C++, and software engineering best practices. An “under the hood” knowledge of deep learning: layer details, loss functions, optimization, etc. Fluency with common neural network architectures for computer vision. Expertise in one of these areas: object detection, object tracking, pose estimation, depth estimation, multi-view stereo architectures, neural radiance fields (NeRF), video networks, keypoint detection & tracking, SLAM. Experience with PyTorch, or another major deep learning framework such as TensorFlow. Experience with data manipulation tools including jupyter notebooks, numpy, scipy, matplotlib, scikit-learn, Python & Bash scripting, Linux environment. (bonus) Experience with SIMD/SIMT parallelism, GPU programming, multithreaded programming. (bonus) Comfortable working in a shared cluster environment (e.g. Slurm, network filesystems). (bonus) Record of driving research projects from start to end, including conception, experimentation, iteration, and integration into a working product. "
