,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,https://careers.walmart.com/us/jobs/WD1180531-lead-counsel-ecomm-finance-regulatory-compliance,Walmart,"...
.
law degree from an accredited law school and 6 years’ experience in law.
license to practice law in at least one state.
2 years’ experience leading cross-functional teams.
preferred qualifications...
.
primary location...
800 w california ave, sunnyvale, ca 94086, united states of america","Lead Counsel, eComm-Finance Regulatory Compliance","...
.
law degree from an accredited law school and 6 years’ experience in law.
license to practice law in at least one state.
2 years’ experience leading cross-functional teams.
preferred qualifications...
.
primary location...
800 w california ave, sunnyvale, ca 94086, united states of america"
1,https://careers.walmart.com/us/jobs/WD1345767-lead-counsel-ii-global-antitrust-compliance-counsel,Walmart,"...
.
law degree from an accredited law school and 7 years’ experience in law.
license to practice law in at least one state.
4 years’ experience leading cross-functional teams.
preferred qualifications...
.
primary location...
701 8th street, nw, suite 200, washington, dc 20001-3917, united states of america",Lead Counsel II: Global Antitrust Compliance Counsel,"...
.
law degree from an accredited law school and 7 years’ experience in law.
license to practice law in at least one state.
4 years’ experience leading cross-functional teams.
preferred qualifications...
.
primary location...
701 8th street, nw, suite 200, washington, dc 20001-3917, united states of america"
2,https://careers.walmart.com/us/jobs/WD1180540-lead-counsel-i-financial-regulatory-compliance,Walmart,"...
.
minimum qualifications
law degree from an accredited law school and 6 years’ experience in law.
2 years’ experience leading cross-functional teams.
preferred qualifications...
.
license to practice law in at least one state
primary location...
701 8th street, nw, suite 200, washington, dc 20001-3917, united states of america","Lead Counsel I, Financial Regulatory Compliance","...
.
minimum qualifications
law degree from an accredited law school and 6 years’ experience in law.
2 years’ experience leading cross-functional teams.
preferred qualifications...
.
license to practice law in at least one state
primary location...
701 8th street, nw, suite 200, washington, dc 20001-3917, united states of america"
3,https://careers.walmart.com/us/jobs/WD1295608-senior-counsel-energy,Walmart,"...
.
law degree from an accredited law school and 5 years’ experience in law.
license to practice law in at least one state.
preferred qualifications...
.
leading cross-functional teams
primary location...
2001 se 10th st, bentonville, ar 72716-3724, united states of america","Senior Counsel, Energy","...
.
law degree from an accredited law school and 5 years’ experience in law.
license to practice law in at least one state.
preferred qualifications...
.
leading cross-functional teams
primary location...
2001 se 10th st, bentonville, ar 72716-3724, united states of america"
4,https://careers.walmart.com/us/jobs/WD1300356-lead-counsel-us-legal-operations,Walmart,"...
.
law degree from an accredited law school and 6 years’ experience in law.
license to practice law in at least one state.
2 years’ experience leading cross-functional teams.
preferred qualifications...
.
primary location...
9440 tba, bentonville, ar 72716-0001, united states of america","Lead Counsel, US Legal Operations","...
.
law degree from an accredited law school and 6 years’ experience in law.
license to practice law in at least one state.
2 years’ experience leading cross-functional teams.
preferred qualifications...
.
primary location...
9440 tba, bentonville, ar 72716-0001, united states of america"
5,https://careers.walmart.com/us/jobs/WD1290692-lead-counsel-ii-appellate-and-complex-litigation,Walmart,"...
.
law degree from an accredited law school and 7 years’ experience in law.
license to practice law in at least one state.
4 years’ experience leading cross-functional teams.
preferred qualifications...
.
primary location...
702 sw 8th st, bentonville, ar 72716, united states of america",Lead Counsel II - Appellate and Complex Litigation,"...
.
law degree from an accredited law school and 7 years’ experience in law.
license to practice law in at least one state.
4 years’ experience leading cross-functional teams.
preferred qualifications...
.
primary location...
702 sw 8th st, bentonville, ar 72716, united states of america"
6,https://careers.walmart.com/us/jobs/WD1267610-counsel-iii-legal-merchandising,Walmart,"...
.
law degree from an accredited law school and 4 years’ experience in law.
license to practice law in at least one state.
preferred qualifications...
.
leading cross-functional teams
primary location...
702 sw 8th st, bentonville, ar 72716, united states of america",Counsel III - Legal Merchandising,"...
.
law degree from an accredited law school and 4 years’ experience in law.
license to practice law in at least one state.
preferred qualifications...
.
leading cross-functional teams
primary location...
702 sw 8th st, bentonville, ar 72716, united states of america"
7,https://careers.walmart.com/us/jobs/WD1271816-senior-counsel-advertising-and-media,Walmart,"...
.
law degree from an accredited law school and 5 years’ experience in law.
license to practice law in at least one state.
preferred qualifications...
.
leading cross-functional teams
primary location...
2101 se simple savings dr, bentonville, ar 72712-4304, united states of america",Senior Counsel Advertising and Media,"...
.
law degree from an accredited law school and 5 years’ experience in law.
license to practice law in at least one state.
preferred qualifications...
.
leading cross-functional teams
primary location...
2101 se simple savings dr, bentonville, ar 72712-4304, united states of america"
8,https://careers.walmart.com/us/jobs/WD1217110-senior-counsel-marketing-advertising,Walmart,"...
.
law degree from an accredited law school and 5 years’ experience in law.
license to practice law in at least one state.
preferred qualifications...
.
leading cross-functional teams
primary location...
702 sw 8th st, bentonville, ar 72716, united states of america","Senior Counsel, Marketing & Advertising","...
.
law degree from an accredited law school and 5 years’ experience in law.
license to practice law in at least one state.
preferred qualifications...
.
leading cross-functional teams
primary location...
702 sw 8th st, bentonville, ar 72716, united states of america"
9,https://careers.walmart.com/us/jobs/WD1240692-senior-paralegal-iii-tech-data-regulatory,Walmart,"...
.
minimum qualifications: a nationally recognized paralegal certification and 2 years’ experience as a paralegal, legal analyst, or related area.
preferred qualifications...
.
primary location...
702 sw 8th st, bentonville, ar 72716, united states of america","Senior Paralegal III, Tech & Data Regulatory","...
.
minimum qualifications: a nationally recognized paralegal certification and 2 years’ experience as a paralegal, legal analyst, or related area.
preferred qualifications...
.
primary location...
702 sw 8th st, bentonville, ar 72716, united states of america"
10,https://careers.walmart.com/us/jobs/WD990099-usa-senior-paralegal-tort-litigation,Walmart,"…
· a nationally recognized paralegal certification or an aba-accredited paralegal degree or a law degree from an accredited program or 2 years’ experience as a paralegal, legal analyst, or related area performing the tasks as described above.
minimum qualifications...
.
a nationally recognized paralegal certification or an aba accredited paralegal degree and 1 years’ experience as a paralegal, legal analyst, or
otherwise performing the responsibilities of a paralegal as defined by walmart’s job description or 2 years’ experience as a paralegal, legal
analyst, or otherwise performing the responsibilities of a paralegal as defined by walmart’s job description or a juris doctorate degree from an
accredited law school., as permitted by applicable law, provide evidence of full vaccination as defined by cdc guidelines or secure approval of medical or religious accommodation for the vaccination mandate.
preferred qualifications...
.
paralegal in a law firm or corporate environment
bachelors: law
primary location...
702 sw 8th st, bentonville, ar 72716, united states of america",(USA) Senior Paralegal - Tort Litigation,"…
· a nationally recognized paralegal certification or an aba-accredited paralegal degree or a law degree from an accredited program or 2 years’ experience as a paralegal, legal analyst, or related area performing the tasks as described above.
minimum qualifications...
.
a nationally recognized paralegal certification or an aba accredited paralegal degree and 1 years’ experience as a paralegal, legal analyst, or
otherwise performing the responsibilities of a paralegal as defined by walmart’s job description or 2 years’ experience as a paralegal, legal
analyst, or otherwise performing the responsibilities of a paralegal as defined by walmart’s job description or a juris doctorate degree from an
accredited law school., as permitted by applicable law, provide evidence of full vaccination as defined by cdc guidelines or secure approval of medical or religious accommodation for the vaccination mandate.
preferred qualifications...
.
paralegal in a law firm or corporate environment
bachelors: law
primary location...
702 sw 8th st, bentonville, ar 72716, united states of america"
