Company,Title,Technical Keywords,Nontechnical Keywords
Amazon,Software Development Engineer - Payments,"['java', 'c++', '', 'object', 'oriented', 'language', 'development', 'ui', 'design', 'r', 'software', 'engineering', 'systems', 'computer', 'application', 'product', 'engineer', 'programming', 'bachelor', 'architecture', 'communication', 'aws', 'scaling', 'javascript', 'software development', 'computer science']","['experience', 'year', 'degree', 'related', 'technical', 'equivalent', 'working', 'work', 'ability', 'team', 'including', 'skill', 'building', 'science', 'technology', 'using', 'language', 'experience working', 'high', 'new', 'distributed', 'fast paced']"
Amazon,Software Development Engineer - Fintech,"['java', 'c++', '', 'object', 'oriented', 'language', 'data', 'structure', 'development', 'ui', 'design', 'analysis', 'management', 'r', 'software', 'engineering', 'computer', 'code', 'product', 'engineer', 'programming', 'bachelor', 'communication', 'testing', 'aws', 'coding', 'software development', 'computer science']","['experience', 'year', 'degree', 'related', 'technical', 'ability', 'team', 'including', 'management', 'knowledge', 'skill', 'field', 'project', 'science', 'language', 'strong', 'complex', 'related field', 'understanding', 'test', 'problem solving']"
Amazon,Software Development Engineer,"['web', '', 'language', 'development', 'ui', 'design', 'management', 'r', 'software', 'engineering', 'systems', 'computer', 'engineer', 'programming', 'architecture', 'testing', 'coding', 'scaling', 'linux', 'software development', 'computer science']","['experience', 'year', 'degree', 'related', 'technical', 'ability', 'including', 'management', 'knowledge', 'field', 'building', 'project', 'science', 'language', 'complex', 'related field', 'service', 'new', 'test', 'distributed']"
Amazon,"Embedded Software Development Engineer, Satellite Flight Software, GNC Software","['', 'language', 'structure', 'development', 'ui', 'design', 'r', 'software', 'engineering', 'systems', 'computer', 'engineer', 'programming', 'architecture', 'communication', 'testing', 'scaling', 'linux', 'software development', 'computer science']","['experience', 'year', 'degree', 'related', 'technical', 'work', 'ability', 'team', 'including', 'skill', 'building', 'science', 'language', 'strong', 'new', 'test']"
Amazon,Embedded Software Engineer,"['python', '', 'language', 'data', 'development', 'ui', 'r', 'software', 'engineering', 'systems', 'computer', 'product', 'engineer', 'architecture', 'testing', 'troubleshooting', 'unix', 'linux', 'networking', 'software development', 'computer science']","['experience', 'year', 'degree', 'related', 'equivalent', 'working', 'work', 'knowledge', 'field', 'science', 'language', 'related field', 'service', 'high', 'electrical', 'practical', 'test']"
Amazon,"Senior Software Engineer, Intech","['java', 'python', 'c++', '', 'object', 'oriented', 'language', 'data', 'development', 'ui', 'design', 'request', 'r', 'software', 'engineering', 'systems', 'application', 'engineer', 'programming', 'models', 'business', 'architecture', 'database', 'unix', 'linux', 'object oriented', 'software development']","['experience', 'year', 'degree', 'technical', 'ability', 'team', 'including', 'skill', 'building', 'project', 'technology', 'language', 'strong', 'complex', 'understanding', 'high']"
Amazon,Software Development Engineer,"['web', '', 'development', 'r', 'software', 'engineering', 'computer', 'engineer', 'software development', 'computer science']","['experience', 'year', 'degree', 'related', 'work', 'field', 'science', 'related field', 'high']"
Amazon,"Software Development Engineer, INTech","['java', 'web', 'c++', '', 'object', 'oriented', 'language', 'data', 'development', 'ui', 'design', 'request', 'r', 'software', 'engineering', 'systems', 'computer', 'application', 'engineer', 'programming', 'models', 'bachelor', 'business', 'architecture', 'communication', 'database', 'agile', 'unix', 'linux', 'object oriented', 'software development', 'computer science']","['experience', 'year', 'degree', 'related', 'technical', 'ability', 'team', 'including', 'skill', 'field', 'building', 'project', 'science', 'technology', 'language', 'strong', 'complex', 'related field', 'service', 'understanding', 'high']"
Amazon,Software Development Engineer,"['java', 'web', 'c++', '', 'object', 'oriented', 'language', 'data', 'development', 'ui', 'design', 'request', 'r', 'software', 'engineering', 'systems', 'computer', 'application', 'engineer', 'programming', 'models', 'bachelor', 'business', 'architecture', 'communication', 'database', 'agile', 'unix', 'linux', 'object oriented', 'software development', 'computer science']","['experience', 'year', 'degree', 'related', 'technical', 'ability', 'team', 'including', 'skill', 'field', 'building', 'project', 'science', 'technology', 'language', 'strong', 'complex', 'related field', 'service', 'understanding', 'high']"
Amazon,Senior Software Development Engineer,"['', 'object', 'oriented', 'data', 'structure', 'development', 'ui', 'design', 'management', 'r', 'software', 'engineering', 'systems', 'computer', 'code', 'product', 'engineer', 'bachelor', 'business', 'architecture', 'testing', 'aws', 'database', 'coding', 'scaling', 'algorithms', 'object oriented', 'software development', 'computer science']","['experience', 'year', 'related', 'technical', 'equivalent', 'ability', 'team', 'including', 'management', 'knowledge', 'field', 'building', 'science', 'using', 'complex', 'related field', 'understanding', 'new', 'test']"
Amazon,Software Engineer,"['', 'language', 'development', 'ui', 'design', 'management', 'r', 'software', 'engineering', 'systems', 'computer', 'code', 'application', 'engineer', 'programming', 'architecture', 'communication', 'testing', 'agile', 'coding', 'scaling', 'software development', 'computer science']","['experience', 'year', 'related', 'working', 'work', 'ability', 'team', 'including', 'management', 'knowledge', 'skill', 'field', 'science', 'language', 'strong', 'related field', 'understanding', 'new', 'test', 'distributed']"
Amazon,Software Development Engineer - Agency,"['java', 'web', 'c++', '', 'object', 'oriented', 'language', 'data', 'development', 'ui', 'design', 'request', 'r', 'software', 'engineering', 'systems', 'computer', 'application', 'engineer', 'programming', 'models', 'bachelor', 'business', 'architecture', 'communication', 'database', 'agile', 'unix', 'linux', 'object oriented', 'software development', 'computer science']","['experience', 'year', 'degree', 'related', 'technical', 'ability', 'team', 'including', 'skill', 'field', 'building', 'project', 'science', 'technology', 'language', 'strong', 'complex', 'related field', 'service', 'understanding', 'high']"
Amazon,"Software Development Engineer, Intech ","['java', 'python', 'web', 'c++', '', 'object', 'oriented', 'language', 'data', 'development', 'ui', 'design', 'request', 'r', 'software', 'engineering', 'systems', 'computer', 'application', 'engineer', 'programming', 'models', 'bachelor', 'business', 'architecture', 'communication', 'database', 'agile', 'unix', 'linux', 'javascript', 'object oriented', 'software development', 'computer science']","['experience', 'year', 'degree', 'related', 'technical', 'ability', 'team', 'including', 'skill', 'field', 'building', 'project', 'science', 'technology', 'language', 'strong', 'complex', 'related field', 'service', 'understanding', 'high']"
Amazon,Software Development Engineer,"['', 'language', 'development', 'ui', 'design', 'management', 'r', 'software', 'engineering', 'systems', 'computer', 'code', 'product', 'engineer', 'programming', 'architecture', 'communication', 'testing', 'coding', 'scaling', 'software development', 'computer science']","['experience', 'year', 'technical', 'ability', 'team', 'including', 'management', 'knowledge', 'skill', 'building', 'project', 'science', 'language', 'complex', 'understanding', 'high', 'new', 'test', 'distributed']"
Amazon,Software Development Engineer,"['java', 'c++', '', 'object', 'oriented', 'language', 'development', 'ui', 'design', 'management', 'r', 'software', 'engineering', 'systems', 'code', 'product', 'engineer', 'programming', 'architecture', 'testing', 'coding', 'scaling', 'software development']","['experience', 'year', 'technical', 'ability', 'team', 'including', 'management', 'knowledge', 'building', 'project', 'language', 'complex', 'new', 'test']"
Amazon,Software Development Engineer - FinTech,"['java', 'c++', '', 'object', 'oriented', 'language', 'development', 'ui', 'design', 'management', 'r', 'software', 'engineering', 'systems', 'code', 'product', 'engineer', 'programming', 'sql', 'architecture', 'testing', 'coding', 'scaling', 'unix', 'linux', 'software development']","['experience', 'year', 'technical', 'ability', 'team', 'including', 'management', 'knowledge', 'skill', 'building', 'project', 'using', 'language', 'complex', 'new', 'test']"
Amazon,"Sr. Embedded Software Development Engineer, Satellite Simulation, GNC Software","['', 'language', 'structure', 'development', 'ui', 'design', 'r', 'software', 'engineering', 'systems', 'computer', 'engineer', 'programming', 'architecture', 'communication', 'testing', 'scaling', 'linux', 'software development', 'computer science']","['experience', 'year', 'degree', 'related', 'technical', 'work', 'ability', 'team', 'including', 'skill', 'building', 'science', 'language', 'strong', 'new', 'test']"
Amazon,Software Engineer,"['java', 'c++', '', 'object', 'oriented', 'language', 'development', 'ui', 'design', 'management', 'r', 'software', 'engineering', 'systems', 'code', 'product', 'engineer', 'programming', 'architecture', 'testing', 'coding', 'scaling', 'software development']","['experience', 'year', 'technical', 'ability', 'team', 'including', 'management', 'knowledge', 'building', 'project', 'language', 'complex', 'new', 'test']"
Amazon,Software Dev Engineer II,"['java', 'python', 'web', 'c++', '', 'language', 'data', 'development', 'ui', 'design', 'request', 'r', 'software', 'engineering', 'systems', 'computer', 'application', 'engineer', 'programming', 'models', 'bachelor', 'business', 'architecture', 'database', 'agile', 'unix', 'software development', 'computer science']","['experience', 'year', 'degree', 'related', 'technical', 'ability', 'team', 'including', 'skill', 'building', 'science', 'technology', 'language', 'strong', 'complex', 'service', 'understanding', 'high']"
Amazon,Software Developer Engineer II,"['java', 'web', 'c++', '', 'language', 'data', 'development', 'ui', 'design', 'request', 'r', 'software', 'engineering', 'systems', 'computer', 'application', 'engineer', 'programming', 'models', 'bachelor', 'business', 'architecture', 'database', 'agile', 'unix', 'software development', 'computer science']","['experience', 'year', 'degree', 'related', 'technical', 'ability', 'team', 'including', 'skill', 'building', 'science', 'technology', 'language', 'strong', 'complex', 'service', 'understanding', 'high']"
Amazon,"Embedded Software Development Engineer, Satellite Simulation, GNC Software","['', 'language', 'structure', 'development', 'ui', 'design', 'r', 'software', 'engineering', 'systems', 'computer', 'engineer', 'programming', 'architecture', 'communication', 'testing', 'scaling', 'linux', 'software development', 'computer science']","['experience', 'year', 'degree', 'related', 'technical', 'work', 'ability', 'team', 'including', 'skill', 'building', 'science', 'language', 'strong', 'new', 'test']"
Amazon,"Software Development Engineer, Finance Technology","['java', 'web', 'c++', '', 'object', 'oriented', 'language', 'data', 'development', 'ui', 'design', 'request', 'r', 'software', 'engineering', 'systems', 'computer', 'application', 'engineer', 'programming', 'models', 'bachelor', 'business', 'architecture', 'communication', 'database', 'agile', 'unix', 'linux', 'object oriented', 'software development', 'computer science']","['experience', 'year', 'degree', 'related', 'technical', 'ability', 'including', 'skill', 'field', 'building', 'project', 'science', 'technology', 'using', 'language', 'strong', 'complex', 'related field', 'service', 'understanding', 'high']"
