,COMPANY,TITLE,QUALIFICATIONS,LINK,DESCRIPTION
0,Expedia,Machine Learning Scientist III,"ph.d. or master in computer science or a related quantitativefield
2+ years of industry experience specific to data science
demonstrated ability to build and maintain multiple data science project/product in production environments
have significant experience in at least one major ml programming language (python, scala…) and familiar with others
solid knowledge of machine learning techniques and hands-on practice with neural networks with either pytorch or tensorflow
solid understanding and experience in database technologies, including sql and nosql
experienced in industrial application of machine learning
demonstrated understanding both frequentist and bayesian statistics
you are adaptable,flexible and quick to learn new concepts
you have excellent written and verbal communication",https://careers.expediagroup.com/jobs/job/?Machine+Learning+Scientist+III-Seattle-Washington-j-R-78082-1,"support global roll-out of neural network algorithm across the business
write code that is clean, maintainable, optimized, modular with good naming conventions and in a way that enables efficient and accurate translation into a data pipeline
build, deploy and optimise ml models for algorithmic bidding
research and enhance our existing implementations
tackle business problems by applying fundamental machine learning models, algorithms and techniques using standard libraries
independently conduct proper model performance evaluation without help
spend a large amount of time to help improve model generalization and robustness
apply a range of common statistical methods to solve business problems
you will communicate a compelling rationale and narrative to peers and partners
you will communicate across various levels of the organization, tailor messages to audience and filters relevant information
you will communicate a compelling rationale and narrative to peers and partners.
you will frame challenging business problems as a data science problem and concrete set of tasks
you will grow professionally; expand your skills and curiosity; be creative; also help others become their best"
1,Expedia,Senior Security Compliance Manager (PCI),"bachelor's or master's degree in cyber security or related technical field; or equivalent related professional experience and industry certifications
7+ years’ experience in a dedicated information security, compliance, or technical risk management field, with 3+ years leading information security risk and compliance activities
demonstrated understanding of pci dss and general knowledge of frameworks (nist, iso, soc2)
preferably one or more of the following: pcip, isa, qsa, cisa, crisc, cissp
extensive knowledge of enterprise cybersecurity management practices, governance, and risk/compliance assessment methodologies
technical security and architecture knowledge with the ability to recognize, analyze and document deficiencies and articulate those to both technical and non-technical personnel
superb communication and relationship skills, especially the ability to understand and articulate advanced technical topics and build consensus among partners and leadership
capable of working with diverse teams and promoting a positive, enterprise-wide security culture
strong project management, multitasking and organizational skills",https://careers.expediagroup.com/jobs/job/?Senior+Security+Compliance+Manager+%28PCI%29-Chicago-Illinois-j-R-79662,"identify and document in-scope systems and applications for the pci dss cardholder data environment
guide technical teams and stakeholders to implement required controls and meet compliance
act as the main pci dss subject matter expert when internal team members have questions/need guidance and be the key liaison with external pci advisory firms
complete and preserve the internal self-assessment questionnaire as needed, as well as coordinate and communicate the report on compliance
facilitate education and training for employees required to uphold pci compliance
continuously assess and validate cardholder data environment controls and monitoring
support the development of compensating control alternatives where security or compliance requirements cannot be met
support business innovation initiatives, while ensuring pci compliance is met
support security architecture in the development of reference architectures and standard implementation procedures to ensure compliance needs are met
possess general knowledge of networking, encryption, authentication, payment infrastructure and application security
influence and validate pci dss controls and present regularly to security, audit, and business leadership
liaison with internal and external auditors to manage controls for compliance and privacy laws
perform other duties as assigned"
2,Expedia,Mobile Engineer III - iOS,"bachelor's or master’s degree in a technical field; or related field; or equivalent related professional experience.
5+ experience of working in ios environment.
passionate about building and refining high-performance ios apps.
experience developing features for the android platform in swift, objective-c and mvvm architectural pattern.
excited to pick up, learn and run with new technologies and frameworks such as graphql - love all aspects of application development, from brainstorming and design to implementation and launch.
experience in testing and monitoring your own code.
demonstrates familiarity with associated technologies within their specialization as part of the wider sdlc ecosystem. example - ci/cd, git, github actions
previous experience on large codebases.
experience in agile development.
communicate with clarity and precision, presenting complex information in a concise format that is audience appropriate
familiarity of collaborative interface design tools (eg. figma) is a plus",https://careers.expediagroup.com/jobs/job/?Mobile+Engineer+III+-+iOS-Chicago-Illinois-j-R-79627,"build and evolve the next gen expedia group (eg) shared component library framework to be adapted by different eg brands using the latest technologies such as swift
collaborate with multiple engineering teams to enable them to co-develop, re-use and solve problems.
develop and test standard software applications in swift ui and related programs and procedures to ensure they meet design requirements.
participate in code reviews to assess overcall code quality and flexibility
apply software design principles, data structures and/or design patterns and computer science fundamentals to write code that is clean, maintainable, optimized, and modular with good naming conventions.
drive continuous improvement and continuous delivery in our software development process within an agile development team.
write automation tests, unit tests and acceptance tests as appropriate to support our continuous integration pipelines.
collaborate with team members to co-develop and resolve problems
be involved in product feature development, and will be working in close partnership with our teams across all our offices around the world"
3,Expedia,"Director, Global Procurement - Marketing","bachelors or masters degree in business/finance or in a related field; or equivalent related professional experience
10+ years of procurement experience, preferably including deep exposure to multiple types of services, with a global portfolio and multiple divisions within a company
5+ years managing teams in a customer service environment demonstrating great people skills and strong leadership experience
strong understanding of procurement and strategic sourcing practices
competent computer skills - specifically microsoft suite
strong analytical, process and collaboration skills to resolve business problems
excellent customer service skills
outstanding verbal/written communication and presentation skills
proven results as an effective team leader and builder with strong skills in mentoring and managing
ability to drive and meet deadlines under pressure
stays organized and focused in a multi-tasked, fast paced environment
comfortable working with all levels/departments and with interdepartmental project teams
demonstrate ability to build successful professional relationships with the flexibility to work with a variety of personalities and styles
a customer-service focused attitude and a demonstrated willingness to consider different approaches to expedia group’s procurement needs",https://careers.expediagroup.com/jobs/job/?%E2%80%8BDirector%2C+Global+Procurement+-+Marketing-Austin-Texas-j-R-79616-1,"possess deep knowledge of the marketing category and related services sourcing category; be known in the company for the value-added advisor for category knowledge and contributions to meet marketing strategic initiatives and goals
develop a strategic and tactical plan to lead an effective marketing category, including working across different business lines and procurement teams to ensure coordination and that expedia group is optimizing its leverage
understand the overall category spend, associated vendors, contracts and business customers
identify relevant market data and research resources to gather industry benchmarking, emerging trends, technologies and vendor candidates in the field
establish, develop and maintain global relationships with business customers and relevant vendors
act as consultant to business customers and internal partners in the overall procurement process; i.e., strategic sourcing, negotiations, contracting, purchase orders, approvals and vendor management
provide leadership, mentoring and coaching to direct reports to achieve consistent desired results in the company’s procurement processes, best practices, specific industry expertise and the management of internal customer relationships
act as an escalation point as necessary
may also provide day-to-day management of contingent personnel and/or vendor resources
raise new and innovative ideas for process improvement and to challenge the status quo
coordinate sourcing workload across direct staff and other available channels
identify and justify team staffing needs
partner with internal organizations to: define highly complex product / service requirements; assist with identifying vendors; manage rfx process and evaluations; provide vendor evaluation framework; and make recommendations on vendor selection
create, communicate and execute on complex work plans for sourcing portion of a project
identify supporting efforts and dependencies, identify and track sourcing issues, track and report progress
link project strategies to other initiatives within and external to the department
coordinate external project linkages & dependencies cross-functionally, seek & obtain executive management approvals as necessary to ensure project success
lead cross-functional teams focused on sourcing projects
provide recommendations and consulting along with significant facts for the business case and cost model to enable roi analysis by business partner stakeholders
develop, implement and manage appropriate contracting strategies in terms of contract type, duration, business value, risk management and contract compliance ensuring the best possible outcome for expedia
negotiate complex master agreements, statements of work, and purchase agreements, supporting marketing needs globally
actively advise the business in managing key vendor contract performance to ensure all requirements are satisfactorily fulfilled and for business managed suppliers
drive for results, technical/functional skills, analytical problem solving & decision making, business acumen, creativity
build & maintain teams, work effectively with superiors & peers, cross-functional collaboration, embrace & champion change"
4,Expedia,Senior Security Operations Manager,"ph.d. or master in computer science or a related quantitativefield
2+ years of industry experience specific to data science
demonstrated ability to build and maintain multiple data science project/product in production environments
have significant experience in at least one major ml programming language (python, scala…) and familiar with others
solid knowledge of machine learning techniques and hands-on practice with neural networks with either pytorch or tensorflow
solid understanding and experience in database technologies, including sql and nosql
experienced in industrial application of machine learning
demonstrated understanding both frequentist and bayesian statistics
you are adaptable,flexible and quick to learn new concepts
you have excellent written and verbal communication",https://careers.expediagroup.com/jobs/job/?Senior+Security+Operations+Manager-Seattle-Washington-j-R-79600,"support global roll-out of neural network algorithm across the business
write code that is clean, maintainable, optimized, modular with good naming conventions and in a way that enables efficient and accurate translation into a data pipeline
build, deploy and optimise ml models for algorithmic bidding
research and enhance our existing implementations
tackle business problems by applying fundamental machine learning models, algorithms and techniques using standard libraries
independently conduct proper model performance evaluation without help
spend a large amount of time to help improve model generalization and robustness
apply a range of common statistical methods to solve business problems
you will communicate a compelling rationale and narrative to peers and partners
you will communicate across various levels of the organization, tailor messages to audience and filters relevant information
you will communicate a compelling rationale and narrative to peers and partners.
you will frame challenging business problems as a data science problem and concrete set of tasks
you will grow professionally; expand your skills and curiosity; be creative; also help others become their best"
5,Expedia,Senior Security Operations Analyst (GRC Platform Enablement),"over 8+ years’ experience in a dedicated information security, risk, compliance, or governance field, with a working understanding and ability to support information security risk and compliance activities
strong knowledge of enterprise cybersecurity management practices, governance, and risk/compliance assessment methodologies
security and architecture knowledge with the ability to recognize, analyze and document tool issues and articulate those to both technical and non-technical personnel
superb communication and relationship skills, especially the ability to understand and articulate advanced technical topics and build consensus among stakeholders and partners
an understanding of information security frameworks, processes, technologies, and practices, including nist and iso27xxx standards
knowledge of regulatory and industry frameworks such as nist, iso, pci, soc2, etc.
information security certification(s) such as cissp, crisc, cisa, cism or similar certifications preferred
a passion for solving complex problems and simplifying processes",https://careers.expediagroup.com/jobs/job/?Senior+Security+Operations+Analyst+%28GRC+Platform+Enablement%29-Seattle-Washington-j-R-79599,"establish a grc platform at expedia group
serve as an internal senior trusted advisor providing best practices for platform build out and maintenance
collaborate across grc teams driving mature and standardized processes and procedures for the organization
review, analyze, and adjust grc processes to simplify and strengthen grc activities
coordinate with stakeholders in and outside of grc to ensure grc programs execute as needed
coordinate with technical resources to ensure grc business needs are met
promote and foster collaboration and standardization across multiple governance, risk, and compliance teams to ensure consistent outcomes and a single voice to the business
establish credibility and maintain strong working relationships with stakeholders and partners to understand enterprise objectives, initiatives, and issues related to the management of the grc tool
report and communicate status and metrics to stakeholders and partners in a consistent voice and format"
6,Expedia,"Director, Strategy and Transformation","ph.d. or master in computer science or a related quantitativefield
2+ years of industry experience specific to data science
demonstrated ability to build and maintain multiple data science project/product in production environments
have significant experience in at least one major ml programming language (python, scala…) and familiar with others
solid knowledge of machine learning techniques and hands-on practice with neural networks with either pytorch or tensorflow
solid understanding and experience in database technologies, including sql and nosql
experienced in industrial application of machine learning
demonstrated understanding both frequentist and bayesian statistics
you are adaptable,flexible and quick to learn new concepts
you have excellent written and verbal communication",https://careers.expediagroup.com/jobs/job/?Director%2C+Strategy+and+Transformation-Seattle-Washington-j-R-79436-1,"support global roll-out of neural network algorithm across the business
write code that is clean, maintainable, optimized, modular with good naming conventions and in a way that enables efficient and accurate translation into a data pipeline
build, deploy and optimise ml models for algorithmic bidding
research and enhance our existing implementations
tackle business problems by applying fundamental machine learning models, algorithms and techniques using standard libraries
independently conduct proper model performance evaluation without help
spend a large amount of time to help improve model generalization and robustness
apply a range of common statistical methods to solve business problems
you will communicate a compelling rationale and narrative to peers and partners
you will communicate across various levels of the organization, tailor messages to audience and filters relevant information
you will communicate a compelling rationale and narrative to peers and partners.
you will frame challenging business problems as a data science problem and concrete set of tasks
you will grow professionally; expand your skills and curiosity; be creative; also help others become their best"
7,Expedia,Senior Product Strategy Analyst,"bachelor’s degree in economics, business, or related technical field; or equivalent related professional experience
3+ years in strategy consulting, or corporate strategy
you can take high-level direction and run with it
you have experience framing complex, ambiguous problems or analyses into digestible chunks to tackle them
you have strong business intuition and can quickly identify signals (i.e., what matters) through the noise
you have to experience building complex financial models
you can make error-free, exec-ready slides with very clear, concise messaging in your sleep
you run a tight process - you’re a master at creating your own work plans, identifying whose input you need when, and driving your own work forward to deliver
you’re good at communicating and influencing others without authority
you’re fun to work with, and you love travel & technology",https://careers.expediagroup.com/jobs/job/?Senior+Product+Strategy+Analyst-Seattle-Washington-j-R-79209,"help craft and deliver expedia group’s product & tech strategy roadmap using data, creativity, and your deep understanding of customer experience and travel industry / ecommerce trends
lead strategic projects and investigations to drive the business forward
establish effective relationships with key internal and external partners
communicate well both verbally and in writing, share information and ideas with others, listen carefully, and considers what others have to say, including differing viewpoints
prioritize tasks, develop good work procedures, manage time well, handle information flow and spend much of your time and resources on high-priority items
work with an awesome team embedded with both product owners and strategists. this role is very close to the product, so you'll not only have a chance to create the strategy but also have a role in helping the products that deliver it gets built"
8,Expedia,Senior Financial Operations Coordinator,"1+ years of previous accounting and reconciliation experience preferred
must be a quick learner, self-motivated and a phenomenal teammate
positive attitude and career focused
experience with erp systems (oracle/peoplesoft/hyperion planning), business objects, and tableau a plus
strong excel skills and experience with other microsoft products
solid understanding of basic accounting, and the desire to pursue more relevant items such as contract reconciliation and data analysis
good interpersonal skills and comfortable working across departmental and company boundaries with internal and external customers
great attention to detail, organized, efficient, and ability to multi-task
conscientious, flexible - thrives in a fast paced, changing environment with minimal direction
excellent problem-solving, analytical, and mathematical skills
an associate degree in accounting or similar field preferred",https://careers.expediagroup.com/jobs/job/?Senior+Financial+Operations+Coordinator-Springfield-Missouri-j-R-79139,"process contract terms and other supporting documents for marketing fees in salesforce, oracle, and excel
research and respond to account manager questions in email and salesforce about partner marketing fees
identify issues with marketing fee calculations, and support resolution
support month end closing duties
meet departmental expectations and timelines, and other duties as assigned"
9,Expedia,Software Development Engineer II (Front-End),"bachelor’s or master’s degree in a technical field or related technical field; or equivalent related professional experience
at least two years professional experience preferred
technical proficiency with the following development technologies: javascript, react, node.js
experience supporting high-traffic applications in a production environment
ability to understand and improve complex systems
ability to test and monitor your own code
understanding of how teams’ goals fit a business need
graphql experience is a plus",https://careers.expediagroup.com/jobs/job/?Software+Development+Engineer+II+%28Front-End%29-Austin-Texas-j-R-78641,"create world-class web user interfaces for a variety of expedia lodging partners
take initiative to meet peers across the environment and collaborate to resolve problems
take advantage of opportunities to build new technical expertise in a specific engineering area
understand the importance of system and technology integration and the basic features and facilities involved in the integration process
develop and test standard software applications and related programs and procedures to ensure they meet design requirements
apply software design principles, data structures and/or design patterns and computer science fundamentals to write code that is clean, maintainable, optimized, modular with good naming conventions
think broadly and understand how, why, and when policies/processes are standardized and when they differ across the organization"
10,Expedia,Data Engineer III,"experience in object-oriented programming, especially python or java, scala, with a bs in computer science or engineering or related experience
knowledgeable in hadoop-ecosystem technologies, in particular hadoop, hive, and spark
experience building data pipelines with data from event streams, on distributed data systems (aws/hadoop)
batch and/or stream processing experience using spark, k-streams, faust
strong computer science fundamentals in data structures, algorithm design, problem solving, and complexity analysis
familiarity with sql-based databases (mysql etc.)
experience with all aspects of data systems including database design, etl, aggregation strategy",https://careers.expediagroup.com/jobs/job/?Data+Engineer+III-Seattle-Washington-j-R-78385,"build and support scalable and durable data solutions that can enable self-service advanced analytics using cloud-based technologies in an agile manner
be a part of our development team and actively participate in all phases of the software development lifecycle, including requirements gathering, functional and technical design, development, testing and roll-out, and support
close partnership with internal partners from engineering, product, and business
drive technical design and development around real-time data analytics"
11,Expedia,"Senior Media Manager, OOH","hands-on ooh experience and a deep understanding of the landscape
communication and presentation skills with the ability to influence a broad range of internal stakeholders
leadership skills to motivate, manage and execute
trading and negotiating skills to ensure media sufficiency across our plans
experience in offline media
expert in planning & buying
ability to synthesis detailed information into relevant wider views
knowledge in various trading types, including programmatic
proven network of senior industry contactspreferred",https://careers.expediagroup.com/jobs/job/?Senior+Media+Manager%2C+OOH-West+Hollywood-California-j-R-78208,"responsible for program managing our ooh investments & experiential activations across our group of brands, globally. this will be working with our ooh specialist agency across the globe
managing campaigns from brief, through planning, buying, delivery & reporting/analysis
work and build strong relationships with our internal meso (media solutions) team to plan and execute activity on behalf of our tourist board/hotel partners
liaise with our internal creative organization to ensure deadlines are met and maximize the impact of our placements
lead planning meetings in relation to ooh and document follow ups with various team members to keep the process moving
partner with our agency for ad-hoc and specialized activities that may come up from time to time
be the champion for ooh in the business and lead internally with strong thought leadership
work alongside our internal media team to execute our plans alongside all our other in-house media efforts. this covers most channels across the globe
identifies opportunities that can benefit our brands
ensures campaigns are implemented correctly, and that performance is measured, optimized and delivers key performance indicators/targets
understands our financial processes and ensures campaigns are booked and billed in a timely manner
work with our internal analytics, brand measurement and data science team to quantify the impacts of our activity
this will also include working with a 3rd party agency on retargeting measurement of ooh"
